"chrom","start.pos","end.pos","n.probes","GSM2402884_6969568005_R02C01","GSM2402885_6929689168_R02C02","GSM2402887_6969568005_R04C01","GSM2402888_6969568005_R05C01","GSM2402889_6969568005_R06C01","GSM2402890_6929689168_R03C02","GSM2402891_6969568005_R01C02","GSM2402893_6969568005_R03C02","GSM2402894_6969568005_R04C02","GSM2402896_6969568005_R06C02","GSM2402898_6929689153_R06C01","GSM2402899_6929689153_R01C02","GSM2402900_6929689153_R02C02","GSM2402901_6929689153_R04C02","GSM2402902_6929689153_R05C02","GSM2402903_6929689153_R06C02","GSM2402904_6929689161_R01C01","GSM2402906_6929689161_R05C01","GSM2402907_6929689161_R06C01","GSM2402909_6929689168_R05C02","GSM2402923_6929689136_R03C02","GSM2402924_6929689136_R04C02","GSM2402926_6929689136_R06C02","GSM2402927_6929689152_R01C01","GSM2402931_6929689152_R06C01","GSM2402932_6929689152_R01C02","GSM2402964_6929718017_R06C01","GSM2402965_6929718017_R01C02","GSM2402967_6929718017_R06C02","GSM2402968_6929718017_R02C01","GSM2402969_6929718026_R01C01","GSM2402970_6929718026_R02C01","GSM2402972_6929718017_R04C01","GSM2403029_6929793058_R06C02","GSM2403031_6929793058_R05C02","GSM2403084_6247004024_R03C02","GSM2403086_6247004027_R01C02","GSM2403139_6752625051_R02C02","GSM2403140_6752625051_R03C02","GSM2403141_6752625051_R05C02","GSM2403142_6752625051_R06C02","GSM2403149_6752625095_R05C01","GSM2403150_6752625095_R01C02","GSM2403152_6752625095_R03C02","GSM2403153_6752625095_R04C02","GSM2403154_6752625095_R05C02","GSM2403156_6752625088_R04C01","GSM2403157_6752625088_R05C01","GSM2403158_6752625088_R06C01","GSM2403159_6752625088_R03C02","GSM2403160_6752625088_R04C02","GSM2403161_6752625088_R06C02","GSM2403162_6752625089_R01C01","GSM2403163_6752625089_R03C01","GSM2403164_6752625089_R06C01","GSM2403166_6752625089_R02C02","GSM2403167_6752625089_R04C02","GSM2403168_6752625089_R05C02","GSM2403169_6752625091_R01C01","GSM2403171_6752625091_R03C01","GSM2403172_6752625091_R04C01","GSM2403173_6752625091_R05C01","GSM2403174_6752625091_R06C01","GSM2403175_6752625091_R01C02","GSM2403176_6752625091_R03C02","GSM2403177_6752625091_R05C02","GSM2403178_6752625091_R06C02","GSM2403179_6752625095_R01C01","GSM2403180_6752625095_R03C01","GSM2403181_6752625095_R04C01","GSM2403217_7310440067_R01C01","GSM2403218_7310440067_R02C01","GSM2403220_7310440067_R05C01","GSM2403221_7310440067_R06C01","GSM2403222_7310440067_R01C02","GSM2403224_7310440067_R04C02","GSM2403442_8622007021_R06C02","GSM2403443_8622007022_R01C01","GSM2403444_8622007022_R02C01","GSM2403445_8622007022_R03C01","GSM2403446_8622007022_R04C01","GSM2403447_8622007022_R06C01","GSM2403449_8622007022_R03C02","GSM2403450_8622007022_R04C02","GSM2403452_8622007023_R01C01","GSM2403454_8622007023_R05C01","GSM2403456_8622007023_R03C02","GSM2403457_8622007023_R04C02","GSM2403458_8622007023_R06C02","GSM2403459_8622007021_R03C02","GSM2403461_8622007021_R05C02","GSM2403491_8622007058_R03C02","GSM2403492_8622007058_R04C02","GSM2403493_8622007058_R01C02","GSM2403510_8622007069_R01C02","GSM2403611_8622007119_R02C01","GSM2404000_9305651095_R05C02","GSM2404264_9406921149_R02C01","GSM2404377_9422493151_R02C02","GSM2404439_9420867051_R02C02","GSM2404549_9553932030_R04C01","GSM2404567_9553932098_R05C01","GSM2404786_9533774018_R03C02","GSM2404791_9513149159_R02C02","GSM2404831_9533774041_R04C01","GSM2404873_9534104008_R04C02","GSM2404877_9534104010_R06C01","GSM2404916_9968646167_R04C01","GSM2405119_9855358027_R04C02","GSM2405154_9878820021_R04C02","GSM2405301_3999875055_R05C02","GSM2405459_3999100031_R01C02","GSM2405460_3999100031_R03C02","GSM2405516_3998909026_R03C01","GSM2940731_10003886256_R02C02","GSM2940746_10006823024_R02C02","GSM2940768_10006823123_R03C02","GSM2940789_10006823144_R05C02","GSM2940821_200277210056_R06C01","GSM2940827_200325530023_R04C02","GSM2940864_200362700065_R02C02","GSM2940873_200362700196_R02C01","GSM2940884_200394870010_R04C01","GSM2940887_200394870069_R01C02","GSM2940890_200394870069_R06C01","GSM2940906_200397540001_R04C01","GSM2940946_3998523030_R01C01","GSM2940964_3998523032_R05C01","GSM2941019_3998567087_R03C02","GSM2941025_3998567088_R02C01","GSM2941034_3998568166_R01C02","GSM2941054_3998909027_R05C01","GSM2941175_3999078119_R03C02","GSM2941180_3999078120_R04C02","GSM2941183_3999078120_R06C02","GSM2941195_3999095103_R01C02","GSM2941199_3999095103_R06C01","GSM2941242_3999834002_R04C02","GSM2941341_9373550131_R04C02","GSM2941342_9373550131_R05C01","GSM2941397_9420867051_R03C01","GSM2941404_9420867121_R06C02","GSM2941426_9444375037_R06C02","GSM2941434_9444375150_R06C01","GSM2941477_9534104008_R03C01","GSM2941516_9647455233_R04C02","GSM2941540_9741779119_R03C02","GSM2941600_9855358031_R01C01","GSM2941635_9878820122_R05C02","GSM2941689_9878827240_R01C02","GSM2941692_9968646117_R05C02","GSM2941699_9968646118_R06C01","GSM2941778_9969477086_R06C01","GSM2941797_9969477104_R02C01"
"1",1,521369,249150001,1593,-0.041,-0.002,0.006,0.004,0.006,0.006,-0.001,-0.024,-0.045,0,0.005,-0.042,0.003,0.006,0.004,-0.002,0,0.001,0.001,0.003,-0.046,0.004,-0.008,0.002,0.001,0.002,-0.024,-0.011,-0.009,-0.001,0,0.001,0,-0.022,0.005,0.002,0.007,-0.023,0.01,-0.049,0.009,0.005,0.007,0.007,0.005,0.004,0.005,0.003,0.002,0.003,0.002,0.004,0.001,0.003,0.002,-0.034,0.001,0.004,0.005,0.004,0.005,0.006,0.007,0.006,0.006,0.005,0.004,0.004,0.002,0.006,-0.017,0.003,-0.004,-0.053,-0.02,-0.049,0.002,-0.002,-0.002,0,0,-0.004,0,-0.003,-0.001,0,0.005,0.003,-0.019,0,0.001,-0.006,-0.012,0.002,-0.062,-0.037,0.007,-0.104,0.011,-0.108,-0.069,-0.066,0.004,-0.001,-0.063,0.023,-0.003,0.004,0.01,0.009,-0.039,0.002,0.001,-0.008,-0.124,-0.003,0.019,-0.066,-0.075,0.008,0.005,-0.053,-0.037,-0.001,-0.037,0.002,-0.098,0.004,0.014,-0.047,-0.032,-0.01,0.004,0.002,-0.018,-0.011,-0.007,-0.041,0.026,-0.043,-0.062,-0.019,-0.028,-0.132,-0.038,0.005,-0.087,-0.108,0.007,-0.042,-0.02,-0.016,-0.054,-0.01
"2",2,10001,242950001,1282,-0.088,-0.031,-0.037,-0.036,-0.04,-0.033,-0.03,-0.071,-0.09,-0.042,-0.039,-0.09,-0.041,-0.037,-0.037,-0.043,-0.036,-0.037,-0.04,-0.033,-0.089,-0.034,0.01,-0.031,-0.041,-0.035,-0.082,-0.046,-0.061,-0.046,-0.04,-0.039,-0.043,-0.052,-0.022,-0.051,-0.043,-0.084,-0.037,-0.104,-0.05,-0.048,-0.038,-0.031,-0.038,-0.046,-0.038,-0.044,-0.053,-0.045,-0.04,-0.041,-0.04,-0.036,-0.049,-0.084,-0.047,-0.039,-0.04,-0.045,-0.045,-0.048,-0.046,-0.041,-0.041,-0.042,-0.054,-0.04,-0.041,-0.04,-0.077,-0.045,-0.044,-0.105,-0.078,-0.108,-0.049,-0.043,-0.044,-0.047,-0.05,-0.051,-0.055,-0.048,-0.047,-0.052,-0.047,-0.046,-0.073,-0.044,-0.047,-0.054,-0.056,-0.049,-0.066,-0.102,-0.017,-0.148,-0.03,-0.119,-0.058,-0.116,-0.041,-0.051,-0.082,-0.011,-0.057,-0.023,-0.022,-0.032,-0.073,-0.051,-0.078,-0.065,-0.109,-0.042,-0.018,-0.111,-0.12,-0.029,-0.04,-0.073,-0.063,-0.063,-0.16,-0.03,-0.127,-0.046,-0.022,-0.099,-0.091,-0.054,-0.04,-0.073,-0.085,-0.079,-0.053,-0.082,-0.135,-0.07,-0.078,-0.061,-0.051,-0.129,-0.077,-0.038,-0.122,-0.171,-0.046,-0.06,-0.081,-0.089,-0.105,-0.053
"3",3,60001,197700001,978,-0.073,-0.003,-0.021,-0.019,-0.019,-0.005,-0.018,-0.051,-0.021,-0.019,-0.02,-0.061,-0.028,-0.016,-0.014,-0.013,-0.016,-0.019,-0.012,-0.002,-0.055,-0.004,0.062,0.002,-0.001,-0.004,-0.068,-0.05,-0.036,-0.038,-0.028,-0.028,-0.035,-0.035,-0.016,-0.04,-0.027,-0.093,-0.032,-0.096,-0.048,-0.046,-0.033,-0.024,-0.036,-0.044,-0.033,-0.033,-0.048,-0.045,-0.034,-0.028,-0.031,-0.033,-0.032,-0.076,-0.046,-0.033,-0.043,-0.05,-0.053,-0.054,-0.036,-0.04,-0.043,-0.045,-0.05,-0.038,-0.039,-0.034,-0.073,-0.049,-0.055,-0.099,-0.078,-0.122,-0.044,-0.046,-0.043,-0.054,-0.054,-0.049,-0.056,-0.044,-0.046,-0.05,-0.041,-0.04,-0.061,-0.049,-0.046,-0.056,-0.053,-0.051,-0.105,-0.12,0.004,-0.237,-0.028,-0.181,-0.076,-0.136,-0.044,-0.063,-0.081,0,-0.064,-0.03,-0.014,-0.04,-0.1,-0.066,-0.092,-0.067,-0.176,-0.042,-0.006,-0.158,-0.126,-0.025,-0.041,-0.112,-0.038,-0.076,-0.16,-0.044,-0.117,-0.05,-0.004,-0.236,-0.092,-0.077,-0.039,-0.095,-0.1,-0.107,-0.064,-0.075,-0.131,-0.098,-0.109,-0.092,-0.059,-0.208,-0.077,-0.009,-0.329,-0.011,-0.042,-0.096,-0.07,-0.102,-0.143,-0.078
"4",4,10001,190900001,742,-0.124,-0.067,-0.078,-0.074,-0.082,-0.071,-0.066,-0.103,-0.118,-0.086,-0.08,-0.12,-0.08,-0.074,-0.073,-0.08,-0.073,-0.075,-0.079,-0.072,-0.117,-0.067,0.002,-0.069,-0.077,-0.07,-0.125,-0.097,-0.102,-0.087,-0.079,-0.077,-0.082,-0.061,-0.047,-0.1,-0.087,-0.136,-0.083,-0.152,-0.102,-0.09,-0.079,-0.065,-0.082,-0.092,-0.081,-0.081,-0.103,-0.09,-0.083,-0.077,-0.081,-0.081,-0.089,-0.091,-0.094,-0.079,-0.082,-0.088,-0.09,-0.087,-0.081,-0.081,-0.084,-0.086,-0.092,-0.084,-0.086,-0.079,-0.133,-0.099,-0.082,-0.133,-0.133,-0.161,-0.1,-0.091,-0.087,-0.103,-0.107,-0.106,-0.111,-0.097,-0.101,-0.106,-0.094,-0.083,-0.123,-0.097,-0.099,-0.118,-0.111,-0.107,-0.082,-0.107,-0.06,-0.222,-0.091,-0.168,-0.088,-0.154,-0.093,-0.104,0.006,-0.065,-0.119,-0.062,-0.071,-0.081,-0.125,-0.107,-0.165,-0.122,-0.147,-0.079,-0.071,-0.175,-0.15,-0.065,-0.109,-0.117,-0.102,-0.142,-0.339,-0.072,-0.063,-0.121,-0.068,-0.032,-0.136,-0.105,-0.097,-0.163,-0.147,-0.165,-0.096,-0.129,-0.099,-0.122,-0.13,-0.11,-0.091,-0.144,-0.123,-0.074,-0.028,-0.219,-0.109,-0.08,-0.148,-0.183,-0.095,-0.087
"5",5,10001,180650001,849,0.023,-0.01,-0.022,-0.02,-0.023,-0.014,-0.019,0.106,-0.042,-0.027,-0.02,0.094,-0.025,-0.019,-0.018,-0.018,-0.02,-0.023,-0.02,-0.016,0.104,-0.009,0.058,-0.008,-0.011,-0.004,-0.059,-0.023,-0.012,-0.037,-0.023,-0.031,-0.015,-0.033,-0.015,-0.04,-0.027,0.01,-0.026,0.066,-0.044,-0.037,-0.027,-0.019,-0.031,-0.026,-0.027,-0.025,-0.038,-0.038,-0.031,-0.027,-0.029,-0.029,-0.03,0.058,-0.04,-0.024,-0.033,-0.038,-0.042,-0.042,-0.028,-0.031,-0.034,-0.036,-0.044,-0.031,-0.031,-0.026,0.041,-0.045,-0.035,0.096,0.048,0.132,-0.042,-0.044,-0.037,-0.049,-0.051,-0.043,-0.055,-0.037,-0.046,-0.051,-0.04,-0.035,0.119,-0.043,-0.046,-0.03,0.097,-0.047,-0.078,0.014,-0.005,-0.188,-0.023,-0.144,-0.064,0.055,-0.033,-0.046,-0.078,-0.003,-0.054,-0.012,-0.01,-0.025,-0.092,-0.044,-0.076,0.046,-0.095,-0.037,-0.008,0.031,0.094,-0.012,-0.037,-0.087,0.115,-0.064,-0.184,-0.027,0.004,-0.039,-0.007,-0.075,0.061,-0.034,-0.028,-0.075,0.055,-0.082,-0.028,0.082,-0.013,-0.083,-0.086,-0.071,-0.052,-0.167,-0.073,-0.018,0.022,0.019,-0.041,-0.072,-0.071,-0.091,-0.047,-0.056
"6",6,60001,170850001,988,0.081,-0.029,-0.045,-0.041,-0.05,-0.029,-0.032,0.084,0.052,-0.049,-0.048,0.07,-0.034,-0.04,-0.035,-0.043,-0.041,-0.037,-0.043,-0.031,0.201,-0.03,0.031,-0.031,-0.034,-0.024,-0.084,-0.061,-0.044,-0.06,-0.044,-0.044,-0.02,-0.048,-0.024,-0.062,-0.045,-0.005,-0.046,0.042,-0.061,-0.055,-0.041,-0.033,-0.044,-0.041,-0.039,-0.041,-0.059,-0.052,-0.045,-0.046,-0.044,-0.046,-0.047,0.04,-0.054,-0.039,-0.042,-0.053,-0.053,-0.053,-0.046,-0.043,-0.046,-0.048,-0.066,-0.045,-0.043,-0.041,0.027,-0.055,-0.045,0.079,0.029,-0.119,-0.069,-0.058,-0.05,-0.064,-0.066,-0.071,-0.071,-0.06,-0.069,-0.066,-0.06,-0.053,0.095,-0.063,-0.063,-0.052,-0.068,-0.069,-0.082,-0.011,-0.017,-0.205,-0.045,-0.128,-0.056,0.163,-0.048,-0.065,0.049,-0.012,-0.073,-0.016,-0.024,-0.038,-0.096,-0.062,-0.108,0.034,-0.096,-0.044,-0.021,-0.13,0.035,-0.021,-0.045,-0.084,0.126,-0.077,-0.207,-0.027,0.086,-0.059,0.015,0.015,0.057,-0.063,-0.039,-0.099,0.037,-0.108,-0.028,0.072,-0.038,-0.086,-0.089,-0.077,-0.062,-0.168,0.106,-0.016,0.017,0.01,-0.06,-0.085,0.065,-0.028,-0.058,-0.07
"7",7,10001,158950001,952,0.124,0.026,0.007,0.012,0.006,0.015,0.015,-0.016,0.1,0.008,0.011,0.218,0.021,0.016,0.016,0.017,0.012,0.013,0.012,0.021,0.122,0.026,0.043,0.022,0.02,0.022,0.15,0.008,-0.005,-0.004,0.006,0.006,0.002,-0.045,0.007,-0.01,0,0.036,0.001,-0.062,-0.018,-0.003,0.011,0.014,0.013,0.006,0.014,0.012,-0.006,0,0.006,0.009,0.008,0.011,0.004,-0.006,-0.001,0.011,0.004,-0.006,-0.007,-0.002,0.002,-0.001,0.001,0.002,-0.02,0.007,0.012,0.004,-0.035,-0.015,-0.016,0.1,0.072,0.051,-0.022,-0.012,-0.006,-0.018,-0.016,-0.018,-0.022,-0.004,-0.019,-0.018,-0.011,-0.006,-0.034,-0.014,-0.012,-0.001,-0.022,-0.022,-0.029,0.038,0.026,-0.133,0.006,-0.076,-0.006,0.078,-0.006,-0.025,0.081,0.015,-0.02,0.02,0.018,0.009,-0.054,-0.02,-0.043,-0.023,-0.045,-0.007,0.017,0.112,0.02,0.023,0.006,-0.029,0.134,-0.018,-0.129,0.019,0.043,0.016,0.022,0.082,0.11,0.002,0.001,-0.041,0.078,-0.047,0.011,0.083,0.014,-0.028,-0.033,-0.026,-0.012,-0.129,0.131,0.021,0.056,0.066,-0.01,-0.053,0.102,-0.063,-0.004,-0.023
"8",8,10001,146250001,726,0.008,-0.036,-0.04,-0.035,-0.049,-0.04,-0.032,-0.069,-0.025,-0.054,-0.041,0.066,-0.043,-0.038,-0.04,-0.052,-0.044,-0.039,-0.045,-0.041,-0.089,-0.034,0.008,-0.037,-0.044,-0.037,0.022,-0.044,-0.049,-0.047,-0.04,-0.038,-0.041,-0.06,-0.019,-0.056,-0.047,-0.083,-0.038,0.159,-0.057,-0.042,-0.032,-0.028,-0.037,-0.04,-0.036,-0.039,-0.05,-0.045,-0.038,-0.036,-0.04,-0.037,-0.048,-0.077,-0.049,-0.038,-0.037,-0.044,-0.046,-0.04,-0.05,-0.036,-0.037,-0.037,-0.053,-0.037,-0.038,-0.033,-0.076,-0.045,-0.034,0.072,-0.074,-0.1,-0.061,-0.047,-0.045,-0.054,-0.057,-0.058,-0.06,-0.049,-0.056,-0.059,-0.053,-0.049,-0.078,-0.052,-0.054,-0.041,-0.049,-0.055,-0.058,-0.096,-0.021,-0.13,-0.029,-0.1,-0.058,-0.11,-0.031,-0.039,-0.08,-0.013,-0.05,-0.016,-0.019,-0.028,-0.078,-0.052,-0.077,-0.058,-0.092,-0.046,-0.016,-0.058,-0.012,-0.02,-0.029,-0.057,-0.064,-0.053,-0.171,-0.023,-0.008,-0.039,-0.017,-0.007,-0.08,-0.043,-0.039,-0.066,-0.076,-0.076,-0.041,0.024,-0.024,-0.06,-0.071,-0.053,-0.047,-0.125,-0.069,-0.021,0.021,0.022,-0.047,-0.049,0.068,-0.097,-0.097,-0.045
"9",9,10001,141000001,383,-0.039,0.015,0.011,0.008,0.012,0.013,0.006,-0.022,0.054,0.009,0.005,-0.032,0.007,0.008,0.012,0.008,0.01,0.01,0.014,0.012,-0.036,0.012,0.002,0.015,0.012,0.011,-0.019,0,-0.001,0.006,0.003,0.002,-0.002,-0.023,0.006,0.009,0.007,-0.027,0.002,-0.045,0.004,0.003,0.003,0.005,0.007,-0.002,-0.003,0.001,0.004,-0.003,-0.001,0,0.002,-0.001,0.001,-0.02,-0.001,-0.006,0.002,0.001,0.001,0.003,0.003,0.003,-0.002,0.001,0.007,0.002,0.001,0.002,-0.022,-0.001,0,-0.048,-0.022,0.065,0.016,0.007,0.007,0.005,0.009,0.015,0.007,0.016,0.008,0.007,0.012,0.001,-0.008,0.007,-0.013,0.015,0.01,0.017,-0.032,0.031,0.012,-0.02,0.019,-0.046,-0.049,-0.038,0.001,-0.005,-0.069,0.006,-0.004,-0.003,0.011,0.01,-0.022,-0.003,0.012,-0.013,-0.064,-0.007,0.015,-0.055,-0.063,-0.006,0.013,-0.027,-0.042,0.007,-0.013,0.001,0.011,0.01,0.006,-0.049,-0.049,-0.004,0.003,0.011,-0.01,-0.001,-0.011,-0.05,0.028,-0.012,-0.026,-0.006,-0.007,-0.077,-0.04,0.007,-0.084,-0.092,0.025,-0.017,-0.011,0.002,-0.038,0.001
"10",10,60001,135400001,840,-0.05,0.003,-0.004,-0.004,-0.005,-0.001,-0.008,-0.033,0.016,-0.005,-0.004,-0.048,-0.009,0,-0.002,0,-0.003,-0.004,-0.002,0,0.077,0.002,0.031,0.002,0,-0.002,-0.038,-0.003,-0.024,-0.012,-0.01,-0.011,-0.013,-0.031,-0.002,-0.01,-0.006,-0.054,-0.012,0.078,-0.024,-0.016,-0.014,-0.003,-0.01,-0.018,-0.011,-0.007,-0.018,-0.018,-0.014,-0.01,-0.01,-0.012,-0.009,-0.021,-0.018,-0.01,-0.014,-0.021,-0.02,-0.021,-0.018,-0.014,-0.015,-0.018,-0.023,-0.014,-0.014,-0.013,0.034,-0.02,-0.019,-0.068,-0.036,0.046,-0.015,-0.017,-0.012,-0.017,-0.018,-0.012,-0.017,-0.016,-0.017,-0.016,-0.007,-0.011,-0.032,-0.014,-0.014,-0.016,-0.02,-0.019,-0.033,0.006,0.006,-0.084,0.005,-0.066,-0.032,-0.069,-0.004,-0.023,0.067,0.009,-0.022,-0.003,0.007,0.001,-0.046,-0.011,-0.023,-0.029,-0.053,-0.014,0.011,-0.066,-0.06,0.006,-0.008,-0.038,-0.052,-0.026,-0.072,0.001,-0.092,-0.008,0.002,-0.056,-0.035,-0.019,-0.002,-0.027,-0.04,-0.035,-0.011,0.062,0.016,-0.03,-0.037,-0.024,-0.019,-0.094,0.13,-0.004,0.061,-0.112,-0.002,-0.061,0.108,-0.038,-0.064,-0.023
