"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.178,"GSM2402941_6969568004_R04C02"
"2",10,105000,81750000,-0.011,"GSM2402941_6969568004_R04C02"
"3",10,81825000,135462374,-0.284,"GSM2402941_6969568004_R04C02"
"4",11,130000,134873258,-0.063,"GSM2402941_6969568004_R04C02"
"5",12,172870,133770948,0.0757,"GSM2402941_6969568004_R04C02"
"6",13,19110000,115079939,-0.0271,"GSM2402941_6969568004_R04C02"
"7",14,19325000,107119770,-0.253,"GSM2402941_6969568004_R04C02"
"8",15,20225000,5.7e+07,0.0286,"GSM2402941_6969568004_R04C02"
"9",15,57225000,102410696,-0.2744,"GSM2402941_6969568004_R04C02"
"10",16,105000,90222377,0.015,"GSM2402941_6969568004_R04C02"
"11",17,25000,22156503,-0.3578,"GSM2402941_6969568004_R04C02"
"12",17,25431503,27075000,0.0888,"GSM2402941_6969568004_R04C02"
"13",17,27150000,47075000,-0.3929,"GSM2402941_6969568004_R04C02"
"14",17,47150000,54800000,0.0336,"GSM2402941_6969568004_R04C02"
"15",17,54950000,57275000,-0.3094,"GSM2402941_6969568004_R04C02"
"16",17,57375000,81122605,0.0489,"GSM2402941_6969568004_R04C02"
"17",18,80000,77983624,-0.1265,"GSM2402941_6969568004_R04C02"
"18",19,180000,59084492,0.0611,"GSM2402941_6969568004_R04C02"
"19",2,130000,243026238,0.1133,"GSM2402941_6969568004_R04C02"
"20",20,155000,62907760,0.0747,"GSM2402941_6969568004_R04C02"
"21",21,10848948,48084948,0.0958,"GSM2402941_6969568004_R04C02"
"22",22,16373925,51222283,-0.0389,"GSM2402941_6969568004_R04C02"
"23",3,155000,80800000,-0.2757,"GSM2402941_6969568004_R04C02"
"24",3,81825000,197831215,0.3171,"GSM2402941_6969568004_R04C02"
"25",4,55000,21800000,0.3137,"GSM2402941_6969568004_R04C02"
"26",4,22225000,190972138,0.0189,"GSM2402941_6969568004_R04C02"
"27",5,55000,180777630,0.1711,"GSM2402941_6969568004_R04C02"
"28",6,155000,170952534,0.1114,"GSM2402941_6969568004_R04C02"
"29",7,55000,159039332,0.1493,"GSM2402941_6969568004_R04C02"
"30",8,105000,146277011,0.1106,"GSM2402941_6969568004_R04C02"
"31",9,130000,141076716,0.0425,"GSM2402941_6969568004_R04C02"
"32",1,635684,249195311,0.0555,"GSM2402981_6929718050_R02C01"
"33",10,105000,135462374,0.0436,"GSM2402981_6929718050_R02C01"
"34",11,130000,134873258,0.0518,"GSM2402981_6929718050_R02C01"
"35",12,172870,133770948,0.0417,"GSM2402981_6929718050_R02C01"
"36",13,19110000,115079939,0.0422,"GSM2402981_6929718050_R02C01"
"37",14,19325000,107119770,0.036,"GSM2402981_6929718050_R02C01"
"38",15,20225000,102410696,0.0376,"GSM2402981_6929718050_R02C01"
"39",16,105000,90222377,0.0499,"GSM2402981_6929718050_R02C01"
"40",17,25000,34562924,-0.0509,"GSM2402981_6929718050_R02C01"
"41",17,34787924,36300000,-0.4864,"GSM2402981_6929718050_R02C01"
"42",17,36475000,81122605,-0.0574,"GSM2402981_6929718050_R02C01"
"43",18,80000,77983624,-0.1034,"GSM2402981_6929718050_R02C01"
"44",19,180000,59084492,-0.0084,"GSM2402981_6929718050_R02C01"
"45",2,130000,243026238,0.0062,"GSM2402981_6929718050_R02C01"
"46",20,155000,62907760,5e-04,"GSM2402981_6929718050_R02C01"
"47",21,10848948,48084948,0.0205,"GSM2402981_6929718050_R02C01"
"48",22,16373925,51222283,0.0078,"GSM2402981_6929718050_R02C01"
"49",3,155000,197831215,0.0474,"GSM2402981_6929718050_R02C01"
"50",4,55000,190972138,-0.0345,"GSM2402981_6929718050_R02C01"
"51",5,55000,180777630,0.0354,"GSM2402981_6929718050_R02C01"
"52",6,155000,170952534,0.0254,"GSM2402981_6929718050_R02C01"
"53",7,55000,159039332,0.0695,"GSM2402981_6929718050_R02C01"
"54",8,105000,146277011,0.0141,"GSM2402981_6929718050_R02C01"
"55",9,130000,141076716,0.0462,"GSM2402981_6929718050_R02C01"
"56",1,635684,249195311,0.0457,"GSM2402988_6929718050_R03C01"
"57",10,105000,135462374,0.0321,"GSM2402988_6929718050_R03C01"
"58",11,130000,134873258,0.0441,"GSM2402988_6929718050_R03C01"
"59",12,172870,133770948,0.0328,"GSM2402988_6929718050_R03C01"
"60",13,19110000,115079939,0.0158,"GSM2402988_6929718050_R03C01"
"61",14,19325000,107119770,0.0329,"GSM2402988_6929718050_R03C01"
"62",15,20225000,102410696,0.0361,"GSM2402988_6929718050_R03C01"
"63",16,105000,90222377,0.046,"GSM2402988_6929718050_R03C01"
"64",17,25000,81122605,-0.0512,"GSM2402988_6929718050_R03C01"
"65",18,80000,77983624,-0.1104,"GSM2402988_6929718050_R03C01"
"66",19,180000,59084492,-0.0012,"GSM2402988_6929718050_R03C01"
"67",2,130000,243026238,-2e-04,"GSM2402988_6929718050_R03C01"
"68",20,155000,62907760,-0.0026,"GSM2402988_6929718050_R03C01"
"69",21,10848948,48084948,0.0127,"GSM2402988_6929718050_R03C01"
"70",22,16373925,51222283,0.0083,"GSM2402988_6929718050_R03C01"
"71",3,155000,197831215,0.0339,"GSM2402988_6929718050_R03C01"
"72",4,55000,190972138,-0.038,"GSM2402988_6929718050_R03C01"
"73",5,55000,180777630,0.0252,"GSM2402988_6929718050_R03C01"
"74",6,155000,170952534,0.0105,"GSM2402988_6929718050_R03C01"
"75",7,55000,159039332,0.0584,"GSM2402988_6929718050_R03C01"
"76",8,105000,146277011,0.0101,"GSM2402988_6929718050_R03C01"
"77",9,130000,141076716,0.0417,"GSM2402988_6929718050_R03C01"
"78",1,635684,249195311,0.0472,"GSM2402994_6929718050_R04C01"
"79",10,105000,102925000,-0.1138,"GSM2402994_6929718050_R04C01"
"80",10,102975000,135462374,-0.3296,"GSM2402994_6929718050_R04C01"
"81",11,130000,134873258,0.009,"GSM2402994_6929718050_R04C01"
"82",12,172870,133770948,0.0554,"GSM2402994_6929718050_R04C01"
"83",13,19110000,115079939,0.0166,"GSM2402994_6929718050_R04C01"
"84",14,19325000,107119770,-0.1005,"GSM2402994_6929718050_R04C01"
"85",15,20225000,65225000,0.1328,"GSM2402994_6929718050_R04C01"
"86",15,65275000,102410696,0.3661,"GSM2402994_6929718050_R04C01"
"87",16,105000,33986575,0.0449,"GSM2402994_6929718050_R04C01"
"88",16,34286575,81650000,-0.3202,"GSM2402994_6929718050_R04C01"
"89",16,81725000,90222377,0.1004,"GSM2402994_6929718050_R04C01"
"90",17,25000,20175000,-0.3726,"GSM2402994_6929718050_R04C01"
"91",17,20350000,27775000,0.1737,"GSM2402994_6929718050_R04C01"
"92",17,27875000,44200000,-0.3856,"GSM2402994_6929718050_R04C01"
"93",17,44325000,81122605,0.1876,"GSM2402994_6929718050_R04C01"
"94",18,80000,77983624,-0.1979,"GSM2402994_6929718050_R04C01"
"95",19,180000,59084492,0.0305,"GSM2402994_6929718050_R04C01"
"96",2,130000,243026238,0.1168,"GSM2402994_6929718050_R04C01"
"97",20,155000,62907760,-0.0146,"GSM2402994_6929718050_R04C01"
"98",21,10848948,48084948,0.0544,"GSM2402994_6929718050_R04C01"
"99",22,16373925,51222283,0.1075,"GSM2402994_6929718050_R04C01"
"100",3,155000,96525000,0.0245,"GSM2402994_6929718050_R04C01"
"101",3,97025000,197831215,0.2921,"GSM2402994_6929718050_R04C01"
"102",4,55000,190972138,0.0088,"GSM2402994_6929718050_R04C01"
