"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0146,"GSM2403646_8942351007_R03C02"
"2",10,105000,4625000,0.2795,"GSM2403646_8942351007_R03C02"
"3",10,4875000,135325000,-0.1065,"GSM2403646_8942351007_R03C02"
"4",10,135375000,135462374,0.3687,"GSM2403646_8942351007_R03C02"
"5",11,130000,134873258,0.02,"GSM2403646_8942351007_R03C02"
"6",12,172870,133770948,0.1954,"GSM2403646_8942351007_R03C02"
"7",13,19110000,115079939,0.0173,"GSM2403646_8942351007_R03C02"
"8",14,19325000,107119770,-0.0068,"GSM2403646_8942351007_R03C02"
"9",15,20225000,102410696,0.1894,"GSM2403646_8942351007_R03C02"
"10",16,105000,90222377,0.186,"GSM2403646_8942351007_R03C02"
"11",17,25000,81122605,0.1214,"GSM2403646_8942351007_R03C02"
"12",18,80000,77983624,0.0885,"GSM2403646_8942351007_R03C02"
"13",19,180000,59084492,0.1107,"GSM2403646_8942351007_R03C02"
"14",2,130000,101625000,0.0098,"GSM2403646_8942351007_R03C02"
"15",2,101725000,104200000,-0.6908,"GSM2403646_8942351007_R03C02"
"16",2,105125000,243026238,0.0302,"GSM2403646_8942351007_R03C02"
"17",20,155000,62907760,0.1277,"GSM2403646_8942351007_R03C02"
"18",21,10848948,48084948,0.0311,"GSM2403646_8942351007_R03C02"
"19",22,16373925,51222283,0.1304,"GSM2403646_8942351007_R03C02"
"20",3,155000,197831215,-0.245,"GSM2403646_8942351007_R03C02"
"21",4,55000,190972138,-0.0275,"GSM2403646_8942351007_R03C02"
"22",5,55000,54525000,0.2511,"GSM2403646_8942351007_R03C02"
"23",5,54675000,56750000,-0.2342,"GSM2403646_8942351007_R03C02"
"24",5,57275000,180777630,0.1707,"GSM2403646_8942351007_R03C02"
"25",6,155000,170952534,-0.2475,"GSM2403646_8942351007_R03C02"
"26",7,55000,159039332,0.2416,"GSM2403646_8942351007_R03C02"
"27",8,105000,146277011,-0.1981,"GSM2403646_8942351007_R03C02"
"28",9,130000,141076716,0.0019,"GSM2403646_8942351007_R03C02"
"29",1,635684,249195311,0.0201,"GSM2404014_9340996008_R02C02"
"30",10,105000,135462374,0.0165,"GSM2404014_9340996008_R02C02"
"31",11,130000,134873258,0.1573,"GSM2404014_9340996008_R02C02"
"32",12,172870,133770948,0.1442,"GSM2404014_9340996008_R02C02"
"33",13,19110000,115079939,0.1872,"GSM2404014_9340996008_R02C02"
"34",14,19325000,107119770,0.005,"GSM2404014_9340996008_R02C02"
"35",15,20225000,102410696,0.1368,"GSM2404014_9340996008_R02C02"
"36",16,105000,90222377,0.0367,"GSM2404014_9340996008_R02C02"
"37",17,25000,81122605,-0.0567,"GSM2404014_9340996008_R02C02"
"38",18,80000,77983624,0.0265,"GSM2404014_9340996008_R02C02"
"39",19,180000,59084492,-0.0346,"GSM2404014_9340996008_R02C02"
"40",2,130000,243026238,-5e-04,"GSM2404014_9340996008_R02C02"
"41",20,155000,62907760,-0.2059,"GSM2404014_9340996008_R02C02"
"42",21,10848948,48084948,0.1144,"GSM2404014_9340996008_R02C02"
"43",22,16373925,51222283,0.1056,"GSM2404014_9340996008_R02C02"
"44",3,155000,197831215,-0.2015,"GSM2404014_9340996008_R02C02"
"45",4,55000,190972138,0.0798,"GSM2404014_9340996008_R02C02"
"46",5,55000,27925000,0.0418,"GSM2404014_9340996008_R02C02"
"47",5,28875000,31775000,-2.0213,"GSM2404014_9340996008_R02C02"
"48",5,31975000,180777630,-0.006,"GSM2404014_9340996008_R02C02"
"49",6,155000,170952534,-0.1918,"GSM2404014_9340996008_R02C02"
"50",7,55000,159039332,0.1859,"GSM2404014_9340996008_R02C02"
"51",8,105000,146277011,-8e-04,"GSM2404014_9340996008_R02C02"
"52",9,130000,141076716,0.0153,"GSM2404014_9340996008_R02C02"
"53",1,635684,249195311,-0.0085,"GSM2404459_9420867122_R05C02"
"54",10,105000,51700000,0.1353,"GSM2404459_9420867122_R05C02"
"55",10,51975000,72625000,-0.2764,"GSM2404459_9420867122_R05C02"
"56",10,72800000,76900000,0.4143,"GSM2404459_9420867122_R05C02"
"57",10,76975000,135462374,-0.1839,"GSM2404459_9420867122_R05C02"
"58",11,130000,134873258,-0.1919,"GSM2404459_9420867122_R05C02"
"59",12,172870,133770948,0.0384,"GSM2404459_9420867122_R05C02"
"60",13,19110000,115079939,-0.0313,"GSM2404459_9420867122_R05C02"
"61",14,19325000,107119770,0.134,"GSM2404459_9420867122_R05C02"
"62",15,20225000,102410696,0.1603,"GSM2404459_9420867122_R05C02"
"63",16,105000,90222377,0.0397,"GSM2404459_9420867122_R05C02"
"64",17,25000,81122605,0.0957,"GSM2404459_9420867122_R05C02"
"65",18,80000,77983624,0.0995,"GSM2404459_9420867122_R05C02"
"66",19,180000,59084492,0.1027,"GSM2404459_9420867122_R05C02"
"67",2,130000,243026238,-0.0466,"GSM2404459_9420867122_R05C02"
"68",20,155000,62907760,-0.0589,"GSM2404459_9420867122_R05C02"
"69",21,10848948,48084948,0.1233,"GSM2404459_9420867122_R05C02"
"70",22,16373925,51222283,-0.0147,"GSM2404459_9420867122_R05C02"
"71",3,155000,197831215,-0.049,"GSM2404459_9420867122_R05C02"
"72",4,55000,190972138,0.1505,"GSM2404459_9420867122_R05C02"
"73",5,55000,180777630,-0.0766,"GSM2404459_9420867122_R05C02"
"74",6,155000,143275000,-0.1449,"GSM2404459_9420867122_R05C02"
"75",6,143525000,145300000,-0.858,"GSM2404459_9420867122_R05C02"
"76",6,145800000,170952534,-0.1312,"GSM2404459_9420867122_R05C02"
"77",7,55000,159039332,0.1686,"GSM2404459_9420867122_R05C02"
"78",8,105000,146277011,-0.0473,"GSM2404459_9420867122_R05C02"
"79",9,130000,141076716,-0.0346,"GSM2404459_9420867122_R05C02"
"80",1,635684,249195311,0.0115,"GSM2404460_9420867122_R06C02"
"81",10,105000,135462374,0.0725,"GSM2404460_9420867122_R06C02"
"82",11,130000,134873258,0.0452,"GSM2404460_9420867122_R06C02"
"83",12,172870,133770948,0.0484,"GSM2404460_9420867122_R06C02"
"84",13,19110000,115079939,0.0967,"GSM2404460_9420867122_R06C02"
"85",14,19325000,107119770,0.0123,"GSM2404460_9420867122_R06C02"
"86",15,20225000,102410696,0.0436,"GSM2404460_9420867122_R06C02"
"87",16,105000,90222377,0.0602,"GSM2404460_9420867122_R06C02"
"88",17,25000,81122605,-0.0514,"GSM2404460_9420867122_R06C02"
"89",18,80000,77983624,-0.092,"GSM2404460_9420867122_R06C02"
"90",19,180000,59084492,0.0508,"GSM2404460_9420867122_R06C02"
"91",2,130000,243026238,0.0279,"GSM2404460_9420867122_R06C02"
"92",20,155000,62907760,-0.1116,"GSM2404460_9420867122_R06C02"
"93",21,10848948,48084948,0.0236,"GSM2404460_9420867122_R06C02"
"94",22,16373925,51222283,-0.1636,"GSM2404460_9420867122_R06C02"
"95",3,155000,1.02e+08,-0.0087,"GSM2404460_9420867122_R06C02"
"96",3,103300000,109100000,-0.4813,"GSM2404460_9420867122_R06C02"
"97",3,109950000,197831215,0.0105,"GSM2404460_9420867122_R06C02"
"98",4,55000,166575000,0.0055,"GSM2404460_9420867122_R06C02"
"99",4,1.68e+08,1.71e+08,-0.6151,"GSM2404460_9420867122_R06C02"
"100",4,171900000,190972138,0.0467,"GSM2404460_9420867122_R06C02"
"101",5,55000,180777630,-0.0376,"GSM2404460_9420867122_R06C02"
"102",6,155000,123750000,-0.0013,"GSM2404460_9420867122_R06C02"
"103",6,124700000,130525000,-0.3687,"GSM2404460_9420867122_R06C02"
"104",6,130925000,170952534,0.1032,"GSM2404460_9420867122_R06C02"
"105",7,55000,159039332,0.168,"GSM2404460_9420867122_R06C02"
