"chrom","start.pos","end.pos","n.probes","GSM2402854_5684819014_R03C02","GSM2402859_5684819014_R01C02","GSM2402860_5911815001_R04C01","GSM2402862_5911815001_R02C01","GSM2402867_5684819013_R05C01","GSM2402876_6164621155_R05C02","GSM2402877_6164621081_R06C02","GSM2402878_6164621131_R02C02","GSM2402880_6164621081_R04C02","GSM2402882_6164621131_R02C01","GSM2402883_6164621131_R05C02","GSM2403113_6969568103_R03C02","GSM2403114_6969568103_R06C01","GSM2403116_6969568103_R02C02","GSM2403118_6969568103_R05C01","GSM2403190_6929806024_R02C02","GSM2403425_8622007029_R06C02","GSM2403740_9007225163_R05C02","GSM2403748_9007225163_R01C02","GSM2404132_9406921073_R06C01","GSM2404137_9406922158_R06C01","GSM2404366_9407210090_R01C02","GSM2404480_9444374134_R02C01","GSM2404488_9444375004_R06C01","GSM2404489_9444375004_R01C02","GSM2404491_9444375004_R05C02","GSM2404500_9444375017_R03C01","GSM2404518_9444375037_R04C02","GSM2404614_9741950021_R02C01","GSM2404648_9741950025_R05C01","GSM2404652_9741950030_R01C01","GSM2404662_9741950109_R03C02","GSM2404671_9741950100_R02C02","GSM2404876_9534104010_R02C01","GSM2405026_9969477058_R05C01","GSM2405194_9878820117_R04C02","GSM2405580_3999002049_R05C02","GSM2405581_3999002049_R06C02","GSM2405582_3999002051_R01C01","GSM2405583_3999002051_R04C01","GSM2405584_3999002051_R05C01","GSM2940812_200277210030_R05C01","GSM2941053_3998909027_R04C01","GSM2941178_3999078120_R02C02","GSM2941310_3999875073_R06C02","GSM2941411_9426021175_R03C02","GSM2941430_9444375114_R05C02","GSM2941469_9534104007_R01C02","GSM2941473_9534104007_R06C01","GSM2941484_9534104010_R05C01","GSM2941506_9611519051_R01C01","GSM2941562_9741950085_R04C01","GSM2941572_9741950095_R05C02","GSM2941820_9980102013_R03C02"
"1",1,521369,121086696,900,0.081,0.16,0.11,0.115,0.142,0.094,0.126,0.106,0.086,0.072,0.338,0.042,0.136,0.098,0.12,0.047,0.107,0.083,0.018,0.057,0.042,0.045,0.036,0.062,0.068,0.026,0.074,0.037,0.037,0.122,0.038,0.034,0.058,0.148,0.035,0.134,0.062,-0.059,-0.103,0.053,0.047,0.079,0.001,0.096,0.04,0.086,0.097,0.069,0.082,0.102,0.075,0.112,0.089,0.111
"2",1,121300001,249150001,693,0.33,0.144,0.057,0.033,0.258,0.126,0.078,0.336,0.077,0.277,-0.008,0.289,0.393,0.066,0.228,0.253,0.071,0.008,0.267,0.286,0.048,0.028,0.008,0.004,0.072,0.019,0.083,0.043,0.258,0.104,0.273,0.223,0.028,0.167,0.054,0.113,0.056,0.176,0.054,0.142,0.064,0.024,0.168,0.041,-0.13,0.043,0.086,0.043,0.066,0.308,0.07,0.334,0.299,0.096
"3",2,10001,242950001,1282,0.015,0.004,-0.055,-0.074,-0.021,0.079,0.125,-0.042,0.091,0.041,-0.089,0.023,-0.115,-0.024,0.035,0.001,-0.002,-0.055,0.035,0.023,0.015,0.014,0.068,-0.023,0.036,-0.058,-0.024,-0.029,0.016,0.106,0.028,0.015,0.031,-0.011,-0.024,-0.071,0.027,-0.053,-0.067,-0.012,0.001,-0.073,0.005,-0.009,-0.144,-0.076,0.041,-0.414,-0.351,-0.002,-0.009,0.006,0.05,-0.019
"4",3,60001,89200001,452,0.013,-0.086,0.063,0.075,0.019,0.092,-0.204,0.072,0.035,0.057,-0.086,-0.401,-0.184,0.035,-0.163,-0.004,-0.102,-0.215,-0.13,0.062,0.042,-0.14,-0.008,-0.052,-0.105,-0.018,0.011,-0.025,-0.004,-0.025,0.066,0.013,0.02,-0.062,-0.016,0.05,0.064,0.055,0.2,0.055,0.019,-0.024,-0.08,-0.012,0.038,0.004,0.046,-0.004,-0.269,0.109,0.069,-0.274,0.133,-0.089
"5",3,93504855,161050001,343,-0.47,-0.208,-0.316,0.054,0.041,0.07,-0.02,-0.389,0.044,-0.386,-0.086,-0.436,-0.476,-0.076,-0.279,-0.025,-0.103,-0.11,-0.45,-0.284,0.04,-0.009,-0.039,-0.524,-0.192,0.028,-0.297,-0.014,-0.015,-0.232,0.055,-0.285,-0.307,-0.067,-0.013,-0.111,-0.196,-0.053,0.009,0.033,-0.238,-0.297,-0.116,-0.194,-0.085,0.016,-0.169,0.02,-0.294,-0.236,-0.277,-0.307,-0.302,-0.121
"6",3,162050001,197700001,183,0.051,0.11,0.124,0.062,0.054,0.122,0.156,0.078,0.052,-0.39,0.161,0.021,-0.494,-0.089,-0.01,-0.015,-0.079,0.019,0.013,0.078,0.056,0.003,-0.023,-0.164,0.016,0.25,0.018,0.014,-0.009,-0.204,0.074,0.038,0.032,-0.065,0.009,-0.114,0.172,0.046,0.395,0.072,0.452,-0.058,-0.079,0.079,0.088,0.121,-0.003,0.027,-0.068,-0.053,0.064,-0.334,0.137,0.067
"7",4,10001,58000001,292,-0.192,-0.006,0.107,0.1,0.112,0.137,0.099,0.08,0.23,0.255,-0.032,0.027,0.068,0.069,0.078,-0.026,-0.076,0.1,0.045,0.123,0.05,0.057,0.03,0.086,-0.047,0.05,0.021,-0.071,0.028,0.092,0.118,0.218,0.056,0.004,-0.07,0.186,0.074,0.16,0.226,0.044,0.069,0.041,0.171,0.259,0.073,0.024,0.073,0.079,0.076,-0.052,0.201,0.091,0.083,-0.005
"8",4,59789334,190900001,450,-0.577,-0.175,-0.047,-0.013,-0.471,-0.205,-0.173,-0.52,-0.423,-0.18,-0.18,-0.091,-0.329,-0.078,-0.302,-0.568,-0.268,-0.167,-0.029,-0.468,-0.07,-0.185,-0.121,-0.434,-0.218,-0.213,-0.236,-0.163,-0.438,-0.179,-0.404,-0.365,-0.477,-0.07,-0.134,-0.011,-0.027,-0.272,0.061,0.009,-0.215,-0.42,-0.45,-0.261,0.098,-0.309,-0.231,0.047,-0.012,-0.236,0.097,-0.266,-0.214,-0.147
"9",5,10001,93000001,372,0.041,0.09,0.116,0.137,0.083,0.11,-0.087,0.066,0.049,0.055,-0.099,0.015,0.062,0.051,0.037,-0.017,0.013,0.11,0.21,-0.007,0.056,0.022,-0.002,0.008,0.045,0.026,0.021,0.107,0.011,0.132,0.064,0.032,-0.075,0.008,0.07,0.052,0.038,0.091,0.131,0.054,0.055,-0.038,-0.126,-0.032,0.16,-0.124,0.04,0.045,0.057,0.045,0.075,0.098,0.147,0.045
"10",5,93400001,180650001,477,0.017,0.093,0.09,-0.126,-0.49,-0.139,-0.205,0.069,0.057,-0.152,-0.097,0.028,0.06,0,-0.247,0.008,0.019,-0.069,0.016,-0.074,0.029,-0.312,-0.005,-0.38,0.026,-0.005,-0.344,-0.218,-0.391,-0.271,-0.01,-0.319,0.005,0.004,0.034,-0.323,0.017,0.024,0.083,0.049,-0.191,-0.233,-0.145,-0.055,0.054,-0.124,0.047,0.021,-0.019,-0.312,0.057,0.105,-0.257,0.002
"11",6,60001,170850001,988,0.018,0.031,-0.016,0.039,0.059,0.057,0.025,0.071,0.058,0.047,0.182,0.016,0.054,0.053,0.015,0.001,-0.001,0.137,0.077,0.065,0.025,0.007,0.08,-0.042,0.001,-0.008,-0.006,-0.021,0.001,0.124,0.034,0.016,-0.022,-0.107,0.008,0.01,0.023,0.093,0.072,0.095,0.045,0.099,0.002,-0.001,0.089,0.008,0.043,0.061,0.063,0.053,0.033,0.072,0.08,0.104
"12",7,10001,158950001,952,0.052,0.172,0.275,0.111,0.115,0.211,0.028,0.034,0.075,0.279,0.067,0.038,0.055,0.112,0.126,0.218,0.275,0.149,0.244,0.241,0.07,0.036,0.156,0.062,0.059,0.272,0.02,0.187,0.229,0.248,0.071,0.201,0.224,0.182,0.245,0.099,0.057,0.153,0.176,0.108,0.117,0.17,0.069,-0.017,0.142,0.168,0.282,0.072,0.073,0.092,0.149,0.169,0.135,0.054
"13",8,10001,146250001,726,0.025,0.117,0.133,0.057,0.009,0.046,0.031,0.032,-0.144,0.016,0.159,0.011,0.148,-0.09,-0.034,0.01,-0.007,-0.072,0.132,0.047,0.027,0.014,0.019,-0.001,-0.001,-0.018,0.001,0.023,0.029,0.106,0.05,0.02,0.056,-0.052,0.052,0.121,-0.013,0.076,-0.017,0.039,0.09,0.081,0.054,0.018,-0.05,0.058,-0.041,0.084,0.067,0.041,-0.125,0.067,0.068,0.06
"14",9,10001,141000001,383,0.031,0.126,-0.098,0.045,0.334,0.044,0.19,0.066,0.017,0.063,0.168,0.07,0.033,0.103,0.267,0.209,0.155,0.085,-0.13,0.066,0.05,0.013,0.065,0.184,0.056,0.298,0.055,0.088,-0.011,0.125,0.065,0.029,0.154,0.03,-0.037,0.08,0.019,0.161,0.04,0.248,0.113,0.104,0.064,0.06,0.298,0.059,-0.011,0.06,0.132,0.133,0.014,0.208,0.083,0.094
"15",10,60001,64150001,331,0.046,0.082,-0.166,0.182,0.064,0.034,-0.149,0.261,0.077,0.041,-0.087,0.03,0.08,0.181,0.078,-0.005,0.019,0.084,-0.056,0.033,0.073,0.016,0.009,0.045,0.054,0.011,0.174,0.049,0.111,0.148,0.072,0.071,0.076,-0.1,0.021,0.062,0.072,0.04,0.209,0.054,0.082,0.101,0.066,-0.134,-0.161,-0.05,0.059,0.079,0.094,0.076,0.014,0.095,0.045,0.073
"16",10,64550001,135400001,509,0.034,-0.272,-0.247,-0.194,0.014,-0.211,-0.159,0.067,-0.085,-0.334,-0.123,0.014,-0.214,-0.188,-0.224,-0.402,0.012,-0.023,-0.104,-0.238,0.043,-0.392,-0.068,-0.005,-0.076,-0.129,-0.031,0.188,-0.264,-0.255,0.002,-0.266,-0.259,-0.262,-0.09,-0.296,-0.223,-0.145,-0.054,-0.015,0.032,-0.177,-0.14,-0.055,-0.126,-0.104,0.111,0.06,0.086,-0.113,0.041,0.112,-0.217,-0.119
"17",11,60001,134800001,914,0.029,0.158,0.013,0.043,0.096,-0.104,-0.014,0.08,0.035,-0.002,0.162,0.061,-0.08,0.04,-0.005,0.011,0.022,0.074,0.03,0.062,0.045,0.009,-0.004,-0.047,0.046,-0.012,-0.001,-0.034,-0.005,-0.042,0.035,0.017,0.035,0.151,-0.027,-0.113,-0.048,-0.076,-0.147,0.033,-0.065,-0.019,-0.055,-0.029,0.051,0.074,0.061,0.012,0.044,0.023,0.038,0.096,0.048,-0.028
"18",12,145740,37856695,221,0.221,0.137,0.098,0.086,0.216,0.123,0.044,0.335,0.064,0.074,-0.076,0.045,0.507,0.05,0.096,-0.004,0.039,0.127,0.076,0.06,0.061,0.414,0.014,0.223,0.052,0.012,0.069,-0.012,0.073,0.291,0.141,0.033,0.275,0.059,0.074,0.043,0.066,0.227,0.333,0.071,0.4,0.258,0.152,0.021,0.202,0.326,0.054,0.048,0.06,0.059,0.062,0.44,0.208,0.149
"19",12,38500001,133700001,627,0.037,-0.087,0.076,0.076,0.111,-0.037,-0.087,0.08,-0.083,0.056,-0.096,0.039,0.093,0.007,0.087,0.014,0.02,0.077,0.036,0.029,0.028,0.03,0.009,0.017,0.019,0.007,-0.012,-0.016,0.018,-0.039,0.045,0.025,0.02,-0.065,0.042,0.042,0.045,-0.152,0.049,0.043,0.042,0.008,0.057,0.043,-0.01,-0.044,0.048,-0.415,-0.207,-0.15,0.073,-0.238,0.052,0.081
"20",13,19020001,115050001,431,-0.024,-0.041,-0.064,-0.126,-0.131,-0.234,-0.555,-0.144,0.009,-0.036,-0.57,-0.402,-0.57,-0.066,-0.315,-0.338,-0.08,-0.078,-0.353,-0.23,0.057,-0.145,-0.265,-0.143,0.019,-0.108,-0.066,-0.202,-0.008,-0.234,0.045,0.014,0.028,-0.077,-0.124,-0.032,-0.337,-0.264,-0.073,-0.177,-0.248,-0.284,-0.118,-0.272,-0.037,-0.332,-0.43,-0.279,0.011,-0.344,-0.268,0.029,-0.075,0.003
"21",14,19000001,106950001,528,0.052,0.135,-0.11,0.073,-0.084,0.003,-0.15,-0.386,0.025,0.055,-0.141,0.056,0.079,-0.231,-0.142,0.086,0.026,-0.077,-0.139,0.02,0.037,0.039,-0.223,-0.131,0.037,-0.165,0.062,0.026,0.089,0.063,0.03,0.032,0.043,0.089,0.019,0.032,-0.152,0.063,0.025,-0.007,0.08,0.171,-0.071,0.019,0.075,0.073,-0.255,0.068,0.068,-0.157,-0.005,-0.112,-0.083,-0.16
"22",15,20000001,102300001,571,0.069,0.1,-0.051,0.015,0.078,0.059,0.127,0.097,0.083,0.061,0.16,0.054,0.09,0.093,0.094,0.062,0.027,0.043,-0.115,0.027,0.048,0.049,0.033,0.063,0.023,0.039,0.039,0.01,-0.008,0.116,0.019,0.041,-0.06,0.141,0.044,-0.058,0.073,0.152,-0.015,0.043,0.037,0.163,0.101,0.072,0.044,-0.012,0.08,0.079,-0.012,0.111,-0.053,0.1,0.088,0.025
