"chromosome","start","end","segmean","sample","noise"
"1",1,635684,204400000,0.0069,"GSM2403088_6229017103_R06C01",0.578869570340565
"2",1,204475000,205025000,0.3067,"GSM2403088_6229017103_R06C01",0.578869570340565
"3",1,205100000,249195311,-0.0108,"GSM2403088_6229017103_R06C01",0.578869570340565
"4",10,105000,46313482,-0.4878,"GSM2403088_6229017103_R06C01",0.578869570340565
"5",10,46738482,48772768,-0.1106,"GSM2403088_6229017103_R06C01",0.578869570340565
"6",10,49347768,135462374,-0.466,"GSM2403088_6229017103_R06C01",0.578869570340565
"7",11,130000,36600000,-0.0122,"GSM2403088_6229017103_R06C01",0.578869570340565
"8",11,38475000,43325000,-0.3114,"GSM2403088_6229017103_R06C01",0.578869570340565
"9",11,43450000,134873258,-0.0136,"GSM2403088_6229017103_R06C01",0.578869570340565
"10",12,172870,57125000,-0.0195,"GSM2403088_6229017103_R06C01",0.578869570340565
"11",12,57275000,57925000,0.2595,"GSM2403088_6229017103_R06C01",0.578869570340565
"12",12,57975000,133770948,-0.0269,"GSM2403088_6229017103_R06C01",0.578869570340565
"13",13,19110000,115079939,-0.1156,"GSM2403088_6229017103_R06C01",0.578869570340565
"14",14,19325000,107119770,-0.0131,"GSM2403088_6229017103_R06C01",0.578869570340565
"15",15,20225000,102410696,-0.0062,"GSM2403088_6229017103_R06C01",0.578869570340565
"16",16,105000,90222377,0.0132,"GSM2403088_6229017103_R06C01",0.578869570340565
"17",17,25000,81122605,-0.0243,"GSM2403088_6229017103_R06C01",0.578869570340565
"18",18,80000,77983624,-0.0691,"GSM2403088_6229017103_R06C01",0.578869570340565
"19",19,180000,59084492,0.1762,"GSM2403088_6229017103_R06C01",0.578869570340565
"20",2,130000,243026238,-0.0575,"GSM2403088_6229017103_R06C01",0.578869570340565
"21",20,155000,62907760,-0.039,"GSM2403088_6229017103_R06C01",0.578869570340565
"22",21,10848948,48084948,-0.0058,"GSM2403088_6229017103_R06C01",0.578869570340565
"23",22,16373925,51222283,0.0199,"GSM2403088_6229017103_R06C01",0.578869570340565
"24",3,155000,197831215,-0.0394,"GSM2403088_6229017103_R06C01",0.578869570340565
"25",4,55000,156125000,-0.0698,"GSM2403088_6229017103_R06C01",0.578869570340565
"26",4,156350000,158125000,-0.3574,"GSM2403088_6229017103_R06C01",0.578869570340565
"27",4,158625000,190972138,-0.0976,"GSM2403088_6229017103_R06C01",0.578869570340565
"28",5,55000,180777630,-0.0376,"GSM2403088_6229017103_R06C01",0.578869570340565
"29",6,155000,32375000,-0.0421,"GSM2403088_6229017103_R06C01",0.578869570340565
"30",6,32425000,32650000,-1.0772,"GSM2403088_6229017103_R06C01",0.578869570340565
"31",6,32725000,161575000,-0.0827,"GSM2403088_6229017103_R06C01",0.578869570340565
"32",6,161650000,164800000,-0.5096,"GSM2403088_6229017103_R06C01",0.578869570340565
"33",6,165550000,170952534,-0.0172,"GSM2403088_6229017103_R06C01",0.578869570340565
"34",7,55000,54900000,0.0868,"GSM2403088_6229017103_R06C01",0.578869570340565
"35",7,5.5e+07,55625000,1.1371,"GSM2403088_6229017103_R06C01",0.578869570340565
"36",7,55725000,159039332,0.1921,"GSM2403088_6229017103_R06C01",0.578869570340565
"37",8,105000,146277011,-0.0553,"GSM2403088_6229017103_R06C01",0.578869570340565
"38",9,130000,2e+07,-0.075,"GSM2403088_6229017103_R06C01",0.578869570340565
"39",9,2.1e+07,27250000,-0.955,"GSM2403088_6229017103_R06C01",0.578869570340565
"40",9,28375000,141076716,0.0102,"GSM2403088_6229017103_R06C01",0.578869570340565
"41",1,635684,249195311,0.0095,"GSM2403089_6229017111_R01C02",0.534205958662392
"42",10,105000,135462374,-0.3996,"GSM2403089_6229017111_R01C02",0.534205958662392
"43",11,130000,50516927,-7e-04,"GSM2403089_6229017111_R01C02",0.534205958662392
"44",11,54922103,56100000,-0.2913,"GSM2403089_6229017111_R01C02",0.534205958662392
"45",11,56300000,134873258,-1e-04,"GSM2403089_6229017111_R01C02",0.534205958662392
"46",12,172870,133770948,-0.0118,"GSM2403089_6229017111_R01C02",0.534205958662392
"47",13,19110000,115079939,-0.0921,"GSM2403089_6229017111_R01C02",0.534205958662392
"48",14,19325000,107119770,-0.0068,"GSM2403089_6229017111_R01C02",0.534205958662392
"49",15,20225000,102410696,7e-04,"GSM2403089_6229017111_R01C02",0.534205958662392
"50",16,105000,90222377,0.0264,"GSM2403089_6229017111_R01C02",0.534205958662392
"51",17,25000,22156503,-0.02,"GSM2403089_6229017111_R01C02",0.534205958662392
"52",17,25431503,27625000,-0.3637,"GSM2403089_6229017111_R01C02",0.534205958662392
"53",17,27775000,28675000,-0.0949,"GSM2403089_6229017111_R01C02",0.534205958662392
"54",17,28825000,30450000,-0.4216,"GSM2403089_6229017111_R01C02",0.534205958662392
"55",17,30600000,31450000,0.858,"GSM2403089_6229017111_R01C02",0.534205958662392
"56",17,31750000,81122605,-0.0253,"GSM2403089_6229017111_R01C02",0.534205958662392
"57",18,80000,77983624,-0.0698,"GSM2403089_6229017111_R01C02",0.534205958662392
"58",19,180000,59084492,0.1464,"GSM2403089_6229017111_R01C02",0.534205958662392
"59",2,130000,103100000,-0.0395,"GSM2403089_6229017111_R01C02",0.534205958662392
"60",2,103225000,110325669,-0.4404,"GSM2403089_6229017111_R01C02",0.534205958662392
"61",2,110675000,243026238,-0.0509,"GSM2403089_6229017111_R01C02",0.534205958662392
"62",20,155000,62907760,-0.0358,"GSM2403089_6229017111_R01C02",0.534205958662392
"63",21,10848948,48084948,2e-04,"GSM2403089_6229017111_R01C02",0.534205958662392
"64",22,16373925,51222283,0.0271,"GSM2403089_6229017111_R01C02",0.534205958662392
"65",3,155000,197831215,-0.0286,"GSM2403089_6229017111_R01C02",0.534205958662392
"66",4,55000,190972138,-0.0747,"GSM2403089_6229017111_R01C02",0.534205958662392
"67",5,55000,180777630,-0.027,"GSM2403089_6229017111_R01C02",0.534205958662392
"68",6,155000,115450000,-0.0555,"GSM2403089_6229017111_R01C02",0.534205958662392
"69",6,116300000,159650000,-0.5365,"GSM2403089_6229017111_R01C02",0.534205958662392
"70",6,159900000,170952534,-0.0071,"GSM2403089_6229017111_R01C02",0.534205958662392
"71",7,55000,47200000,0.0618,"GSM2403089_6229017111_R01C02",0.534205958662392
"72",7,47350000,47750000,0.2522,"GSM2403089_6229017111_R01C02",0.534205958662392
"73",7,47900000,54625000,-0.0177,"GSM2403089_6229017111_R01C02",0.534205958662392
"74",7,54725000,55625000,1.0607,"GSM2403089_6229017111_R01C02",0.534205958662392
"75",7,55725000,73375000,-0.0358,"GSM2403089_6229017111_R01C02",0.534205958662392
"76",7,73475000,159039332,0.1874,"GSM2403089_6229017111_R01C02",0.534205958662392
"77",8,105000,146277011,-0.0461,"GSM2403089_6229017111_R01C02",0.534205958662392
"78",9,130000,7275000,-0.0436,"GSM2403089_6229017111_R01C02",0.534205958662392
"79",9,8300000,2.1e+07,-0.3058,"GSM2403089_6229017111_R01C02",0.534205958662392
"80",9,21700000,28375000,-2.0382,"GSM2403089_6229017111_R01C02",0.534205958662392
"81",9,30825000,141076716,0.0163,"GSM2403089_6229017111_R01C02",0.534205958662392
"82",1,635684,249195311,0.2438,"GSM2403095_6229017120_R05C01",0.518074970931886
"83",10,105000,135462374,-0.4186,"GSM2403095_6229017120_R05C01",0.518074970931886
"84",11,130000,134873258,0.0672,"GSM2403095_6229017120_R05C01",0.518074970931886
"85",12,172870,133770948,-0.0954,"GSM2403095_6229017120_R05C01",0.518074970931886
"86",13,19110000,115079939,-0.1709,"GSM2403095_6229017120_R05C01",0.518074970931886
"87",14,19325000,107119770,-0.091,"GSM2403095_6229017120_R05C01",0.518074970931886
"88",15,20225000,102410696,-0.0387,"GSM2403095_6229017120_R05C01",0.518074970931886
"89",16,105000,90222377,-0.0474,"GSM2403095_6229017120_R05C01",0.518074970931886
"90",17,25000,73675000,-0.1199,"GSM2403095_6229017120_R05C01",0.518074970931886
"91",17,73725000,81122605,0.1725,"GSM2403095_6229017120_R05C01",0.518074970931886
"92",18,80000,77983624,0.1414,"GSM2403095_6229017120_R05C01",0.518074970931886
"93",19,180000,59084492,0.0838,"GSM2403095_6229017120_R05C01",0.518074970931886
"94",2,130000,243026238,-0.0911,"GSM2403095_6229017120_R05C01",0.518074970931886
"95",20,155000,62907760,0.1826,"GSM2403095_6229017120_R05C01",0.518074970931886
"96",21,10848948,48084948,0.1029,"GSM2403095_6229017120_R05C01",0.518074970931886
"97",22,16373925,23525000,0.2219,"GSM2403095_6229017120_R05C01",0.518074970931886
"98",22,23650000,51222283,-0.0648,"GSM2403095_6229017120_R05C01",0.518074970931886
"99",3,155000,197831215,0.0562,"GSM2403095_6229017120_R05C01",0.518074970931886
"100",4,55000,190972138,-0.1317,"GSM2403095_6229017120_R05C01",0.518074970931886
"101",5,55000,180777630,-0.0859,"GSM2403095_6229017120_R05C01",0.518074970931886
"102",6,155000,170952534,-0.1486,"GSM2403095_6229017120_R05C01",0.518074970931886
"103",7,55000,17500000,-0.0957,"GSM2403095_6229017120_R05C01",0.518074970931886
"104",7,17875000,39525000,0.1883,"GSM2403095_6229017120_R05C01",0.518074970931886
"105",7,39625000,45900000,-0.0637,"GSM2403095_6229017120_R05C01",0.518074970931886
"106",7,45975000,53200000,0.1279,"GSM2403095_6229017120_R05C01",0.518074970931886
"107",7,53950000,55625000,1.1001,"GSM2403095_6229017120_R05C01",0.518074970931886
"108",7,55725000,159039332,-0.0873,"GSM2403095_6229017120_R05C01",0.518074970931886
"109",8,105000,146277011,-0.1012,"GSM2403095_6229017120_R05C01",0.518074970931886
"110",9,130000,141076716,-0.0443,"GSM2403095_6229017120_R05C01",0.518074970931886
"111",1,635684,10600000,-0.2227,"GSM2403097_6229017103_R03C02",0.483895490647108
"112",1,10675000,210925000,0.0146,"GSM2403097_6229017103_R03C02",0.483895490647108
"113",1,211350000,212100000,-0.2904,"GSM2403097_6229017103_R03C02",0.483895490647108
"114",1,212325000,242875000,-0.0235,"GSM2403097_6229017103_R03C02",0.483895490647108
"115",1,243250000,244425000,0.5581,"GSM2403097_6229017103_R03C02",0.483895490647108
"116",1,244625000,249195311,0.0054,"GSM2403097_6229017103_R03C02",0.483895490647108
"117",10,105000,135462374,-0.3349,"GSM2403097_6229017103_R03C02",0.483895490647108
"118",11,130000,50516927,-0.0148,"GSM2403097_6229017103_R03C02",0.483895490647108
"119",11,54922103,56300000,-0.6091,"GSM2403097_6229017103_R03C02",0.483895490647108
"120",11,56675000,62325000,-0.301,"GSM2403097_6229017103_R03C02",0.483895490647108
"121",11,62375000,134873258,-0.0272,"GSM2403097_6229017103_R03C02",0.483895490647108
"122",12,172870,57975000,-0.0175,"GSM2403097_6229017103_R03C02",0.483895490647108
"123",12,58025000,58225000,0.6931,"GSM2403097_6229017103_R03C02",0.483895490647108
"124",12,58300000,133770948,-0.0166,"GSM2403097_6229017103_R03C02",0.483895490647108
"125",13,19110000,50225000,-0.1354,"GSM2403097_6229017103_R03C02",0.483895490647108
"126",13,50300000,55800000,-0.4442,"GSM2403097_6229017103_R03C02",0.483895490647108
"127",13,57200000,115079939,-0.0861,"GSM2403097_6229017103_R03C02",0.483895490647108
"128",14,19325000,107119770,0.0022,"GSM2403097_6229017103_R03C02",0.483895490647108
"129",15,20225000,102410696,0.0136,"GSM2403097_6229017103_R03C02",0.483895490647108
"130",16,105000,90222377,0.0023,"GSM2403097_6229017103_R03C02",0.483895490647108
"131",17,25000,81122605,-0.0261,"GSM2403097_6229017103_R03C02",0.483895490647108
"132",18,80000,77983624,-0.0526,"GSM2403097_6229017103_R03C02",0.483895490647108
"133",19,180000,59084492,0.131,"GSM2403097_6229017103_R03C02",0.483895490647108
"134",2,130000,243026238,-0.0448,"GSM2403097_6229017103_R03C02",0.483895490647108
"135",20,155000,62907760,0.1168,"GSM2403097_6229017103_R03C02",0.483895490647108
"136",21,10848948,48084948,-0.0094,"GSM2403097_6229017103_R03C02",0.483895490647108
"137",22,16373925,41225000,0.0358,"GSM2403097_6229017103_R03C02",0.483895490647108
"138",22,41275000,51222283,-0.2326,"GSM2403097_6229017103_R03C02",0.483895490647108
"139",3,155000,197831215,-0.0414,"GSM2403097_6229017103_R03C02",0.483895490647108
"140",4,55000,190972138,-0.0597,"GSM2403097_6229017103_R03C02",0.483895490647108
"141",5,55000,180777630,-0.0313,"GSM2403097_6229017103_R03C02",0.483895490647108
"142",6,155000,170952534,-0.0563,"GSM2403097_6229017103_R03C02",0.483895490647108
"143",7,55000,54625000,0.1536,"GSM2403097_6229017103_R03C02",0.483895490647108
"144",7,54725000,55350000,1.0864,"GSM2403097_6229017103_R03C02",0.483895490647108
"145",7,55425000,159039332,0.1572,"GSM2403097_6229017103_R03C02",0.483895490647108
"146",8,105000,89100000,-0.0257,"GSM2403097_6229017103_R03C02",0.483895490647108
"147",8,89325000,91225000,-0.3673,"GSM2403097_6229017103_R03C02",0.483895490647108
"148",8,91550000,146277011,-0.0371,"GSM2403097_6229017103_R03C02",0.483895490647108
"149",9,130000,6750000,-0.0527,"GSM2403097_6229017103_R03C02",0.483895490647108
"150",9,7275000,28375000,-0.2987,"GSM2403097_6229017103_R03C02",0.483895490647108
"151",9,30825000,44817470,0.0123,"GSM2403097_6229017103_R03C02",0.483895490647108
"152",9,68326090,107625000,-0.3279,"GSM2403097_6229017103_R03C02",0.483895490647108
"153",9,107975000,141076716,0.0247,"GSM2403097_6229017103_R03C02",0.483895490647108
"154",1,635684,203675000,-0.0035,"GSM2403098_6229017103_R04C01",0.476282187499116
"155",1,203775000,204575000,0.8112,"GSM2403098_6229017103_R04C01",0.476282187499116
"156",1,204675000,249195311,-0.031,"GSM2403098_6229017103_R04C01",0.476282187499116
"157",10,105000,135462374,-0.0214,"GSM2403098_6229017103_R04C01",0.476282187499116
"158",11,130000,36525000,-0.0159,"GSM2403098_6229017103_R04C01",0.476282187499116
"159",11,36600000,43325000,-0.194,"GSM2403098_6229017103_R04C01",0.476282187499116
"160",11,43450000,134873258,-0.0161,"GSM2403098_6229017103_R04C01",0.476282187499116
"161",12,172870,133770948,-0.0212,"GSM2403098_6229017103_R04C01",0.476282187499116
