"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.1131,"GSM2403921_9305651046_R04C02"
"2",10,105000,135462374,-0.0729,"GSM2403921_9305651046_R04C02"
"3",11,130000,134873258,0.1631,"GSM2403921_9305651046_R04C02"
"4",12,172870,133770948,-0.0851,"GSM2403921_9305651046_R04C02"
"5",13,19110000,115079939,0.0164,"GSM2403921_9305651046_R04C02"
"6",14,19325000,107119770,-0.1345,"GSM2403921_9305651046_R04C02"
"7",15,20225000,102410696,0.2994,"GSM2403921_9305651046_R04C02"
"8",16,105000,90222377,0.344,"GSM2403921_9305651046_R04C02"
"9",17,25000,81122605,0.0433,"GSM2403921_9305651046_R04C02"
"10",18,80000,77983624,0.168,"GSM2403921_9305651046_R04C02"
"11",19,180000,59084492,-0.0893,"GSM2403921_9305651046_R04C02"
"12",2,130000,243026238,-0.1061,"GSM2403921_9305651046_R04C02"
"13",20,155000,62907760,0.2578,"GSM2403921_9305651046_R04C02"
"14",21,10848948,48084948,0.3002,"GSM2403921_9305651046_R04C02"
"15",22,16373925,51222283,-0.1361,"GSM2403921_9305651046_R04C02"
"16",3,155000,197831215,-0.0806,"GSM2403921_9305651046_R04C02"
"17",4,55000,190972138,0.2502,"GSM2403921_9305651046_R04C02"
"18",5,55000,180777630,0.3114,"GSM2403921_9305651046_R04C02"
"19",6,155000,170952534,-0.0883,"GSM2403921_9305651046_R04C02"
"20",7,55000,159039332,0.2209,"GSM2403921_9305651046_R04C02"
"21",8,105000,146277011,-0.0947,"GSM2403921_9305651046_R04C02"
"22",9,130000,141076716,-0.0909,"GSM2403921_9305651046_R04C02"
"23",1,635684,775000,0.4117,"GSM2403922_9305651050_R05C01"
"24",1,825000,147475000,-0.3377,"GSM2403922_9305651050_R05C01"
"25",1,147725000,149700000,0.1713,"GSM2403922_9305651050_R05C01"
"26",1,149800000,249195311,-0.3308,"GSM2403922_9305651050_R05C01"
"27",10,105000,135462374,-0.2718,"GSM2403922_9305651050_R05C01"
"28",11,130000,134873258,0.177,"GSM2403922_9305651050_R05C01"
"29",12,172870,133770948,0.1534,"GSM2403922_9305651050_R05C01"
"30",13,19110000,115079939,0.2648,"GSM2403922_9305651050_R05C01"
"31",14,19325000,20025000,0.4508,"GSM2403922_9305651050_R05C01"
"32",14,20450000,106025000,-0.3454,"GSM2403922_9305651050_R05C01"
"33",14,106075000,107119770,0.1704,"GSM2403922_9305651050_R05C01"
"34",15,20225000,102410696,0.1963,"GSM2403922_9305651050_R05C01"
"35",16,105000,90222377,0.2063,"GSM2403922_9305651050_R05C01"
"36",17,25000,81122605,0.0547,"GSM2403922_9305651050_R05C01"
"37",18,80000,77983624,0.0703,"GSM2403922_9305651050_R05C01"
"38",19,180000,59084492,0.1392,"GSM2403922_9305651050_R05C01"
"39",2,130000,243026238,-0.0203,"GSM2403922_9305651050_R05C01"
"40",20,155000,62907760,0.0853,"GSM2403922_9305651050_R05C01"
"41",21,10848948,48084948,0.0254,"GSM2403922_9305651050_R05C01"
"42",22,16373925,51222283,-0.0699,"GSM2403922_9305651050_R05C01"
"43",3,155000,197831215,-0.0089,"GSM2403922_9305651050_R05C01"
"44",4,55000,190972138,0.3023,"GSM2403922_9305651050_R05C01"
"45",5,55000,180777630,0.199,"GSM2403922_9305651050_R05C01"
"46",6,155000,170952534,-0.0083,"GSM2403922_9305651050_R05C01"
"47",7,55000,159039332,0.2616,"GSM2403922_9305651050_R05C01"
"48",8,105000,146277011,0.2057,"GSM2403922_9305651050_R05C01"
"49",9,130000,141076716,-0.3393,"GSM2403922_9305651050_R05C01"
"50",1,635684,249195311,-0.0031,"GSM2403925_9305651050_R02C01"
"51",10,105000,135462374,-0.2359,"GSM2403925_9305651050_R02C01"
"52",11,130000,134873258,-0.0061,"GSM2403925_9305651050_R02C01"
"53",12,172870,133770948,0.1617,"GSM2403925_9305651050_R02C01"
"54",13,19110000,115079939,0.0409,"GSM2403925_9305651050_R02C01"
"55",14,19325000,20025000,0.3567,"GSM2403925_9305651050_R02C01"
"56",14,20450000,107119770,-0.0105,"GSM2403925_9305651050_R02C01"
"57",15,20225000,102410696,0.0117,"GSM2403925_9305651050_R02C01"
"58",16,105000,90222377,0.0337,"GSM2403925_9305651050_R02C01"
"59",17,25000,81122605,-0.0447,"GSM2403925_9305651050_R02C01"
"60",18,80000,77983624,-0.0824,"GSM2403925_9305651050_R02C01"
"61",19,180000,59084492,-0.0029,"GSM2403925_9305651050_R02C01"
"62",2,130000,243026238,-0.0121,"GSM2403925_9305651050_R02C01"
"63",20,155000,62907760,-0.0435,"GSM2403925_9305651050_R02C01"
"64",21,10848948,48084948,0.1707,"GSM2403925_9305651050_R02C01"
"65",22,16373925,51222283,0.0052,"GSM2403925_9305651050_R02C01"
"66",3,155000,197831215,-0.0222,"GSM2403925_9305651050_R02C01"
"67",4,55000,190972138,-0.086,"GSM2403925_9305651050_R02C01"
"68",5,55000,180777630,0.1603,"GSM2403925_9305651050_R02C01"
"69",6,155000,170952534,-0.0125,"GSM2403925_9305651050_R02C01"
"70",7,55000,159039332,0.2011,"GSM2403925_9305651050_R02C01"
"71",8,105000,146277011,-0.0083,"GSM2403925_9305651050_R02C01"
"72",9,130000,141076716,0.0047,"GSM2403925_9305651050_R02C01"
"73",1,635684,249195311,-0.12,"GSM2403926_9305651046_R03C01"
"74",10,105000,135462374,-0.1332,"GSM2403926_9305651046_R03C01"
"75",11,130000,134873258,0.0767,"GSM2403926_9305651046_R03C01"
"76",12,172870,133770948,0.1118,"GSM2403926_9305651046_R03C01"
"77",13,19110000,115079939,0.0425,"GSM2403926_9305651046_R03C01"
"78",14,19325000,107119770,-0.1381,"GSM2403926_9305651046_R03C01"
"79",15,20225000,102410696,0.2114,"GSM2403926_9305651046_R03C01"
"80",16,105000,90222377,0.0827,"GSM2403926_9305651046_R03C01"
"81",17,25000,81122605,0.0603,"GSM2403926_9305651046_R03C01"
"82",18,80000,77983624,-0.065,"GSM2403926_9305651046_R03C01"
"83",19,180000,59084492,0.0321,"GSM2403926_9305651046_R03C01"
