"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0121,"GSM2402940_6969568004_R02C02",0.529490572173053
"2",10,105000,135462374,0.0105,"GSM2402940_6969568004_R02C02",0.529490572173053
"3",11,130000,134873258,0.0292,"GSM2402940_6969568004_R02C02",0.529490572173053
"4",12,172870,133770948,0.0081,"GSM2402940_6969568004_R02C02",0.529490572173053
"5",13,19110000,115079939,-0.0181,"GSM2402940_6969568004_R02C02",0.529490572173053
"6",14,19325000,107119770,-0.0121,"GSM2402940_6969568004_R02C02",0.529490572173053
"7",15,20225000,102410696,-0.0048,"GSM2402940_6969568004_R02C02",0.529490572173053
"8",16,105000,90222377,0.0248,"GSM2402940_6969568004_R02C02",0.529490572173053
"9",17,25000,81122605,-0.0703,"GSM2402940_6969568004_R02C02",0.529490572173053
"10",18,80000,77983624,-0.1286,"GSM2402940_6969568004_R02C02",0.529490572173053
"11",19,180000,59084492,-0.0399,"GSM2402940_6969568004_R02C02",0.529490572173053
"12",2,130000,243026238,-0.0223,"GSM2402940_6969568004_R02C02",0.529490572173053
"13",20,155000,62907760,-0.0364,"GSM2402940_6969568004_R02C02",0.529490572173053
"14",21,10848948,48084948,0.0021,"GSM2402940_6969568004_R02C02",0.529490572173053
"15",22,16373925,51222283,-0.0163,"GSM2402940_6969568004_R02C02",0.529490572173053
"16",3,155000,197831215,0.0154,"GSM2402940_6969568004_R02C02",0.529490572173053
"17",4,55000,190972138,-0.0532,"GSM2402940_6969568004_R02C02",0.529490572173053
"18",5,55000,180777630,0.0014,"GSM2402940_6969568004_R02C02",0.529490572173053
"19",6,155000,170952534,-0.0198,"GSM2402940_6969568004_R02C02",0.529490572173053
"20",7,55000,159039332,0.0225,"GSM2402940_6969568004_R02C02",0.529490572173053
"21",8,105000,146277011,-0.0351,"GSM2402940_6969568004_R02C02",0.529490572173053
"22",9,130000,68326090,0.2355,"GSM2402940_6969568004_R02C02",0.529490572173053
"23",9,71067734,141076716,-0.4145,"GSM2402940_6969568004_R02C02",0.529490572173053
"24",1,635684,249195311,0.0224,"GSM2402942_6969568004_R05C02",0.529127598528443
"25",10,105000,42723344,0.0177,"GSM2402942_6969568004_R05C02",0.529127598528443
"26",10,42925000,135462374,-0.4147,"GSM2402942_6969568004_R05C02",0.529127598528443
"27",11,130000,134873258,0.0333,"GSM2402942_6969568004_R05C02",0.529127598528443
"28",12,172870,133770948,0.0092,"GSM2402942_6969568004_R05C02",0.529127598528443
"29",13,19110000,115079939,-0.015,"GSM2402942_6969568004_R05C02",0.529127598528443
"30",14,19325000,107119770,-0.0022,"GSM2402942_6969568004_R05C02",0.529127598528443
"31",15,20225000,102410696,0.0018,"GSM2402942_6969568004_R05C02",0.529127598528443
"32",16,105000,90222377,0.02,"GSM2402942_6969568004_R05C02",0.529127598528443
"33",17,25000,81122605,-0.07,"GSM2402942_6969568004_R05C02",0.529127598528443
"34",18,80000,77983624,-0.1197,"GSM2402942_6969568004_R05C02",0.529127598528443
"35",19,180000,59084492,0.0499,"GSM2402942_6969568004_R05C02",0.529127598528443
"36",2,130000,243026238,-0.0113,"GSM2402942_6969568004_R05C02",0.529127598528443
"37",20,155000,62907760,-0.0449,"GSM2402942_6969568004_R05C02",0.529127598528443
"38",21,10848948,48084948,0.0054,"GSM2402942_6969568004_R05C02",0.529127598528443
"39",22,16373925,51222283,-0.02,"GSM2402942_6969568004_R05C02",0.529127598528443
"40",3,155000,197831215,0.0259,"GSM2402942_6969568004_R05C02",0.529127598528443
"41",4,55000,190972138,-0.0318,"GSM2402942_6969568004_R05C02",0.529127598528443
"42",5,55000,180777630,0.0183,"GSM2402942_6969568004_R05C02",0.529127598528443
"43",6,155000,170952534,-0.0126,"GSM2402942_6969568004_R05C02",0.529127598528443
"44",7,55000,159039332,0.0271,"GSM2402942_6969568004_R05C02",0.529127598528443
"45",8,105000,146277011,-0.0223,"GSM2402942_6969568004_R05C02",0.529127598528443
"46",9,130000,77325000,0.0078,"GSM2402942_6969568004_R05C02",0.529127598528443
"47",9,77625000,110250000,-0.4188,"GSM2402942_6969568004_R05C02",0.529127598528443
