"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.075,"GSM2402915_6929689168_R06C01"
"2",10,105000,135462374,0.0567,"GSM2402915_6929689168_R06C01"
"3",11,130000,134873258,0.0763,"GSM2402915_6929689168_R06C01"
"4",12,172870,133770948,0.0569,"GSM2402915_6929689168_R06C01"
"5",13,19110000,115079939,0.0553,"GSM2402915_6929689168_R06C01"
"6",14,19325000,107119770,0.0471,"GSM2402915_6929689168_R06C01"
"7",15,20225000,102410696,0.054,"GSM2402915_6929689168_R06C01"
"8",16,105000,90222377,0.0716,"GSM2402915_6929689168_R06C01"
"9",17,25000,81122605,-0.0495,"GSM2402915_6929689168_R06C01"
"10",18,80000,77983624,-0.1198,"GSM2402915_6929689168_R06C01"
"11",19,180000,59084492,0.0132,"GSM2402915_6929689168_R06C01"
"12",2,130000,243026238,0.0236,"GSM2402915_6929689168_R06C01"
"13",20,155000,62907760,0.0071,"GSM2402915_6929689168_R06C01"
"14",21,10848948,48084948,0.0362,"GSM2402915_6929689168_R06C01"
"15",22,16373925,51222283,-0.1155,"GSM2402915_6929689168_R06C01"
"16",3,155000,197831215,0.0609,"GSM2402915_6929689168_R06C01"
"17",4,55000,190972138,-0.0349,"GSM2402915_6929689168_R06C01"
"18",5,55000,180777630,0.0503,"GSM2402915_6929689168_R06C01"
"19",6,155000,170952534,0.0386,"GSM2402915_6929689168_R06C01"
"20",7,55000,159039332,0.0908,"GSM2402915_6929689168_R06C01"
"21",8,105000,146277011,0.0319,"GSM2402915_6929689168_R06C01"
"22",9,130000,141076716,0.0466,"GSM2402915_6929689168_R06C01"
"23",1,635684,249195311,0.0875,"GSM2402921_6164621144_R02C01"
"24",10,105000,135462374,0.0719,"GSM2402921_6164621144_R02C01"
"25",11,130000,134873258,0.1137,"GSM2402921_6164621144_R02C01"
"26",12,172870,133770948,0.06,"GSM2402921_6164621144_R02C01"
"27",13,19110000,115079939,0.104,"GSM2402921_6164621144_R02C01"
"28",14,19325000,107119770,0.0562,"GSM2402921_6164621144_R02C01"
"29",15,20225000,102410696,0.0432,"GSM2402921_6164621144_R02C01"
"30",16,105000,35017901,0.0401,"GSM2402921_6164621144_R02C01"
"31",16,46517901,90222377,-0.3368,"GSM2402921_6164621144_R02C01"
"32",17,25000,81122605,-0.0916,"GSM2402921_6164621144_R02C01"
"33",18,80000,77983624,-0.1472,"GSM2402921_6164621144_R02C01"
"34",19,180000,59084492,-0.0467,"GSM2402921_6164621144_R02C01"
"35",2,130000,243026238,0.0366,"GSM2402921_6164621144_R02C01"
"36",20,155000,62907760,0.0128,"GSM2402921_6164621144_R02C01"
"37",21,10848948,48084948,0.0508,"GSM2402921_6164621144_R02C01"
