"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0016,"GSM2403627_8622007189_R05C01"
"2",10,105000,135462374,0.0229,"GSM2403627_8622007189_R05C01"
"3",11,130000,134873258,-0.0221,"GSM2403627_8622007189_R05C01"
"4",12,172870,133770948,-0.0051,"GSM2403627_8622007189_R05C01"
"5",13,19110000,115079939,-0.012,"GSM2403627_8622007189_R05C01"
"6",14,19325000,107119770,0.0175,"GSM2403627_8622007189_R05C01"
"7",15,20225000,102410696,0.0238,"GSM2403627_8622007189_R05C01"
"8",16,105000,31825000,0.0242,"GSM2403627_8622007189_R05C01"
"9",16,32075000,34600000,0.2918,"GSM2403627_8622007189_R05C01"
"10",16,35017901,90222377,0.0256,"GSM2403627_8622007189_R05C01"
"11",17,25000,81122605,-0.0034,"GSM2403627_8622007189_R05C01"
"12",18,80000,77983624,-0.0041,"GSM2403627_8622007189_R05C01"
"13",19,180000,59084492,0.0278,"GSM2403627_8622007189_R05C01"
"14",2,130000,243026238,-0.0184,"GSM2403627_8622007189_R05C01"
"15",20,155000,62907760,-0.0363,"GSM2403627_8622007189_R05C01"
"16",21,10848948,48084948,0.0522,"GSM2403627_8622007189_R05C01"
"17",22,16373925,51222283,0.0446,"GSM2403627_8622007189_R05C01"
"18",3,155000,197831215,-0.0291,"GSM2403627_8622007189_R05C01"
"19",4,55000,190972138,-0.0102,"GSM2403627_8622007189_R05C01"
"20",5,55000,180777630,-0.0183,"GSM2403627_8622007189_R05C01"
"21",6,155000,170952534,-0.025,"GSM2403627_8622007189_R05C01"
"22",7,55000,159039332,0.0107,"GSM2403627_8622007189_R05C01"
"23",8,105000,146277011,8e-04,"GSM2403627_8622007189_R05C01"
"24",9,130000,141076716,0.0096,"GSM2403627_8622007189_R05C01"
"25",1,635684,249195311,0.0101,"GSM2403629_8622007189_R01C02"
"26",10,105000,135462374,0.0181,"GSM2403629_8622007189_R01C02"
"27",11,130000,134873258,-0.0027,"GSM2403629_8622007189_R01C02"
"28",12,172870,133770948,0.0064,"GSM2403629_8622007189_R01C02"
"29",13,19110000,115079939,0.0109,"GSM2403629_8622007189_R01C02"
"30",14,19325000,20025000,0.3656,"GSM2403629_8622007189_R01C02"
"31",14,20450000,107119770,0.0131,"GSM2403629_8622007189_R01C02"
"32",15,20225000,102410696,0.0328,"GSM2403629_8622007189_R01C02"
"33",16,105000,90222377,0.0377,"GSM2403629_8622007189_R01C02"
"34",17,25000,81122605,-0.0199,"GSM2403629_8622007189_R01C02"
"35",18,80000,77983624,-0.0217,"GSM2403629_8622007189_R01C02"
"36",19,180000,59084492,0.0259,"GSM2403629_8622007189_R01C02"
"37",2,130000,243026238,-0.0063,"GSM2403629_8622007189_R01C02"
"38",20,155000,62907760,-0.0186,"GSM2403629_8622007189_R01C02"
"39",21,10848948,48084948,0.042,"GSM2403629_8622007189_R01C02"
"40",22,16373925,51222283,0.0376,"GSM2403629_8622007189_R01C02"
"41",3,155000,197831215,-0.0052,"GSM2403629_8622007189_R01C02"
"42",4,55000,190972138,-0.021,"GSM2403629_8622007189_R01C02"
"43",5,55000,180777630,-0.0091,"GSM2403629_8622007189_R01C02"
"44",6,155000,170952534,-0.0098,"GSM2403629_8622007189_R01C02"
"45",7,55000,159039332,0.0295,"GSM2403629_8622007189_R01C02"
"46",8,105000,146277011,0.0082,"GSM2403629_8622007189_R01C02"
"47",9,130000,141076716,0.0189,"GSM2403629_8622007189_R01C02"
"48",1,635684,249195311,0.0018,"GSM2403632_8622007189_R06C02"
"49",10,105000,135462374,0.0436,"GSM2403632_8622007189_R06C02"
