"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.029,"GSM2403950_9305651055_R01C01",0.648400586674301
"2",10,105000,135462374,-2e-04,"GSM2403950_9305651055_R01C01",0.648400586674301
"3",11,130000,134873258,-0.0146,"GSM2403950_9305651055_R01C01",0.648400586674301
"4",12,172870,133770948,-0.0228,"GSM2403950_9305651055_R01C01",0.648400586674301
"5",13,19110000,115079939,3e-04,"GSM2403950_9305651055_R01C01",0.648400586674301
"6",14,19325000,107119770,-0.0358,"GSM2403950_9305651055_R01C01",0.648400586674301
"7",15,20225000,102410696,-0.0306,"GSM2403950_9305651055_R01C01",0.648400586674301
"8",16,105000,90222377,-2e-04,"GSM2403950_9305651055_R01C01",0.648400586674301
"9",17,25000,81122605,-0.0958,"GSM2403950_9305651055_R01C01",0.648400586674301
"10",18,80000,77983624,-0.0833,"GSM2403950_9305651055_R01C01",0.648400586674301
"11",19,180000,59084492,-0.0689,"GSM2403950_9305651055_R01C01",0.648400586674301
"12",2,130000,243026238,-0.0304,"GSM2403950_9305651055_R01C01",0.648400586674301
"13",20,155000,62907760,-0.0778,"GSM2403950_9305651055_R01C01",0.648400586674301
"14",21,10848948,48084948,-0.0047,"GSM2403950_9305651055_R01C01",0.648400586674301
"15",22,16373925,51222283,-0.0595,"GSM2403950_9305651055_R01C01",0.648400586674301
"16",3,155000,197831215,-0.0169,"GSM2403950_9305651055_R01C01",0.648400586674301
"17",4,55000,190972138,-0.0446,"GSM2403950_9305651055_R01C01",0.648400586674301
"18",5,55000,180777630,-0.0139,"GSM2403950_9305651055_R01C01",0.648400586674301
"19",6,155000,32375000,-0.0253,"GSM2403950_9305651055_R01C01",0.648400586674301
"20",6,32425000,32650000,-0.7528,"GSM2403950_9305651055_R01C01",0.648400586674301
"21",6,32725000,170952534,-0.0211,"GSM2403950_9305651055_R01C01",0.648400586674301
"22",7,55000,159039332,0.0136,"GSM2403950_9305651055_R01C01",0.648400586674301
"23",8,105000,146277011,-0.0292,"GSM2403950_9305651055_R01C01",0.648400586674301
"24",9,130000,141076716,-0.0063,"GSM2403950_9305651055_R01C01",0.648400586674301
"25",1,635684,249195311,-0.0248,"GSM2403951_9305651055_R02C01",0.617620943420673
"26",10,105000,135462374,-0.0059,"GSM2403951_9305651055_R02C01",0.617620943420673
"27",11,130000,134873258,-0.0205,"GSM2403951_9305651055_R02C01",0.617620943420673
"28",12,172870,133770948,-0.0226,"GSM2403951_9305651055_R02C01",0.617620943420673
"29",13,19110000,40900000,-0.0558,"GSM2403951_9305651055_R02C01",0.617620943420673
"30",13,41075000,68250000,-0.3551,"GSM2403951_9305651055_R02C01",0.617620943420673
"31",13,69650000,115079939,0.0527,"GSM2403951_9305651055_R02C01",0.617620943420673
"32",14,19325000,107119770,-0.0311,"GSM2403951_9305651055_R02C01",0.617620943420673
"33",15,20225000,83725000,-0.0207,"GSM2403951_9305651055_R02C01",0.617620943420673
"34",15,83850000,84250000,-0.362,"GSM2403951_9305651055_R02C01",0.617620943420673
"35",15,84667237,102410696,-0.0072,"GSM2403951_9305651055_R02C01",0.617620943420673
"36",16,105000,90222377,0.0045,"GSM2403951_9305651055_R02C01",0.617620943420673
"37",17,25000,81122605,-0.0792,"GSM2403951_9305651055_R02C01",0.617620943420673
"38",18,80000,77983624,-0.1058,"GSM2403951_9305651055_R02C01",0.617620943420673
"39",19,180000,59084492,-0.0461,"GSM2403951_9305651055_R02C01",0.617620943420673
"40",2,130000,243026238,-0.0359,"GSM2403951_9305651055_R02C01",0.617620943420673
"41",20,155000,62907760,-0.0604,"GSM2403951_9305651055_R02C01",0.617620943420673
"42",21,10848948,48084948,-0.0077,"GSM2403951_9305651055_R02C01",0.617620943420673
"43",22,16373925,51222283,-0.0301,"GSM2403951_9305651055_R02C01",0.617620943420673
"44",3,155000,197831215,-0.0296,"GSM2403951_9305651055_R02C01",0.617620943420673
"45",4,55000,190972138,-0.0734,"GSM2403951_9305651055_R02C01",0.617620943420673
"46",5,55000,180777630,-0.0255,"GSM2403951_9305651055_R02C01",0.617620943420673
"47",6,155000,170952534,-0.0217,"GSM2403951_9305651055_R02C01",0.617620943420673
"48",7,55000,159039332,0.0042,"GSM2403951_9305651055_R02C01",0.617620943420673
"49",8,105000,146277011,-0.0403,"GSM2403951_9305651055_R02C01",0.617620943420673
"50",9,130000,141076716,-0.0032,"GSM2403951_9305651055_R02C01",0.617620943420673
"51",1,635684,121193348,-0.0324,"GSM2403965_9305651055_R06C01",0.59152753127559
"52",1,121392717,145225000,0.2783,"GSM2403965_9305651055_R06C01",0.59152753127559
"53",1,145375000,249195311,0.0036,"GSM2403965_9305651055_R06C01",0.59152753127559
"54",10,105000,135462374,0.0056,"GSM2403965_9305651055_R06C01",0.59152753127559
"55",11,130000,134873258,-0.0012,"GSM2403965_9305651055_R06C01",0.59152753127559
"56",12,172870,133770948,-0.0094,"GSM2403965_9305651055_R06C01",0.59152753127559
"57",13,19110000,115079939,0.0212,"GSM2403965_9305651055_R06C01",0.59152753127559
"58",14,19325000,107119770,-0.0263,"GSM2403965_9305651055_R06C01",0.59152753127559
"59",15,20225000,83725000,-0.0122,"GSM2403965_9305651055_R06C01",0.59152753127559
"60",15,83850000,84250000,-0.3318,"GSM2403965_9305651055_R06C01",0.59152753127559
"61",15,84667237,102410696,0.0037,"GSM2403965_9305651055_R06C01",0.59152753127559
"62",16,105000,90222377,0.0111,"GSM2403965_9305651055_R06C01",0.59152753127559
"63",17,25000,81122605,-0.0934,"GSM2403965_9305651055_R06C01",0.59152753127559
"64",18,80000,77983624,-0.1181,"GSM2403965_9305651055_R06C01",0.59152753127559
"65",19,180000,59084492,-0.0562,"GSM2403965_9305651055_R06C01",0.59152753127559
"66",2,130000,243026238,-0.0275,"GSM2403965_9305651055_R06C01",0.59152753127559
"67",20,155000,62907760,-0.0681,"GSM2403965_9305651055_R06C01",0.59152753127559
"68",21,10848948,48084948,-0.0146,"GSM2403965_9305651055_R06C01",0.59152753127559
"69",22,16373925,51222283,-0.056,"GSM2403965_9305651055_R06C01",0.59152753127559
"70",3,155000,197831215,-0.0047,"GSM2403965_9305651055_R06C01",0.59152753127559
"71",4,55000,190972138,-0.0532,"GSM2403965_9305651055_R06C01",0.59152753127559
"72",5,55000,180777630,-0.0019,"GSM2403965_9305651055_R06C01",0.59152753127559
"73",6,155000,32425000,-0.005,"GSM2403965_9305651055_R06C01",0.59152753127559
"74",6,32475000,32725000,-0.5254,"GSM2403965_9305651055_R06C01",0.59152753127559
"75",6,32775000,170952534,-0.0141,"GSM2403965_9305651055_R06C01",0.59152753127559
"76",7,55000,159039332,0.0258,"GSM2403965_9305651055_R06C01",0.59152753127559
"77",8,105000,146277011,-0.026,"GSM2403965_9305651055_R06C01",0.59152753127559
"78",9,130000,141076716,-0.0062,"GSM2403965_9305651055_R06C01",0.59152753127559
"79",1,635684,249195311,-0.0129,"GSM2404009_9340996003_R01C02",0.557282621607208
"80",10,105000,135462374,0.0011,"GSM2404009_9340996003_R01C02",0.557282621607208
"81",11,130000,134873258,-0.0228,"GSM2404009_9340996003_R01C02",0.557282621607208
"82",12,172870,133770948,-0.0205,"GSM2404009_9340996003_R01C02",0.557282621607208
"83",13,19110000,115079939,-0.0213,"GSM2404009_9340996003_R01C02",0.557282621607208
"84",14,19325000,107119770,-0.0184,"GSM2404009_9340996003_R01C02",0.557282621607208
"85",15,20225000,83725000,-0.0073,"GSM2404009_9340996003_R01C02",0.557282621607208
"86",15,83850000,84250000,-0.2683,"GSM2404009_9340996003_R01C02",0.557282621607208
"87",15,84667237,102410696,0.0118,"GSM2404009_9340996003_R01C02",0.557282621607208
"88",16,105000,90222377,0.0191,"GSM2404009_9340996003_R01C02",0.557282621607208
"89",17,25000,81122605,-0.0549,"GSM2404009_9340996003_R01C02",0.557282621607208
"90",18,80000,77983624,-0.0928,"GSM2404009_9340996003_R01C02",0.557282621607208
"91",19,180000,59084492,-0.0235,"GSM2404009_9340996003_R01C02",0.557282621607208
"92",2,130000,243026238,-0.0359,"GSM2404009_9340996003_R01C02",0.557282621607208
"93",20,155000,62907760,-0.0506,"GSM2404009_9340996003_R01C02",0.557282621607208
"94",21,10848948,48084948,-5e-04,"GSM2404009_9340996003_R01C02",0.557282621607208
"95",22,16373925,51222283,0.0084,"GSM2404009_9340996003_R01C02",0.557282621607208
"96",3,155000,197831215,-0.0396,"GSM2404009_9340996003_R01C02",0.557282621607208
"97",4,55000,190972138,-0.0708,"GSM2404009_9340996003_R01C02",0.557282621607208
"98",5,55000,180777630,-0.0315,"GSM2404009_9340996003_R01C02",0.557282621607208
"99",6,155000,170952534,-0.0396,"GSM2404009_9340996003_R01C02",0.557282621607208
"100",7,55000,159039332,0.0071,"GSM2404009_9340996003_R01C02",0.557282621607208
"101",8,105000,146277011,-0.0337,"GSM2404009_9340996003_R01C02",0.557282621607208
"102",9,130000,141076716,-0.0033,"GSM2404009_9340996003_R01C02",0.557282621607208
"103",1,635684,121193348,-0.1056,"GSM2404016_9340996003_R02C01",0.770325426326426
"104",1,121392717,145225000,0.2739,"GSM2404016_9340996003_R02C01",0.770325426326426
"105",1,145375000,249195311,-0.0885,"GSM2404016_9340996003_R02C01",0.770325426326426
"106",10,105000,135462374,-0.0358,"GSM2404016_9340996003_R02C01",0.770325426326426
"107",11,130000,134873258,-0.0654,"GSM2404016_9340996003_R02C01",0.770325426326426
"108",12,172870,133770948,-0.0803,"GSM2404016_9340996003_R02C01",0.770325426326426
"109",13,19110000,20150000,0.0497,"GSM2404016_9340996003_R02C01",0.770325426326426
"110",13,20275000,109025000,-0.4019,"GSM2404016_9340996003_R02C01",0.770325426326426
"111",13,109450000,115079939,-0.0343,"GSM2404016_9340996003_R02C01",0.770325426326426
"112",14,19325000,20450000,0.318,"GSM2404016_9340996003_R02C01",0.770325426326426
"113",14,20800000,107119770,-0.1082,"GSM2404016_9340996003_R02C01",0.770325426326426
"114",15,20225000,102410696,-0.0848,"GSM2404016_9340996003_R02C01",0.770325426326426
"115",16,105000,90222377,0.0184,"GSM2404016_9340996003_R02C01",0.770325426326426
"116",17,25000,81122605,-0.1086,"GSM2404016_9340996003_R02C01",0.770325426326426
"117",18,80000,77983624,-0.1549,"GSM2404016_9340996003_R02C01",0.770325426326426
"118",19,180000,59084492,-0.0728,"GSM2404016_9340996003_R02C01",0.770325426326426
"119",2,130000,243026238,-0.0791,"GSM2404016_9340996003_R02C01",0.770325426326426
"120",20,155000,62907760,-0.1059,"GSM2404016_9340996003_R02C01",0.770325426326426
"121",21,10848948,48084948,-0.041,"GSM2404016_9340996003_R02C01",0.770325426326426
"122",22,16373925,51222283,-0.0919,"GSM2404016_9340996003_R02C01",0.770325426326426
"123",3,155000,197831215,-0.0984,"GSM2404016_9340996003_R02C01",0.770325426326426
"124",4,55000,187475000,-0.1337,"GSM2404016_9340996003_R02C01",0.770325426326426
"125",4,187525000,190972138,0.2536,"GSM2404016_9340996003_R02C01",0.770325426326426
"126",5,55000,180777630,-0.0844,"GSM2404016_9340996003_R02C01",0.770325426326426
"127",6,155000,170952534,-0.0752,"GSM2404016_9340996003_R02C01",0.770325426326426
"128",7,55000,101475000,-0.0146,"GSM2404016_9340996003_R02C01",0.770325426326426
"129",7,101525000,101925000,0.3314,"GSM2404016_9340996003_R02C01",0.770325426326426
"130",7,101975000,159039332,-0.0211,"GSM2404016_9340996003_R02C01",0.770325426326426
"131",8,105000,146277011,-0.0776,"GSM2404016_9340996003_R02C01",0.770325426326426
"132",9,130000,141076716,-0.0483,"GSM2404016_9340996003_R02C01",0.770325426326426
"133",1,635684,249195311,-0.012,"GSM2404018_9340996003_R04C01",0.516638789838494
"134",10,105000,135462374,0.0052,"GSM2404018_9340996003_R04C01",0.516638789838494
"135",11,130000,134873258,-0.0099,"GSM2404018_9340996003_R04C01",0.516638789838494
"136",12,172870,133770948,-0.0159,"GSM2404018_9340996003_R04C01",0.516638789838494
"137",13,19110000,115079939,4e-04,"GSM2404018_9340996003_R04C01",0.516638789838494
"138",14,19325000,107119770,-0.0253,"GSM2404018_9340996003_R04C01",0.516638789838494
"139",15,20225000,102410696,-0.0136,"GSM2404018_9340996003_R04C01",0.516638789838494
"140",16,105000,90222377,0.0202,"GSM2404018_9340996003_R04C01",0.516638789838494
"141",17,25000,81122605,-0.0757,"GSM2404018_9340996003_R04C01",0.516638789838494
"142",18,80000,77983624,-0.1098,"GSM2404018_9340996003_R04C01",0.516638789838494
"143",19,180000,59084492,-0.0462,"GSM2404018_9340996003_R04C01",0.516638789838494
"144",2,130000,243026238,-0.029,"GSM2404018_9340996003_R04C01",0.516638789838494
"145",20,155000,62907760,-0.0587,"GSM2404018_9340996003_R04C01",0.516638789838494
