"chrom","start.pos","end.pos","n.probes","GSM2403651_8963311099_R01C01","GSM2403652_8963311099_R02C01","GSM2403653_8963311099_R04C01","GSM2403654_8963311099_R05C01","GSM2403655_8963311099_R06C01","GSM2403656_8963311099_R01C02","GSM2403657_8963311099_R02C02","GSM2403968_9305651054_R03C02","GSM2403998_9305651095_R01C02","GSM2404027_9340996032_R02C01","GSM2404320_9422492035_R03C01","GSM2404448_9420867087_R04C01","GSM2404492_9444375004_R06C02","GSM2404498_9444375014_R05C02","GSM2404503_9444375017_R03C02","GSM2404504_9444375017_R04C02","GSM2404536_9553932010_R05C01","GSM2404563_9553932123_R01C02","GSM2404669_9741950100_R05C01","GSM2404704_9721365197_R03C02","GSM2404705_9721365197_R04C02","GSM2404706_9721365197_R06C02","GSM2404709_9721366135_R06C01","GSM2404710_9721366135_R01C02","GSM2404778_9533774023_R05C02","GSM2404787_9533774018_R04C02","GSM2404918_9968646167_R04C02","GSM2405032_9969477065_R02C01","GSM2405033_9969477080_R06C01","GSM2405034_9969477080_R01C02","GSM2405054_9969477089_R05C02","GSM2405076_9969477102_R01C01","GSM2405153_9878820021_R03C02","GSM2405203_9878820127_R02C02","GSM2405336_3999834003_R01C01","GSM2405337_3999834003_R02C01","GSM2405374_3999834067_R06C02","GSM2405480_3999112147_R06C02","GSM2405481_3999112155_R01C01","GSM2405482_3999112155_R04C01","GSM2405483_3999112155_R05C01","GSM2405484_3999112155_R06C01","GSM2405485_3999112155_R02C02","GSM2405486_3999112155_R03C02","GSM2940782_10006823143_R06C02","GSM2940801_101178130116_R03C02","GSM2940839_200325530024_R06C01","GSM2940875_200362700196_R03C02","GSM2940953_3998523030_R05C01","GSM2940998_3998546129_R02C02","GSM2941031_3998568129_R03C02","GSM2941032_3998568154_R03C01","GSM2941063_3998909062_R01C01","GSM2941087_3998909075_R04C02","GSM2941088_3998909075_R05C02","GSM2941133_3998998159_R05C02","GSM2941134_3998998159_R06C01","GSM2941135_3998998159_R06C02","GSM2941265_3999834070_R04C01","GSM2941273_3999834100_R02C02","GSM2941393_9407201030_R05C01","GSM2941467_9533774097_R04C01","GSM2941486_9553932002_R02C02","GSM2941492_9553932010_R06C02","GSM2941551_9741950025_R03C02","GSM2941552_9741950025_R04C01","GSM2941769_9969477079_R02C01"
"1",1,521369,249150001,1593,-0.041,-0.083,0.019,0.006,-0.047,0.013,-0.031,-0.014,-0.009,0.005,-0.059,0.002,-0.023,-0.04,-0.125,-0.036,-0.128,0.01,-0.191,-0.225,-0.167,-0.043,-0.032,-0.097,-0.113,-0.01,-0.015,-0.074,-0.015,-0.03,-0.129,0.01,-0.037,-0.044,-0.028,-0.037,-0.038,-0.225,-0.001,-0.13,-0.049,-0.048,-0.03,0.028,-0.052,-0.028,-0.139,-0.08,-0.019,0.007,-0.116,-0.155,-0.007,0.046,-0.175,-0.049,-0.056,-0.029,-0.049,-0.067,-0.098,-0.037,-0.139,0.016,0.003,0.009,-0.121
"2",2,10001,242950001,1282,-0.032,-0.03,-0.007,-0.003,-0.055,-0.042,-0.035,-0.053,-0.012,0.001,-0.103,-0.012,-0.03,-0.069,-0.097,-0.017,0.145,0.024,0.095,-0.107,-0.068,-0.036,0.151,0.001,-0.099,-0.034,-0.018,0.119,-0.034,-0.008,-0.017,-0.045,-0.07,-0.005,-0.078,-0.103,-0.052,-0.095,0.03,-0.082,-0.069,-0.09,0.012,-0.001,0.028,-0.069,-0.023,-0.081,-0.018,-0.037,-0.064,-0.026,-0.058,0.012,-0.006,-0.074,-0.06,-0.087,0.075,0.035,-0.045,-0.004,-0.136,0.008,-0.043,-0.04,-0.134
"3",3,60001,197700001,978,-0.022,-0.033,-0.005,-0.001,-0.097,-0.034,-0.002,-0.051,-0.026,0.024,-0.103,-0.014,-0.033,-0.097,-0.143,-0.015,-0.164,-0.021,-0.05,-0.211,-0.106,-0.004,-0.065,-0.067,-0.132,-0.039,-0.051,-0.064,-0.149,-0.068,-0.027,-0.049,-0.115,0.073,-0.111,-0.15,-0.041,-0.296,-0.076,-0.113,-0.107,-0.043,0.027,0.019,-0.107,-0.072,-0.204,-0.132,-0.012,-0.047,-0.02,-0.035,-0.073,-0.026,-0.137,-0.096,-0.041,-0.097,-0.13,0.001,-0.071,0.08,-0.152,0.061,-0.079,0.067,-0.161
"4",4,10001,190900001,742,-0.093,-0.018,-0.041,-0.025,-0.102,-0.1,-0.044,-0.092,-0.079,-0.045,-0.188,-0.056,-0.063,-0.103,-0.097,-0.205,0.005,0.015,-0.15,-0.136,-0.076,-0.084,-0.079,-0.064,-0.125,-0.061,-0.066,-0.167,-0.08,-0.029,-0.039,-0.117,-0.127,-0.107,-0.126,-0.156,-0.09,-0.35,-0.075,-0.142,-0.123,-0.083,-0.021,-0.043,-0.015,-0.118,-0.113,-0.105,-0.063,-0.111,-0.077,-0.091,-0.108,-0.061,-0.041,-0.105,-0.139,-0.059,-0.112,0.041,-0.07,0.03,-0.176,-0.081,-0.074,-0.088,-0.163
"5",5,10001,180650001,849,0.006,0.02,0.007,0.008,-0.075,-0.008,0.012,-0.04,0.023,0.029,-0.11,-0.008,-0.023,-0.07,-0.112,-0.015,0.144,-0.027,-0.042,-0.169,-0.091,-0.022,-0.026,-0.029,-0.031,-0.018,-0.025,0.014,-0.143,0.01,-0.015,-0.043,-0.038,-0.004,-0.084,-0.117,-0.003,-0.3,0.038,-0.094,-0.086,0.029,0.044,0.023,-0.1,-0.072,-0.049,-0.104,-0.004,-0.04,-0.056,-0.028,-0.009,-0.005,-0.01,0.058,-0.011,0.033,0.065,0.026,-0.045,-0.036,-0.153,-0.052,-0.033,-0.03,-0.17
"6",6,60001,170850001,988,-0.108,-0.042,-0.003,-0.025,-0.094,-0.048,-0.015,-0.068,-0.048,0.026,-0.109,-0.02,-0.038,-0.094,-0.12,-0.191,-0.139,-0.181,-0.251,-0.239,-0.079,-0.003,-0.033,-0.178,-0.103,-0.024,-0.057,-0.123,-0.043,-0.045,-0.006,-0.063,-0.087,-0.054,-0.095,-0.127,-0.045,-0.266,-0.022,-0.112,-0.082,-0.03,0.029,-0.002,-0.128,-0.078,-0.3,-0.105,-0.016,-0.055,-0.05,-0.094,-0.139,-0.375,-0.122,-0.073,-0.209,-0.091,-0.318,0.034,-0.056,0.017,-0.128,-0.067,-0.04,-0.048,-0.167
"7",7,10001,158950001,952,0.079,0.055,0.024,0.036,-0.025,0.002,0.02,-0.009,0.061,0.042,-0.091,0.026,0.043,0.069,-0.055,0.164,0.166,0.083,0.16,-0.08,-0.027,0.017,0,0.006,0.091,0.018,0.016,0.042,0.014,0.044,0.013,-0.015,0.007,0.154,-0.049,-0.074,0.123,-0.019,0.105,-0.03,-0.016,0.023,0.068,0.014,0.045,0.192,0.001,-0.052,0.032,-0.001,0.062,0.034,0.171,0.168,0.183,0.099,0.102,0.134,0.2,0.027,-0.012,0.046,0.129,0.076,0.085,0.089,0.127
"8",8,10001,146250001,726,-0.05,-0.066,-0.006,-0.009,-0.072,-0.038,-0.033,-0.051,-0.035,-0.024,-0.121,-0.014,-0.03,-0.051,-0.075,0.048,0.149,0.039,-0.026,-0.102,-0.047,-0.049,-0.046,-0.025,-0.123,-0.024,-0.011,0.024,-0.029,-0.044,-0.01,-0.044,-0.024,-0.022,-0.073,-0.099,-0.051,-0.277,-0.021,0.034,-0.091,-0.026,-0.009,-0.005,0.024,-0.067,0.166,-0.066,-0.006,-0.034,-0.078,-0.001,-0.064,-0.19,0.151,-0.06,-0.049,-0.078,-0.095,0.03,0.145,-0.003,-0.128,0.047,-0.02,-0.029,-0.121
"9",9,10001,141000001,383,-0.132,-0.217,0.001,-0.043,-0.243,-0.119,-0.265,-0.004,-0.127,-0.33,-0.058,-0.001,-0.009,-0.028,-0.073,-0.003,-0.113,0.035,0.074,-0.309,-0.073,-0.1,-0.095,-0.132,-0.195,-0.033,-0.249,0.046,-0.256,-0.072,-0.063,-0.163,0.042,-0.16,-0.281,-0.316,-0.052,-0.188,-0.08,-0.176,-0.313,-0.024,-0.229,-0.193,-0.201,-0.019,0.128,-0.372,0.007,0.012,-0.105,0.084,-0.11,0.06,-0.212,-0.05,-0.124,-0.044,-0.043,0.002,0.184,0.006,-0.12,-0.065,-0.028,0.04,-0.085
"10",10,60001,135400001,840,-0.214,-0.123,0.015,-0.24,-0.093,-0.005,-0.005,-0.034,0.004,0.026,-0.077,-0.102,-0.001,-0.029,-0.06,-0.059,-0.346,-0.053,-0.234,-0.161,-0.049,-0.002,-0.297,-0.139,-0.094,-0.001,-0.271,-0.083,-0.063,-0.065,0,-0.01,-0.063,-0.059,-0.039,-0.058,-0.027,-0.214,-0.065,-0.359,-0.059,-0.065,-0.021,0.005,-0.259,-0.028,-0.22,-0.052,0.016,-0.009,-0.242,-0.036,-0.173,-0.155,-0.279,0.078,0.023,-0.036,-0.04,-0.072,-0.31,-0.043,-0.091,-0.099,0.002,-0.119,-0.108
