"chrom","start.pos","end.pos","n.probes","GSM2404019_9340996003_R04C02","GSM2404193_9376538153_R02C02","GSM2404484_9444374134_R05C02","GSM2404548_9553932030_R01C01","GSM2404940_9704031075_R03C01","GSM2404941_9704031019_R01C02","GSM2404945_9769100123_R02C01","GSM2404950_9704031014_R04C02","GSM2404952_9704031019_R06C01","GSM2404961_9704031014_R04C01","GSM2404962_9704031008_R06C01","GSM2404963_9704031075_R03C02","GSM2404975_9704031014_R06C02","GSM2404976_9704031014_R02C01","GSM2404992_9704031078_R01C02","GSM2941650_9878820156_R02C01"
"1",1,521369,55550001,597,-0.065,-0.084,0.012,-0.149,-0.282,-0.768,-0.244,-0.461,-0.342,-0.105,-0.278,-0.706,-0.176,-0.419,-0.685,-0.051
"2",1,55700001,249150001,996,-0.11,-0.175,-0.104,-0.133,-0.332,-0.658,-0.073,-0.404,-0.192,-0.045,-0.156,-0.66,-0.139,-0.082,-0.597,-0.078
"3",2,10001,242950001,1282,0.051,-0.144,-0.089,0.086,-0.02,-0.585,-0.072,-0.346,-0.209,-0.378,-0.133,-0.551,-0.097,0.143,-0.508,0.192
"4",3,60001,197700001,978,-0.142,-0.206,-0.142,-0.139,-0.342,-0.546,-0.012,-0.313,-0.155,-0.327,-0.09,-0.541,-0.088,-0.006,-0.498,-0.121
"5",4,10001,190900001,742,-0.183,-0.181,-0.144,-0.165,-0.316,-0.571,-0.057,-0.314,-0.218,-0.035,-0.125,-0.557,-0.082,0.235,-0.526,-0.174
"6",5,10001,31800001,142,-0.045,-0.048,0,-0.165,0.063,-0.309,0.063,0.063,-0.008,-0.137,0.022,-0.19,0.018,0.147,-0.245,-0.12
"7",5,32150001,180650001,707,-0.138,-0.2,-0.133,-0.15,-0.035,-0.66,-0.074,-0.206,-0.199,-0.054,-0.165,-0.669,-0.142,-0.054,-0.588,-0.112
"8",6,60001,170850001,988,-0.136,-0.158,-0.116,-0.146,-0.332,-0.558,-0.026,-0.331,0.163,-0.366,-0.091,-0.553,-0.087,-0.34,-0.496,-0.142
"9",7,10001,158950001,952,0.107,0.095,-0.063,0.235,0.187,0.217,-0.045,0.015,-0.185,-0.062,-0.089,-0.496,-0.082,0.166,-0.458,0.081
"10",8,10001,8050001,62,0.214,0.12,0.134,0.077,0.164,0.251,0.092,0.172,0.339,-0.176,0.083,0.045,0.082,0.077,-0.05,0.239
"11",8,8150001,146250001,664,0.047,-0.165,-0.114,0.058,-0.04,-0.236,-0.118,-0.059,0.075,-0.116,-0.182,-0.634,-0.14,-0.075,-0.595,0.193
"12",9,10001,141000001,383,0.083,0.078,-0.022,-0.15,-0.012,-0.176,-0.05,0.021,0.081,0.232,-0.16,-0.539,-0.012,-0.195,-0.523,-0.093
"13",10,60001,5600001,60,0.046,0.099,0.133,-0.057,-0.08,-0.093,0.179,-0.052,0.142,-0.288,0.193,0.086,0.148,-0.175,-0.07,-0.064
"14",10,5700001,135400001,780,-0.098,-0.137,-0.053,-0.146,-0.297,-0.582,-0.076,-0.356,-0.194,-0.41,-0.136,-0.546,-0.107,-0.433,-0.531,-0.098
"15",11,60001,134800001,914,0.074,0.033,-0.093,0.08,0.168,-0.584,0.005,0.031,0.182,-0.366,-0.124,-0.531,-0.1,0.153,-0.507,0.097
"16",12,145740,133700001,848,0.204,0.22,-0.083,0.247,0.184,0.145,-0.098,0.236,0.343,0.2,-0.151,-0.594,-0.114,0.109,-0.546,0.217
"17",13,19020001,115050001,431,-0.125,-0.133,-0.101,0.099,0.158,-0.422,-0.344,-0.248,-0.129,-0.251,0.02,-0.407,-0.006,-0.22,-0.322,0.028
"18",14,19000001,106950001,528,-0.108,0.083,-0.063,0.089,-0.011,-0.723,-0.144,-0.093,-0.273,0.164,-0.218,-0.7,-0.159,0.025,-0.654,-0.09
"19",15,20000001,102300001,571,0.084,-0.106,-0.035,0.09,0.002,-0.239,-0.134,-0.082,0.085,-0.085,-0.211,-0.653,-0.136,-0.215,-0.623,-0.072
"20",16,60001,90150001,624,-0.06,-0.081,0.013,-0.146,0.026,-0.504,-0.123,-0.265,0.074,-0.017,-0.108,-0.388,-0.046,-0.002,-0.416,-0.095
"21",17,1,81050001,814,0.017,-0.109,-0.034,-0.177,-0.01,-0.699,-0.242,-0.015,-0.382,-0.015,-0.249,-0.635,-0.115,-0.169,-0.625,-0.142
"22",18,10001,77950001,243,-0.036,-0.129,-0.086,0.045,0.172,-0.219,-0.18,0,-0.38,-0.379,-0.193,-0.65,-0.086,-0.144,-0.613,-0.182
"23",19,60001,59050001,711,-0.101,-0.084,-0.006,-0.208,-0.018,-0.725,-0.334,-0.392,-0.503,-0.075,-0.274,-0.636,-0.13,-0.512,-0.631,0.036
"24",20,60001,62850001,359,0.034,0.044,-0.057,0.033,0.11,-0.251,-0.192,-0.023,-0.013,0.026,-0.222,-0.664,-0.123,-0.048,-0.576,0.045
"25",21,10697897,48050001,157,-0.086,0.117,-0.002,-0.118,-0.217,-0.52,-0.04,0.321,0.095,0.03,-0.086,-0.457,-0.03,0.063,-0.435,-0.108
"26",22,16050001,51200001,300,-0.074,-0.059,0.028,-0.143,-0.24,-0.759,-0.265,-0.397,-0.087,-0.399,-0.273,-0.689,-0.147,-0.782,-0.741,-0.064
