"chrom","start.pos","end.pos","n.probes","GSM2403626_8622007189_R04C01","GSM2403815_9297949098_R05C01","GSM2404323_9422492035_R03C02","GSM2404324_9422492075_R03C01","GSM2404325_9422492026_R04C02","GSM2404327_9422492075_R04C01","GSM2404331_9422492035_R04C01","GSM2404332_9422492074_R05C02","GSM2404334_9422492075_R06C02","GSM2404336_9422492035_R06C02","GSM2404337_9422492035_R02C01","GSM2404338_9422492035_R02C02","GSM2404339_9422492075_R06C01","GSM2404340_9422492075_R01C02","GSM2404341_9422492026_R02C02","GSM2404405_9426021175_R05C02","GSM2404477_9444374133_R05C02","GSM2405387_3999834093_R04C02","GSM2405530_3998909063_R03C01","GSM2405532_3998909063_R05C01","GSM2405541_3998909071_R02C02","GSM2940853_200325530166_R04C01","GSM2941047_3998909026_R03C02","GSM2941155_3999002044_R06C01","GSM2941390_9407201029_R02C02","GSM2941497_9553932054_R01C02"
"1",1,521369,249150001,1593,-0.107,-0.096,-0.03,-0.069,-0.069,-0.059,-0.072,-0.04,-0.087,-0.131,-0.002,-0.164,-0.049,-0.097,-0.024,-0.107,0.007,-0.026,-0.027,-0.017,-0.058,-0.04,-0.012,-0.026,-0.028,0.005
"2",2,10001,242950001,1282,-0.097,-0.105,-0.057,-0.13,-0.109,-0.121,-0.098,-0.123,-0.065,-0.129,-0.046,-0.184,-0.093,-0.105,-0.069,-0.081,-0.038,-0.081,-0.048,-0.041,-0.082,-0.053,-0.051,-0.05,-0.071,-0.033
"3",3,60001,197700001,978,-0.13,-0.129,-0.076,-0.211,-0.142,-0.108,-0.156,-0.213,-0.207,-0.169,-0.056,-0.233,-0.156,-0.121,-0.103,-0.114,-0.044,-0.12,-0.071,-0.064,-0.111,-0.081,-0.068,-0.06,-0.086,-0.031
"4",4,10001,11350001,138,0.002,-0.01,0.051,0.094,0.059,0.098,0.096,0.079,-0.038,0.057,0.044,0.073,0.087,0.06,0.045,0.052,0.043,0.052,0.042,0.043,0.015,0.051,0.029,0.05,0.02,0.036
"5",4,11400001,190900001,604,-0.137,-0.185,-0.136,-0.266,-0.152,-0.172,-0.201,-0.261,-0.276,-0.19,-0.143,-0.294,-0.207,-0.178,-0.16,-0.161,-0.134,-0.197,-0.108,-0.098,-0.135,-0.12,-0.107,-0.135,-0.156,-0.107
"6",5,10001,180650001,849,0.023,0.02,-0.051,-0.163,0.014,-0.138,-0.119,-0.104,0.018,-0.03,-0.026,-0.209,-0.104,-0.069,-0.071,-0.095,-0.035,-0.091,-0.046,-0.036,0.007,-0.065,-0.054,-0.056,0.006,-0.029
"7",6,60001,170850001,988,-0.099,-0.109,-0.053,-0.165,-0.006,-0.146,-0.124,-0.159,-0.088,-0.038,-0.051,-0.198,-0.121,-0.097,-0.09,-0.093,-0.056,-0.101,-0.046,-0.046,-0.088,-0.058,-0.056,-0.056,-0.086,-0.046
"8",7,10001,158950001,952,0.07,0.161,-0.021,-0.125,0.083,-0.068,-0.073,-0.104,0.012,0.107,-0.021,-0.143,-0.08,-0.025,-0.06,-0.049,-0.005,-0.057,0.011,0.012,0.135,-0.016,-0.009,0.008,0.097,0.002
"9",8,10001,146250001,726,-0.093,0.032,-0.056,-0.133,-0.119,-0.02,-0.088,-0.138,-0.074,-0.108,-0.039,-0.19,-0.098,-0.087,-0.074,-0.09,-0.034,-0.078,-0.027,-0.024,0.04,-0.047,-0.043,-0.029,0.012,-0.034
"10",9,10001,141000001,383,-0.092,-0.083,-0.029,-0.061,-0.02,-0.027,-0.035,-0.03,-0.082,-0.041,0.008,-0.112,-0.027,-0.079,-0.001,-0.203,0.013,-0.017,-0.026,-0.019,-0.053,-0.034,-0.011,-0.005,-0.031,0.014
"11",10,60001,135400001,840,-0.073,-0.075,-0.019,-0.079,-0.089,-0.073,-0.052,-0.081,-0.137,-0.071,-0.013,-0.129,-0.049,-0.044,-0.035,-0.07,-0.006,-0.048,-0.018,-0.049,-0.05,-0.023,-0.024,-0.009,-0.039,-0.003
"12",11,60001,134800001,914,0.025,0.033,-0.039,-0.113,-0.07,-0.092,-0.091,-0.097,-0.05,-0.109,-0.017,-0.167,-0.08,-0.073,-0.047,-0.089,-0.011,-0.077,-0.043,-0.037,-0.086,-0.056,-0.041,-0.031,0.018,-0.004
"13",12,145740,133700001,848,0.033,0.027,-0.049,-0.134,0.025,-0.123,-0.105,-0.113,-0.058,-0.02,-0.034,-0.174,-0.093,-0.074,-0.058,-0.098,-0.022,-0.065,-0.038,-0.032,-0.069,-0.046,-0.026,-0.028,0.019,-0.012
"14",13,19020001,115050001,431,-0.065,-0.266,-0.032,-0.171,-0.094,-0.149,-0.092,-0.172,-0.015,-0.071,-0.055,-0.141,-0.121,-0.079,-0.085,-0.023,-0.074,-0.108,-0.027,-0.028,-0.074,-0.032,-0.055,-0.037,-0.017,-0.037
"15",14,19000001,106950001,528,-0.104,-0.101,-0.033,-0.089,-0.013,-0.074,-0.075,-0.053,-0.127,-0.1,-0.002,-0.169,-0.062,-0.125,-0.033,-0.123,-0.029,-0.03,-0.037,-0.026,-0.064,-0.042,-0.025,-0.035,0.039,-0.006
"16",15,20000001,102300001,571,-0.087,0.046,-0.022,-0.052,-0.033,0.004,-0.047,-0.033,0,-0.108,0.009,-0.143,-0.032,-0.062,-0.013,-0.084,0.008,-0.018,-0.018,-0.012,-0.047,-0.028,-0.012,-0.017,-0.024,0.004
"17",16,60001,90150001,624,-0.049,-0.046,-0.009,0.002,-0.043,-0.024,0.008,-0.02,0.031,-0.026,-0.004,-0.021,0.004,0.009,-0.008,-0.006,0.029,0.007,0.011,0.013,-0.018,0.008,0.017,0.016,-0.015,0.021
"18",17,1,81050001,814,-0.104,-0.124,-0.077,-0.021,-0.101,-0.049,-0.051,-0.023,-0.04,-0.123,-0.054,-0.092,-0.03,-0.111,-0.043,-0.098,-0.031,-0.033,-0.06,-0.051,-0.069,-0.05,-0.029,-0.058,-0.061,-0.039
"19",18,10001,77950001,243,0.016,-0.167,-0.125,-0.102,-0.149,-0.121,-0.108,-0.087,-0.018,-0.09,-0.098,-0.185,-0.093,-0.155,-0.096,-0.159,-0.099,-0.09,-0.089,-0.075,-0.001,-0.081,-0.07,-0.112,-0.047,-0.103
"20",19,60001,59050001,711,0.038,0.01,-0.07,-0.012,-0.016,-0.014,-0.03,-0.012,0.032,-0.051,-0.065,-0.05,-0.015,-0.068,-0.044,-0.065,0.001,0.019,-0.026,-0.013,0.05,-0.011,0.01,-0.024,0.009,0.004
"21",20,60001,62850001,359,0.009,0.099,-0.059,-0.052,0.021,-0.013,-0.062,-0.03,0.024,-0.058,-0.039,-0.117,-0.038,-0.078,-0.039,-0.088,-0.02,-0.029,-0.05,-0.043,0.013,-0.049,-0.044,-0.051,0.056,-0.024
"22",21,10697897,48050001,157,-0.044,-0.071,-0.024,-0.068,-0.022,-0.108,-0.028,-0.042,-0.032,-0.059,-0.023,-0.069,-0.034,-0.026,-0.045,-0.058,-0.01,-0.028,-0.01,0,-0.026,-0.004,0.002,-0.011,-0.039,-0.013
"23",22,16050001,51200001,300,-0.06,-0.067,-0.015,0.061,-0.029,-0.023,0.015,0.081,-0.049,-0.075,0.023,-0.045,0.043,-0.053,0.033,-0.105,0.041,0.053,0.011,0.016,-0.013,0.016,-0.022,0.006,0.003,0.033
