"chromosome","start","end","segmean","sample","noise"
"1",1,635684,71525000,0.0285,"GSM2402855_5684819014_R05C02",0.588534088663252
"2",1,72150000,121193348,-0.4267,"GSM2402855_5684819014_R05C02",0.588534088663252
"3",1,121392717,152575000,0.1475,"GSM2402855_5684819014_R05C02",0.588534088663252
"4",1,152675000,153425000,0.3923,"GSM2402855_5684819014_R05C02",0.588534088663252
"5",1,153525000,249195311,0.1733,"GSM2402855_5684819014_R05C02",0.588534088663252
"6",10,105000,82275000,-0.0203,"GSM2402855_5684819014_R05C02",0.588534088663252
"7",10,82350000,85100000,-0.3628,"GSM2402855_5684819014_R05C02",0.588534088663252
"8",10,85800000,91175000,-0.0434,"GSM2402855_5684819014_R05C02",0.588534088663252
"9",10,91250000,110200000,-0.3611,"GSM2402855_5684819014_R05C02",0.588534088663252
"10",10,111175000,135462374,0.002,"GSM2402855_5684819014_R05C02",0.588534088663252
"11",11,130000,134873258,-0.0033,"GSM2402855_5684819014_R05C02",0.588534088663252
"12",12,172870,133770948,-0.015,"GSM2402855_5684819014_R05C02",0.588534088663252
"13",13,19110000,115079939,-0.0894,"GSM2402855_5684819014_R05C02",0.588534088663252
"14",14,19325000,107119770,-0.0173,"GSM2402855_5684819014_R05C02",0.588534088663252
"15",15,20225000,102410696,-0.0079,"GSM2402855_5684819014_R05C02",0.588534088663252
"16",16,105000,90222377,0.024,"GSM2402855_5684819014_R05C02",0.588534088663252
"17",17,25000,81122605,-0.0479,"GSM2402855_5684819014_R05C02",0.588534088663252
"18",18,80000,77983624,-0.1213,"GSM2402855_5684819014_R05C02",0.588534088663252
"19",19,180000,59084492,-0.0804,"GSM2402855_5684819014_R05C02",0.588534088663252
"20",2,130000,243026238,-0.0594,"GSM2402855_5684819014_R05C02",0.588534088663252
"21",20,155000,62907760,-0.0341,"GSM2402855_5684819014_R05C02",0.588534088663252
"22",21,10848948,48084948,-0.0072,"GSM2402855_5684819014_R05C02",0.588534088663252
"23",22,16373925,51222283,-0.0125,"GSM2402855_5684819014_R05C02",0.588534088663252
"24",3,155000,197831215,-0.0363,"GSM2402855_5684819014_R05C02",0.588534088663252
"25",4,55000,119275000,-0.0765,"GSM2402855_5684819014_R05C02",0.588534088663252
