"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0191,"GSM2402918_6969568004_R01C01",0.507839660311756
"2",10,105000,135462374,0.0026,"GSM2402918_6969568004_R01C01",0.507839660311756
"3",11,130000,134873258,0.0156,"GSM2402918_6969568004_R01C01",0.507839660311756
"4",12,172870,133770948,0.0027,"GSM2402918_6969568004_R01C01",0.507839660311756
"5",13,19110000,115079939,-0.0383,"GSM2402918_6969568004_R01C01",0.507839660311756
"6",14,19325000,107119770,0.0055,"GSM2402918_6969568004_R01C01",0.507839660311756
"7",15,20225000,102410696,0.0166,"GSM2402918_6969568004_R01C01",0.507839660311756
"8",16,105000,90222377,0.0252,"GSM2402918_6969568004_R01C01",0.507839660311756
"9",17,25000,81122605,-0.0375,"GSM2402918_6969568004_R01C01",0.507839660311756
"10",18,80000,77983624,-0.1136,"GSM2402918_6969568004_R01C01",0.507839660311756
"11",19,180000,59084492,-0.0151,"GSM2402918_6969568004_R01C01",0.507839660311756
"12",2,130000,243026238,-0.026,"GSM2402918_6969568004_R01C01",0.507839660311756
"13",20,155000,62907760,-0.0348,"GSM2402918_6969568004_R01C01",0.507839660311756
"14",21,10848948,48084948,-0.003,"GSM2402918_6969568004_R01C01",0.507839660311756
"15",22,16373925,51222283,-0.33,"GSM2402918_6969568004_R01C01",0.507839660311756
"16",3,155000,197831215,-0.0077,"GSM2402918_6969568004_R01C01",0.507839660311756
"17",4,55000,190972138,-0.0572,"GSM2402918_6969568004_R01C01",0.507839660311756
"18",5,55000,180777630,-0.0138,"GSM2402918_6969568004_R01C01",0.507839660311756
"19",6,155000,170952534,-0.0278,"GSM2402918_6969568004_R01C01",0.507839660311756
"20",7,55000,159039332,0.0101,"GSM2402918_6969568004_R01C01",0.507839660311756
"21",8,105000,146277011,-0.0279,"GSM2402918_6969568004_R01C01",0.507839660311756
"22",9,130000,141076716,0.0179,"GSM2402918_6969568004_R01C01",0.507839660311756
"23",1,635684,249195311,0.0131,"GSM2402919_6164621144_R04C01",0.548599019124166
"24",10,105000,135462374,0.0081,"GSM2402919_6164621144_R04C01",0.548599019124166
"25",11,130000,134873258,0.0249,"GSM2402919_6164621144_R04C01",0.548599019124166
"26",12,172870,133770948,-9e-04,"GSM2402919_6164621144_R04C01",0.548599019124166
"27",13,19110000,115079939,0.0013,"GSM2402919_6164621144_R04C01",0.548599019124166
"28",14,19325000,107119770,-0.012,"GSM2402919_6164621144_R04C01",0.548599019124166
"29",15,20225000,102410696,-0.0091,"GSM2402919_6164621144_R04C01",0.548599019124166
"30",16,105000,90222377,-0.0035,"GSM2402919_6164621144_R04C01",0.548599019124166
"31",17,25000,81122605,-0.1011,"GSM2402919_6164621144_R04C01",0.548599019124166
"32",18,80000,77983624,-0.1188,"GSM2402919_6164621144_R04C01",0.548599019124166
"33",19,180000,59084492,-0.0976,"GSM2402919_6164621144_R04C01",0.548599019124166
"34",2,130000,243026238,-0.0176,"GSM2402919_6164621144_R04C01",0.548599019124166
"35",20,155000,62907760,-0.0492,"GSM2402919_6164621144_R04C01",0.548599019124166
"36",21,10848948,48084948,-0.0053,"GSM2402919_6164621144_R04C01",0.548599019124166
"37",22,16373925,51222283,-0.0403,"GSM2402919_6164621144_R04C01",0.548599019124166
"38",3,155000,197831215,0.0118,"GSM2402919_6164621144_R04C01",0.548599019124166
"39",4,55000,190972138,-0.0393,"GSM2402919_6164621144_R04C01",0.548599019124166
"40",5,55000,180777630,0.0153,"GSM2402919_6164621144_R04C01",0.548599019124166
"41",6,155000,32425000,-0.002,"GSM2402919_6164621144_R04C01",0.548599019124166
"42",6,32475000,32725000,-0.3819,"GSM2402919_6164621144_R04C01",0.548599019124166
"43",6,32775000,170952534,-0.0053,"GSM2402919_6164621144_R04C01",0.548599019124166
