"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.2075,"GSM2403779_9296930016_R06C02",0.743622226031537
"2",10,105000,135462374,-0.1605,"GSM2403779_9296930016_R06C02",0.743622226031537
"3",11,130000,134873258,-0.0734,"GSM2403779_9296930016_R06C02",0.743622226031537
"4",12,172870,133770948,0.0315,"GSM2403779_9296930016_R06C02",0.743622226031537
"5",13,19110000,115079939,0.1754,"GSM2403779_9296930016_R06C02",0.743622226031537
"6",14,19325000,107119770,-0.2242,"GSM2403779_9296930016_R06C02",0.743622226031537
"7",15,20225000,102410696,0.1862,"GSM2403779_9296930016_R06C02",0.743622226031537
"8",16,105000,31825000,-0.1353,"GSM2403779_9296930016_R06C02",0.743622226031537
"9",16,32075000,33986575,0.4062,"GSM2403779_9296930016_R06C02",0.743622226031537
"10",16,34286575,90222377,-0.1194,"GSM2403779_9296930016_R06C02",0.743622226031537
"11",17,25000,81122605,-0.0623,"GSM2403779_9296930016_R06C02",0.743622226031537
"12",18,80000,77983624,0.0775,"GSM2403779_9296930016_R06C02",0.743622226031537
"13",19,180000,59084492,-0.0572,"GSM2403779_9296930016_R06C02",0.743622226031537
"14",2,130000,243026238,-0.2,"GSM2403779_9296930016_R06C02",0.743622226031537
"15",20,155000,62907760,-0.0321,"GSM2403779_9296930016_R06C02",0.743622226031537
"16",21,10848948,15375000,0.3045,"GSM2403779_9296930016_R06C02",0.743622226031537
"17",21,15475000,48084948,-0.5496,"GSM2403779_9296930016_R06C02",0.743622226031537
"18",22,16373925,51222283,-0.1308,"GSM2403779_9296930016_R06C02",0.743622226031537
"19",3,155000,197831215,0.0066,"GSM2403779_9296930016_R06C02",0.743622226031537
"20",4,55000,190972138,-0.0612,"GSM2403779_9296930016_R06C02",0.743622226031537
"21",5,55000,180777630,0.0403,"GSM2403779_9296930016_R06C02",0.743622226031537
"22",6,155000,170952534,-0.1973,"GSM2403779_9296930016_R06C02",0.743622226031537
"23",7,55000,159039332,0.1757,"GSM2403779_9296930016_R06C02",0.743622226031537
"24",8,105000,146277011,0.0193,"GSM2403779_9296930016_R06C02",0.743622226031537
"25",9,130000,141076716,0.1432,"GSM2403779_9296930016_R06C02",0.743622226031537
"26",1,635684,249195311,-0.1756,"GSM2404015_9340996008_R04C02",0.763037038029113
"27",10,105000,135462374,-0.1346,"GSM2404015_9340996008_R04C02",0.763037038029113
"28",11,130000,134873258,-0.1356,"GSM2404015_9340996008_R04C02",0.763037038029113
"29",12,172870,133770948,0.0187,"GSM2404015_9340996008_R04C02",0.763037038029113
"30",13,19110000,115079939,-0.08,"GSM2404015_9340996008_R04C02",0.763037038029113
"31",14,19325000,20025000,0.4784,"GSM2404015_9340996008_R04C02",0.763037038029113
"32",14,20450000,107119770,-0.1766,"GSM2404015_9340996008_R04C02",0.763037038029113
"33",15,20225000,102410696,0.0173,"GSM2404015_9340996008_R04C02",0.763037038029113
"34",16,105000,31825000,-0.054,"GSM2404015_9340996008_R04C02",0.763037038029113
"35",16,32075000,33986575,0.4531,"GSM2404015_9340996008_R04C02",0.763037038029113
"36",16,34286575,90222377,-0.058,"GSM2404015_9340996008_R04C02",0.763037038029113
"37",17,25000,81122605,-9e-04,"GSM2404015_9340996008_R04C02",0.763037038029113
"38",18,80000,74975000,-0.2401,"GSM2404015_9340996008_R04C02",0.763037038029113
"39",18,75360910,77675000,0.0712,"GSM2404015_9340996008_R04C02",0.763037038029113
"40",18,77725000,77983624,-0.2705,"GSM2404015_9340996008_R04C02",0.763037038029113
"41",19,180000,59084492,-0.1213,"GSM2404015_9340996008_R04C02",0.763037038029113
"42",2,130000,243026238,-0.1556,"GSM2404015_9340996008_R04C02",0.763037038029113
"43",20,155000,62907760,-0.0204,"GSM2404015_9340996008_R04C02",0.763037038029113
"44",21,10848948,15475000,0.3452,"GSM2404015_9340996008_R04C02",0.763037038029113
"45",21,15650000,48084948,-0.0988,"GSM2404015_9340996008_R04C02",0.763037038029113
"46",22,16373925,51222283,-0.1224,"GSM2404015_9340996008_R04C02",0.763037038029113
