"chromosome","start","end","segmean","sample"
"1",1,635684,185225000,0.0702,"GSM2405224_9980102125_R01C02"
"2",1,185525000,200825000,-0.1881,"GSM2405224_9980102125_R01C02"
"3",1,200900000,249195311,0.0525,"GSM2405224_9980102125_R01C02"
"4",10,105000,135462374,0.0153,"GSM2405224_9980102125_R01C02"
"5",11,130000,134873258,0.0262,"GSM2405224_9980102125_R01C02"
"6",12,172870,133770948,0.0063,"GSM2405224_9980102125_R01C02"
"7",13,19110000,115079939,-0.0821,"GSM2405224_9980102125_R01C02"
"8",14,19325000,107119770,0.0467,"GSM2405224_9980102125_R01C02"
"9",15,20225000,102410696,0.0493,"GSM2405224_9980102125_R01C02"
"10",16,105000,90222377,0.0485,"GSM2405224_9980102125_R01C02"
"11",17,25000,81122605,0.0119,"GSM2405224_9980102125_R01C02"
"12",18,80000,77983624,-0.0742,"GSM2405224_9980102125_R01C02"
"13",19,180000,59084492,0.0246,"GSM2405224_9980102125_R01C02"
"14",2,130000,180825000,-0.0137,"GSM2405224_9980102125_R01C02"
"15",2,181350000,189850000,-0.307,"GSM2405224_9980102125_R01C02"
"16",2,190150000,243026238,-0.0189,"GSM2405224_9980102125_R01C02"
"17",20,155000,62907760,0.0084,"GSM2405224_9980102125_R01C02"
"18",21,10848948,48084948,0.0055,"GSM2405224_9980102125_R01C02"
"19",22,16373925,51222283,0.082,"GSM2405224_9980102125_R01C02"
"20",3,155000,75800000,0.0369,"GSM2405224_9980102125_R01C02"
"21",3,76450000,97025000,-0.3046,"GSM2405224_9980102125_R01C02"
"22",3,97600000,197831215,-0.0237,"GSM2405224_9980102125_R01C02"
"23",4,55000,190972138,-0.0862,"GSM2405224_9980102125_R01C02"
"24",5,55000,17940329,1e-04,"GSM2405224_9980102125_R01C02"
"25",5,19125000,29900000,-0.3103,"GSM2405224_9980102125_R01C02"
"26",5,31025000,180777630,-0.0048,"GSM2405224_9980102125_R01C02"
"27",6,155000,170952534,-0.0133,"GSM2405224_9980102125_R01C02"
"28",7,55000,159039332,-0.0039,"GSM2405224_9980102125_R01C02"
"29",8,105000,82200000,-0.0096,"GSM2405224_9980102125_R01C02"
"30",8,82375000,93125000,-0.2815,"GSM2405224_9980102125_R01C02"
"31",8,93325000,146277011,0.0024,"GSM2405224_9980102125_R01C02"
"32",9,130000,141076716,0.0285,"GSM2405224_9980102125_R01C02"
"33",1,635684,28975000,-0.2526,"GSM2405225_9980102125_R02C02"
