"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0594,"GSM2402922_6929689152_R05C02"
"2",10,105000,135462374,0.0502,"GSM2402922_6929689152_R05C02"
"3",11,130000,134873258,0.0735,"GSM2402922_6929689152_R05C02"
"4",12,172870,133770948,0.0503,"GSM2402922_6929689152_R05C02"
"5",13,19110000,115079939,0.0828,"GSM2402922_6929689152_R05C02"
"6",14,19325000,107119770,0.0306,"GSM2402922_6929689152_R05C02"
"7",15,20225000,102410696,0.0353,"GSM2402922_6929689152_R05C02"
"8",16,105000,90222377,0.0693,"GSM2402922_6929689152_R05C02"
"9",17,25000,81122605,-0.0683,"GSM2402922_6929689152_R05C02"
"10",18,80000,77983624,-0.1476,"GSM2402922_6929689152_R05C02"
"11",19,180000,59084492,-0.0019,"GSM2402922_6929689152_R05C02"
"12",2,130000,243026238,0.0162,"GSM2402922_6929689152_R05C02"
"13",20,155000,62907760,0.0153,"GSM2402922_6929689152_R05C02"
"14",21,10848948,48084948,0.0245,"GSM2402922_6929689152_R05C02"
"15",22,16373925,51222283,0.0084,"GSM2402922_6929689152_R05C02"
"16",3,155000,197831215,0.0563,"GSM2402922_6929689152_R05C02"
"17",4,55000,190972138,-0.043,"GSM2402922_6929689152_R05C02"
"18",5,55000,180777630,0.048,"GSM2402922_6929689152_R05C02"
"19",6,155000,170952534,0.0456,"GSM2402922_6929689152_R05C02"
"20",7,55000,159039332,0.1074,"GSM2402922_6929689152_R05C02"
"21",8,105000,146277011,0.0302,"GSM2402922_6929689152_R05C02"
"22",9,130000,141076716,0.0655,"GSM2402922_6929689152_R05C02"
"23",1,635684,775000,0.3413,"GSM2403509_8622007070_R04C01"
"24",1,825000,249195311,-0.0107,"GSM2403509_8622007070_R04C01"
"25",10,105000,135462374,0.0533,"GSM2403509_8622007070_R04C01"
"26",11,130000,134873258,0.0204,"GSM2403509_8622007070_R04C01"
"27",12,172870,133770948,0.0175,"GSM2403509_8622007070_R04C01"
"28",13,19110000,115079939,0.0388,"GSM2403509_8622007070_R04C01"
"29",14,19325000,20450000,0.4066,"GSM2403509_8622007070_R04C01"
"30",14,20800000,107119770,-0.0348,"GSM2403509_8622007070_R04C01"
"31",15,20225000,102410696,0.0321,"GSM2403509_8622007070_R04C01"
"32",16,105000,90222377,0.0555,"GSM2403509_8622007070_R04C01"
"33",17,25000,81122605,-0.0604,"GSM2403509_8622007070_R04C01"
"34",18,80000,77983624,-0.0929,"GSM2403509_8622007070_R04C01"
"35",19,180000,59084492,-0.0321,"GSM2403509_8622007070_R04C01"
"36",2,130000,243026238,-0.0077,"GSM2403509_8622007070_R04C01"
"37",20,155000,62907760,-0.0188,"GSM2403509_8622007070_R04C01"
"38",21,10848948,48084948,0.0675,"GSM2403509_8622007070_R04C01"
"39",22,16373925,51222283,-0.0751,"GSM2403509_8622007070_R04C01"
"40",3,155000,197831215,0.0077,"GSM2403509_8622007070_R04C01"
"41",4,55000,190972138,-0.0414,"GSM2403509_8622007070_R04C01"
"42",5,55000,180777630,0.0089,"GSM2403509_8622007070_R04C01"
"43",6,155000,170952534,0.0125,"GSM2403509_8622007070_R04C01"
"44",7,55000,159039332,0.2095,"GSM2403509_8622007070_R04C01"
"45",8,105000,146277011,0.032,"GSM2403509_8622007070_R04C01"
"46",9,130000,141076716,0.0924,"GSM2403509_8622007070_R04C01"
"47",1,635684,249195311,-0.0233,"GSM2403610_8622007119_R01C01"
"48",10,105000,135462374,0.0307,"GSM2403610_8622007119_R01C01"
"49",11,130000,134873258,0.0246,"GSM2403610_8622007119_R01C01"
"50",12,172870,133770948,0.1251,"GSM2403610_8622007119_R01C01"
"51",13,19110000,115079939,0.1243,"GSM2403610_8622007119_R01C01"
"52",14,19325000,107119770,-0.0324,"GSM2403610_8622007119_R01C01"
"53",15,20225000,102410696,0.1224,"GSM2403610_8622007119_R01C01"
