"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.3172,"GSM2403507_8622007067_R03C02",0.89999052784921
"2",10,105000,135462374,-0.0237,"GSM2403507_8622007067_R03C02",0.89999052784921
"3",11,130000,134873258,-0.0587,"GSM2403507_8622007067_R03C02",0.89999052784921
"4",12,172870,133770948,-0.0626,"GSM2403507_8622007067_R03C02",0.89999052784921
"5",13,19110000,115079939,0.0477,"GSM2403507_8622007067_R03C02",0.89999052784921
"6",14,19325000,20450000,0.5792,"GSM2403507_8622007067_R03C02",0.89999052784921
"7",14,20800000,107119770,-0.1044,"GSM2403507_8622007067_R03C02",0.89999052784921
"8",15,20225000,102410696,-0.069,"GSM2403507_8622007067_R03C02",0.89999052784921
"9",16,105000,90222377,-0.0099,"GSM2403507_8622007067_R03C02",0.89999052784921
"10",17,25000,81122605,-0.1231,"GSM2403507_8622007067_R03C02",0.89999052784921
"11",18,80000,77983624,-0.0943,"GSM2403507_8622007067_R03C02",0.89999052784921
"12",19,180000,59084492,-0.3385,"GSM2403507_8622007067_R03C02",0.89999052784921
"13",2,130000,243026238,-0.048,"GSM2403507_8622007067_R03C02",0.89999052784921
"14",20,155000,62907760,-0.1199,"GSM2403507_8622007067_R03C02",0.89999052784921
"15",21,10848948,15475000,0.4345,"GSM2403507_8622007067_R03C02",0.89999052784921
"16",21,15650000,48084948,-0.0244,"GSM2403507_8622007067_R03C02",0.89999052784921
"17",22,16373925,51222283,-0.1249,"GSM2403507_8622007067_R03C02",0.89999052784921
"18",3,155000,197831215,-0.0407,"GSM2403507_8622007067_R03C02",0.89999052784921
"19",4,55000,190972138,-0.036,"GSM2403507_8622007067_R03C02",0.89999052784921
"20",5,55000,180777630,-0.055,"GSM2403507_8622007067_R03C02",0.89999052784921
"21",6,155000,170952534,-0.03,"GSM2403507_8622007067_R03C02",0.89999052784921
"22",7,55000,159039332,0.0038,"GSM2403507_8622007067_R03C02",0.89999052784921
"23",8,105000,146277011,-0.0337,"GSM2403507_8622007067_R03C02",0.89999052784921
"24",9,130000,141076716,-0.0662,"GSM2403507_8622007067_R03C02",0.89999052784921
"25",1,635684,16750000,-0.3266,"GSM2403570_8622007084_R01C01",0.705600399801805
"26",1,16825000,17187829,-0.0119,"GSM2403570_8622007084_R01C01",0.705600399801805
"27",1,17225000,120548578,-0.4929,"GSM2403570_8622007084_R01C01",0.705600399801805
"28",1,120841926,249195311,-0.083,"GSM2403570_8622007084_R01C01",0.705600399801805
"29",10,105000,135462374,-0.0401,"GSM2403570_8622007084_R01C01",0.705600399801805
"30",11,130000,134873258,-0.1043,"GSM2403570_8622007084_R01C01",0.705600399801805
"31",12,172870,133770948,-0.0693,"GSM2403570_8622007084_R01C01",0.705600399801805
"32",13,19110000,115079939,-0.0873,"GSM2403570_8622007084_R01C01",0.705600399801805
"33",14,19325000,107119770,-0.052,"GSM2403570_8622007084_R01C01",0.705600399801805
"34",15,20225000,102410696,-0.0297,"GSM2403570_8622007084_R01C01",0.705600399801805
"35",16,105000,90222377,-0.0151,"GSM2403570_8622007084_R01C01",0.705600399801805
