"chrom","start.pos","end.pos","n.probes","GSM2404243_9406921038_R01C02","GSM2404249_9406921038_R02C02","GSM2404252_9406921038_R06C02","GSM2404253_9406921039_R01C01","GSM2404263_9406921148_R05C02","GSM2404285_9379086120_R01C01","GSM2404543_9553932029_R05C01","GSM2404545_9553932029_R02C02","GSM2940762_10006823071_R05C01","GSM2941040_3998568166_R06C01","GSM2941529_9721366149_R04C02","GSM2941580_9829119119_R03C01"
"1",1,521369,249150001,1593,-0.116,-0.041,-0.084,0.03,-0.047,-0.007,-0.048,-0.04,0.056,0.062,0.034,0.017
"2",2,10001,242950001,1282,-0.13,-0.022,-0.127,-0.001,-0.067,-0.047,-0.03,-0.046,0.007,0.053,0.003,-0.003
"3",3,60001,197700001,978,-0.015,-0.013,0.086,0.056,0.087,-0.036,-0.034,-0.015,0.012,0.028,0.001,-0.019
"4",4,10001,190900001,742,-0.041,-0.061,0.001,-0.031,-0.118,0.016,-0.049,0.012,-0.058,-0.047,-0.065,-0.055
"5",5,10001,180650001,849,0.129,-0.017,0.096,0.06,0.095,0.09,0.118,0.076,0.018,0.051,0.006,-0.004
"6",6,60001,170850001,988,0.021,0.142,0.074,0.043,0.09,-0.047,0.105,0.082,0.001,0.024,0.002,0
"7",7,10001,158950001,952,0.16,0.181,0.115,0.083,0.117,0.106,0.181,0.123,0.042,0.076,0.042,0.036
"8",8,10001,146250001,726,0.147,-0.011,0.114,0.054,0.101,0.073,-0.008,0.078,0.017,0.034,-0.011,0.009
"9",9,10001,141000001,383,0.147,0.103,0.078,0.06,0.077,0.103,0.083,0.06,0.033,0.023,0.001,0.017
"10",10,60001,135400001,840,-0.082,0.128,0.106,0.072,0.112,-0.016,0.018,0.002,0.046,0.069,-0.02,0.024
"11",11,60001,134800001,914,-0.13,0.121,0.078,0.069,0.083,-0.012,-0.026,0.064,0.027,0.018,0.021,-0.005
"12",12,145740,133700001,848,0.032,0.124,0.099,0.054,0.096,-0.023,-0.027,-0.013,0.026,0.045,0.053,0.002
"13",13,19020001,115050001,431,-0.107,0.052,0.071,0.019,0.092,0.077,0.037,0.003,-0.009,0.019,0.017,0.016
"14",14,19000001,106950001,528,0.025,-0.039,0.035,0.058,-0.054,-0.018,-0.059,0.065,0.036,0.038,0.025,0.013
"15",15,20000001,102300001,571,0.162,-0.036,0.118,0.069,0.112,0.107,0.09,0.073,0.056,0.055,0.068,0.026
"16",16,60001,90150001,624,0.077,0.008,0.078,0.068,0.085,0.11,0.145,0.07,0.051,0.076,0.073,0.031
"17",17,1,81050001,814,-0.11,-0.113,-0.084,-0.076,-0.125,-0.069,-0.09,-0.103,-0.023,-0.037,-0.033,-0.038
"18",18,10001,77950001,243,0.09,0.123,-0.13,-0.071,-0.155,-0.13,-0.109,-0.044,-0.076,-0.097,-0.047,-0.075
"19",19,60001,59050001,711,0.122,-0.073,-0.004,-0.006,0.029,-0.031,-0.012,0.017,0.002,-0.014,0.034,-0.012
"20",20,60001,62850001,359,0.032,-0.083,0.018,0.023,0.022,0.067,0.09,0.022,0.002,-0.027,0.041,-0.026
"21",21,10697897,48050001,157,-0.094,-0.203,-0.116,-0.015,-0.065,-0.024,0.009,-0.057,0.01,0.021,0.01,0.015
"22",22,16050001,51200001,300,-0.054,-0.247,-0.106,0.004,-0.06,-0.011,-0.071,-0.055,-0.09,0.011,0.081,0.03
