"chromosome","start","end","segmean","sample","noise"
"1",1,635684,158275000,0.0128,"GSM2402868_5911815023_R01C01",0.578774339038474
"2",1,158500000,159600000,-0.3959,"GSM2402868_5911815023_R01C01",0.578774339038474
"3",1,159775000,214775000,-0.0559,"GSM2402868_5911815023_R01C01",0.578774339038474
"4",1,214975000,220125000,-0.3199,"GSM2402868_5911815023_R01C01",0.578774339038474
"5",1,220200000,249195311,-0.0138,"GSM2402868_5911815023_R01C01",0.578774339038474
"6",10,105000,89625000,-0.035,"GSM2402868_5911815023_R01C01",0.578774339038474
"7",10,89800000,90700000,-0.5724,"GSM2402868_5911815023_R01C01",0.578774339038474
"8",10,90850000,106250000,7e-04,"GSM2402868_5911815023_R01C01",0.578774339038474
"9",10,106425000,111175000,-0.378,"GSM2402868_5911815023_R01C01",0.578774339038474
"10",10,111675000,135462374,0.0174,"GSM2402868_5911815023_R01C01",0.578774339038474
"11",11,130000,4025000,0.0542,"GSM2402868_5911815023_R01C01",0.578774339038474
"12",11,4275000,5425000,-0.438,"GSM2402868_5911815023_R01C01",0.578774339038474
"13",11,5550000,20625000,-0.0295,"GSM2402868_5911815023_R01C01",0.578774339038474
"14",11,20675000,31975000,-0.3171,"GSM2402868_5911815023_R01C01",0.578774339038474
"15",11,32250000,50516927,-0.0355,"GSM2402868_5911815023_R01C01",0.578774339038474
"16",11,54922103,56675000,-0.6262,"GSM2402868_5911815023_R01C01",0.578774339038474
"17",11,56975000,134873258,-0.048,"GSM2402868_5911815023_R01C01",0.578774339038474
"18",12,172870,91325000,-0.0786,"GSM2402868_5911815023_R01C01",0.578774339038474
"19",12,91475000,93200000,-0.845,"GSM2402868_5911815023_R01C01",0.578774339038474
"20",12,93425000,133770948,0.0145,"GSM2402868_5911815023_R01C01",0.578774339038474
"21",13,19110000,115079939,-0.1258,"GSM2402868_5911815023_R01C01",0.578774339038474
"22",14,19325000,107119770,-0.0246,"GSM2402868_5911815023_R01C01",0.578774339038474
"23",15,20225000,46700000,0.0169,"GSM2402868_5911815023_R01C01",0.578774339038474
"24",15,47725000,50325000,-0.3647,"GSM2402868_5911815023_R01C01",0.578774339038474
"25",15,50525000,102410696,0.0036,"GSM2402868_5911815023_R01C01",0.578774339038474
"26",16,105000,5475000,0.0519,"GSM2402868_5911815023_R01C01",0.578774339038474
"27",16,5950000,7575000,-0.3062,"GSM2402868_5911815023_R01C01",0.578774339038474
"28",16,8193461,58775000,0.0397,"GSM2402868_5911815023_R01C01",0.578774339038474
"29",16,59975000,65400000,-0.3995,"GSM2402868_5911815023_R01C01",0.578774339038474
"30",16,65775000,90222377,0.0475,"GSM2402868_5911815023_R01C01",0.578774339038474
"31",17,25000,66575000,-0.0055,"GSM2402868_5911815023_R01C01",0.578774339038474
"32",17,66825000,69700000,-0.3953,"GSM2402868_5911815023_R01C01",0.578774339038474
"33",17,70125000,81122605,-0.0117,"GSM2402868_5911815023_R01C01",0.578774339038474
"34",18,80000,77983624,-0.0902,"GSM2402868_5911815023_R01C01",0.578774339038474
"35",19,180000,59084492,0.039,"GSM2402868_5911815023_R01C01",0.578774339038474
"36",2,130000,75925000,-0.0688,"GSM2402868_5911815023_R01C01",0.578774339038474
"37",2,76650000,83425000,-0.3861,"GSM2402868_5911815023_R01C01",0.578774339038474
"38",2,84125000,102850000,-0.0081,"GSM2402868_5911815023_R01C01",0.578774339038474
"39",2,102950000,104200000,-0.3276,"GSM2402868_5911815023_R01C01",0.578774339038474
"40",2,105125000,114625000,-0.0125,"GSM2402868_5911815023_R01C01",0.578774339038474
"41",2,115025000,118575000,-0.4341,"GSM2402868_5911815023_R01C01",0.578774339038474
"42",2,118675000,179325000,-0.1555,"GSM2402868_5911815023_R01C01",0.578774339038474
"43",2,179375000,190150000,-0.4705,"GSM2402868_5911815023_R01C01",0.578774339038474
"44",2,190325000,243026238,-0.0642,"GSM2402868_5911815023_R01C01",0.578774339038474
"45",20,155000,62907760,-0.0074,"GSM2402868_5911815023_R01C01",0.578774339038474
"46",21,10848948,48084948,-0.0115,"GSM2402868_5911815023_R01C01",0.578774339038474
"47",22,16373925,51222283,0.0437,"GSM2402868_5911815023_R01C01",0.578774339038474
"48",3,155000,4400000,-0.446,"GSM2402868_5911815023_R01C01",0.578774339038474
"49",3,4525000,187925000,-0.1168,"GSM2402868_5911815023_R01C01",0.578774339038474
"50",3,1.88e+08,192300000,-0.4309,"GSM2402868_5911815023_R01C01",0.578774339038474
"51",3,192525000,197831215,0.0492,"GSM2402868_5911815023_R01C01",0.578774339038474
"52",4,55000,190972138,-0.1621,"GSM2402868_5911815023_R01C01",0.578774339038474
"53",5,55000,11150000,0.0321,"GSM2402868_5911815023_R01C01",0.578774339038474
"54",5,11625000,14050000,-0.3518,"GSM2402868_5911815023_R01C01",0.578774339038474
"55",5,14125000,180777630,-0.1094,"GSM2402868_5911815023_R01C01",0.578774339038474
"56",6,155000,32425000,-0.0321,"GSM2402868_5911815023_R01C01",0.578774339038474
"57",6,32475000,32725000,-0.8017,"GSM2402868_5911815023_R01C01",0.578774339038474
