"chromosome","start","end","segmean","sample"
"1",1,635684,22300000,0.1603,"GSM2403731_9221197132_R04C02"
"2",1,22375000,23825000,-0.3427,"GSM2403731_9221197132_R04C02"
"3",1,23875000,249195311,0.1175,"GSM2403731_9221197132_R04C02"
"4",10,105000,135462374,0.1029,"GSM2403731_9221197132_R04C02"
"5",11,130000,134873258,0.1009,"GSM2403731_9221197132_R04C02"
"6",12,172870,133770948,0.0931,"GSM2403731_9221197132_R04C02"
"7",13,19110000,115079939,0.1059,"GSM2403731_9221197132_R04C02"
"8",14,19325000,107119770,0.0994,"GSM2403731_9221197132_R04C02"
"9",15,20225000,102410696,0.109,"GSM2403731_9221197132_R04C02"
"10",16,105000,90222377,0.1416,"GSM2403731_9221197132_R04C02"
"11",17,25000,81122605,0.0356,"GSM2403731_9221197132_R04C02"
"12",18,80000,77983624,-0.0258,"GSM2403731_9221197132_R04C02"
"13",19,180000,59084492,0.114,"GSM2403731_9221197132_R04C02"
"14",2,130000,243026238,0.0793,"GSM2403731_9221197132_R04C02"
"15",20,155000,62907760,0.0997,"GSM2403731_9221197132_R04C02"
"16",21,10848948,48084948,0.0953,"GSM2403731_9221197132_R04C02"
"17",22,16373925,51222283,0.1334,"GSM2403731_9221197132_R04C02"
"18",3,155000,197831215,0.0976,"GSM2403731_9221197132_R04C02"
"19",4,55000,190972138,0.0057,"GSM2403731_9221197132_R04C02"
"20",5,55000,180777630,0.0721,"GSM2403731_9221197132_R04C02"
"21",6,155000,170952534,0.0824,"GSM2403731_9221197132_R04C02"
"22",7,55000,159039332,0.1344,"GSM2403731_9221197132_R04C02"
"23",8,105000,146277011,0.0793,"GSM2403731_9221197132_R04C02"
"24",9,130000,141076716,0.1623,"GSM2403731_9221197132_R04C02"
"25",1,635684,249195311,-0.0064,"GSM2403745_9007225142_R05C02"
"26",10,105000,135462374,0.0444,"GSM2403745_9007225142_R05C02"
"27",11,130000,134873258,0.0097,"GSM2403745_9007225142_R05C02"
"28",12,172870,133770948,-0.0023,"GSM2403745_9007225142_R05C02"
"29",13,19110000,115079939,0.0818,"GSM2403745_9007225142_R05C02"
"30",14,19325000,20025000,0.3914,"GSM2403745_9007225142_R05C02"
"31",14,20450000,107119770,-0.014,"GSM2403745_9007225142_R05C02"
"32",15,20225000,102410696,0.0073,"GSM2403745_9007225142_R05C02"
"33",16,105000,31825000,0.054,"GSM2403745_9007225142_R05C02"
"34",16,32075000,46517901,0.3891,"GSM2403745_9007225142_R05C02"
"35",16,46675000,90222377,0.0642,"GSM2403745_9007225142_R05C02"
