"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0633,"GSM2404139_9406922158_R06C02"
"2",10,105000,135462374,-0.0656,"GSM2404139_9406922158_R06C02"
"3",11,130000,134873258,-0.1028,"GSM2404139_9406922158_R06C02"
"4",12,172870,133770948,0.2583,"GSM2404139_9406922158_R06C02"
"5",13,19110000,115079939,-0.1355,"GSM2404139_9406922158_R06C02"
"6",14,19325000,107119770,0.137,"GSM2404139_9406922158_R06C02"
"7",15,20225000,102410696,-0.057,"GSM2404139_9406922158_R06C02"
"8",16,105000,90222377,-0.041,"GSM2404139_9406922158_R06C02"
"9",17,25000,81122605,-0.0741,"GSM2404139_9406922158_R06C02"
"10",18,80000,77983624,-0.0908,"GSM2404139_9406922158_R06C02"
"11",19,180000,59084492,0.0933,"GSM2404139_9406922158_R06C02"
"12",2,130000,243026238,-0.1028,"GSM2404139_9406922158_R06C02"
"13",20,155000,62907760,0.0595,"GSM2404139_9406922158_R06C02"
"14",21,10848948,48084948,-0.0367,"GSM2404139_9406922158_R06C02"
"15",22,16373925,51222283,-0.036,"GSM2404139_9406922158_R06C02"
"16",3,155000,197831215,-0.124,"GSM2404139_9406922158_R06C02"
"17",4,55000,190972138,-0.1191,"GSM2404139_9406922158_R06C02"
"18",5,55000,180777630,0.1092,"GSM2404139_9406922158_R06C02"
"19",6,155000,170952534,-0.1122,"GSM2404139_9406922158_R06C02"
"20",7,55000,159039332,0.2606,"GSM2404139_9406922158_R06C02"
"21",8,105000,146277011,0.2536,"GSM2404139_9406922158_R06C02"
"22",9,130000,141076716,0.2587,"GSM2404139_9406922158_R06C02"
"23",1,635684,249195311,-0.0888,"GSM2404256_9406921039_R06C01"
"24",10,105000,135462374,-0.0656,"GSM2404256_9406921039_R06C01"
"25",11,130000,134873258,-0.134,"GSM2404256_9406921039_R06C01"
"26",12,172870,133770948,0.2222,"GSM2404256_9406921039_R06C01"
"27",13,19110000,115079939,-0.0802,"GSM2404256_9406921039_R06C01"
"28",14,19325000,107119770,0.1723,"GSM2404256_9406921039_R06C01"
"29",15,20225000,102410696,-0.1138,"GSM2404256_9406921039_R06C01"
"30",16,105000,90222377,-0.0691,"GSM2404256_9406921039_R06C01"
"31",17,25000,81122605,-0.1146,"GSM2404256_9406921039_R06C01"
"32",18,80000,77983624,-0.144,"GSM2404256_9406921039_R06C01"
"33",19,180000,59084492,0.1029,"GSM2404256_9406921039_R06C01"
"34",2,130000,243026238,-0.1309,"GSM2404256_9406921039_R06C01"
"35",20,155000,62907760,0.1229,"GSM2404256_9406921039_R06C01"
"36",21,10848948,48084948,-0.1381,"GSM2404256_9406921039_R06C01"
"37",22,16373925,51222283,-0.1894,"GSM2404256_9406921039_R06C01"
"38",3,155000,197831215,0.4211,"GSM2404256_9406921039_R06C01"
"39",4,55000,190972138,-0.121,"GSM2404256_9406921039_R06C01"
"40",5,55000,180777630,0.1674,"GSM2404256_9406921039_R06C01"
"41",6,155000,170952534,-0.0973,"GSM2404256_9406921039_R06C01"
"42",7,55000,159039332,0.3867,"GSM2404256_9406921039_R06C01"
"43",8,105000,146277011,0.1763,"GSM2404256_9406921039_R06C01"
"44",9,130000,1500000,-0.2306,"GSM2404256_9406921039_R06C01"
"45",9,2025000,141076716,0.1062,"GSM2404256_9406921039_R06C01"
"46",1,635684,775000,0.5251,"GSM2404421_9426021103_R05C02"
"47",1,825000,249195311,0.0483,"GSM2404421_9426021103_R05C02"
"48",10,105000,135462374,0.0212,"GSM2404421_9426021103_R05C02"
"49",11,130000,134873258,-0.3638,"GSM2404421_9426021103_R05C02"
"50",12,172870,133770948,0.0042,"GSM2404421_9426021103_R05C02"
"51",13,19110000,115079939,0.1283,"GSM2404421_9426021103_R05C02"
"52",14,19325000,107119770,0.1655,"GSM2404421_9426021103_R05C02"
"53",15,20225000,102410696,0.149,"GSM2404421_9426021103_R05C02"
"54",16,105000,31825000,-0.0042,"GSM2404421_9426021103_R05C02"
"55",16,32075000,46517901,0.4649,"GSM2404421_9426021103_R05C02"
"56",16,46675000,90222377,0.0168,"GSM2404421_9426021103_R05C02"
"57",17,25000,81122605,-0.1537,"GSM2404421_9426021103_R05C02"
"58",18,80000,77983624,-0.1044,"GSM2404421_9426021103_R05C02"
"59",19,180000,59084492,-0.0199,"GSM2404421_9426021103_R05C02"
"60",2,130000,243026238,-0.0168,"GSM2404421_9426021103_R05C02"
"61",20,155000,62907760,-0.0893,"GSM2404421_9426021103_R05C02"
"62",21,10848948,48084948,-0.0129,"GSM2404421_9426021103_R05C02"
"63",22,16373925,51222283,-0.1599,"GSM2404421_9426021103_R05C02"
"64",3,155000,197831215,0.2804,"GSM2404421_9426021103_R05C02"
"65",4,55000,190972138,-0.1057,"GSM2404421_9426021103_R05C02"
"66",5,55000,180777630,0.0637,"GSM2404421_9426021103_R05C02"
"67",6,155000,170952534,0.2628,"GSM2404421_9426021103_R05C02"
"68",7,55000,159039332,0.2815,"GSM2404421_9426021103_R05C02"
"69",8,105000,146277011,-0.006,"GSM2404421_9426021103_R05C02"
"70",9,130000,141076716,0.1833,"GSM2404421_9426021103_R05C02"
"71",1,635684,775000,0.504,"GSM2404424_9426021162_R05C01"
"72",1,825000,249195311,0.0154,"GSM2404424_9426021162_R05C01"
"73",10,105000,135462374,-0.0318,"GSM2404424_9426021162_R05C01"
"74",11,130000,134873258,-0.0488,"GSM2404424_9426021162_R05C01"
"75",12,172870,38178347,0.3611,"GSM2404424_9426021162_R05C01"
"76",12,38525000,133770948,-0.0555,"GSM2404424_9426021162_R05C01"
"77",13,19110000,115079939,0.0858,"GSM2404424_9426021162_R05C01"
"78",14,19325000,107119770,0.1195,"GSM2404424_9426021162_R05C01"
"79",15,20225000,102410696,-0.0887,"GSM2404424_9426021162_R05C01"
"80",16,105000,90222377,-0.0205,"GSM2404424_9426021162_R05C01"
"81",17,25000,81122605,-0.1359,"GSM2404424_9426021162_R05C01"
"82",18,80000,77983624,-0.1218,"GSM2404424_9426021162_R05C01"
"83",19,180000,59084492,0.0731,"GSM2404424_9426021162_R05C01"
"84",2,130000,243026238,-0.0227,"GSM2404424_9426021162_R05C01"
"85",20,155000,62907760,-0.1256,"GSM2404424_9426021162_R05C01"
"86",21,10848948,48084948,-0.0487,"GSM2404424_9426021162_R05C01"
"87",22,16373925,51222283,-0.1494,"GSM2404424_9426021162_R05C01"
"88",3,155000,197831215,0.1159,"GSM2404424_9426021162_R05C01"
"89",4,55000,190972138,-0.0503,"GSM2404424_9426021162_R05C01"
"90",5,55000,180777630,0.324,"GSM2404424_9426021162_R05C01"
