"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0609,"GSM2404295_9407201029_R02C01",0.560418110791896
"2",10,105000,135462374,-0.0316,"GSM2404295_9407201029_R02C01",0.560418110791896
"3",11,130000,134873258,-0.0625,"GSM2404295_9407201029_R02C01",0.560418110791896
"4",12,172870,133770948,-0.0615,"GSM2404295_9407201029_R02C01",0.560418110791896
"5",13,19110000,115079939,-0.0497,"GSM2404295_9407201029_R02C01",0.560418110791896
"6",14,19325000,20025000,0.2491,"GSM2404295_9407201029_R02C01",0.560418110791896
"7",14,20450000,107119770,-0.0571,"GSM2404295_9407201029_R02C01",0.560418110791896
"8",15,20225000,83725000,-0.0578,"GSM2404295_9407201029_R02C01",0.560418110791896
"9",15,83850000,84250000,-0.4156,"GSM2404295_9407201029_R02C01",0.560418110791896
"10",15,84667237,102410696,-0.0197,"GSM2404295_9407201029_R02C01",0.560418110791896
"11",16,105000,90222377,0.0141,"GSM2404295_9407201029_R02C01",0.560418110791896
"12",17,25000,81122605,-0.049,"GSM2404295_9407201029_R02C01",0.560418110791896
"13",18,80000,77983624,-0.0846,"GSM2404295_9407201029_R02C01",0.560418110791896
"14",19,180000,59084492,-0.0375,"GSM2404295_9407201029_R02C01",0.560418110791896
"15",2,130000,243026238,-0.0668,"GSM2404295_9407201029_R02C01",0.560418110791896
"16",20,155000,62907760,-0.0614,"GSM2404295_9407201029_R02C01",0.560418110791896
"17",21,10848948,48084948,0.0086,"GSM2404295_9407201029_R02C01",0.560418110791896
"18",22,16373925,51222283,-0.0033,"GSM2404295_9407201029_R02C01",0.560418110791896
"19",3,155000,197831215,-0.0862,"GSM2404295_9407201029_R02C01",0.560418110791896
"20",4,55000,190972138,-0.0996,"GSM2404295_9407201029_R02C01",0.560418110791896
"21",5,55000,180777630,-0.076,"GSM2404295_9407201029_R02C01",0.560418110791896
"22",6,155000,170952534,-0.0769,"GSM2404295_9407201029_R02C01",0.560418110791896
"23",7,55000,159039332,-0.0338,"GSM2404295_9407201029_R02C01",0.560418110791896
"24",8,105000,8100000,0.1549,"GSM2404295_9407201029_R02C01",0.560418110791896
"25",8,8175000,11825000,-0.0809,"GSM2404295_9407201029_R02C01",0.560418110791896
"26",8,11900000,12575000,0.2629,"GSM2404295_9407201029_R02C01",0.560418110791896
"27",8,12625000,146277011,-0.0825,"GSM2404295_9407201029_R02C01",0.560418110791896
"28",9,130000,141076716,-0.0204,"GSM2404295_9407201029_R02C01",0.560418110791896
"29",1,635684,121193348,-0.2169,"GSM2404296_9407201029_R03C01",0.963275365016688
"30",1,121392717,145225000,0.3215,"GSM2404296_9407201029_R03C01",0.963275365016688
"31",1,145375000,147200000,-0.3148,"GSM2404296_9407201029_R03C01",0.963275365016688
"32",1,147475000,149700000,0.2469,"GSM2404296_9407201029_R03C01",0.963275365016688
"33",1,149800000,249195311,-0.2107,"GSM2404296_9407201029_R03C01",0.963275365016688
"34",10,105000,4625000,0.3316,"GSM2404296_9407201029_R03C01",0.963275365016688
"35",10,4875000,135462374,-0.1368,"GSM2404296_9407201029_R03C01",0.963275365016688
"36",11,130000,134873258,-0.1643,"GSM2404296_9407201029_R03C01",0.963275365016688
"37",12,172870,133770948,-0.1848,"GSM2404296_9407201029_R03C01",0.963275365016688
"38",13,19110000,115079939,-0.0581,"GSM2404296_9407201029_R03C01",0.963275365016688
"39",14,19325000,20025000,0.5812,"GSM2404296_9407201029_R03C01",0.963275365016688
"40",14,20450000,107119770,-0.2195,"GSM2404296_9407201029_R03C01",0.963275365016688
"41",15,20225000,102410696,-0.1915,"GSM2404296_9407201029_R03C01",0.963275365016688
"42",16,105000,90222377,-0.0308,"GSM2404296_9407201029_R03C01",0.963275365016688
"43",17,25000,81122605,-0.1694,"GSM2404296_9407201029_R03C01",0.963275365016688
"44",18,80000,74975000,-0.2405,"GSM2404296_9407201029_R03C01",0.963275365016688
"45",18,75360910,77675000,0.2588,"GSM2404296_9407201029_R03C01",0.963275365016688
"46",18,77725000,77983624,-0.2312,"GSM2404296_9407201029_R03C01",0.963275365016688
"47",19,180000,36800000,-0.1176,"GSM2404296_9407201029_R03C01",0.963275365016688
