"chromosome","start","end","segmean","sample","noise"
"1",1,635684,16750000,0.0213,"GSM2405606_3998523003_R01C01",0.664365190278445
"2",1,16825000,17187829,0.3026,"GSM2405606_3998523003_R01C01",0.664365190278445
"3",1,17225000,121193348,-0.0924,"GSM2405606_3998523003_R01C01",0.664365190278445
"4",1,121392717,145225000,0.2627,"GSM2405606_3998523003_R01C01",0.664365190278445
"5",1,145375000,249195311,-0.0797,"GSM2405606_3998523003_R01C01",0.664365190278445
"6",10,105000,135462374,-0.0354,"GSM2405606_3998523003_R01C01",0.664365190278445
"7",11,130000,134873258,-0.0717,"GSM2405606_3998523003_R01C01",0.664365190278445
"8",12,172870,8225000,-0.0658,"GSM2405606_3998523003_R01C01",0.664365190278445
"9",12,8300000,8650000,0.3355,"GSM2405606_3998523003_R01C01",0.664365190278445
"10",12,8750000,34375000,-0.0765,"GSM2405606_3998523003_R01C01",0.664365190278445
"11",12,34425000,38650000,0.212,"GSM2405606_3998523003_R01C01",0.664365190278445
"12",12,39150000,133770948,-0.0733,"GSM2405606_3998523003_R01C01",0.664365190278445
"13",13,19110000,115079939,-0.0224,"GSM2405606_3998523003_R01C01",0.664365190278445
"14",14,19325000,20025000,0.4177,"GSM2405606_3998523003_R01C01",0.664365190278445
"15",14,20450000,107119770,-0.0786,"GSM2405606_3998523003_R01C01",0.664365190278445
"16",15,20225000,102410696,-0.0504,"GSM2405606_3998523003_R01C01",0.664365190278445
"17",16,105000,31825000,0.0065,"GSM2405606_3998523003_R01C01",0.664365190278445
"18",16,32075000,33986575,0.4259,"GSM2405606_3998523003_R01C01",0.664365190278445
"19",16,34286575,90222377,-0.0025,"GSM2405606_3998523003_R01C01",0.664365190278445
"20",17,25000,81122605,-0.0592,"GSM2405606_3998523003_R01C01",0.664365190278445
"21",18,80000,77983624,-0.0841,"GSM2405606_3998523003_R01C01",0.664365190278445
"22",19,180000,59084492,-0.0447,"GSM2405606_3998523003_R01C01",0.664365190278445
"23",2,130000,243026238,-0.0632,"GSM2405606_3998523003_R01C01",0.664365190278445
"24",20,155000,62907760,-0.0715,"GSM2405606_3998523003_R01C01",0.664365190278445
"25",21,10848948,15475000,0.3474,"GSM2405606_3998523003_R01C01",0.664365190278445
"26",21,15650000,48084948,-0.0113,"GSM2405606_3998523003_R01C01",0.664365190278445
"27",22,16373925,51222283,-0.0211,"GSM2405606_3998523003_R01C01",0.664365190278445
"28",3,155000,74175000,-0.0966,"GSM2405606_3998523003_R01C01",0.664365190278445
"29",3,75025000,76450000,0.2371,"GSM2405606_3998523003_R01C01",0.664365190278445
"30",3,77100000,197831215,-0.0908,"GSM2405606_3998523003_R01C01",0.664365190278445
"31",4,55000,187725000,-0.0892,"GSM2405606_3998523003_R01C01",0.664365190278445
"32",4,187825000,190972138,0.1991,"GSM2405606_3998523003_R01C01",0.664365190278445
"33",5,55000,180777630,-0.0816,"GSM2405606_3998523003_R01C01",0.664365190278445
"34",6,155000,170952534,-0.0632,"GSM2405606_3998523003_R01C01",0.664365190278445
"35",7,55000,159039332,-0.0233,"GSM2405606_3998523003_R01C01",0.664365190278445
"36",8,105000,146277011,-0.0442,"GSM2405606_3998523003_R01C01",0.664365190278445
"37",9,130000,141076716,-0.0435,"GSM2405606_3998523003_R01C01",0.664365190278445
"38",1,635684,121193348,-0.0359,"GSM2405607_3998523003_R02C01",0.574563142665119
"39",1,121392717,145225000,0.209,"GSM2405607_3998523003_R02C01",0.574563142665119
"40",1,145375000,249195311,-0.062,"GSM2405607_3998523003_R02C01",0.574563142665119
"41",10,105000,135462374,-0.034,"GSM2405607_3998523003_R02C01",0.574563142665119
"42",11,130000,134873258,-0.074,"GSM2405607_3998523003_R02C01",0.574563142665119
"43",12,172870,34375000,-0.0727,"GSM2405607_3998523003_R02C01",0.574563142665119
"44",12,34425000,38650000,0.1783,"GSM2405607_3998523003_R02C01",0.574563142665119
"45",12,39150000,133770948,-0.0583,"GSM2405607_3998523003_R02C01",0.574563142665119
"46",13,19110000,115079939,-0.0449,"GSM2405607_3998523003_R02C01",0.574563142665119
"47",14,19325000,20025000,0.4818,"GSM2405607_3998523003_R02C01",0.574563142665119
"48",14,20450000,105625000,-0.0657,"GSM2405607_3998523003_R02C01",0.574563142665119
"49",14,105675000,107119770,0.167,"GSM2405607_3998523003_R02C01",0.574563142665119
"50",15,20225000,102410696,-0.034,"GSM2405607_3998523003_R02C01",0.574563142665119
"51",16,105000,31825000,0.0064,"GSM2405607_3998523003_R02C01",0.574563142665119
"52",16,32075000,33986575,0.3149,"GSM2405607_3998523003_R02C01",0.574563142665119
"53",16,34286575,90222377,-0.0011,"GSM2405607_3998523003_R02C01",0.574563142665119
"54",17,25000,81122605,-0.0383,"GSM2405607_3998523003_R02C01",0.574563142665119
"55",18,80000,77983624,-0.0502,"GSM2405607_3998523003_R02C01",0.574563142665119
"56",19,180000,59084492,-0.013,"GSM2405607_3998523003_R02C01",0.574563142665119
"57",2,130000,89315218,-0.0591,"GSM2405607_3998523003_R02C01",0.574563142665119
"58",2,91672552,95438086,0.3028,"GSM2405607_3998523003_R02C01",0.574563142665119
"59",2,95625000,243026238,-0.0603,"GSM2405607_3998523003_R02C01",0.574563142665119
