"chromosome","start","end","segmean","sample"
"1",1,635684,121193348,-0.0155,"GSM2405617_3998523019_R04C02"
"2",1,121392717,145225000,0.7324,"GSM2405617_3998523019_R04C02"
"3",1,145375000,249195311,0.0946,"GSM2405617_3998523019_R04C02"
"4",10,105000,135462374,0.1323,"GSM2405617_3998523019_R04C02"
"5",11,130000,134873258,-0.2338,"GSM2405617_3998523019_R04C02"
"6",12,172870,133770948,0.3155,"GSM2405617_3998523019_R04C02"
"7",13,19110000,115079939,0.3061,"GSM2405617_3998523019_R04C02"
"8",14,19325000,107119770,0.2211,"GSM2405617_3998523019_R04C02"
"9",15,20225000,102410696,0.257,"GSM2405617_3998523019_R04C02"
"10",16,105000,90222377,0.1221,"GSM2405617_3998523019_R04C02"
"11",17,25000,81122605,-0.4093,"GSM2405617_3998523019_R04C02"
"12",18,80000,77983624,-0.3679,"GSM2405617_3998523019_R04C02"
"13",19,180000,59084492,0.1368,"GSM2405617_3998523019_R04C02"
"14",2,130000,243026238,-0.2109,"GSM2405617_3998523019_R04C02"
"15",20,155000,62907760,0.1888,"GSM2405617_3998523019_R04C02"
"16",21,10848948,15475000,0.6426,"GSM2405617_3998523019_R04C02"
"17",21,15650000,48084948,0.0231,"GSM2405617_3998523019_R04C02"
"18",22,16373925,51222283,-0.1182,"GSM2405617_3998523019_R04C02"
"19",3,155000,197831215,0.1479,"GSM2405617_3998523019_R04C02"
"20",4,55000,190972138,0.2953,"GSM2405617_3998523019_R04C02"
"21",5,55000,180777630,0.1313,"GSM2405617_3998523019_R04C02"
"22",6,155000,170952534,0.1437,"GSM2405617_3998523019_R04C02"
"23",7,55000,159039332,0.2142,"GSM2405617_3998523019_R04C02"
"24",8,105000,146277011,0.1325,"GSM2405617_3998523019_R04C02"
"25",9,130000,141076716,0.0344,"GSM2405617_3998523019_R04C02"
"26",1,635684,775000,0.9403,"GSM2405618_3998523019_R05C02"
"27",1,825000,249195311,0.1663,"GSM2405618_3998523019_R05C02"
"28",10,105000,135462374,-0.1991,"GSM2405618_3998523019_R05C02"
"29",11,130000,134873258,-0.1721,"GSM2405618_3998523019_R05C02"
"30",12,172870,113700000,0.1896,"GSM2405618_3998523019_R05C02"
"31",12,113775000,116200000,-0.465,"GSM2405618_3998523019_R05C02"
"32",12,116500000,133770948,0.1164,"GSM2405618_3998523019_R05C02"
"33",13,19110000,115079939,0.5215,"GSM2405618_3998523019_R05C02"
"34",14,19325000,107119770,0.3286,"GSM2405618_3998523019_R05C02"
"35",15,20225000,102410696,0.1035,"GSM2405618_3998523019_R05C02"
"36",16,105000,90222377,0.1003,"GSM2405618_3998523019_R05C02"
"37",17,25000,81122605,-0.2619,"GSM2405618_3998523019_R05C02"
"38",18,80000,77983624,0.0384,"GSM2405618_3998523019_R05C02"
"39",19,180000,59084492,0.1719,"GSM2405618_3998523019_R05C02"
"40",2,130000,243026238,-0.1853,"GSM2405618_3998523019_R05C02"
"41",20,155000,62907760,0.2259,"GSM2405618_3998523019_R05C02"
"42",21,10848948,48084948,0.2132,"GSM2405618_3998523019_R05C02"
"43",22,16373925,51222283,0.1806,"GSM2405618_3998523019_R05C02"
"44",3,155000,197831215,0.2325,"GSM2405618_3998523019_R05C02"
"45",4,55000,190972138,0.1595,"GSM2405618_3998523019_R05C02"
"46",5,55000,180777630,0.1431,"GSM2405618_3998523019_R05C02"
"47",6,155000,170952534,-0.137,"GSM2405618_3998523019_R05C02"
"48",7,55000,159039332,0.3753,"GSM2405618_3998523019_R05C02"
"49",8,105000,146277011,0.1153,"GSM2405618_3998523019_R05C02"
"50",9,130000,141076716,0.0868,"GSM2405618_3998523019_R05C02"
"51",1,635684,775000,0.5394,"GSM2405619_3998523019_R06C02"
"52",1,825000,120548578,-0.3387,"GSM2405619_3998523019_R06C02"
"53",1,120841926,249195311,0.137,"GSM2405619_3998523019_R06C02"
"54",10,105000,135462374,0.1636,"GSM2405619_3998523019_R06C02"
"55",11,130000,134873258,0.1051,"GSM2405619_3998523019_R06C02"
"56",12,172870,133770948,0.1432,"GSM2405619_3998523019_R06C02"
"57",13,19110000,115079939,0.1784,"GSM2405619_3998523019_R06C02"
"58",14,19325000,107119770,0.1205,"GSM2405619_3998523019_R06C02"
"59",15,20225000,102410696,-0.2956,"GSM2405619_3998523019_R06C02"
"60",16,105000,31825000,-0.3026,"GSM2405619_3998523019_R06C02"
"61",16,32075000,46517901,0.2813,"GSM2405619_3998523019_R06C02"
"62",16,46675000,90222377,-0.2595,"GSM2405619_3998523019_R06C02"
"63",17,25000,81122605,-0.0118,"GSM2405619_3998523019_R06C02"
"64",18,80000,77983624,-0.3921,"GSM2405619_3998523019_R06C02"
"65",19,180000,59084492,0.0522,"GSM2405619_3998523019_R06C02"
"66",2,130000,243026238,0.11,"GSM2405619_3998523019_R06C02"
"67",20,155000,62907760,0.0141,"GSM2405619_3998523019_R06C02"
"68",21,10848948,48084948,0.1017,"GSM2405619_3998523019_R06C02"
"69",22,16373925,51222283,-0.3597,"GSM2405619_3998523019_R06C02"
"70",3,155000,197831215,0.1237,"GSM2405619_3998523019_R06C02"
"71",4,55000,190972138,0.0844,"GSM2405619_3998523019_R06C02"
"72",5,55000,180777630,0.1587,"GSM2405619_3998523019_R06C02"
"73",6,155000,170952534,0.132,"GSM2405619_3998523019_R06C02"
"74",7,55000,159039332,0.1952,"GSM2405619_3998523019_R06C02"
"75",8,105000,146277011,0.1494,"GSM2405619_3998523019_R06C02"
"76",9,130000,141076716,0.0731,"GSM2405619_3998523019_R06C02"
"77",1,635684,775000,0.49,"GSM2405620_3998523022_R01C01"
"78",1,825000,120548578,-0.3758,"GSM2405620_3998523022_R01C01"
"79",1,120841926,249195311,0.1621,"GSM2405620_3998523022_R01C01"
"80",10,105000,135462374,-0.3563,"GSM2405620_3998523022_R01C01"
"81",11,130000,134873258,0.1362,"GSM2405620_3998523022_R01C01"
"82",12,172870,133770948,0.163,"GSM2405620_3998523022_R01C01"
"83",13,19110000,115079939,0.206,"GSM2405620_3998523022_R01C01"
"84",14,19325000,107119770,0.1517,"GSM2405620_3998523022_R01C01"
"85",15,20225000,102410696,0.1594,"GSM2405620_3998523022_R01C01"
"86",16,105000,90222377,0.1324,"GSM2405620_3998523022_R01C01"
"87",17,25000,81122605,0.0634,"GSM2405620_3998523022_R01C01"
"88",18,80000,77983624,-0.4071,"GSM2405620_3998523022_R01C01"
"89",19,180000,59084492,0.0701,"GSM2405620_3998523022_R01C01"
"90",2,130000,243026238,-0.3549,"GSM2405620_3998523022_R01C01"
"91",20,155000,62907760,0.0498,"GSM2405620_3998523022_R01C01"
"92",21,10848948,48084948,0.1268,"GSM2405620_3998523022_R01C01"
"93",22,16373925,51222283,0.0912,"GSM2405620_3998523022_R01C01"
"94",3,155000,197831215,0.1663,"GSM2405620_3998523022_R01C01"
"95",4,55000,190972138,0.1498,"GSM2405620_3998523022_R01C01"
"96",5,55000,180777630,0.1596,"GSM2405620_3998523022_R01C01"
"97",6,155000,58540083,0.157,"GSM2405620_3998523022_R01C01"
"98",6,62589295,170952534,-0.3506,"GSM2405620_3998523022_R01C01"
"99",7,55000,159039332,0.2076,"GSM2405620_3998523022_R01C01"
"100",8,105000,146277011,0.1805,"GSM2405620_3998523022_R01C01"
"101",9,130000,141076716,0.1023,"GSM2405620_3998523022_R01C01"
"102",1,635684,775000,0.3955,"GSM2405621_3998523022_R02C01"
"103",1,825000,120350000,-0.3207,"GSM2405621_3998523022_R02C01"
"104",1,120548578,249195311,0.1635,"GSM2405621_3998523022_R02C01"
"105",10,105000,42723344,0.2548,"GSM2405621_3998523022_R02C01"
"106",10,42925000,135462374,-0.2568,"GSM2405621_3998523022_R02C01"
"107",11,130000,134873258,-0.2756,"GSM2405621_3998523022_R02C01"
"108",12,172870,133770948,0.1747,"GSM2405621_3998523022_R02C01"
