"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0034,"GSM2402892_6164621144_R06C02",0.607354068064377
"2",10,105000,135462374,-0.0092,"GSM2402892_6164621144_R06C02",0.607354068064377
"3",11,130000,134873258,0.0117,"GSM2402892_6164621144_R06C02",0.607354068064377
"4",12,172870,133770948,-0.0108,"GSM2402892_6164621144_R06C02",0.607354068064377
"5",13,19110000,115079939,-0.0516,"GSM2402892_6164621144_R06C02",0.607354068064377
"6",14,19325000,107119770,-0.0239,"GSM2402892_6164621144_R06C02",0.607354068064377
"7",15,20225000,22429154,0.3417,"GSM2402892_6164621144_R06C02",0.607354068064377
"8",15,22748097,102410696,-0.0159,"GSM2402892_6164621144_R06C02",0.607354068064377
"9",16,105000,90222377,0.019,"GSM2402892_6164621144_R06C02",0.607354068064377
"10",17,25000,81122605,-0.0691,"GSM2402892_6164621144_R06C02",0.607354068064377
"11",18,80000,77983624,-0.1491,"GSM2402892_6164621144_R06C02",0.607354068064377
"12",19,180000,59084492,-0.0373,"GSM2402892_6164621144_R06C02",0.607354068064377
"13",2,130000,243026238,-0.0517,"GSM2402892_6164621144_R06C02",0.607354068064377
"14",20,155000,62907760,-0.0386,"GSM2402892_6164621144_R06C02",0.607354068064377
"15",21,10848948,48084948,-0.0097,"GSM2402892_6164621144_R06C02",0.607354068064377
"16",22,16373925,51222283,-0.0071,"GSM2402892_6164621144_R06C02",0.607354068064377
"17",3,155000,197831215,-0.0184,"GSM2402892_6164621144_R06C02",0.607354068064377
"18",4,55000,190972138,-0.091,"GSM2402892_6164621144_R06C02",0.607354068064377
"19",5,55000,180777630,-0.0228,"GSM2402892_6164621144_R06C02",0.607354068064377
"20",6,155000,170952534,-0.0496,"GSM2402892_6164621144_R06C02",0.607354068064377
"21",7,55000,159039332,0.0029,"GSM2402892_6164621144_R06C02",0.607354068064377
"22",8,105000,146277011,-0.0588,"GSM2402892_6164621144_R06C02",0.607354068064377
"23",9,130000,141076716,0.0076,"GSM2402892_6164621144_R06C02",0.607354068064377
"24",1,635684,249195311,0.0045,"GSM2402895_6969568005_R05C02",0.468455452590868
"25",10,105000,135462374,-0.0051,"GSM2402895_6969568005_R05C02",0.468455452590868
"26",11,130000,134873258,0.0059,"GSM2402895_6969568005_R05C02",0.468455452590868
"27",12,172870,133770948,-0.0109,"GSM2402895_6969568005_R05C02",0.468455452590868
"28",13,19110000,115079939,-0.0342,"GSM2402895_6969568005_R05C02",0.468455452590868
"29",14,19325000,107119770,-0.0081,"GSM2402895_6969568005_R05C02",0.468455452590868
"30",15,20225000,102410696,-0.0015,"GSM2402895_6969568005_R05C02",0.468455452590868
"31",16,105000,90222377,0.0196,"GSM2402895_6969568005_R05C02",0.468455452590868
"32",17,25000,81122605,-0.0504,"GSM2402895_6969568005_R05C02",0.468455452590868
"33",18,80000,77983624,-0.1171,"GSM2402895_6969568005_R05C02",0.468455452590868
"34",19,180000,59084492,-0.0093,"GSM2402895_6969568005_R05C02",0.468455452590868
"35",2,130000,243026238,-0.0354,"GSM2402895_6969568005_R05C02",0.468455452590868
"36",20,155000,62907760,-0.0298,"GSM2402895_6969568005_R05C02",0.468455452590868
"37",21,10848948,48084948,-0.0064,"GSM2402895_6969568005_R05C02",0.468455452590868
"38",22,16373925,51222283,0.0013,"GSM2402895_6969568005_R05C02",0.468455452590868
"39",3,155000,197831215,-0.0207,"GSM2402895_6969568005_R05C02",0.468455452590868
"40",4,55000,190972138,-0.0751,"GSM2402895_6969568005_R05C02",0.468455452590868
"41",5,55000,180777630,-0.0219,"GSM2402895_6969568005_R05C02",0.468455452590868
"42",6,155000,170952534,-0.0391,"GSM2402895_6969568005_R05C02",0.468455452590868
"43",7,55000,159039332,0.0092,"GSM2402895_6969568005_R05C02",0.468455452590868
"44",8,105000,88875000,-0.0427,"GSM2402895_6969568005_R05C02",0.468455452590868
"45",8,89100000,91225000,-0.3,"GSM2402895_6969568005_R05C02",0.468455452590868
"46",8,91550000,146277011,-0.0357,"GSM2402895_6969568005_R05C02",0.468455452590868
