"chrom","start.pos","end.pos","n.probes","GSM2404114_9379082039_R02C01","GSM2404201_9376561024_R06C01","GSM2404356_9407210069_R01C02","GSM2404369_9422493146_R01C02","GSM2404371_9422493146_R03C02","GSM2404372_9422493146_R04C02","GSM2404373_9422493146_R05C02","GSM2404406_9426021086_R01C01","GSM2404422_9426021162_R02C01","GSM2405569_3998998189_R02C01","GSM2405570_3998998189_R03C01","GSM2405572_3998998189_R06C01","GSM2940874_200362700196_R02C02"
"1",1,521369,120400001,898,-0.211,-0.031,-0.03,-0.01,0.013,0.011,-0.023,-0.034,-0.49,0.056,0.022,0.046,0.059
"2",1,120747157,249150001,695,-0.27,-0.026,-0.095,0.02,0.019,0.022,0,-0.097,0.158,0.01,-0.011,0.011,0.049
"3",2,10001,136650001,766,-0.267,-0.078,0.062,0.031,-0.11,0,-0.012,-0.001,-0.066,0.001,-0.027,-0.022,0.027
"4",2,136850001,242950001,516,-0.313,-0.096,0.089,0.022,-0.34,-0.008,-0.015,0.007,-0.078,-0.432,-0.06,-0.064,-0.007
"5",3,60001,197700001,978,0.062,-0.068,0.155,0.031,0.031,0.033,0.213,0.093,0.205,-0.048,0.15,0.184,0.02
"6",4,10001,190900001,742,0.099,0.129,0.064,-0.012,-0.007,-0.022,-0.039,0.072,0.124,0.089,-0.068,-0.035,-0.083
"7",5,10001,180650001,849,0.102,0.206,0.104,0.193,0.029,0.012,0.007,0.077,0.243,-0.019,0.184,-0.006,0.012
"8",6,60001,170850001,988,0.075,-0.084,0.101,-0.165,0.027,0.012,-0.006,0.009,0.162,-0.032,-0.055,-0.055,-0.001
"9",7,10001,158950001,952,0.109,0.23,0.157,0.073,0.069,0.05,0.05,0.041,0.221,0.009,-0.018,-0.007,0.05
"10",8,10001,146250001,726,-0.244,0.169,0.09,0.038,0.038,0.011,0.022,0.069,-0.071,0.004,-0.024,-0.004,0.008
"11",9,10001,141000001,383,-0.11,-0.034,0.031,0.021,0.044,0.025,0.008,0.004,0.092,0.022,-0.002,0.019,0.077
"12",10,60001,42596688,235,0.148,0.013,0.165,0.078,0.094,0.047,0.068,0.073,0.278,0.055,-0.005,0.046,0.051
"13",10,42850001,135400001,605,0.128,-0.025,0.051,0.017,0.03,0.01,0,-0.003,-0.394,0.021,-0.016,0.019,0.055
"14",11,60001,134800001,914,0.058,-0.049,0.055,0.018,0.021,0.015,-0.011,-0.013,-0.046,-0.028,-0.044,-0.023,-0.053
"15",12,145740,133700001,848,0.104,-0.033,0.086,0.011,0.03,0.017,0.004,0.124,0.176,0.01,0.178,0.014,0.027
"16",13,19020001,115050001,431,0.022,0.172,0.202,-0.052,0.064,0.039,0.017,0.062,0.254,-0.066,-0.093,-0.107,-0.405
"17",14,19000001,106950001,528,0.147,0.207,0.048,0.001,0.021,0.012,0.009,-0.003,0.122,0.041,0.011,0.05,0.035
"18",15,20000001,102300001,571,-0.205,-0.024,0.021,0.01,0.035,0.033,0.003,0.007,0.146,0.062,0.021,0.058,0.049
"19",16,60001,90150001,624,0.098,0.003,0.046,0.051,0.053,0.028,0.024,-0.002,-0.084,0.036,0.008,0.03,0.093
"20",17,1,81050001,814,0.089,-0.107,-0.125,-0.051,-0.03,-0.046,-0.067,-0.056,0.026,0.027,-0.013,0.006,0.008
"21",18,10001,77950001,243,0.107,-0.188,-0.039,-0.053,-0.05,-0.081,-0.078,-0.027,0.044,-0.005,-0.06,-0.039,-0.098
"22",19,60001,59050001,711,0.068,0.15,-0.052,-0.018,0,-0.011,-0.025,-0.038,0.085,0.036,-0.003,0.013,0.028
"23",20,60001,62850001,359,0.014,-0.114,-0.013,-0.009,-0.024,-0.031,-0.052,-0.051,0.045,-0.044,-0.074,-0.079,0.03
"24",21,10697897,48050001,157,0.116,-0.055,0.026,0.027,0.025,0.017,0.015,0.01,0.155,0.031,-0.009,0.024,-0.147
"25",22,16050001,51200001,300,0.165,-0.055,-0.095,-0.019,0,0.002,-0.028,-0.044,0.053,0.095,0.04,0.066,0.086
