"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.2103,"GSM2402996_6929689149_R04C02",0.546575308470471
"2",1,121392717,249195311,0.158,"GSM2402996_6929689149_R04C02",0.546575308470471
"3",10,105000,135462374,-0.2297,"GSM2402996_6929689149_R04C02",0.546575308470471
"4",11,130000,134873258,0.1379,"GSM2402996_6929689149_R04C02",0.546575308470471
"5",12,172870,133770948,0.1431,"GSM2402996_6929689149_R04C02",0.546575308470471
"6",13,19110000,115079939,0.0955,"GSM2402996_6929689149_R04C02",0.546575308470471
"7",14,19325000,107119770,-0.2315,"GSM2402996_6929689149_R04C02",0.546575308470471
"8",15,20225000,102410696,0.1497,"GSM2402996_6929689149_R04C02",0.546575308470471
"9",16,105000,90222377,-0.2045,"GSM2402996_6929689149_R04C02",0.546575308470471
"10",17,25000,81122605,0.0657,"GSM2402996_6929689149_R04C02",0.546575308470471
"11",18,80000,77983624,-0.3356,"GSM2402996_6929689149_R04C02",0.546575308470471
"12",19,180000,5325000,-0.2385,"GSM2402996_6929689149_R04C02",0.546575308470471
"13",19,5450000,59084492,0.0968,"GSM2402996_6929689149_R04C02",0.546575308470471
"14",2,130000,243026238,0.1135,"GSM2402996_6929689149_R04C02",0.546575308470471
"15",20,155000,62907760,0.0746,"GSM2402996_6929689149_R04C02",0.546575308470471
"16",21,10848948,48084948,0.1153,"GSM2402996_6929689149_R04C02",0.546575308470471
"17",22,16373925,51222283,-0.1953,"GSM2402996_6929689149_R04C02",0.546575308470471
"18",3,155000,197831215,0.1329,"GSM2402996_6929689149_R04C02",0.546575308470471
"19",4,55000,190972138,0.0972,"GSM2402996_6929689149_R04C02",0.546575308470471
"20",5,55000,180777630,-0.2486,"GSM2402996_6929689149_R04C02",0.546575308470471
"21",6,155000,32375000,-0.2681,"GSM2402996_6929689149_R04C02",0.546575308470471
"22",6,32425000,32650000,-0.9979,"GSM2402996_6929689149_R04C02",0.546575308470471
"23",6,32725000,170952534,-0.2759,"GSM2402996_6929689149_R04C02",0.546575308470471
"24",7,55000,159039332,0.1544,"GSM2402996_6929689149_R04C02",0.546575308470471
"25",8,105000,146277011,-0.2628,"GSM2402996_6929689149_R04C02",0.546575308470471
"26",9,130000,141076716,0.1307,"GSM2402996_6929689149_R04C02",0.546575308470471
"27",1,635684,249195311,-0.0228,"GSM2403127_6285641010_R03C01",0.645212863632387
"28",10,105000,135462374,-0.2674,"GSM2403127_6285641010_R03C01",0.645212863632387
"29",11,130000,134873258,0.0985,"GSM2403127_6285641010_R03C01",0.645212863632387
"30",12,172870,133770948,0.1237,"GSM2403127_6285641010_R03C01",0.645212863632387
"31",13,19110000,115079939,-0.0315,"GSM2403127_6285641010_R03C01",0.645212863632387
"32",14,19325000,107119770,-0.0228,"GSM2403127_6285641010_R03C01",0.645212863632387
"33",15,20225000,102410696,-0.0093,"GSM2403127_6285641010_R03C01",0.645212863632387
"34",16,105000,90222377,0.1279,"GSM2403127_6285641010_R03C01",0.645212863632387
"35",17,25000,81122605,-0.0324,"GSM2403127_6285641010_R03C01",0.645212863632387
"36",18,80000,77983624,0.0829,"GSM2403127_6285641010_R03C01",0.645212863632387
"37",19,180000,59084492,-0.0462,"GSM2403127_6285641010_R03C01",0.645212863632387
"38",2,130000,243026238,-0.036,"GSM2403127_6285641010_R03C01",0.645212863632387
"39",20,155000,62907760,0.09,"GSM2403127_6285641010_R03C01",0.645212863632387
"40",21,10848948,48084948,0.1362,"GSM2403127_6285641010_R03C01",0.645212863632387
"41",22,16373925,51222283,-0.2056,"GSM2403127_6285641010_R03C01",0.645212863632387
"42",3,155000,197831215,-0.0686,"GSM2403127_6285641010_R03C01",0.645212863632387
"43",4,55000,190972138,0.1079,"GSM2403127_6285641010_R03C01",0.645212863632387
"44",5,55000,180777630,-0.0549,"GSM2403127_6285641010_R03C01",0.645212863632387
"45",6,155000,170952534,-0.2918,"GSM2403127_6285641010_R03C01",0.645212863632387
"46",7,55000,159039332,-0.0246,"GSM2403127_6285641010_R03C01",0.645212863632387
"47",8,105000,146277011,-0.2943,"GSM2403127_6285641010_R03C01",0.645212863632387
"48",9,130000,141076716,-0.0341,"GSM2403127_6285641010_R03C01",0.645212863632387
"49",1,635684,121193348,-0.1868,"GSM2403128_6285641010_R02C01",0.63554870080706
"50",1,121392717,249195311,0.1417,"GSM2403128_6285641010_R02C01",0.63554870080706
"51",10,105000,135462374,-0.2045,"GSM2403128_6285641010_R02C01",0.63554870080706
"52",11,130000,134873258,0.1274,"GSM2403128_6285641010_R02C01",0.63554870080706
"53",12,172870,133770948,0.0115,"GSM2403128_6285641010_R02C01",0.63554870080706
"54",13,19110000,115079939,-0.202,"GSM2403128_6285641010_R02C01",0.63554870080706
"55",14,19325000,107119770,-0.2065,"GSM2403128_6285641010_R02C01",0.63554870080706
"56",15,20225000,102410696,0.1679,"GSM2403128_6285641010_R02C01",0.63554870080706
"57",16,105000,90222377,-0.1787,"GSM2403128_6285641010_R02C01",0.63554870080706
"58",17,25000,81122605,5e-04,"GSM2403128_6285641010_R02C01",0.63554870080706
"59",18,80000,77983624,-0.0102,"GSM2403128_6285641010_R02C01",0.63554870080706
"60",19,180000,59084492,0.0122,"GSM2403128_6285641010_R02C01",0.63554870080706
"61",2,130000,243026238,-0.2209,"GSM2403128_6285641010_R02C01",0.63554870080706
"62",20,155000,62907760,-0.0014,"GSM2403128_6285641010_R02C01",0.63554870080706
"63",21,10848948,48084948,-0.1751,"GSM2403128_6285641010_R02C01",0.63554870080706
"64",22,16373925,51222283,0.0556,"GSM2403128_6285641010_R02C01",0.63554870080706
"65",3,155000,197831215,0.1389,"GSM2403128_6285641010_R02C01",0.63554870080706
"66",4,55000,155675000,0.1329,"GSM2403128_6285641010_R02C01",0.63554870080706
"67",4,155900000,158125000,-0.0932,"GSM2403128_6285641010_R02C01",0.63554870080706
"68",4,158625000,190972138,0.1603,"GSM2403128_6285641010_R02C01",0.63554870080706
"69",5,55000,180777630,0.0022,"GSM2403128_6285641010_R02C01",0.63554870080706
"70",6,155000,170952534,-0.2446,"GSM2403128_6285641010_R02C01",0.63554870080706
"71",7,55000,159039332,0.0291,"GSM2403128_6285641010_R02C01",0.63554870080706
"72",8,105000,146277011,0.0069,"GSM2403128_6285641010_R02C01",0.63554870080706
"73",9,130000,141076716,0.0268,"GSM2403128_6285641010_R02C01",0.63554870080706
"74",1,635684,775000,0.2266,"GSM2403226_6752625135_R01C01",0.610639821525953
"75",1,825000,120350000,-0.1743,"GSM2403226_6752625135_R01C01",0.610639821525953
"76",1,120548578,249195311,0.2289,"GSM2403226_6752625135_R01C01",0.610639821525953
"77",10,105000,135462374,-0.0093,"GSM2403226_6752625135_R01C01",0.610639821525953
"78",11,130000,134873258,0.0294,"GSM2403226_6752625135_R01C01",0.610639821525953
"79",12,172870,133770948,0.0425,"GSM2403226_6752625135_R01C01",0.610639821525953
"80",13,19110000,115079939,-0.1371,"GSM2403226_6752625135_R01C01",0.610639821525953
"81",14,19325000,2.1e+07,0.0066,"GSM2403226_6752625135_R01C01",0.610639821525953
"82",14,21075000,107119770,-0.2462,"GSM2403226_6752625135_R01C01",0.610639821525953
"83",15,20225000,102410696,0.0374,"GSM2403226_6752625135_R01C01",0.610639821525953
"84",16,105000,90222377,-0.1197,"GSM2403226_6752625135_R01C01",0.610639821525953
"85",17,25000,81122605,-0.1919,"GSM2403226_6752625135_R01C01",0.610639821525953
"86",18,80000,77983624,-0.0291,"GSM2403226_6752625135_R01C01",0.610639821525953
"87",19,180000,59084492,0.0928,"GSM2403226_6752625135_R01C01",0.610639821525953
"88",2,130000,89315218,-0.2115,"GSM2403226_6752625135_R01C01",0.610639821525953
"89",2,91672552,95438086,0.195,"GSM2403226_6752625135_R01C01",0.610639821525953
"90",2,95625000,243026238,-0.2169,"GSM2403226_6752625135_R01C01",0.610639821525953
"91",20,155000,62907760,0.0349,"GSM2403226_6752625135_R01C01",0.610639821525953
"92",21,10848948,15475000,0.181,"GSM2403226_6752625135_R01C01",0.610639821525953
"93",21,15650000,48084948,-0.182,"GSM2403226_6752625135_R01C01",0.610639821525953
"94",22,16373925,51222283,-0.1847,"GSM2403226_6752625135_R01C01",0.610639821525953
"95",3,155000,75025000,-0.2418,"GSM2403226_6752625135_R01C01",0.610639821525953
"96",3,75425000,76450000,0.1673,"GSM2403226_6752625135_R01C01",0.610639821525953
