"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.3179,"GSM2403723_9007225064_R02C02",0.763492984138083
"2",10,105000,4300000,0.0391,"GSM2403723_9007225064_R02C02",0.763492984138083
"3",10,4625000,135462374,-0.2757,"GSM2403723_9007225064_R02C02",0.763492984138083
"4",11,130000,134873258,-0.0326,"GSM2403723_9007225064_R02C02",0.763492984138083
"5",12,172870,8225000,-0.3059,"GSM2403723_9007225064_R02C02",0.763492984138083
"6",12,8300000,8650000,0.1271,"GSM2403723_9007225064_R02C02",0.763492984138083
"7",12,8750000,133770948,-0.3276,"GSM2403723_9007225064_R02C02",0.763492984138083
"8",13,19110000,115079939,-0.0393,"GSM2403723_9007225064_R02C02",0.763492984138083
"9",14,19325000,107119770,0.2021,"GSM2403723_9007225064_R02C02",0.763492984138083
"10",15,20225000,22429154,0.2719,"GSM2403723_9007225064_R02C02",0.763492984138083
"11",15,22748097,102410696,-0.2895,"GSM2403723_9007225064_R02C02",0.763492984138083
"12",16,105000,90222377,0.0023,"GSM2403723_9007225064_R02C02",0.763492984138083
"13",17,25000,81122605,0.0137,"GSM2403723_9007225064_R02C02",0.763492984138083
"14",18,80000,77983624,-0.3145,"GSM2403723_9007225064_R02C02",0.763492984138083
"15",19,180000,59084492,-0.0308,"GSM2403723_9007225064_R02C02",0.763492984138083
"16",2,130000,243026238,-0.0122,"GSM2403723_9007225064_R02C02",0.763492984138083
"17",20,155000,62907760,0.239,"GSM2403723_9007225064_R02C02",0.763492984138083
"18",21,10848948,48084948,0.1756,"GSM2403723_9007225064_R02C02",0.763492984138083
"19",22,16373925,51222283,0.197,"GSM2403723_9007225064_R02C02",0.763492984138083
"20",3,155000,197831215,-0.3462,"GSM2403723_9007225064_R02C02",0.763492984138083
"21",4,55000,190972138,-0.3135,"GSM2403723_9007225064_R02C02",0.763492984138083
"22",5,55000,180777630,0.2137,"GSM2403723_9007225064_R02C02",0.763492984138083
"23",6,155000,170952534,-0.0173,"GSM2403723_9007225064_R02C02",0.763492984138083
"24",7,55000,159039332,0.2205,"GSM2403723_9007225064_R02C02",0.763492984138083
"25",8,105000,8175000,0.0149,"GSM2403723_9007225064_R02C02",0.763492984138083
"26",8,8225000,11825000,-0.3395,"GSM2403723_9007225064_R02C02",0.763492984138083
"27",8,11900000,12575000,0.1555,"GSM2403723_9007225064_R02C02",0.763492984138083
"28",8,12625000,146277011,-0.3524,"GSM2403723_9007225064_R02C02",0.763492984138083
"29",9,130000,141076716,-0.301,"GSM2403723_9007225064_R02C02",0.763492984138083
"30",1,635684,249195311,-0.4567,"GSM2403840_9297949139_R06C01",1.03352236393573
"31",10,105000,86025000,0.0307,"GSM2403840_9297949139_R06C01",1.03352236393573
"32",10,86175000,109325000,-0.5323,"GSM2403840_9297949139_R06C01",1.03352236393573
"33",10,110200000,135462374,0.0765,"GSM2403840_9297949139_R06C01",1.03352236393573
"34",11,130000,134873258,-0.1038,"GSM2403840_9297949139_R06C01",1.03352236393573
"35",12,172870,133770948,-0.4467,"GSM2403840_9297949139_R06C01",1.03352236393573
"36",13,19110000,115079939,-0.2837,"GSM2403840_9297949139_R06C01",1.03352236393573
"37",14,19325000,20025000,0.6334,"GSM2403840_9297949139_R06C01",1.03352236393573
"38",14,20450000,107119770,0.0039,"GSM2403840_9297949139_R06C01",1.03352236393573
"39",15,20225000,102410696,-0.4194,"GSM2403840_9297949139_R06C01",1.03352236393573
"40",16,105000,90222377,0.1001,"GSM2403840_9297949139_R06C01",1.03352236393573
