"chrom","start.pos","end.pos","n.probes","GSM2403727_9221197132_R01C02","GSM2403851_9305651037_R01C02","GSM2403997_9305651095_R04C01","GSM2404038_9373550164_R02C02","GSM2404039_9373550164_R03C02","GSM2404437_9420867053_R03C02","GSM2404441_9420867097_R02C01","GSM2404442_9420867097_R03C01","GSM2404443_9420867087_R01C01","GSM2404444_9420867087_R02C01","GSM2405022_9969477057_R02C01","GSM2405430_3999834115_R06C01","GSM2405431_3999834115_R01C02","GSM2405432_3999834115_R02C02","GSM2405471_3999112130_R04C01","GSM2405475_3999112131_R06C02","GSM2405493_3999308203_R02C01","GSM2405494_3999308203_R03C01","GSM2405495_3999308203_R04C01","GSM2405496_3999308203_R05C01","GSM2405526_3998909051_R02C02","GSM2405527_3998909051_R03C02","GSM2405546_3998909182_R04C01","GSM2405558_3998920094_R03C01","GSM2405562_3998920147_R01C01","GSM2405563_3998920147_R03C01","GSM2405564_3998920147_R05C01","GSM2405565_3998920147_R06C01","GSM2405577_3999002043_R05C02","GSM2941806_9969477122_R03C01"
"1",1,521369,249150001,1593,-0.048,-0.046,-0.044,-0.007,-0.022,-0.027,-0.071,-0.011,-0.013,-0.045,0.008,-0.078,-0.077,-0.076,-0.085,0.022,-0.034,-0.011,0.011,0.001,-0.279,-0.319,-0.009,-0.054,-0.268,-0.044,-0.035,-0.035,-0.012,0
"2",2,10001,242950001,1282,-0.05,-0.06,-0.046,-0.032,-0.148,-0.037,-0.049,-0.038,-0.034,-0.043,-0.035,-0.206,-0.04,-0.059,-0.089,-0.032,-0.07,-0.045,-0.035,-0.039,-0.237,-0.288,-0.058,-0.108,-0.259,-0.052,-0.034,-0.056,-0.049,-0.027
"3",3,60001,197700001,978,-0.038,-0.098,-0.068,-0.042,-0.072,-0.058,-0.053,-0.047,-0.045,-0.043,-0.049,-0.219,-0.044,-0.086,-0.138,-0.026,-0.086,-0.049,-0.039,-0.045,-0.253,-0.355,-0.045,-0.163,-0.283,-0.057,-0.014,-0.077,-0.073,-0.023
"4",4,10001,190900001,742,-0.082,-0.104,-0.081,-0.078,-0.093,-0.091,-0.091,-0.091,-0.069,-0.071,-0.093,-0.047,-0.094,-0.117,-0.123,0.003,0.044,-0.085,-0.084,-0.081,-0.266,-0.317,-0.128,-0.16,-0.311,-0.091,-0.059,-0.086,-0.102,-0.075
"5",5,10001,180650001,849,-0.045,-0.069,-0.053,-0.026,-0.047,-0.041,-0.05,-0.034,-0.038,-0.039,-0.03,-0.193,-0.037,-0.063,-0.103,0.07,0.079,-0.043,-0.029,-0.034,-0.245,-0.33,-0.049,-0.112,-0.28,-0.048,-0.022,-0.056,-0.053,-0.024
"6",6,60001,170850001,988,-0.037,-0.068,-0.059,-0.038,-0.044,-0.043,-0.044,-0.044,-0.033,-0.027,-0.041,-0.344,-0.048,-0.074,-0.108,-0.031,-0.077,-0.039,-0.04,-0.044,-0.235,-0.317,-0.048,-0.12,-0.236,-0.046,-0.005,-0.061,-0.061,-0.025
"7",7,10001,158950001,952,0.056,-0.025,-0.004,0.02,-0.001,0.001,0.009,-0.01,0,0.005,-0.005,-0.152,-0.005,-0.023,-0.037,0.019,0.111,-0.007,-0.001,0,-0.137,-0.052,-0.004,-0.054,-0.176,-0.002,0.018,-0.01,-0.009,0.004
"8",8,10001,146250001,726,-0.06,-0.062,-0.042,-0.024,-0.044,-0.033,-0.05,-0.041,-0.033,-0.04,-0.033,-0.179,-0.037,-0.054,-0.082,-0.029,-0.068,-0.046,-0.031,-0.033,-0.202,-0.088,-0.065,-0.103,-0.228,-0.05,-0.031,-0.044,-0.034,-0.038
"9",9,10001,141000001,383,0.023,-0.025,-0.022,-0.002,-0.02,-0.041,-0.047,0.001,-0.013,-0.026,0.005,-0.069,0.005,0.004,-0.115,-0.091,-0.03,-0.009,0.007,0.003,-0.242,-0.268,-0.175,-0.04,-0.268,-0.037,-0.043,-0.027,0.005,-0.155
"10",10,60001,135400001,840,-0.019,-0.028,-0.018,0,-0.109,-0.014,-0.024,-0.019,-0.012,-0.011,-0.005,-0.115,-0.009,-0.022,-0.046,-0.096,-0.037,-0.015,0.002,-0.003,-0.168,-0.2,-0.016,-0.039,-0.179,-0.017,-0.009,-0.018,-0.012,0.003
"11",11,60001,134800001,914,-0.081,-0.068,-0.042,-0.014,-0.046,-0.032,-0.051,-0.035,-0.032,-0.036,-0.017,-0.158,0.03,-0.061,-0.094,0,-0.06,-0.035,-0.016,-0.022,-0.222,-0.292,-0.026,-0.103,-0.238,-0.042,-0.019,-0.048,-0.04,-0.013
"12",12,145740,133700001,848,-0.039,-0.053,-0.049,-0.022,-0.03,-0.035,-0.055,-0.022,-0.027,-0.029,-0.021,-0.126,-0.021,-0.033,-0.094,-0.112,-0.053,-0.023,-0.011,-0.014,-0.25,-0.298,-0.028,-0.079,-0.234,-0.04,-0.02,-0.05,-0.036,-0.007
"13",13,19020001,115050001,431,0.009,-0.046,-0.02,-0.025,-0.04,-0.037,0.017,-0.017,-0.014,-0.006,-0.038,-0.414,-0.043,-0.083,-0.055,-0.14,-0.075,-0.033,-0.044,-0.043,-0.092,-0.196,-0.035,-0.127,-0.132,-0.013,0.035,-0.046,-0.052,-0.011
"14",14,19000001,106950001,528,-0.06,-0.047,-0.044,-0.016,-0.031,-0.029,-0.071,-0.009,-0.017,-0.053,-0.004,-0.09,-0.013,-0.017,-0.084,0.002,-0.047,-0.026,-0.017,-0.008,-0.304,-0.325,-0.223,-0.068,-0.286,-0.057,-0.07,-0.046,-0.021,-0.239
"15",15,20000001,102300001,571,-0.036,-0.024,-0.034,-0.002,-0.108,-0.019,-0.06,-0.018,-0.012,-0.035,0.008,-0.086,-0.005,0.002,-0.055,-0.087,-0.034,-0.013,0.009,-0.002,-0.27,-0.285,-0.03,-0.049,-0.27,-0.046,-0.041,-0.03,-0.008,-0.028
"16",16,60001,90150001,624,0.028,0.005,0.016,0.016,0.012,0.014,-0.002,0.004,0.007,0.01,0.002,-0.125,0.024,0.037,0.027,0.116,0.123,0.017,0.026,0.025,-0.046,-0.06,0.03,0.019,-0.07,0.013,0,0.013,0.024,0.02
"17",17,1,81050001,814,-0.057,-0.054,-0.067,-0.064,-0.05,-0.05,-0.118,-0.05,-0.047,-0.072,-0.054,0.012,-0.035,-0.003,-0.064,-0.037,-0.053,-0.029,-0.034,-0.025,-0.266,-0.174,-0.059,-0.039,-0.198,-0.083,-0.106,-0.059,-0.034,-0.042
"18",18,10001,77950001,243,-0.085,-0.086,-0.089,-0.104,-0.107,-0.09,-0.137,-0.075,-0.082,-0.099,-0.095,-0.162,-0.095,-0.079,-0.1,-0.114,-0.09,-0.084,-0.073,-0.073,-0.324,-0.226,-0.166,-0.136,-0.298,-0.122,-0.121,-0.087,-0.084,-0.092
