"chromosome","start","end","segmean","sample"
"1",1,635684,214775000,0.0372,"GSM2403235_7310440006_R05C01"
"2",1,214975000,220775000,-0.1626,"GSM2403235_7310440006_R05C01"
"3",1,220875000,249195311,0.0148,"GSM2403235_7310440006_R05C01"
"4",10,105000,135462374,0.0037,"GSM2403235_7310440006_R05C01"
"5",11,130000,48975000,-0.0072,"GSM2403235_7310440006_R05C01"
"6",11,49250000,56675000,-0.1778,"GSM2403235_7310440006_R05C01"
"7",11,56975000,134873258,-0.0014,"GSM2403235_7310440006_R05C01"
"8",12,172870,133770948,0.005,"GSM2403235_7310440006_R05C01"
"9",13,19110000,115079939,-0.0757,"GSM2403235_7310440006_R05C01"
"10",14,19325000,107119770,0.0249,"GSM2403235_7310440006_R05C01"
"11",15,20225000,102410696,0.0317,"GSM2403235_7310440006_R05C01"
"12",16,105000,90222377,0.0398,"GSM2403235_7310440006_R05C01"
"13",17,25000,81122605,0.017,"GSM2403235_7310440006_R05C01"
"14",18,80000,77983624,-0.0615,"GSM2403235_7310440006_R05C01"
"15",19,180000,59084492,0.0415,"GSM2403235_7310440006_R05C01"
"16",2,130000,243026238,-0.0383,"GSM2403235_7310440006_R05C01"
"17",20,155000,6100000,0.0358,"GSM2403235_7310440006_R05C01"
"18",20,6450000,16575000,-0.197,"GSM2403235_7310440006_R05C01"
"19",20,16675000,62907760,0.0073,"GSM2403235_7310440006_R05C01"
"20",21,10848948,48084948,0.0146,"GSM2403235_7310440006_R05C01"
"21",22,16373925,51222283,0.0619,"GSM2403235_7310440006_R05C01"
"22",3,155000,187875000,-0.0531,"GSM2403235_7310440006_R05C01"
"23",3,187925000,192300000,-0.1995,"GSM2403235_7310440006_R05C01"
"24",3,192525000,197831215,0.0477,"GSM2403235_7310440006_R05C01"
"25",4,55000,190972138,-0.0897,"GSM2403235_7310440006_R05C01"
"26",5,55000,180777630,-0.0373,"GSM2403235_7310440006_R05C01"
"27",6,155000,170952534,-0.0402,"GSM2403235_7310440006_R05C01"
"28",7,55000,159039332,-0.0068,"GSM2403235_7310440006_R05C01"
"29",8,105000,146277011,-0.0324,"GSM2403235_7310440006_R05C01"
"30",9,130000,141076716,0.023,"GSM2403235_7310440006_R05C01"
"31",1,635684,249195311,0.0447,"GSM2403236_7310440006_R05C02"
