"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0109,"GSM2402990_6929689149_R01C02"
"2",10,105000,135462374,-0.4521,"GSM2402990_6929689149_R01C02"
"3",11,130000,134873258,0.2087,"GSM2402990_6929689149_R01C02"
"4",12,172870,133770948,0.2136,"GSM2402990_6929689149_R01C02"
"5",13,19110000,115079939,-0.0252,"GSM2402990_6929689149_R01C02"
"6",14,19325000,107119770,-0.0081,"GSM2402990_6929689149_R01C02"
"7",15,20225000,102410696,0.0024,"GSM2402990_6929689149_R01C02"
"8",16,105000,90222377,0.002,"GSM2402990_6929689149_R01C02"
"9",17,25000,81122605,-0.1139,"GSM2402990_6929689149_R01C02"
"10",18,80000,77983624,-0.1498,"GSM2402990_6929689149_R01C02"
"11",19,180000,59084492,0.1463,"GSM2402990_6929689149_R01C02"
"12",2,130000,243026238,-0.0462,"GSM2402990_6929689149_R01C02"
"13",20,155000,62907760,0.1463,"GSM2402990_6929689149_R01C02"
"14",21,10848948,48084948,-0.0185,"GSM2402990_6929689149_R01C02"
"15",22,16373925,51222283,-0.4122,"GSM2402990_6929689149_R01C02"
"16",3,155000,197831215,-0.0079,"GSM2402990_6929689149_R01C02"
"17",4,55000,190972138,0.136,"GSM2402990_6929689149_R01C02"
"18",5,55000,180777630,-0.0123,"GSM2402990_6929689149_R01C02"
"19",6,155000,170952534,0.1897,"GSM2402990_6929689149_R01C02"
"20",7,55000,159039332,0.0308,"GSM2402990_6929689149_R01C02"
"21",8,105000,146277011,0.1914,"GSM2402990_6929689149_R01C02"
"22",9,130000,141076716,0.1957,"GSM2402990_6929689149_R01C02"
"23",1,635684,29150000,-0.1482,"GSM2403199_6929806038_R05C02"
"24",1,29225000,249195311,0.0667,"GSM2403199_6929806038_R05C02"
"25",10,105000,135462374,-0.2677,"GSM2403199_6929806038_R05C02"
"26",11,130000,134873258,0.0622,"GSM2403199_6929806038_R05C02"
"27",12,172870,133770948,0.0523,"GSM2403199_6929806038_R05C02"
"28",13,19110000,115079939,0.0036,"GSM2403199_6929806038_R05C02"
"29",14,19325000,107119770,0.0508,"GSM2403199_6929806038_R05C02"
"30",15,20225000,102410696,0.0627,"GSM2403199_6929806038_R05C02"
"31",16,105000,90222377,0.0784,"GSM2403199_6929806038_R05C02"
"32",17,25000,81122605,-0.0112,"GSM2403199_6929806038_R05C02"
"33",18,80000,77983624,-0.0859,"GSM2403199_6929806038_R05C02"
"34",19,180000,59084492,0.0397,"GSM2403199_6929806038_R05C02"
"35",2,130000,243026238,0.0081,"GSM2403199_6929806038_R05C02"
"36",20,155000,62907760,0.027,"GSM2403199_6929806038_R05C02"
"37",21,10848948,48084948,0.0341,"GSM2403199_6929806038_R05C02"
"38",22,16373925,51222283,0.0591,"GSM2403199_6929806038_R05C02"
"39",3,155000,135600000,-0.2291,"GSM2403199_6929806038_R05C02"
"40",3,135925000,197831215,0.0294,"GSM2403199_6929806038_R05C02"
"41",4,55000,190972138,-0.0437,"GSM2403199_6929806038_R05C02"
"42",5,55000,180777630,0.0377,"GSM2403199_6929806038_R05C02"
"43",6,155000,170952534,0.0187,"GSM2403199_6929806038_R05C02"
"44",7,55000,159039332,0.0635,"GSM2403199_6929806038_R05C02"
"45",8,105000,146277011,0.2041,"GSM2403199_6929806038_R05C02"
"46",9,130000,141076716,0.0633,"GSM2403199_6929806038_R05C02"
"47",1,635684,249195311,-0.012,"GSM2403704_9007225003_R04C01"
"48",10,105000,135462374,-0.1894,"GSM2403704_9007225003_R04C01"
"49",11,130000,134873258,-0.0053,"GSM2403704_9007225003_R04C01"
"50",12,172870,133770948,0.0037,"GSM2403704_9007225003_R04C01"
"51",13,19110000,115079939,0.0181,"GSM2403704_9007225003_R04C01"
"52",14,19325000,20025000,0.3238,"GSM2403704_9007225003_R04C01"
"53",14,20450000,107119770,-0.0103,"GSM2403704_9007225003_R04C01"
"54",15,20225000,102410696,0.0037,"GSM2403704_9007225003_R04C01"
"55",16,105000,90222377,0.0659,"GSM2403704_9007225003_R04C01"
"56",17,25000,81122605,0.0141,"GSM2403704_9007225003_R04C01"
"57",18,80000,77983624,-0.0472,"GSM2403704_9007225003_R04C01"
"58",19,180000,59084492,0.0483,"GSM2403704_9007225003_R04C01"
"59",2,130000,243026238,-0.0236,"GSM2403704_9007225003_R04C01"
"60",20,155000,62907760,0.0075,"GSM2403704_9007225003_R04C01"
"61",21,10848948,48084948,0.0787,"GSM2403704_9007225003_R04C01"
"62",22,16373925,51222283,0.0236,"GSM2403704_9007225003_R04C01"
"63",3,155000,197831215,-0.1724,"GSM2403704_9007225003_R04C01"
"64",4,55000,190972138,-9e-04,"GSM2403704_9007225003_R04C01"
"65",5,55000,180777630,0.0156,"GSM2403704_9007225003_R04C01"
"66",6,155000,170952534,-0.013,"GSM2403704_9007225003_R04C01"
"67",7,55000,159039332,0.0243,"GSM2403704_9007225003_R04C01"
"68",8,105000,146277011,0.2392,"GSM2403704_9007225003_R04C01"
"69",9,130000,141076716,-0.0105,"GSM2403704_9007225003_R04C01"
"70",1,635684,249195311,0.0041,"GSM2403920_9305651050_R02C02"
"71",10,105000,135462374,-0.3894,"GSM2403920_9305651050_R02C02"
"72",11,130000,134873258,0.0209,"GSM2403920_9305651050_R02C02"
"73",12,172870,133770948,0.2508,"GSM2403920_9305651050_R02C02"
"74",13,19110000,115079939,0.0895,"GSM2403920_9305651050_R02C02"
"75",14,19325000,107119770,0.0102,"GSM2403920_9305651050_R02C02"
"76",15,20225000,102410696,0.0265,"GSM2403920_9305651050_R02C02"
"77",16,105000,90222377,0.0476,"GSM2403920_9305651050_R02C02"
"78",17,25000,81122605,-0.0668,"GSM2403920_9305651050_R02C02"
"79",18,80000,77983624,-0.1087,"GSM2403920_9305651050_R02C02"
"80",19,180000,59084492,-0.0016,"GSM2403920_9305651050_R02C02"
"81",2,130000,243026238,0.0043,"GSM2403920_9305651050_R02C02"
"82",20,155000,62907760,-0.0308,"GSM2403920_9305651050_R02C02"
"83",21,10848948,48084948,0.232,"GSM2403920_9305651050_R02C02"
"84",22,16373925,51222283,-0.0258,"GSM2403920_9305651050_R02C02"
"85",3,155000,197831215,0.0205,"GSM2403920_9305651050_R02C02"
"86",4,55000,190972138,-0.0403,"GSM2403920_9305651050_R02C02"
"87",5,55000,180777630,0.022,"GSM2403920_9305651050_R02C02"
"88",6,155000,170952534,0.0308,"GSM2403920_9305651050_R02C02"
"89",7,55000,159039332,0.0685,"GSM2403920_9305651050_R02C02"
"90",8,105000,146277011,0.2381,"GSM2403920_9305651050_R02C02"
"91",9,130000,141076716,0.2167,"GSM2403920_9305651050_R02C02"
"92",1,635684,249195311,0.0403,"GSM2403923_9305651050_R01C01"
"93",10,105000,135462374,-0.382,"GSM2403923_9305651050_R01C01"
"94",11,130000,134873258,0.0709,"GSM2403923_9305651050_R01C01"
"95",12,172870,133770948,0.0812,"GSM2403923_9305651050_R01C01"
"96",13,19110000,115079939,0.1599,"GSM2403923_9305651050_R01C01"
"97",14,19325000,107119770,0.0379,"GSM2403923_9305651050_R01C01"
"98",15,20225000,102410696,0.0693,"GSM2403923_9305651050_R01C01"
"99",16,105000,90222377,0.1192,"GSM2403923_9305651050_R01C01"
"100",17,25000,81122605,-0.0262,"GSM2403923_9305651050_R01C01"
"101",18,80000,77983624,-0.0567,"GSM2403923_9305651050_R01C01"
"102",19,180000,59084492,0.0336,"GSM2403923_9305651050_R01C01"
"103",2,130000,243026238,0.0471,"GSM2403923_9305651050_R01C01"
"104",20,155000,62907760,-0.0023,"GSM2403923_9305651050_R01C01"
"105",21,10848948,48084948,0.0986,"GSM2403923_9305651050_R01C01"
"106",22,16373925,51222283,-0.4304,"GSM2403923_9305651050_R01C01"
"107",3,155000,197831215,0.0735,"GSM2403923_9305651050_R01C01"
"108",4,55000,190972138,0.0095,"GSM2403923_9305651050_R01C01"
"109",5,55000,180777630,0.0758,"GSM2403923_9305651050_R01C01"
"110",6,155000,170952534,0.0719,"GSM2403923_9305651050_R01C01"
"111",7,55000,159039332,0.1242,"GSM2403923_9305651050_R01C01"
"112",8,105000,146277011,0.3128,"GSM2403923_9305651050_R01C01"
"113",9,130000,141076716,0.044,"GSM2403923_9305651050_R01C01"
"114",1,635684,249195311,0.0336,"GSM2403924_9305651050_R03C01"
"115",10,105000,135462374,-0.3746,"GSM2403924_9305651050_R03C01"
"116",11,130000,134873258,0.0639,"GSM2403924_9305651050_R03C01"
"117",12,172870,133770948,0.2807,"GSM2403924_9305651050_R03C01"
"118",13,19110000,115079939,0.1741,"GSM2403924_9305651050_R03C01"
"119",14,19325000,107119770,0.0189,"GSM2403924_9305651050_R03C01"
"120",15,20225000,102410696,0.0231,"GSM2403924_9305651050_R03C01"
"121",16,105000,90222377,0.0512,"GSM2403924_9305651050_R03C01"
"122",17,25000,81122605,-0.1018,"GSM2403924_9305651050_R03C01"
"123",18,80000,77983624,-0.1059,"GSM2403924_9305651050_R03C01"
"124",19,180000,59084492,-0.0316,"GSM2403924_9305651050_R03C01"
"125",2,130000,243026238,0.0337,"GSM2403924_9305651050_R03C01"
"126",20,155000,62907760,-0.0154,"GSM2403924_9305651050_R03C01"
"127",21,10848948,48084948,0.0423,"GSM2403924_9305651050_R03C01"
"128",22,16373925,51222283,-0.0624,"GSM2403924_9305651050_R03C01"
"129",3,155000,197831215,0.0835,"GSM2403924_9305651050_R03C01"
"130",4,55000,190972138,-0.021,"GSM2403924_9305651050_R03C01"
"131",5,55000,180777630,0.0662,"GSM2403924_9305651050_R03C01"
"132",6,155000,170952534,0.0798,"GSM2403924_9305651050_R03C01"
"133",7,55000,159039332,0.1226,"GSM2403924_9305651050_R03C01"
"134",8,105000,146277011,0.2571,"GSM2403924_9305651050_R03C01"
"135",9,130000,141076716,0.2371,"GSM2403924_9305651050_R03C01"
"136",1,635684,249195311,0.0272,"GSM2403927_9305651050_R06C01"
"137",10,105000,135462374,-0.2183,"GSM2403927_9305651050_R06C01"
"138",11,130000,134873258,0.0438,"GSM2403927_9305651050_R06C01"
"139",12,172870,133770948,0.2257,"GSM2403927_9305651050_R06C01"
"140",13,19110000,115079939,0.0378,"GSM2403927_9305651050_R06C01"
"141",14,19325000,107119770,-0.2217,"GSM2403927_9305651050_R06C01"
"142",15,20225000,102410696,0.0392,"GSM2403927_9305651050_R06C01"
"143",16,105000,90222377,0.0486,"GSM2403927_9305651050_R06C01"
"144",17,25000,81122605,0.0832,"GSM2403927_9305651050_R06C01"
"145",18,80000,77983624,-0.0817,"GSM2403927_9305651050_R06C01"
"146",19,180000,59084492,0.0207,"GSM2403927_9305651050_R06C01"
"147",2,130000,243026238,0.0271,"GSM2403927_9305651050_R06C01"
"148",20,155000,62907760,-0.0035,"GSM2403927_9305651050_R06C01"
"149",21,10848948,48084948,0.1269,"GSM2403927_9305651050_R06C01"
"150",22,16373925,51222283,-0.2429,"GSM2403927_9305651050_R06C01"
"151",3,155000,197831215,-0.2239,"GSM2403927_9305651050_R06C01"
"152",4,55000,190972138,-0.0242,"GSM2403927_9305651050_R06C01"
"153",5,55000,180777630,0.1339,"GSM2403927_9305651050_R06C01"
"154",6,155000,170952534,0.0621,"GSM2403927_9305651050_R06C01"
"155",7,55000,159039332,0.1051,"GSM2403927_9305651050_R06C01"
"156",8,105000,146277011,0.1965,"GSM2403927_9305651050_R06C01"
"157",9,130000,141076716,0.0315,"GSM2403927_9305651050_R06C01"
"158",1,635684,249195311,0.0958,"GSM2403928_9305651046_R03C02"
"159",10,105000,135462374,-0.2837,"GSM2403928_9305651046_R03C02"
"160",11,130000,134873258,0.0851,"GSM2403928_9305651046_R03C02"
"161",12,172870,133770948,0.0854,"GSM2403928_9305651046_R03C02"
"162",13,19110000,115079939,0.0435,"GSM2403928_9305651046_R03C02"
"163",14,19325000,107119770,0.0381,"GSM2403928_9305651046_R03C02"
"164",15,20225000,102410696,0.085,"GSM2403928_9305651046_R03C02"
"165",16,105000,90222377,0.1069,"GSM2403928_9305651046_R03C02"
"166",17,25000,81122605,-0.0214,"GSM2403928_9305651046_R03C02"
"167",18,80000,77983624,-0.0974,"GSM2403928_9305651046_R03C02"
"168",19,180000,59084492,0.0665,"GSM2403928_9305651046_R03C02"
"169",2,130000,243026238,-0.0522,"GSM2403928_9305651046_R03C02"
"170",20,155000,62907760,0.0507,"GSM2403928_9305651046_R03C02"
"171",21,10848948,48084948,0.0741,"GSM2403928_9305651046_R03C02"
"172",22,16373925,51222283,0.0102,"GSM2403928_9305651046_R03C02"
"173",3,155000,197831215,-0.2295,"GSM2403928_9305651046_R03C02"
"174",4,55000,190972138,-0.1084,"GSM2403928_9305651046_R03C02"
"175",5,55000,180777630,0.0693,"GSM2403928_9305651046_R03C02"
"176",6,155000,170952534,0.051,"GSM2403928_9305651046_R03C02"
"177",7,55000,159039332,0.0918,"GSM2403928_9305651046_R03C02"
"178",8,105000,146277011,0.2218,"GSM2403928_9305651046_R03C02"
"179",9,130000,141076716,0.0482,"GSM2403928_9305651046_R03C02"
"180",1,635684,249195311,0.0686,"GSM2403930_9305651046_R04C01"
"181",10,105000,135462374,-0.2416,"GSM2403930_9305651046_R04C01"
"182",11,130000,134873258,0.0884,"GSM2403930_9305651046_R04C01"
"183",12,172870,133770948,0.0825,"GSM2403930_9305651046_R04C01"
"184",13,19110000,115079939,0.1008,"GSM2403930_9305651046_R04C01"
"185",14,19325000,107119770,-0.2829,"GSM2403930_9305651046_R04C01"
"186",15,20225000,102410696,0.0895,"GSM2403930_9305651046_R04C01"
"187",16,105000,90222377,0.1311,"GSM2403930_9305651046_R04C01"
"188",17,25000,81122605,0.0138,"GSM2403930_9305651046_R04C01"
"189",18,80000,77983624,-0.0248,"GSM2403930_9305651046_R04C01"
"190",19,180000,59084492,0.0708,"GSM2403930_9305651046_R04C01"
"191",2,130000,243026238,0.0487,"GSM2403930_9305651046_R04C01"
"192",20,155000,62907760,0.0141,"GSM2403930_9305651046_R04C01"
"193",21,10848948,48084948,0.1063,"GSM2403930_9305651046_R04C01"
"194",22,16373925,51222283,-0.2244,"GSM2403930_9305651046_R04C01"
"195",3,155000,197831215,-0.2761,"GSM2403930_9305651046_R04C01"
"196",4,55000,190972138,0.0296,"GSM2403930_9305651046_R04C01"
"197",5,55000,180777630,0.0721,"GSM2403930_9305651046_R04C01"
"198",6,155000,170952534,0.0608,"GSM2403930_9305651046_R04C01"
"199",7,55000,159039332,0.1271,"GSM2403930_9305651046_R04C01"
"200",8,105000,146277011,0.0724,"GSM2403930_9305651046_R04C01"
"201",9,130000,141076716,0.0675,"GSM2403930_9305651046_R04C01"
"202",1,635684,249195311,0.0576,"GSM2403931_9305651046_R06C01"
"203",10,105000,135462374,-0.3391,"GSM2403931_9305651046_R06C01"
"204",11,130000,134873258,0.2297,"GSM2403931_9305651046_R06C01"
"205",12,172870,133770948,0.2384,"GSM2403931_9305651046_R06C01"
"206",13,19110000,115079939,0.0169,"GSM2403931_9305651046_R06C01"
"207",14,19325000,107119770,-0.1214,"GSM2403931_9305651046_R06C01"
"208",15,20225000,102410696,-0.1069,"GSM2403931_9305651046_R06C01"
"209",16,105000,90222377,0.0893,"GSM2403931_9305651046_R06C01"
"210",17,25000,81122605,-0.0265,"GSM2403931_9305651046_R06C01"
"211",18,80000,77983624,-0.0349,"GSM2403931_9305651046_R06C01"
"212",19,180000,59084492,0.0106,"GSM2403931_9305651046_R06C01"
