"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0485,"GSM2404034_9340996058_R03C01"
"2",10,105000,135462374,0.036,"GSM2404034_9340996058_R03C01"
"3",11,130000,134873258,0.0514,"GSM2404034_9340996058_R03C01"
"4",12,172870,133770948,0.0278,"GSM2404034_9340996058_R03C01"
"5",13,19110000,115079939,0.0603,"GSM2404034_9340996058_R03C01"
"6",14,19325000,107119770,0.0205,"GSM2404034_9340996058_R03C01"
"7",15,20225000,102410696,0.0301,"GSM2404034_9340996058_R03C01"
"8",16,105000,90222377,0.037,"GSM2404034_9340996058_R03C01"
"9",17,25000,81122605,-0.0173,"GSM2404034_9340996058_R03C01"
"10",18,80000,77983624,-0.1449,"GSM2404034_9340996058_R03C01"
"11",19,180000,59084492,-0.0553,"GSM2404034_9340996058_R03C01"
"12",2,130000,243026238,0.0098,"GSM2404034_9340996058_R03C01"
"13",20,155000,62907760,-0.015,"GSM2404034_9340996058_R03C01"
"14",21,10848948,48084948,0.0065,"GSM2404034_9340996058_R03C01"
"15",22,16373925,51222283,-0.0164,"GSM2404034_9340996058_R03C01"
"16",3,155000,197831215,0.0397,"GSM2404034_9340996058_R03C01"
"17",4,55000,190972138,-0.0604,"GSM2404034_9340996058_R03C01"
"18",5,55000,180777630,0.04,"GSM2404034_9340996058_R03C01"
"19",6,155000,170952534,0.0934,"GSM2404034_9340996058_R03C01"
"20",7,55000,159039332,0.0792,"GSM2404034_9340996058_R03C01"
"21",8,105000,104925000,-0.1033,"GSM2404034_9340996058_R03C01"
"22",8,105350000,146277011,0.2729,"GSM2404034_9340996058_R03C01"
"23",9,130000,141076716,0.0271,"GSM2404034_9340996058_R03C01"
"24",1,635684,249195311,0.0048,"GSM2404239_9406921149_R04C01"
"25",10,105000,135462374,0.0458,"GSM2404239_9406921149_R04C01"
"26",11,130000,134873258,0.0204,"GSM2404239_9406921149_R04C01"
"27",12,172870,133770948,0.0278,"GSM2404239_9406921149_R04C01"
"28",13,19110000,115079939,0.1052,"GSM2404239_9406921149_R04C01"
"29",14,19325000,107119770,-0.0157,"GSM2404239_9406921149_R04C01"
"30",15,20225000,102410696,0.0172,"GSM2404239_9406921149_R04C01"
"31",16,105000,90222377,0.0786,"GSM2404239_9406921149_R04C01"
"32",17,25000,81122605,-0.012,"GSM2404239_9406921149_R04C01"
"33",18,80000,77983624,-0.0549,"GSM2404239_9406921149_R04C01"
"34",19,180000,59084492,0.0122,"GSM2404239_9406921149_R04C01"
"35",2,130000,243026238,0.0131,"GSM2404239_9406921149_R04C01"
"36",20,155000,62907760,-0.0282,"GSM2404239_9406921149_R04C01"
"37",21,10848948,48084948,0.0704,"GSM2404239_9406921149_R04C01"
"38",22,16373925,51222283,-0.0033,"GSM2404239_9406921149_R04C01"
"39",3,155000,88175000,0.0103,"GSM2404239_9406921149_R04C01"
"40",3,88700000,197831215,-0.4186,"GSM2404239_9406921149_R04C01"
"41",4,55000,190972138,-0.0271,"GSM2404239_9406921149_R04C01"
"42",5,55000,180777630,0.0076,"GSM2404239_9406921149_R04C01"
"43",6,155000,170952534,0.0422,"GSM2404239_9406921149_R04C01"
"44",7,55000,159039332,0.0611,"GSM2404239_9406921149_R04C01"
