"chromosome","start","end","segmean","sample","noise"
"1",1,635684,152150000,-0.0322,"GSM2403323_7990895142_R06C01",0.598201715818618
"2",1,152325000,153250000,-0.3217,"GSM2403323_7990895142_R06C01",0.598201715818618
"3",1,153325000,157125000,-0.0114,"GSM2403323_7990895142_R06C01",0.598201715818618
"4",1,157325000,159150000,-0.3267,"GSM2403323_7990895142_R06C01",0.598201715818618
"5",1,159325000,249195311,-0.0219,"GSM2403323_7990895142_R06C01",0.598201715818618
"6",10,105000,25375000,0.0369,"GSM2403323_7990895142_R06C01",0.598201715818618
"7",10,25475000,26925000,-0.413,"GSM2403323_7990895142_R06C01",0.598201715818618
"8",10,27050000,106075000,-0.0648,"GSM2403323_7990895142_R06C01",0.598201715818618
"9",10,106250000,109325000,-0.4677,"GSM2403323_7990895142_R06C01",0.598201715818618
"10",10,110200000,135462374,-7e-04,"GSM2403323_7990895142_R06C01",0.598201715818618
"11",11,130000,50516927,-0.0507,"GSM2403323_7990895142_R06C01",0.598201715818618
"12",11,54922103,56975000,-0.3767,"GSM2403323_7990895142_R06C01",0.598201715818618
"13",11,57075000,134873258,-0.0346,"GSM2403323_7990895142_R06C01",0.598201715818618
"14",12,172870,133770948,0.2013,"GSM2403323_7990895142_R06C01",0.598201715818618
"15",13,19110000,115079939,-0.0519,"GSM2403323_7990895142_R06C01",0.598201715818618
"16",14,19325000,107119770,-0.0441,"GSM2403323_7990895142_R06C01",0.598201715818618
"17",15,20225000,102410696,-0.0223,"GSM2403323_7990895142_R06C01",0.598201715818618
"18",16,105000,5125000,-0.0158,"GSM2403323_7990895142_R06C01",0.598201715818618
"19",16,5475000,7575000,-0.2994,"GSM2403323_7990895142_R06C01",0.598201715818618
"20",16,8193461,16725000,0.0112,"GSM2403323_7990895142_R06C01",0.598201715818618
"21",16,17375000,28575000,-0.4744,"GSM2403323_7990895142_R06C01",0.598201715818618
"22",16,28625000,55175000,-0.0279,"GSM2403323_7990895142_R06C01",0.598201715818618
"23",16,55425000,56675000,-0.5006,"GSM2403323_7990895142_R06C01",0.598201715818618
"24",16,56725000,57200000,0.0398,"GSM2403323_7990895142_R06C01",0.598201715818618
"25",16,57275000,77950000,-0.4381,"GSM2403323_7990895142_R06C01",0.598201715818618
"26",16,78075000,90222377,0.0342,"GSM2403323_7990895142_R06C01",0.598201715818618
"27",17,25000,1625000,-0.3798,"GSM2403323_7990895142_R06C01",0.598201715818618
"28",17,1675000,2950000,-0.026,"GSM2403323_7990895142_R06C01",0.598201715818618
"29",17,3075000,3875000,-0.4769,"GSM2403323_7990895142_R06C01",0.598201715818618
"30",17,3925000,32175000,-0.0542,"GSM2403323_7990895142_R06C01",0.598201715818618
"31",17,32475000,32925000,-0.4643,"GSM2403323_7990895142_R06C01",0.598201715818618
"32",17,33100000,81122605,-0.06,"GSM2403323_7990895142_R06C01",0.598201715818618
"33",18,80000,77983624,-0.0696,"GSM2403323_7990895142_R06C01",0.598201715818618
"34",19,180000,59084492,-0.071,"GSM2403323_7990895142_R06C01",0.598201715818618
"35",2,130000,160775000,-0.0287,"GSM2403323_7990895142_R06C01",0.598201715818618
"36",2,1.61e+08,164575000,-0.3479,"GSM2403323_7990895142_R06C01",0.598201715818618
"37",2,165125000,243026238,-0.0259,"GSM2403323_7990895142_R06C01",0.598201715818618
"38",20,155000,62907760,-0.0545,"GSM2403323_7990895142_R06C01",0.598201715818618
"39",21,10848948,48084948,-0.0013,"GSM2403323_7990895142_R06C01",0.598201715818618
"40",22,16373925,29125000,-0.0904,"GSM2403323_7990895142_R06C01",0.598201715818618
"41",22,29175000,37325000,-0.4516,"GSM2403323_7990895142_R06C01",0.598201715818618
"42",22,37425000,37825000,-0.0092,"GSM2403323_7990895142_R06C01",0.598201715818618
"43",22,37900000,51222283,-0.3892,"GSM2403323_7990895142_R06C01",0.598201715818618
"44",3,155000,197831215,-0.0056,"GSM2403323_7990895142_R06C01",0.598201715818618
"45",4,55000,190972138,-0.0482,"GSM2403323_7990895142_R06C01",0.598201715818618
"46",5,55000,180777630,-0.0389,"GSM2403323_7990895142_R06C01",0.598201715818618
"47",6,155000,49500000,-0.0194,"GSM2403323_7990895142_R06C01",0.598201715818618
