"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1163,"GSM2403844_9305651037_R01C01",0.729312743544688
"2",10,105000,135462374,-0.0676,"GSM2403844_9305651037_R01C01",0.729312743544688
"3",11,130000,134873258,-0.115,"GSM2403844_9305651037_R01C01",0.729312743544688
"4",12,172870,133770948,-0.0956,"GSM2403844_9305651037_R01C01",0.729312743544688
"5",13,19110000,115079939,-0.0883,"GSM2403844_9305651037_R01C01",0.729312743544688
"6",14,19325000,20025000,0.3548,"GSM2403844_9305651037_R01C01",0.729312743544688
"7",14,20450000,107119770,-0.1025,"GSM2403844_9305651037_R01C01",0.729312743544688
"8",15,20225000,102410696,-0.0748,"GSM2403844_9305651037_R01C01",0.729312743544688
"9",16,105000,90222377,-0.0092,"GSM2403844_9305651037_R01C01",0.729312743544688
"10",17,25000,81122605,-0.0583,"GSM2403844_9305651037_R01C01",0.729312743544688
"11",18,80000,77983624,-0.0742,"GSM2403844_9305651037_R01C01",0.729312743544688
"12",19,180000,59084492,-0.0553,"GSM2403844_9305651037_R01C01",0.729312743544688
"13",2,130000,89315218,-0.1054,"GSM2403844_9305651037_R01C01",0.729312743544688
"14",2,91672552,92288086,0.3133,"GSM2403844_9305651037_R01C01",0.729312743544688
"15",2,95438086,243026238,-0.1113,"GSM2403844_9305651037_R01C01",0.729312743544688
"16",20,155000,62907760,-0.0991,"GSM2403844_9305651037_R01C01",0.729312743544688
"17",21,10848948,48084948,-0.0041,"GSM2403844_9305651037_R01C01",0.729312743544688
"18",22,16373925,51222283,-0.0063,"GSM2403844_9305651037_R01C01",0.729312743544688
"19",3,155000,197831215,-0.1433,"GSM2403844_9305651037_R01C01",0.729312743544688
"20",4,55000,190972138,-0.1177,"GSM2403844_9305651037_R01C01",0.729312743544688
"21",5,55000,180777630,-0.1202,"GSM2403844_9305651037_R01C01",0.729312743544688
"22",6,155000,170952534,-0.1071,"GSM2403844_9305651037_R01C01",0.729312743544688
"23",7,55000,56700000,-0.0611,"GSM2403844_9305651037_R01C01",0.729312743544688
"24",7,56875000,63275000,0.2559,"GSM2403844_9305651037_R01C01",0.729312743544688
"25",7,63375000,159039332,-0.082,"GSM2403844_9305651037_R01C01",0.729312743544688
"26",8,105000,146277011,-0.1022,"GSM2403844_9305651037_R01C01",0.729312743544688
"27",9,130000,141076716,-0.0506,"GSM2403844_9305651037_R01C01",0.729312743544688
"28",1,635684,249195311,-0.0941,"GSM2404121_9379086132_R03C02",0.767645021132802
"29",10,105000,135462374,-0.0729,"GSM2404121_9379086132_R03C02",0.767645021132802
"30",11,130000,134873258,-0.0666,"GSM2404121_9379086132_R03C02",0.767645021132802
"31",12,172870,133770948,-0.1006,"GSM2404121_9379086132_R03C02",0.767645021132802
"32",13,19110000,115079939,-0.0904,"GSM2404121_9379086132_R03C02",0.767645021132802
"33",14,19325000,20025000,0.2447,"GSM2404121_9379086132_R03C02",0.767645021132802
"34",14,20450000,107119770,-0.2156,"GSM2404121_9379086132_R03C02",0.767645021132802
"35",15,20225000,102410696,-0.0142,"GSM2404121_9379086132_R03C02",0.767645021132802
"36",16,105000,31825000,-0.014,"GSM2404121_9379086132_R03C02",0.767645021132802
"37",16,32075000,33986575,0.3223,"GSM2404121_9379086132_R03C02",0.767645021132802
"38",16,34286575,90222377,-0.0312,"GSM2404121_9379086132_R03C02",0.767645021132802
"39",17,25000,81122605,-0.0681,"GSM2404121_9379086132_R03C02",0.767645021132802
"40",18,80000,77983624,-0.0773,"GSM2404121_9379086132_R03C02",0.767645021132802
"41",19,180000,59084492,0.1032,"GSM2404121_9379086132_R03C02",0.767645021132802
"42",2,130000,88975000,-0.1963,"GSM2404121_9379086132_R03C02",0.767645021132802
"43",2,89315218,95438086,0.2035,"GSM2404121_9379086132_R03C02",0.767645021132802
"44",2,95625000,243026238,-0.2044,"GSM2404121_9379086132_R03C02",0.767645021132802
"45",20,155000,62907760,-0.0951,"GSM2404121_9379086132_R03C02",0.767645021132802
"46",21,10848948,48084948,-0.0177,"GSM2404121_9379086132_R03C02",0.767645021132802
"47",22,16373925,51222283,-0.0031,"GSM2404121_9379086132_R03C02",0.767645021132802
"48",3,155000,197831215,-0.1547,"GSM2404121_9379086132_R03C02",0.767645021132802
"49",4,55000,190972138,-0.0854,"GSM2404121_9379086132_R03C02",0.767645021132802
"50",5,55000,180777630,-0.1235,"GSM2404121_9379086132_R03C02",0.767645021132802
"51",6,155000,170952534,-0.0488,"GSM2404121_9379086132_R03C02",0.767645021132802
"52",7,55000,159039332,-0.0708,"GSM2404121_9379086132_R03C02",0.767645021132802
"53",8,105000,146277011,-0.0311,"GSM2404121_9379086132_R03C02",0.767645021132802
"54",9,130000,141076716,-0.0771,"GSM2404121_9379086132_R03C02",0.767645021132802
"55",1,635684,249195311,-0.1135,"GSM2404189_9376538149_R03C02",0.78847799423968
"56",10,105000,135462374,-0.0746,"GSM2404189_9376538149_R03C02",0.78847799423968
"57",11,130000,134873258,-0.1515,"GSM2404189_9376538149_R03C02",0.78847799423968
"58",12,172870,133770948,-0.1112,"GSM2404189_9376538149_R03C02",0.78847799423968
"59",13,19110000,92075000,-0.1784,"GSM2404189_9376538149_R03C02",0.78847799423968
"60",13,92975000,95075000,-0.7846,"GSM2404189_9376538149_R03C02",0.78847799423968
"61",13,95225000,115079939,0.0302,"GSM2404189_9376538149_R03C02",0.78847799423968
"62",14,19325000,20025000,0.2475,"GSM2404189_9376538149_R03C02",0.78847799423968
"63",14,20450000,107119770,-0.515,"GSM2404189_9376538149_R03C02",0.78847799423968
"64",15,20225000,102410696,-0.0772,"GSM2404189_9376538149_R03C02",0.78847799423968
"65",16,105000,90222377,-0.0242,"GSM2404189_9376538149_R03C02",0.78847799423968
"66",17,25000,81122605,-0.0564,"GSM2404189_9376538149_R03C02",0.78847799423968
"67",18,80000,77983624,-0.0882,"GSM2404189_9376538149_R03C02",0.78847799423968
"68",19,180000,59084492,-0.034,"GSM2404189_9376538149_R03C02",0.78847799423968
"69",2,130000,243026238,-0.1295,"GSM2404189_9376538149_R03C02",0.78847799423968
"70",20,155000,62907760,-0.1059,"GSM2404189_9376538149_R03C02",0.78847799423968
"71",21,10848948,48084948,-0.0158,"GSM2404189_9376538149_R03C02",0.78847799423968
"72",22,16373925,51222283,0.0099,"GSM2404189_9376538149_R03C02",0.78847799423968
"73",3,155000,197831215,-0.1826,"GSM2404189_9376538149_R03C02",0.78847799423968
"74",4,55000,190972138,-0.1579,"GSM2404189_9376538149_R03C02",0.78847799423968
"75",5,55000,180777630,-0.1398,"GSM2404189_9376538149_R03C02",0.78847799423968
"76",6,155000,32225000,-0.1098,"GSM2404189_9376538149_R03C02",0.78847799423968
"77",6,32275000,32575000,-0.7027,"GSM2404189_9376538149_R03C02",0.78847799423968
"78",6,32650000,170952534,-0.1433,"GSM2404189_9376538149_R03C02",0.78847799423968
"79",7,55000,159039332,-0.0948,"GSM2404189_9376538149_R03C02",0.78847799423968
"80",8,105000,146277011,-0.1253,"GSM2404189_9376538149_R03C02",0.78847799423968
"81",9,130000,141076716,-0.0548,"GSM2404189_9376538149_R03C02",0.78847799423968
"82",1,635684,78200000,0.0177,"GSM2404293_9407201028_R02C02",0.517073701886539
"83",1,78325000,8e+07,-0.7024,"GSM2404293_9407201028_R02C02",0.517073701886539
"84",1,81175000,249195311,-0.0545,"GSM2404293_9407201028_R02C02",0.517073701886539
"85",10,105000,135462374,-0.0923,"GSM2404293_9407201028_R02C02",0.517073701886539
"86",11,130000,134873258,4e-04,"GSM2404293_9407201028_R02C02",0.517073701886539
"87",12,172870,133770948,0.0044,"GSM2404293_9407201028_R02C02",0.517073701886539
"88",13,19110000,115079939,-0.1839,"GSM2404293_9407201028_R02C02",0.517073701886539
"89",14,19325000,107119770,-0.211,"GSM2404293_9407201028_R02C02",0.517073701886539
"90",15,20225000,102410696,0.0251,"GSM2404293_9407201028_R02C02",0.517073701886539
"91",16,105000,31825000,0.0351,"GSM2404293_9407201028_R02C02",0.517073701886539
"92",16,32075000,34600000,0.2348,"GSM2404293_9407201028_R02C02",0.517073701886539
"93",16,35017901,90222377,0.0327,"GSM2404293_9407201028_R02C02",0.517073701886539
"94",17,25000,11925000,-0.0067,"GSM2404293_9407201028_R02C02",0.517073701886539
"95",17,12200000,13525000,-0.2397,"GSM2404293_9407201028_R02C02",0.517073701886539
"96",17,13750000,81122605,-0.0206,"GSM2404293_9407201028_R02C02",0.517073701886539
"97",18,80000,77983624,-0.0332,"GSM2404293_9407201028_R02C02",0.517073701886539
"98",19,180000,59084492,0.0025,"GSM2404293_9407201028_R02C02",0.517073701886539
"99",2,130000,49600000,0.0102,"GSM2404293_9407201028_R02C02",0.517073701886539
"100",2,50400000,76650000,-0.4433,"GSM2404293_9407201028_R02C02",0.517073701886539
"101",2,78275000,243026238,-0.0247,"GSM2404293_9407201028_R02C02",0.517073701886539
"102",20,155000,62907760,-0.0206,"GSM2404293_9407201028_R02C02",0.517073701886539
"103",21,10848948,48084948,0.0314,"GSM2404293_9407201028_R02C02",0.517073701886539
"104",22,16373925,51222283,0.0265,"GSM2404293_9407201028_R02C02",0.517073701886539
"105",3,155000,17425000,-0.001,"GSM2404293_9407201028_R02C02",0.517073701886539
"106",3,17950000,28350000,-0.2211,"GSM2404293_9407201028_R02C02",0.517073701886539
"107",3,28525000,31175000,-0.4746,"GSM2404293_9407201028_R02C02",0.517073701886539
"108",3,31600000,75025000,-0.1618,"GSM2404293_9407201028_R02C02",0.517073701886539
"109",3,75425000,75800000,0.0875,"GSM2404293_9407201028_R02C02",0.517073701886539
"110",3,76450000,93602427,-0.232,"GSM2404293_9407201028_R02C02",0.517073701886539
