"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.1175,"GSM2404360_9407210069_R05C02"
"2",10,105000,135462374,-0.0826,"GSM2404360_9407210069_R05C02"
"3",11,130000,134873258,-0.1006,"GSM2404360_9407210069_R05C02"
"4",12,172870,133770948,0.1522,"GSM2404360_9407210069_R05C02"
"5",13,19110000,115079939,0.2007,"GSM2404360_9407210069_R05C02"
"6",14,19325000,107119770,0.1214,"GSM2404360_9407210069_R05C02"
"7",15,20225000,102410696,-0.11,"GSM2404360_9407210069_R05C02"
"8",16,105000,90222377,-0.0825,"GSM2404360_9407210069_R05C02"
"9",17,25000,81122605,-0.1893,"GSM2404360_9407210069_R05C02"
"10",18,80000,77983624,0.1688,"GSM2404360_9407210069_R05C02"
"11",19,180000,59084492,0.1887,"GSM2404360_9407210069_R05C02"
"12",2,130000,243026238,-0.1198,"GSM2404360_9407210069_R05C02"
"13",20,155000,62907760,0.0772,"GSM2404360_9407210069_R05C02"
"14",21,10848948,48084948,0.132,"GSM2404360_9407210069_R05C02"
"15",22,16373925,51222283,-0.1553,"GSM2404360_9407210069_R05C02"
"16",3,155000,197831215,-0.0765,"GSM2404360_9407210069_R05C02"
"17",4,55000,190972138,0.1218,"GSM2404360_9407210069_R05C02"
"18",5,55000,180777630,0.1637,"GSM2404360_9407210069_R05C02"
"19",6,155000,170952534,0.132,"GSM2404360_9407210069_R05C02"
"20",7,55000,159039332,0.1855,"GSM2404360_9407210069_R05C02"
"21",8,105000,146277011,0.1562,"GSM2404360_9407210069_R05C02"
"22",9,130000,141076716,0.1337,"GSM2404360_9407210069_R05C02"
"23",1,635684,249195311,-0.1937,"GSM2404361_9407210069_R06C02"
"24",10,105000,135462374,0.0552,"GSM2404361_9407210069_R06C02"
"25",11,130000,134873258,0.0315,"GSM2404361_9407210069_R06C02"
"26",12,172870,133770948,0.2503,"GSM2404361_9407210069_R06C02"
"27",13,19110000,115079939,0.0392,"GSM2404361_9407210069_R06C02"
"28",14,19325000,107119770,-0.1809,"GSM2404361_9407210069_R06C02"
"29",15,20225000,102410696,-0.1767,"GSM2404361_9407210069_R06C02"
"30",16,105000,90222377,-0.2356,"GSM2404361_9407210069_R06C02"
"31",17,25000,81122605,-0.0518,"GSM2404361_9407210069_R06C02"
"32",18,80000,77983624,-0.2585,"GSM2404361_9407210069_R06C02"
"33",19,180000,59084492,0.0072,"GSM2404361_9407210069_R06C02"
"34",2,130000,243026238,0.0379,"GSM2404361_9407210069_R06C02"
"35",20,155000,62907760,0.0871,"GSM2404361_9407210069_R06C02"
"36",21,10848948,48084948,0.0558,"GSM2404361_9407210069_R06C02"
"37",22,16373925,51222283,-0.2298,"GSM2404361_9407210069_R06C02"
"38",3,155000,197831215,0.0715,"GSM2404361_9407210069_R06C02"
"39",4,55000,190972138,0.0561,"GSM2404361_9407210069_R06C02"
"40",5,55000,180777630,0.2491,"GSM2404361_9407210069_R06C02"
"41",6,155000,170952534,0.1306,"GSM2404361_9407210069_R06C02"
"42",7,55000,159039332,0.2659,"GSM2404361_9407210069_R06C02"
"43",8,105000,146277011,0.0646,"GSM2404361_9407210069_R06C02"
"44",9,130000,141076716,0.1896,"GSM2404361_9407210069_R06C02"
"45",1,635684,249195311,-0.1496,"GSM2404362_9407210090_R02C01"
"46",10,105000,135462374,0.0589,"GSM2404362_9407210090_R02C01"
"47",11,130000,134873258,0.0988,"GSM2404362_9407210090_R02C01"
"48",12,172870,133770948,0.2698,"GSM2404362_9407210090_R02C01"
"49",13,19110000,115079939,-0.072,"GSM2404362_9407210090_R02C01"
"50",14,19325000,107119770,0.0924,"GSM2404362_9407210090_R02C01"
"51",15,20225000,102410696,-0.124,"GSM2404362_9407210090_R02C01"
"52",16,105000,90222377,-0.1267,"GSM2404362_9407210090_R02C01"
"53",17,25000,81122605,0.0205,"GSM2404362_9407210090_R02C01"
"54",18,80000,77983624,-0.1923,"GSM2404362_9407210090_R02C01"
"55",19,180000,59084492,0.0548,"GSM2404362_9407210090_R02C01"
"56",2,130000,243026238,-0.1279,"GSM2404362_9407210090_R02C01"
"57",20,155000,62907760,0.0376,"GSM2404362_9407210090_R02C01"
"58",21,10848948,48084948,-0.1171,"GSM2404362_9407210090_R02C01"
"59",22,16373925,51222283,-0.161,"GSM2404362_9407210090_R02C01"
"60",3,155000,197831215,0.2728,"GSM2404362_9407210090_R02C01"
"61",4,55000,190972138,-0.154,"GSM2404362_9407210090_R02C01"
"62",5,55000,180777630,0.1115,"GSM2404362_9407210090_R02C01"
"63",6,155000,170952534,-0.0628,"GSM2404362_9407210090_R02C01"
"64",7,55000,159039332,0.1505,"GSM2404362_9407210090_R02C01"
"65",8,105000,146277011,0.278,"GSM2404362_9407210090_R02C01"
"66",9,130000,141076716,0.0679,"GSM2404362_9407210090_R02C01"
"67",1,635684,249195311,-0.0857,"GSM2404363_9407210090_R04C01"
