"chrom","start.pos","end.pos","n.probes","GSM2403904_9305216209_R05C02","GSM2404122_9379086132_R06C01","GSM2404144_9406922161_R05C01","GSM2404274_9422491130_R02C02","GSM2404275_9422491130_R03C02","GSM2404277_9422491130_R06C02","GSM2404288_9407201027_R02C01","GSM2404289_9407201027_R03C01","GSM2404291_9407201027_R05C01","GSM2404294_9407201028_R06C02","GSM2404298_9407201029_R06C01","GSM2404380_9426020065_R03C02","GSM2404381_9426020065_R04C02","GSM2404382_9426020065_R05C02","GSM2404383_9426020065_R06C02","GSM2404384_9422493152_R02C01","GSM2404385_9422493152_R03C01","GSM2404386_9422493152_R04C01","GSM2404450_9420867087_R04C02","GSM2404463_9420867124_R04C02","GSM2404690_9647455233_R02C01","GSM2404832_9533774041_R05C01","GSM2404851_9533774097_R01C02","GSM2404996_9969477017_R02C01","GSM2405039_9969477079_R05C01","GSM2405103_9855358001_R05C01","GSM2405108_9855358001_R02C01","GSM2940862_200360420062_R04C01","GSM2941102_3998909182_R02C01","GSM2941315_3999875076_R05C01","GSM2941449_9533774021_R03C02","GSM2941676_9878827227_R02C02","GSM2941679_9878827227_R05C01","GSM2941680_9878827227_R06C01"
"1",1,521369,55500001,596,0.023,0.003,-0.055,-0.037,-0.071,-0.005,-0.135,-0.043,-0.028,0.094,-0.21,0.076,0.021,0.061,0.084,-0.165,0.042,0.073,-0.027,0.052,0.008,0.006,-0.189,-0.013,-0.021,0.019,0.05,0,-0.117,-0.158,-0.254,0.018,0.034,0.024
"2",1,55550001,249150001,997,-0.001,-0.116,-0.066,-0.066,-0.113,-0.032,-0.168,-0.117,-0.097,0.031,-0.259,-0.137,-0.182,-0.182,-0.105,-0.133,-0.239,-0.097,-0.073,-0.145,-0.012,-0.063,-0.095,-0.103,-0.125,-0.082,-0.067,-0.099,-0.259,0.06,0.064,-0.018,-0.025,0.013
"3",2,10001,242950001,1282,-0.011,-0.073,-0.045,0.078,0.037,-0.018,0.093,-0.106,0.119,0.029,0.005,-0.17,0,-0.206,-0.147,-0.024,-0.044,-0.123,-0.005,-0.086,-0.029,0.075,0.018,0.097,-0.045,0.038,-0.098,0.048,-0.044,0.047,0.058,0.075,0.07,-0.037
"4",3,60001,197700001,978,-0.013,-0.161,-0.057,-0.076,-0.126,-0.043,-0.167,-0.384,-0.124,0.002,-0.003,-0.413,-0.272,-0.141,-0.177,-0.204,-0.325,-0.159,-0.152,-0.132,0.071,-0.099,0.017,-0.136,-0.088,-0.129,0.037,-0.15,-0.074,0.05,-0.039,-0.245,-0.265,-0.043
"5",4,10001,10500001,137,0.04,0.078,0.078,0,-0.001,0.042,-0.042,0.137,-0.014,-0.047,0.063,0.117,-0.02,0.107,0.045,0.121,0.003,0.036,-0.01,0.002,0.004,0.045,-0.003,0.023,0.073,0.022,0.023,0.114,0.106,0.011,0.031,-0.01,0.099,-0.022
"6",4,11350001,190900001,605,-0.075,-0.177,-0.09,-0.123,-0.174,-0.076,-0.222,-0.023,-0.143,-0.297,-0.064,-0.213,-0.377,-0.273,-0.288,-0.147,-0.495,-0.269,-0.157,-0.34,-0.095,-0.134,-0.084,-0.204,-0.122,-0.198,-0.255,-0.079,-0.15,0.07,0.061,-0.133,-0.005,-0.122
"7",5,10001,180650001,849,-0.01,-0.085,-0.051,-0.068,0.05,0.105,0.096,0.041,-0.108,-0.208,0.009,-0.05,-0.231,-0.16,-0.14,-0.042,-0.067,-0.144,0.006,-0.107,-0.028,0.073,0.203,-0.116,-0.052,0.04,-0.115,0.072,-0.042,0.084,0.071,0.089,0.087,0.183
"8",6,60001,170850001,988,-0.015,-0.106,-0.039,-0.067,-0.106,-0.227,-0.152,-0.111,-0.117,-0.22,-0.258,-0.235,-0.285,-0.17,-0.207,-0.067,-0.367,-0.173,0.005,-0.142,-0.032,-0.073,0.122,-0.13,-0.039,-0.122,-0.132,-0.202,-0.275,0.073,0.077,-0.058,-0.071,-0.094
"9",7,10001,158950001,952,0.027,-0.021,0.03,0.105,0.093,0.138,0.128,0.083,0.127,0.046,0.208,-0.059,-0.022,-0.097,0.034,-0.035,-0.071,0.069,0.042,-0.094,0.106,0.104,0.004,0.126,0.025,0.064,0.057,0.1,0.015,0.061,0.064,0.108,0.105,0.018
"10",8,10001,146250001,726,-0.009,-0.068,-0.025,0.079,0.065,-0.197,0.095,0.045,-0.093,0.031,0.167,-0.055,-0.006,-0.094,-0.136,-0.452,-0.303,-0.134,0.007,-0.096,-0.019,-0.048,0.019,-0.104,0.019,0.051,0.054,-0.13,0.109,0.059,0.068,0.075,0.07,0.111
