"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1871,"GSM2405391_3999834095_R02C01",1.09057229709896
"2",10,105000,135462374,-0.0982,"GSM2405391_3999834095_R02C01",1.09057229709896
"3",11,130000,134873258,-0.1645,"GSM2405391_3999834095_R02C01",1.09057229709896
"4",12,172870,34275000,-0.2014,"GSM2405391_3999834095_R02C01",1.09057229709896
"5",12,34375000,38178347,0.3152,"GSM2405391_3999834095_R02C01",1.09057229709896
"6",12,38525000,133770948,-0.1728,"GSM2405391_3999834095_R02C01",1.09057229709896
"7",13,19110000,115079939,-0.0732,"GSM2405391_3999834095_R02C01",1.09057229709896
"8",14,19325000,20025000,0.4763,"GSM2405391_3999834095_R02C01",1.09057229709896
"9",14,20450000,107119770,-0.1954,"GSM2405391_3999834095_R02C01",1.09057229709896
"10",15,20225000,102410696,-0.1618,"GSM2405391_3999834095_R02C01",1.09057229709896
"11",16,105000,90222377,-0.0145,"GSM2405391_3999834095_R02C01",1.09057229709896
"12",17,25000,81122605,-0.1441,"GSM2405391_3999834095_R02C01",1.09057229709896
"13",18,80000,77983624,-0.186,"GSM2405391_3999834095_R02C01",1.09057229709896
"14",19,180000,59084492,-0.1112,"GSM2405391_3999834095_R02C01",1.09057229709896
"15",2,130000,243026238,-0.1618,"GSM2405391_3999834095_R02C01",1.09057229709896
"16",20,155000,62907760,-0.1569,"GSM2405391_3999834095_R02C01",1.09057229709896
"17",21,10848948,48084948,-0.0516,"GSM2405391_3999834095_R02C01",1.09057229709896
"18",22,16373925,51222283,-0.0956,"GSM2405391_3999834095_R02C01",1.09057229709896
"19",3,155000,197831215,-0.2138,"GSM2405391_3999834095_R02C01",1.09057229709896
"20",4,55000,190972138,-0.2051,"GSM2405391_3999834095_R02C01",1.09057229709896
"21",5,55000,180777630,-0.195,"GSM2405391_3999834095_R02C01",1.09057229709896
"22",6,155000,170952534,-0.1672,"GSM2405391_3999834095_R02C01",1.09057229709896
"23",7,55000,159039332,-0.0999,"GSM2405391_3999834095_R02C01",1.09057229709896
"24",8,105000,8100000,0.292,"GSM2405391_3999834095_R02C01",1.09057229709896
"25",8,8175000,146277011,-0.1844,"GSM2405391_3999834095_R02C01",1.09057229709896
"26",9,130000,141076716,-0.1466,"GSM2405391_3999834095_R02C01",1.09057229709896
"27",1,635684,249195311,-0.2067,"GSM2405392_3999834095_R03C01",1.07051393601284
"28",10,105000,135462374,-0.1226,"GSM2405392_3999834095_R03C01",1.07051393601284
"29",11,130000,134873258,-0.1535,"GSM2405392_3999834095_R03C01",1.07051393601284
"30",12,172870,133770948,-0.1625,"GSM2405392_3999834095_R03C01",1.07051393601284
"31",13,19110000,115079939,-0.0274,"GSM2405392_3999834095_R03C01",1.07051393601284
"32",14,19325000,20025000,0.4188,"GSM2405392_3999834095_R03C01",1.07051393601284
"33",14,20450000,107119770,-0.2416,"GSM2405392_3999834095_R03C01",1.07051393601284
"34",15,20225000,102410696,-0.1938,"GSM2405392_3999834095_R03C01",1.07051393601284
"35",16,105000,31825000,-0.0789,"GSM2405392_3999834095_R03C01",1.07051393601284
"36",16,32075000,33986575,0.5951,"GSM2405392_3999834095_R03C01",1.07051393601284
"37",16,34286575,90222377,-0.0558,"GSM2405392_3999834095_R03C01",1.07051393601284
"38",17,25000,81122605,-0.2365,"GSM2405392_3999834095_R03C01",1.07051393601284
"39",18,80000,77983624,-0.2714,"GSM2405392_3999834095_R03C01",1.07051393601284
"40",19,180000,59084492,-0.2021,"GSM2405392_3999834095_R03C01",1.07051393601284
"41",2,130000,243026238,-0.1716,"GSM2405392_3999834095_R03C01",1.07051393601284
"42",20,155000,62907760,-0.231,"GSM2405392_3999834095_R03C01",1.07051393601284
"43",21,10848948,15475000,0.4807,"GSM2405392_3999834095_R03C01",1.07051393601284
"44",21,15650000,48084948,-0.1336,"GSM2405392_3999834095_R03C01",1.07051393601284
"45",22,16373925,51222283,-0.2401,"GSM2405392_3999834095_R03C01",1.07051393601284
"46",3,155000,197831215,-0.1603,"GSM2405392_3999834095_R03C01",1.07051393601284
"47",4,55000,187475000,-0.219,"GSM2405392_3999834095_R03C01",1.07051393601284
"48",4,187525000,190972138,0.3208,"GSM2405392_3999834095_R03C01",1.07051393601284
"49",5,55000,180777630,-0.1701,"GSM2405392_3999834095_R03C01",1.07051393601284
"50",6,155000,170952534,-0.1433,"GSM2405392_3999834095_R03C01",1.07051393601284
"51",7,55000,159039332,-0.0828,"GSM2405392_3999834095_R03C01",1.07051393601284
"52",8,105000,146277011,-0.1574,"GSM2405392_3999834095_R03C01",1.07051393601284
"53",9,130000,141076716,-0.1801,"GSM2405392_3999834095_R03C01",1.07051393601284
"54",1,635684,249195311,-0.1515,"GSM2405396_3999834095_R02C02",1.09895452465375
"55",10,105000,135462374,-0.0875,"GSM2405396_3999834095_R02C02",1.09895452465375
"56",11,130000,134873258,-0.1488,"GSM2405396_3999834095_R02C02",1.09895452465375
"57",12,172870,133770948,-0.1449,"GSM2405396_3999834095_R02C02",1.09895452465375
"58",13,19110000,115079939,-0.0585,"GSM2405396_3999834095_R02C02",1.09895452465375
"59",14,19325000,20025000,0.337,"GSM2405396_3999834095_R02C02",1.09895452465375
"60",14,20450000,107119770,-0.1667,"GSM2405396_3999834095_R02C02",1.09895452465375
"61",15,20225000,102410696,-0.1317,"GSM2405396_3999834095_R02C02",1.09895452465375
"62",16,105000,90222377,2e-04,"GSM2405396_3999834095_R02C02",1.09895452465375
"63",17,25000,81122605,-0.1214,"GSM2405396_3999834095_R02C02",1.09895452465375
"64",18,80000,77983624,-0.1762,"GSM2405396_3999834095_R02C02",1.09895452465375
"65",19,180000,59084492,-0.0775,"GSM2405396_3999834095_R02C02",1.09895452465375
"66",2,130000,243026238,-0.1431,"GSM2405396_3999834095_R02C02",1.09895452465375
"67",20,155000,62907760,-0.1373,"GSM2405396_3999834095_R02C02",1.09895452465375
"68",21,10848948,48084948,-0.0533,"GSM2405396_3999834095_R02C02",1.09895452465375
"69",22,16373925,51222283,-0.0742,"GSM2405396_3999834095_R02C02",1.09895452465375
"70",3,155000,197831215,-0.1969,"GSM2405396_3999834095_R02C02",1.09895452465375
"71",4,55000,190972138,-0.2045,"GSM2405396_3999834095_R02C02",1.09895452465375
"72",5,55000,180777630,-0.1715,"GSM2405396_3999834095_R02C02",1.09895452465375
"73",6,155000,170952534,-0.1442,"GSM2405396_3999834095_R02C02",1.09895452465375
"74",7,55000,57475000,-0.068,"GSM2405396_3999834095_R02C02",1.09895452465375
"75",7,57600000,63275000,0.4384,"GSM2405396_3999834095_R02C02",1.09895452465375
"76",7,63375000,159039332,-0.103,"GSM2405396_3999834095_R02C02",1.09895452465375
"77",8,105000,88875000,-0.1037,"GSM2405396_3999834095_R02C02",1.09895452465375
"78",8,89100000,92350000,-0.6627,"GSM2405396_3999834095_R02C02",1.09895452465375
"79",8,92850000,146277011,-0.1547,"GSM2405396_3999834095_R02C02",1.09895452465375
"80",9,130000,141076716,-0.1342,"GSM2405396_3999834095_R02C02",1.09895452465375
"81",1,635684,249195311,-0.1918,"GSM2405397_3999834095_R03C02",1.17474036161639
"82",10,105000,135462374,-0.1181,"GSM2405397_3999834095_R03C02",1.17474036161639
"83",11,130000,134873258,-0.1818,"GSM2405397_3999834095_R03C02",1.17474036161639
"84",12,172870,133770948,-0.1881,"GSM2405397_3999834095_R03C02",1.17474036161639
"85",13,19110000,115079939,-0.0814,"GSM2405397_3999834095_R03C02",1.17474036161639
"86",14,19325000,20025000,0.426,"GSM2405397_3999834095_R03C02",1.17474036161639
"87",14,20450000,107119770,-0.2095,"GSM2405397_3999834095_R03C02",1.17474036161639
"88",15,20225000,102410696,-0.1697,"GSM2405397_3999834095_R03C02",1.17474036161639
"89",16,105000,31825000,-0.0291,"GSM2405397_3999834095_R03C02",1.17474036161639
"90",16,32075000,33986575,0.6347,"GSM2405397_3999834095_R03C02",1.17474036161639
"91",16,34286575,90222377,-0.0358,"GSM2405397_3999834095_R03C02",1.17474036161639
"92",17,25000,81122605,-0.1629,"GSM2405397_3999834095_R03C02",1.17474036161639
"93",18,80000,77983624,-0.2099,"GSM2405397_3999834095_R03C02",1.17474036161639
"94",19,180000,59084492,-0.1244,"GSM2405397_3999834095_R03C02",1.17474036161639
"95",2,130000,243026238,-0.1791,"GSM2405397_3999834095_R03C02",1.17474036161639
"96",20,155000,62907760,-0.1809,"GSM2405397_3999834095_R03C02",1.17474036161639
"97",21,10848948,48084948,-0.0685,"GSM2405397_3999834095_R03C02",1.17474036161639
"98",22,16373925,51222283,-0.1236,"GSM2405397_3999834095_R03C02",1.17474036161639
"99",3,155000,197831215,-0.2197,"GSM2405397_3999834095_R03C02",1.17474036161639
"100",4,55000,190972138,-0.2293,"GSM2405397_3999834095_R03C02",1.17474036161639
