"chromosome","start","end","segmean","sample","noise"
"1",1,635684,22300000,0.0696,"GSM2403731_9221197132_R04C02",0.788521340139883
"2",1,22375000,23825000,-0.4565,"GSM2403731_9221197132_R04C02",0.788521340139883
"3",1,23875000,249195311,0.0119,"GSM2403731_9221197132_R04C02",0.788521340139883
"4",10,105000,135462374,0.0108,"GSM2403731_9221197132_R04C02",0.788521340139883
"5",11,130000,36600000,0.0078,"GSM2403731_9221197132_R04C02",0.788521340139883
"6",11,38475000,43325000,-0.3059,"GSM2403731_9221197132_R04C02",0.788521340139883
"7",11,43450000,134873258,0.0182,"GSM2403731_9221197132_R04C02",0.788521340139883
"8",12,172870,133770948,-0.0038,"GSM2403731_9221197132_R04C02",0.788521340139883
"9",13,19110000,115079939,-0.0343,"GSM2403731_9221197132_R04C02",0.788521340139883
"10",14,19325000,107119770,0.0072,"GSM2403731_9221197132_R04C02",0.788521340139883
"11",15,20225000,102410696,0.0139,"GSM2403731_9221197132_R04C02",0.788521340139883
"12",16,105000,90222377,0.0612,"GSM2403731_9221197132_R04C02",0.788521340139883
"13",17,25000,81122605,-0.0157,"GSM2403731_9221197132_R04C02",0.788521340139883
"14",18,80000,77983624,-0.079,"GSM2403731_9221197132_R04C02",0.788521340139883
"15",19,180000,59084492,0.0402,"GSM2403731_9221197132_R04C02",0.788521340139883
"16",2,130000,243026238,-0.0311,"GSM2403731_9221197132_R04C02",0.788521340139883
"17",20,155000,62907760,0.0081,"GSM2403731_9221197132_R04C02",0.788521340139883
"18",21,10848948,48084948,0.0201,"GSM2403731_9221197132_R04C02",0.788521340139883
"19",22,16373925,51222283,0.0585,"GSM2403731_9221197132_R04C02",0.788521340139883
"20",3,155000,197831215,-0.0082,"GSM2403731_9221197132_R04C02",0.788521340139883
"21",4,55000,190972138,-0.0719,"GSM2403731_9221197132_R04C02",0.788521340139883
"22",5,55000,180777630,-0.0219,"GSM2403731_9221197132_R04C02",0.788521340139883
"23",6,155000,170952534,-0.0337,"GSM2403731_9221197132_R04C02",0.788521340139883
"24",7,55000,159039332,0.0161,"GSM2403731_9221197132_R04C02",0.788521340139883
"25",8,105000,146277011,-0.0309,"GSM2403731_9221197132_R04C02",0.788521340139883
"26",9,130000,141076716,0.0875,"GSM2403731_9221197132_R04C02",0.788521340139883
"27",1,635684,249195311,-0.0764,"GSM2403745_9007225142_R05C02",0.629314516970803
"28",10,105000,4300000,0.2251,"GSM2403745_9007225142_R05C02",0.629314516970803
"29",10,4625000,135462374,-0.0457,"GSM2403745_9007225142_R05C02",0.629314516970803
"30",11,130000,134873258,-0.0701,"GSM2403745_9007225142_R05C02",0.629314516970803
"31",12,172870,34275000,-0.0727,"GSM2403745_9007225142_R05C02",0.629314516970803
"32",12,34375000,38178347,0.2352,"GSM2403745_9007225142_R05C02",0.629314516970803
"33",12,38525000,133770948,-0.0806,"GSM2403745_9007225142_R05C02",0.629314516970803
"34",13,19110000,115079939,-0.0202,"GSM2403745_9007225142_R05C02",0.629314516970803
"35",14,19325000,20025000,0.357,"GSM2403745_9007225142_R05C02",0.629314516970803
"36",14,20450000,107119770,-0.081,"GSM2403745_9007225142_R05C02",0.629314516970803
"37",15,20225000,102410696,-0.0568,"GSM2403745_9007225142_R05C02",0.629314516970803
"38",16,105000,31825000,-0.0014,"GSM2403745_9007225142_R05C02",0.629314516970803
"39",16,32075000,46517901,0.3219,"GSM2403745_9007225142_R05C02",0.629314516970803
"40",16,46675000,90222377,0.0015,"GSM2403745_9007225142_R05C02",0.629314516970803
