"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.1367,"GSM2403504_8622007069_R01C01",0.853499150688024
"2",1,121392717,145225000,0.3711,"GSM2403504_8622007069_R01C01",0.853499150688024
"3",1,145375000,249195311,-0.1042,"GSM2403504_8622007069_R01C01",0.853499150688024
"4",10,105000,135462374,-0.037,"GSM2403504_8622007069_R01C01",0.853499150688024
"5",11,130000,134873258,-0.0728,"GSM2403504_8622007069_R01C01",0.853499150688024
"6",12,172870,133770948,-0.0896,"GSM2403504_8622007069_R01C01",0.853499150688024
"7",13,19110000,115079939,0.032,"GSM2403504_8622007069_R01C01",0.853499150688024
"8",14,19325000,20450000,0.3492,"GSM2403504_8622007069_R01C01",0.853499150688024
"9",14,20800000,107119770,-0.1317,"GSM2403504_8622007069_R01C01",0.853499150688024
"10",15,20225000,102410696,-0.1,"GSM2403504_8622007069_R01C01",0.853499150688024
"11",16,105000,90222377,-0.0018,"GSM2403504_8622007069_R01C01",0.853499150688024
"12",17,25000,81122605,-0.1199,"GSM2403504_8622007069_R01C01",0.853499150688024
"13",18,80000,77983624,-0.0806,"GSM2403504_8622007069_R01C01",0.853499150688024
"14",19,180000,59084492,-0.1416,"GSM2403504_8622007069_R01C01",0.853499150688024
"15",2,130000,243026238,-0.0599,"GSM2403504_8622007069_R01C01",0.853499150688024
"16",20,155000,62907760,-0.1162,"GSM2403504_8622007069_R01C01",0.853499150688024
"17",21,10848948,15475000,0.4342,"GSM2403504_8622007069_R01C01",0.853499150688024
"18",21,15650000,48084948,-0.0197,"GSM2403504_8622007069_R01C01",0.853499150688024
"19",22,16373925,51222283,-0.1312,"GSM2403504_8622007069_R01C01",0.853499150688024
"20",3,155000,197831215,-0.057,"GSM2403504_8622007069_R01C01",0.853499150688024
"21",4,55000,190972138,-0.0537,"GSM2403504_8622007069_R01C01",0.853499150688024
"22",5,55000,180777630,-0.0709,"GSM2403504_8622007069_R01C01",0.853499150688024
"23",6,155000,28975000,-0.0248,"GSM2403504_8622007069_R01C01",0.853499150688024
"24",6,29050000,29375000,0.4317,"GSM2403504_8622007069_R01C01",0.853499150688024
"25",6,29425000,170952534,-0.0599,"GSM2403504_8622007069_R01C01",0.853499150688024
"26",7,55000,159039332,-0.0152,"GSM2403504_8622007069_R01C01",0.853499150688024
"27",8,105000,146277011,-0.0547,"GSM2403504_8622007069_R01C01",0.853499150688024
"28",9,130000,141076716,-0.0733,"GSM2403504_8622007069_R01C01",0.853499150688024
"29",1,635684,249195311,-0.0904,"GSM2403505_8622007069_R06C01",0.755331901752614
"30",10,105000,135462374,-0.0351,"GSM2403505_8622007069_R06C01",0.755331901752614
"31",11,130000,134873258,-0.0848,"GSM2403505_8622007069_R06C01",0.755331901752614
"32",12,172870,133770948,-0.0731,"GSM2403505_8622007069_R06C01",0.755331901752614
"33",13,19110000,115079939,0.0151,"GSM2403505_8622007069_R06C01",0.755331901752614
"34",14,19325000,107119770,-0.0798,"GSM2403505_8622007069_R06C01",0.755331901752614
"35",15,20225000,102410696,-0.0672,"GSM2403505_8622007069_R06C01",0.755331901752614
"36",16,105000,90222377,-0.0044,"GSM2403505_8622007069_R06C01",0.755331901752614
"37",17,25000,81122605,-0.0524,"GSM2403505_8622007069_R06C01",0.755331901752614
"38",18,80000,77983624,0.0073,"GSM2403505_8622007069_R06C01",0.755331901752614
"39",19,180000,59084492,-0.0682,"GSM2403505_8622007069_R06C01",0.755331901752614
"40",2,130000,243026238,-0.0536,"GSM2403505_8622007069_R06C01",0.755331901752614
"41",20,155000,62907760,-0.062,"GSM2403505_8622007069_R06C01",0.755331901752614
"42",21,10848948,15650000,0.3484,"GSM2403505_8622007069_R06C01",0.755331901752614
"43",21,15775000,48084948,0.0186,"GSM2403505_8622007069_R06C01",0.755331901752614
"44",22,16373925,51222283,-0.0426,"GSM2403505_8622007069_R06C01",0.755331901752614
"45",3,155000,197831215,-0.0698,"GSM2403505_8622007069_R06C01",0.755331901752614
"46",4,55000,190972138,-0.0237,"GSM2403505_8622007069_R06C01",0.755331901752614
"47",5,55000,180777630,-0.0718,"GSM2403505_8622007069_R06C01",0.755331901752614
"48",6,155000,170952534,-0.0418,"GSM2403505_8622007069_R06C01",0.755331901752614
"49",7,55000,159039332,-0.0313,"GSM2403505_8622007069_R06C01",0.755331901752614
"50",8,105000,146277011,-0.0304,"GSM2403505_8622007069_R06C01",0.755331901752614
"51",9,130000,141076716,-0.0441,"GSM2403505_8622007069_R06C01",0.755331901752614
"52",1,635684,249195311,-0.0972,"GSM2403508_8622007067_R04C02",0.721378833366573
"53",10,105000,135462374,-0.0412,"GSM2403508_8622007067_R04C02",0.721378833366573
"54",11,130000,134873258,-0.0745,"GSM2403508_8622007067_R04C02",0.721378833366573
"55",12,172870,133770948,-0.0871,"GSM2403508_8622007067_R04C02",0.721378833366573
"56",13,19110000,115079939,-0.0233,"GSM2403508_8622007067_R04C02",0.721378833366573
"57",14,19325000,20450000,0.3273,"GSM2403508_8622007067_R04C02",0.721378833366573
"58",14,20800000,107119770,-0.0953,"GSM2403508_8622007067_R04C02",0.721378833366573
"59",15,20225000,102410696,-0.068,"GSM2403508_8622007067_R04C02",0.721378833366573
"60",16,105000,31825000,-0.0049,"GSM2403508_8622007067_R04C02",0.721378833366573
"61",16,32075000,46517901,0.3453,"GSM2403508_8622007067_R04C02",0.721378833366573
"62",16,46675000,90222377,-0.0041,"GSM2403508_8622007067_R04C02",0.721378833366573
"63",17,25000,81122605,-0.0736,"GSM2403508_8622007067_R04C02",0.721378833366573
"64",18,80000,77983624,-0.0667,"GSM2403508_8622007067_R04C02",0.721378833366573
"65",19,180000,59084492,-0.074,"GSM2403508_8622007067_R04C02",0.721378833366573
"66",2,130000,243026238,-0.0691,"GSM2403508_8622007067_R04C02",0.721378833366573
"67",20,155000,62907760,-0.0903,"GSM2403508_8622007067_R04C02",0.721378833366573
"68",21,10848948,48084948,0.0078,"GSM2403508_8622007067_R04C02",0.721378833366573
"69",22,16373925,51222283,-0.0662,"GSM2403508_8622007067_R04C02",0.721378833366573
"70",3,155000,197831215,-0.0893,"GSM2403508_8622007067_R04C02",0.721378833366573
"71",4,55000,190972138,-0.0677,"GSM2403508_8622007067_R04C02",0.721378833366573
"72",5,55000,180777630,-0.0809,"GSM2403508_8622007067_R04C02",0.721378833366573
"73",6,155000,170952534,-0.0712,"GSM2403508_8622007067_R04C02",0.721378833366573
"74",7,55000,159039332,-0.0166,"GSM2403508_8622007067_R04C02",0.721378833366573
"75",8,105000,146277011,-0.0535,"GSM2403508_8622007067_R04C02",0.721378833366573
"76",9,130000,141076716,-0.046,"GSM2403508_8622007067_R04C02",0.721378833366573
"77",1,635684,249195311,3e-04,"GSM2403852_9305651037_R06C02",0.536700252496949
