"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.006,"GSM2402938_6969568004_R06C01",0.635712219480535
"2",10,105000,135462374,-0.004,"GSM2402938_6969568004_R06C01",0.635712219480535
"3",11,130000,134873258,0.018,"GSM2402938_6969568004_R06C01",0.635712219480535
"4",12,172870,133770948,-0.0019,"GSM2402938_6969568004_R06C01",0.635712219480535
"5",13,19110000,115079939,-0.0375,"GSM2402938_6969568004_R06C01",0.635712219480535
"6",14,19325000,107119770,-0.0187,"GSM2402938_6969568004_R06C01",0.635712219480535
"7",15,20225000,102410696,-0.0062,"GSM2402938_6969568004_R06C01",0.635712219480535
"8",16,105000,90222377,0.0176,"GSM2402938_6969568004_R06C01",0.635712219480535
"9",17,25000,18925000,-0.528,"GSM2402938_6969568004_R06C01",0.635712219480535
"10",17,19025000,81122605,0.1389,"GSM2402938_6969568004_R06C01",0.635712219480535
"11",18,80000,77983624,-0.1411,"GSM2402938_6969568004_R06C01",0.635712219480535
"12",19,180000,59084492,-0.0432,"GSM2402938_6969568004_R06C01",0.635712219480535
"13",2,130000,243026238,-0.0418,"GSM2402938_6969568004_R06C01",0.635712219480535
"14",20,155000,62907760,-0.0492,"GSM2402938_6969568004_R06C01",0.635712219480535
"15",21,10848948,48084948,-0.0116,"GSM2402938_6969568004_R06C01",0.635712219480535
"16",22,16373925,51222283,-0.0395,"GSM2402938_6969568004_R06C01",0.635712219480535
"17",3,155000,197831215,0.0011,"GSM2402938_6969568004_R06C01",0.635712219480535
"18",4,55000,190972138,-0.0674,"GSM2402938_6969568004_R06C01",0.635712219480535
"19",5,55000,180777630,-0.0112,"GSM2402938_6969568004_R06C01",0.635712219480535
"20",6,155000,170952534,-0.0354,"GSM2402938_6969568004_R06C01",0.635712219480535
"21",7,55000,159039332,0.0065,"GSM2402938_6969568004_R06C01",0.635712219480535
"22",8,105000,146277011,-0.047,"GSM2402938_6969568004_R06C01",0.635712219480535
"23",9,130000,141076716,0.0057,"GSM2402938_6969568004_R06C01",0.635712219480535
"24",1,635684,249195311,0.0023,"GSM2402939_6969568004_R01C02",0.539939118761027
"25",10,105000,135462374,-0.2012,"GSM2402939_6969568004_R01C02",0.539939118761027
"26",11,130000,134873258,0.0199,"GSM2402939_6969568004_R01C02",0.539939118761027
"27",12,172870,133770948,-7e-04,"GSM2402939_6969568004_R01C02",0.539939118761027
"28",13,19110000,19950000,-0.0589,"GSM2402939_6969568004_R01C02",0.539939118761027
"29",13,20150000,37025000,-0.2755,"GSM2402939_6969568004_R01C02",0.539939118761027
"30",13,37200000,115079939,-0.0012,"GSM2402939_6969568004_R01C02",0.539939118761027
"31",14,19325000,107119770,-0.0177,"GSM2402939_6969568004_R01C02",0.539939118761027
"32",15,20225000,102410696,0.1189,"GSM2402939_6969568004_R01C02",0.539939118761027
"33",16,105000,90222377,-0.2282,"GSM2402939_6969568004_R01C02",0.539939118761027
"34",17,25000,81122605,0.0709,"GSM2402939_6969568004_R01C02",0.539939118761027
"35",18,80000,77983624,-0.1389,"GSM2402939_6969568004_R01C02",0.539939118761027
"36",19,180000,59084492,-0.0419,"GSM2402939_6969568004_R01C02",0.539939118761027
"37",2,130000,243026238,-0.0323,"GSM2402939_6969568004_R01C02",0.539939118761027
"38",20,155000,62907760,-0.0386,"GSM2402939_6969568004_R01C02",0.539939118761027
"39",21,10848948,48084948,-0.1756,"GSM2402939_6969568004_R01C02",0.539939118761027
"40",22,16373925,51222283,-0.0206,"GSM2402939_6969568004_R01C02",0.539939118761027
"41",3,155000,197831215,-0.0665,"GSM2402939_6969568004_R01C02",0.539939118761027
"42",4,55000,190972138,-0.0619,"GSM2402939_6969568004_R01C02",0.539939118761027
"43",5,55000,180777630,0.0964,"GSM2402939_6969568004_R01C02",0.539939118761027
"44",6,155000,32375000,0.1004,"GSM2402939_6969568004_R01C02",0.539939118761027
"45",6,32425000,32650000,-0.6922,"GSM2402939_6969568004_R01C02",0.539939118761027
"46",6,32725000,170952534,0.0994,"GSM2402939_6969568004_R01C02",0.539939118761027
"47",7,55000,159039332,0.1229,"GSM2402939_6969568004_R01C02",0.539939118761027
"48",8,105000,6925000,-0.1768,"GSM2402939_6969568004_R01C02",0.539939118761027
"49",8,7050000,7950000,0.166,"GSM2402939_6969568004_R01C02",0.539939118761027
"50",8,8100000,146277011,-0.2328,"GSM2402939_6969568004_R01C02",0.539939118761027
"51",9,130000,141076716,0.1375,"GSM2402939_6969568004_R01C02",0.539939118761027
"52",1,635684,249195311,0.0025,"GSM2402945_6929689136_R02C01",0.532298278805485
"53",10,105000,135462374,-0.0081,"GSM2402945_6929689136_R02C01",0.532298278805485
"54",11,130000,134873258,0.0146,"GSM2402945_6929689136_R02C01",0.532298278805485
"55",12,172870,133770948,-0.0082,"GSM2402945_6929689136_R02C01",0.532298278805485
"56",13,19110000,115079939,-0.0328,"GSM2402945_6929689136_R02C01",0.532298278805485
"57",14,19325000,107119770,-0.0213,"GSM2402945_6929689136_R02C01",0.532298278805485
"58",15,20225000,102410696,-0.0158,"GSM2402945_6929689136_R02C01",0.532298278805485
"59",16,105000,90222377,0.0215,"GSM2402945_6929689136_R02C01",0.532298278805485
"60",17,25000,81122605,-0.0708,"GSM2402945_6929689136_R02C01",0.532298278805485
"61",18,80000,77983624,-0.1419,"GSM2402945_6929689136_R02C01",0.532298278805485
"62",19,180000,59084492,-0.0502,"GSM2402945_6929689136_R02C01",0.532298278805485
"63",2,130000,243026238,-0.0337,"GSM2402945_6929689136_R02C01",0.532298278805485
"64",20,155000,62907760,-0.053,"GSM2402945_6929689136_R02C01",0.532298278805485
"65",21,10848948,48084948,0.004,"GSM2402945_6929689136_R02C01",0.532298278805485
"66",22,16373925,51222283,-0.0309,"GSM2402945_6929689136_R02C01",0.532298278805485
"67",3,155000,197831215,-0.0035,"GSM2402945_6929689136_R02C01",0.532298278805485
"68",4,55000,190972138,-0.0665,"GSM2402945_6929689136_R02C01",0.532298278805485
"69",5,55000,180777630,-0.0147,"GSM2402945_6929689136_R02C01",0.532298278805485
"70",6,155000,170952534,-0.0346,"GSM2402945_6929689136_R02C01",0.532298278805485
