"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0217,"GSM2403323_7990895142_R06C01"
"2",10,105000,135462374,0.0152,"GSM2403323_7990895142_R06C01"
"3",11,130000,134873258,0.0135,"GSM2403323_7990895142_R06C01"
"4",12,172870,133770948,0.2699,"GSM2403323_7990895142_R06C01"
"5",13,19110000,115079939,0.025,"GSM2403323_7990895142_R06C01"
"6",14,19325000,107119770,0.005,"GSM2403323_7990895142_R06C01"
"7",15,20225000,102410696,0.0251,"GSM2403323_7990895142_R06C01"
"8",16,105000,16725000,0.0228,"GSM2403323_7990895142_R06C01"
"9",16,17375000,28575000,-0.4325,"GSM2403323_7990895142_R06C01"
"10",16,28625000,54975000,0.0204,"GSM2403323_7990895142_R06C01"
"11",16,55175000,77950000,-0.3634,"GSM2403323_7990895142_R06C01"
"12",16,78075000,90222377,0.0669,"GSM2403323_7990895142_R06C01"
"13",17,25000,1625000,-0.3659,"GSM2403323_7990895142_R06C01"
"14",17,1675000,2950000,-0.0175,"GSM2403323_7990895142_R06C01"
"15",17,3075000,3875000,-0.482,"GSM2403323_7990895142_R06C01"
"16",17,3925000,81122605,-0.0433,"GSM2403323_7990895142_R06C01"
"17",18,80000,77983624,-0.0538,"GSM2403323_7990895142_R06C01"
"18",19,180000,59084492,-0.0337,"GSM2403323_7990895142_R06C01"
"19",2,130000,243026238,0.0222,"GSM2403323_7990895142_R06C01"
"20",20,155000,62907760,-0.0234,"GSM2403323_7990895142_R06C01"
"21",21,10848948,48084948,0.0497,"GSM2403323_7990895142_R06C01"
"22",22,16373925,29125000,-0.083,"GSM2403323_7990895142_R06C01"
"23",22,29175000,51222283,-0.3728,"GSM2403323_7990895142_R06C01"
"24",3,155000,197831215,0.0667,"GSM2403323_7990895142_R06C01"
"25",4,55000,190972138,-0.0043,"GSM2403323_7990895142_R06C01"
"26",5,55000,180777630,0.0294,"GSM2403323_7990895142_R06C01"
"27",6,155000,170952534,0.0349,"GSM2403323_7990895142_R06C01"
"28",7,55000,159039332,0.0526,"GSM2403323_7990895142_R06C01"
"29",8,105000,146277011,0.0057,"GSM2403323_7990895142_R06C01"
"30",9,130000,141076716,0.0233,"GSM2403323_7990895142_R06C01"
"31",1,635684,185525000,0.1381,"GSM2403605_8622007149_R02C01"
"32",1,186025000,200375000,-0.6732,"GSM2403605_8622007149_R02C01"
"33",1,200500000,249195311,0.0995,"GSM2403605_8622007149_R02C01"
"34",10,105000,135462374,-0.1946,"GSM2403605_8622007149_R02C01"
"35",11,130000,134873258,0.0157,"GSM2403605_8622007149_R02C01"
"36",12,172870,133770948,0.0198,"GSM2403605_8622007149_R02C01"
"37",13,19110000,115079939,-0.1764,"GSM2403605_8622007149_R02C01"
"38",14,19325000,107119770,0.118,"GSM2403605_8622007149_R02C01"
"39",15,20225000,102410696,0.1209,"GSM2403605_8622007149_R02C01"
"40",16,105000,90222377,-0.0212,"GSM2403605_8622007149_R02C01"
"41",17,25000,81122605,0.1076,"GSM2403605_8622007149_R02C01"
"42",18,80000,77983624,0.0721,"GSM2403605_8622007149_R02C01"
"43",19,180000,59084492,0.0653,"GSM2403605_8622007149_R02C01"
"44",2,130000,180825000,-0.0028,"GSM2403605_8622007149_R02C01"
"45",2,181350000,190825000,-0.5234,"GSM2403605_8622007149_R02C01"
