"chrom","start.pos","end.pos","n.probes","GSM2402990_6929689149_R01C02","GSM2403199_6929806038_R05C02","GSM2403704_9007225003_R04C01","GSM2403920_9305651050_R02C02","GSM2403923_9305651050_R01C01","GSM2403924_9305651050_R03C01","GSM2403927_9305651050_R06C01","GSM2403928_9305651046_R03C02","GSM2403930_9305651046_R04C01","GSM2403931_9305651046_R06C01","GSM2403932_9305651046_R02C02","GSM2403933_9305651050_R01C02","GSM2403934_9305651046_R06C02","GSM2404011_9340996008_R04C01","GSM2404522_9444375114_R03C01","GSM2404629_9741950023_R06C02","GSM2405018_9969477061_R01C02","GSM2405019_9969477063_R02C01","GSM2405020_9969477063_R06C01","GSM2405083_9969477111_R01C01","GSM2405366_3999834062_R05C01","GSM2405367_3999834062_R06C01","GSM2940847_200325530103_R06C02"
"1",1,521369,249150001,1593,-0.041,-0.02,-0.095,-0.058,-0.09,-0.036,-0.025,0.05,-0.012,-0.027,0.021,-0.037,-0.032,-0.058,-0.102,-0.119,-0.054,0.005,-0.142,0.016,0.024,0.042,0
"2",2,10001,242950001,1282,-0.084,-0.032,-0.103,-0.058,-0.082,-0.031,-0.034,-0.093,-0.024,-0.18,-0.008,-0.037,-0.051,-0.067,-0.137,-0.081,-0.069,-0.019,-0.122,-0.046,-0.03,-0.061,-0.066
"3",3,60001,197700001,978,-0.069,-0.199,-0.288,-0.067,-0.084,-0.008,-0.305,-0.285,-0.383,-0.182,0,-0.047,-0.193,-0.084,-0.382,-0.217,-0.132,-0.417,-0.834,-0.209,-0.031,-0.207,-0.091
"4",4,10001,190900001,742,0.111,-0.077,-0.096,-0.085,-0.103,-0.044,-0.063,-0.137,-0.045,-0.015,-0.035,-0.066,-0.083,0.079,-0.02,-0.089,-0.105,-0.055,-0.13,-0.094,-0.072,-0.06,-0.132
"5",5,10001,180650001,849,-0.067,-0.014,-0.085,-0.059,-0.074,-0.013,0.067,0.014,-0.019,0.027,0.002,-0.036,-0.045,-0.067,0.006,-0.015,-0.08,-0.024,-0.136,-0.038,-0.025,0.002,-0.067
"6",6,60001,170850001,988,0.128,-0.032,-0.095,-0.045,-0.066,0,-0.008,-0.002,-0.018,0.022,-0.006,-0.026,-0.041,-0.062,0.015,0.002,-0.073,-0.017,-0.124,-0.063,-0.035,-0.025,-0.088
"7",7,10001,158950001,952,-0.041,0.009,-0.054,-0.014,-0.022,0.025,0.024,0.036,0.032,0.037,0.034,0.004,-0.022,-0.014,-0.099,0.032,-0.025,0.023,-0.065,-0.033,-0.001,0.025,-0.035
"8",8,10001,146250001,726,0.135,0.147,0.146,0.161,0.173,0.181,0.128,0.17,-0.011,0.127,-0.001,-0.029,0.126,0.132,0.202,0,0.22,-0.018,0.213,0.208,-0.022,-0.002,0.163
"9",9,10001,141000001,383,0.137,0.024,-0.083,0.157,-0.073,0.166,-0.022,0.008,0.004,-0.006,0.018,-0.021,-0.126,0.133,-0.093,-0.115,-0.043,0.013,-0.087,0.015,0.017,0.041,0.013
"10",10,60001,135400001,840,-0.482,-0.297,-0.279,-0.454,-0.518,-0.434,-0.276,-0.315,-0.323,-0.412,-0.308,-0.325,-0.339,-0.361,-0.328,-0.359,-0.338,-0.355,-0.733,-0.429,-0.381,-0.265,-0.399
"11",11,60001,134800001,914,0.149,0.015,-0.096,-0.051,-0.071,-0.018,-0.02,0.036,0,0.139,0.013,-0.026,-0.032,-0.058,0.01,-0.023,-0.069,-0.01,-0.102,-0.006,-0.003,0.025,-0.023
"12",12,145740,133700001,848,0.157,0.005,-0.087,0.172,-0.062,0.202,0.16,0.034,-0.009,0.148,0.013,-0.037,-0.026,0.127,0.029,-0.021,-0.055,-0.003,-0.094,0.051,-0.006,0.019,-0.039
"13",13,19020001,115050001,431,-0.1,-0.059,-0.064,-0.016,-0.013,0.051,-0.074,-0.019,0.001,-0.104,-0.004,0.003,0.09,-0.034,0.016,0.062,-0.039,-0.002,-0.036,-0.08,-0.053,-0.077,-0.108
"14",14,19000001,106950001,528,-0.055,0.012,-0.099,-0.054,-0.093,-0.043,-0.271,-0.007,-0.372,-0.195,0.014,-0.041,-0.166,-0.062,0.033,-0.051,-0.06,0.003,-0.141,-0.001,0.014,-0.13,-0.415
"15",15,20000001,102300001,571,-0.047,0.021,-0.082,-0.041,-0.065,-0.038,-0.015,0.042,0.006,-0.184,0.02,-0.021,-0.044,-0.045,0.031,-0.042,-0.091,0.012,-0.099,0.012,0.02,-0.012,-0.005
"16",16,60001,90150001,624,-0.044,0.039,0.003,-0.012,-0.002,-0.022,0,0.066,0.063,0.02,0.033,-0.139,0.097,-0.005,0.053,0.02,0,0.036,0.003,0.026,0.033,0.064,0.056
"17",17,1,81050001,814,-0.116,-0.023,-0.04,-0.097,-0.108,-0.129,0.065,-0.038,-0.02,-0.055,-0.036,-0.066,-0.071,-0.093,0.009,-0.078,-0.02,-0.019,-0.09,-0.001,-0.017,0.001,-0.003
"18",18,10001,77950001,243,-0.157,-0.097,-0.117,-0.134,-0.135,-0.124,-0.1,-0.11,-0.064,-0.063,-0.064,-0.097,-0.107,-0.13,-0.341,-0.11,-0.113,-0.056,-0.099,-0.068,-0.064,-0.113,-0.099
"19",19,60001,59050001,711,0.103,0.01,-0.014,-0.059,-0.083,-0.096,-0.03,0.035,0.003,-0.057,-0.002,0.051,-0.091,-0.049,0.034,-0.08,-0.027,0.017,-0.072,0.024,0.013,0.022,0.018
