"chrom","start.pos","end.pos","n.probes","GSM2404295_9407201029_R02C01","GSM2404296_9407201029_R03C01","GSM2404297_9407201029_R04C01","GSM2404452_9420867121_R05C01","GSM2404453_9420867121_R06C01","GSM2404454_9420867121_R01C02","GSM2404555_9553932113_R01C02","GSM2405390_3999834094_R05C02","GSM2405408_3999834096_R05C02"
"1",1,521369,249150001,1593,-0.011,-0.022,-0.015,-0.012,-0.008,-0.009,-0.008,0,0.013
"2",2,10001,4200001,54,0.174,0.472,0.306,0.3,0.303,0.34,0.349,0.303,0.28
"3",2,5118789,242950001,1228,-0.024,0.013,-0.011,-0.012,-0.013,-0.012,0.005,0.002,0.026
"4",3,60001,197700001,978,-0.015,0.017,-0.023,-0.015,-0.01,-0.021,-0.005,-0.013,0.05
"5",4,10001,12250001,141,0.083,0.223,0.169,0.151,0.15,0.169,0.171,0.143,0.124
"6",4,13300001,190900001,601,-0.074,-0.058,-0.04,-0.066,-0.06,-0.079,-0.047,-0.038,-0.044
"7",5,10001,28950001,136,0.092,0.307,0.17,0.179,0.185,0.203,0.224,0.183,0.204
"8",5,30850001,180650001,713,-0.037,-0.038,-0.05,-0.039,-0.036,-0.048,-0.032,-0.024,0.004
"9",6,60001,157000001,856,-0.039,-0.011,-0.037,-0.026,-0.027,-0.042,-0.021,-0.01,0.031
"10",6,157050001,170850001,132,0.107,0.319,0.199,0.188,0.199,0.224,0.235,0.209,0.206
"11",7,10001,158950001,952,0.025,0.109,0.021,0.044,0.057,0.057,0.06,0.055,0.113
"12",8,10001,8050001,62,0.205,0.484,0.375,0.332,0.334,0.366,0.347,0.338,0.276
"13",8,8150001,146250001,664,-0.02,0.004,-0.006,-0.005,-0.005,-0.007,0.002,0.015,0.026
"14",9,10001,141000001,383,0.025,0.026,0.019,0.023,0.023,0.036,0.034,0.003,0.03
"15",10,60001,4200001,52,0.222,0.515,0.362,0.338,0.35,0.372,0.398,0.352,0.33
"16",10,4400001,135400001,788,0.011,0.056,0.027,0.037,0.037,0.041,0.048,0.043,0.062
"17",11,60001,134800001,914,-0.008,0.025,-0.02,0,0.003,0.01,0.004,-0.012,0.037
"18",12,145740,133700001,848,-0.005,0.013,0.005,-0.002,0.005,0.001,0.016,0.011,0.042
"19",13,19020001,115050001,431,0.013,0.142,0.034,0.053,0.063,0.054,0.07,0.064,0.146
"20",14,19000001,106950001,528,0.001,-0.024,-0.005,-0.004,-0.002,-0.011,0.005,0.016,0.004
"21",15,20000001,102300001,571,-0.002,0,0.005,0.01,0.011,0.014,0.021,0.023,0.031
"22",16,60001,90150001,624,0.053,0.142,0.095,0.087,0.092,0.113,0.106,0.073,0.108
"23",17,1,81050001,814,-0.02,-0.011,0.039,-0.003,-0.011,-0.002,0.021,-0.007,-0.03
"24",18,10001,77950001,243,-0.05,-0.017,0.043,-0.014,-0.029,-0.025,0.006,0.002,-0.046
"25",19,60001,59050001,711,-0.001,0.011,0.04,0.022,0.026,0.029,0.035,0.018,0.019
"26",20,60001,62850001,359,-0.028,-0.019,-0.021,-0.019,-0.025,-0.021,-0.005,-0.031,0
"27",21,10697897,48050001,157,0.046,0.113,0.087,0.083,0.078,0.097,0.098,0.073,0.083
"28",22,16050001,51200001,300,0.023,-0.001,0.061,0.031,0.022,0.032,0.05,0.033,-0.001
