"chrom","start.pos","end.pos","n.probes","GSM2403950_9305651055_R01C01","GSM2403951_9305651055_R02C01","GSM2403965_9305651055_R06C01","GSM2404009_9340996003_R01C02","GSM2404016_9340996003_R02C01","GSM2404018_9340996003_R04C01","GSM2404030_9340996050_R06C02","GSM2404118_9376561062_R02C01","GSM2404199_9376561024_R02C01","GSM2404651_9741950027_R02C01","GSM2404852_9533774097_R02C02","GSM2404925_9969477006_R02C02","GSM2405094_9969477124_R04C01","GSM2405218_9878820156_R04C01","GSM2405304_3999875056_R06C02","GSM2405314_10003886253_R03C01","GSM2941213_3999100100_R05C02","GSM2941423_9444375033_R06C02"
"1",1,521369,249150001,1593,-0.029,-0.025,-0.016,-0.013,-0.097,-0.012,-0.083,-0.02,-0.092,-0.007,-0.03,-0.006,-0.022,-0.067,-0.035,-0.008,-0.053,-0.106
"2",2,10001,242950001,1282,-0.03,-0.036,-0.027,-0.036,-0.079,-0.029,-0.096,-0.042,-0.1,-0.038,-0.025,-0.073,-0.054,-0.103,-0.074,-0.042,-0.091,-0.096
"3",3,60001,197700001,978,-0.017,-0.03,-0.005,-0.04,-0.098,-0.026,-0.111,-0.02,-0.147,-0.005,-0.035,-0.095,-0.066,-0.094,-0.081,-0.052,-0.132,-0.105
"4",4,10001,190900001,742,-0.045,-0.073,-0.053,-0.071,-0.121,-0.057,-0.131,-0.088,-0.142,-0.08,-0.055,-0.158,-0.102,-0.161,-0.132,-0.085,-0.138,-0.121
"5",5,10001,180650001,849,-0.014,-0.025,-0.002,-0.031,-0.084,-0.019,0.141,-0.013,-0.117,-0.04,-0.029,-0.089,-0.042,-0.083,0.059,-0.042,-0.095,-0.104
"6",6,60001,170850001,988,-0.026,-0.022,-0.014,-0.04,-0.075,-0.023,-0.091,-0.018,-0.114,-0.036,-0.013,-0.105,-0.053,-0.093,-0.071,-0.055,-0.108,-0.087
"7",7,10001,158950001,952,0.014,0.004,0.026,0.007,-0.014,0.022,-0.046,0.022,-0.06,-0.003,0.004,-0.061,0,-0.078,-0.028,-0.011,-0.041,-0.069
"8",8,10001,146250001,726,-0.029,-0.04,-0.026,-0.034,-0.078,-0.021,0.135,-0.035,-0.092,0.173,-0.039,-0.084,-0.052,0.155,-0.079,-0.04,-0.082,-0.112
"9",9,10001,141000001,383,-0.006,-0.003,-0.006,-0.003,-0.048,-0.007,-0.059,-0.011,-0.05,-0.036,-0.111,0.002,-0.017,-0.045,-0.032,-0.004,-0.026,-0.071
"10",10,60001,135400001,840,0,-0.006,0.006,0.001,-0.036,0.005,-0.055,0.006,-0.056,0.003,-0.002,-0.048,-0.008,-0.059,-0.028,-0.004,-0.037,-0.067
"11",11,60001,134800001,914,-0.015,-0.02,-0.001,-0.023,-0.065,-0.01,-0.08,-0.013,-0.107,0.012,-0.022,-0.042,-0.038,-0.076,-0.051,-0.027,-0.088,-0.091
"12",12,145740,133700001,848,-0.023,-0.023,-0.009,-0.021,-0.08,-0.016,-0.08,-0.021,-0.094,-0.01,-0.022,-0.059,-0.03,-0.088,-0.047,-0.026,-0.072,-0.078
"13",13,19020001,115050001,431,0,-0.087,0.021,-0.021,-0.332,0,-0.065,0.002,-0.087,-0.026,-0.361,-0.136,-0.048,-0.083,-0.119,-0.048,-0.1,-0.048
"14",14,19000001,106950001,528,-0.036,-0.031,-0.026,-0.018,-0.105,-0.025,-0.094,-0.049,-0.204,-0.025,-0.025,-0.021,-0.033,-0.081,-0.053,-0.019,-0.065,-0.12
"15",15,20000001,102300001,571,-0.031,-0.021,-0.012,-0.006,-0.085,-0.014,-0.071,-0.036,-0.073,-0.013,-0.016,-0.015,-0.011,-0.057,-0.04,-0.008,-0.043,-0.09
"16",16,60001,90150001,624,0,0.005,0.011,0.019,0.018,0.02,-0.01,0.026,0.01,0.021,0.011,0.02,0.02,0.219,0.015,0.023,0.024,-0.013
"17",17,1,81050001,814,-0.096,-0.079,-0.093,-0.055,-0.109,-0.076,-0.092,-0.103,-0.061,-0.077,-0.063,-0.008,-0.069,-0.074,-0.064,-0.044,-0.047,-0.078
"18",18,10001,77950001,243,-0.083,-0.106,-0.118,-0.093,-0.155,-0.11,-0.129,-0.207,-0.105,-0.129,-0.069,-0.113,-0.111,-0.156,-0.131,-0.083,-0.099,-0.129
"19",19,60001,59050001,711,-0.069,-0.046,-0.056,-0.023,-0.073,-0.046,-0.046,-0.101,-0.028,-0.056,-0.033,0.008,-0.017,-0.055,-0.032,-0.016,-0.001,-0.034
"20",20,60001,62850001,359,-0.078,-0.06,-0.068,-0.051,-0.106,-0.059,-0.098,-0.091,-0.092,-0.053,-0.042,-0.019,-0.061,-0.085,-0.071,-0.039,-0.073,-0.101
"21",21,10697897,48050001,157,-0.005,-0.008,-0.015,0,-0.041,-0.004,-0.04,-0.04,-0.016,-0.023,0.003,0.023,-0.023,-0.047,-0.029,0.001,-0.007,0.175
"22",22,16050001,51200001,300,-0.059,-0.03,-0.056,0.008,-0.092,-0.026,-0.047,-0.083,-0.014,-0.02,-0.022,0.072,-0.006,-0.016,-0.01,0.022,0.021,-0.061
