"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.1076,"GSM2404445_9420867097_R02C02",0.782942790327662
"2",1,121392717,145225000,0.2157,"GSM2404445_9420867097_R02C02",0.782942790327662
"3",1,145375000,249195311,-0.1191,"GSM2404445_9420867097_R02C02",0.782942790327662
"4",10,105000,4300000,0.2656,"GSM2404445_9420867097_R02C02",0.782942790327662
"5",10,4625000,135462374,-0.0707,"GSM2404445_9420867097_R02C02",0.782942790327662
"6",11,130000,134873258,-0.1001,"GSM2404445_9420867097_R02C02",0.782942790327662
"7",12,172870,34275000,-0.104,"GSM2404445_9420867097_R02C02",0.782942790327662
"8",12,34375000,38178347,0.2602,"GSM2404445_9420867097_R02C02",0.782942790327662
"9",12,38525000,133770948,-0.1061,"GSM2404445_9420867097_R02C02",0.782942790327662
"10",13,19110000,115079939,-0.0296,"GSM2404445_9420867097_R02C02",0.782942790327662
"11",14,19325000,20025000,0.2813,"GSM2404445_9420867097_R02C02",0.782942790327662
"12",14,20450000,107119770,-0.1122,"GSM2404445_9420867097_R02C02",0.782942790327662
"13",15,20225000,102410696,-0.0923,"GSM2404445_9420867097_R02C02",0.782942790327662
"14",16,105000,31825000,8e-04,"GSM2404445_9420867097_R02C02",0.782942790327662
"15",16,32075000,46517901,0.3215,"GSM2404445_9420867097_R02C02",0.782942790327662
"16",16,46675000,90222377,3e-04,"GSM2404445_9420867097_R02C02",0.782942790327662
"17",17,25000,81122605,-0.0978,"GSM2404445_9420867097_R02C02",0.782942790327662
"18",18,80000,77983624,-0.1256,"GSM2404445_9420867097_R02C02",0.782942790327662
"19",19,180000,59084492,-0.0663,"GSM2404445_9420867097_R02C02",0.782942790327662
"20",2,130000,243026238,-0.0963,"GSM2404445_9420867097_R02C02",0.782942790327662
"21",20,155000,62907760,-0.1116,"GSM2404445_9420867097_R02C02",0.782942790327662
"22",21,10848948,48084948,-0.0117,"GSM2404445_9420867097_R02C02",0.782942790327662
"23",22,16373925,51222283,-0.0556,"GSM2404445_9420867097_R02C02",0.782942790327662
"24",3,155000,197831215,-0.1316,"GSM2404445_9420867097_R02C02",0.782942790327662
"25",4,55000,187475000,-0.1362,"GSM2404445_9420867097_R02C02",0.782942790327662
"26",4,187525000,190972138,0.2137,"GSM2404445_9420867097_R02C02",0.782942790327662
"27",5,55000,180777630,-0.1212,"GSM2404445_9420867097_R02C02",0.782942790327662
"28",6,155000,170952534,-0.0952,"GSM2404445_9420867097_R02C02",0.782942790327662
"29",7,55000,159039332,-0.0446,"GSM2404445_9420867097_R02C02",0.782942790327662
"30",8,105000,8100000,0.246,"GSM2404445_9420867097_R02C02",0.782942790327662
"31",8,8175000,146277011,-0.111,"GSM2404445_9420867097_R02C02",0.782942790327662
"32",9,130000,141076716,-0.0809,"GSM2404445_9420867097_R02C02",0.782942790327662
"33",1,635684,249195311,-0.1467,"GSM2404446_9420867097_R03C02",0.850452880628403
"34",10,105000,135462374,-0.0789,"GSM2404446_9420867097_R03C02",0.850452880628403
"35",11,130000,134873258,-0.1377,"GSM2404446_9420867097_R03C02",0.850452880628403
"36",12,172870,34275000,-0.1563,"GSM2404446_9420867097_R03C02",0.850452880628403
"37",12,34375000,38178347,0.3654,"GSM2404446_9420867097_R03C02",0.850452880628403
"38",12,38525000,133770948,-0.1456,"GSM2404446_9420867097_R03C02",0.850452880628403
"39",13,19110000,115079939,-0.0608,"GSM2404446_9420867097_R03C02",0.850452880628403
"40",14,19325000,20025000,0.4127,"GSM2404446_9420867097_R03C02",0.850452880628403
"41",14,20450000,107119770,-0.1594,"GSM2404446_9420867097_R03C02",0.850452880628403
"42",15,20225000,102410696,-0.1194,"GSM2404446_9420867097_R03C02",0.850452880628403
"43",16,105000,31825000,0.0021,"GSM2404446_9420867097_R03C02",0.850452880628403
"44",16,32075000,46517901,0.4055,"GSM2404446_9420867097_R03C02",0.850452880628403
"45",16,46675000,90222377,-0.0099,"GSM2404446_9420867097_R03C02",0.850452880628403
"46",17,25000,81122605,-0.1041,"GSM2404446_9420867097_R03C02",0.850452880628403
"47",18,80000,74975000,-0.1904,"GSM2404446_9420867097_R03C02",0.850452880628403
"48",18,75360910,77983624,0.17,"GSM2404446_9420867097_R03C02",0.850452880628403
"49",19,180000,59084492,-0.0766,"GSM2404446_9420867097_R03C02",0.850452880628403
"50",2,130000,4125000,0.2802,"GSM2404446_9420867097_R03C02",0.850452880628403
"51",2,4609394,243026238,-0.1453,"GSM2404446_9420867097_R03C02",0.850452880628403
"52",20,155000,62907760,-0.1331,"GSM2404446_9420867097_R03C02",0.850452880628403
"53",21,10848948,48084948,-0.0227,"GSM2404446_9420867097_R03C02",0.850452880628403
"54",22,16373925,51222283,-0.0586,"GSM2404446_9420867097_R03C02",0.850452880628403
"55",3,155000,197831215,-0.185,"GSM2404446_9420867097_R03C02",0.850452880628403
"56",4,55000,190972138,-0.1633,"GSM2404446_9420867097_R03C02",0.850452880628403
"57",5,55000,180777630,-0.1596,"GSM2404446_9420867097_R03C02",0.850452880628403
"58",6,155000,170952534,-0.1392,"GSM2404446_9420867097_R03C02",0.850452880628403
"59",7,55000,159039332,-0.0741,"GSM2404446_9420867097_R03C02",0.850452880628403
"60",8,105000,8100000,0.2935,"GSM2404446_9420867097_R03C02",0.850452880628403
"61",8,8175000,146277011,-0.1377,"GSM2404446_9420867097_R03C02",0.850452880628403
"62",9,130000,141076716,-0.101,"GSM2404446_9420867097_R03C02",0.850452880628403
"63",1,635684,249195311,-0.1104,"GSM2404447_9420867097_R04C02",0.765516645169778
"64",10,105000,135462374,-0.0652,"GSM2404447_9420867097_R04C02",0.765516645169778
"65",11,130000,134873258,-0.1246,"GSM2404447_9420867097_R04C02",0.765516645169778
"66",12,172870,34275000,-0.1455,"GSM2404447_9420867097_R04C02",0.765516645169778
"67",12,34375000,38650000,0.2149,"GSM2404447_9420867097_R04C02",0.765516645169778
"68",12,39150000,133770948,-0.1204,"GSM2404447_9420867097_R04C02",0.765516645169778
"69",13,19110000,109025000,-0.1353,"GSM2404447_9420867097_R04C02",0.765516645169778
