"chrom","start.pos","end.pos","n.probes","GSM2403723_9007225064_R02C02","GSM2403840_9297949139_R06C01","GSM2404278_9422491056_R04C01","GSM2404280_9422491056_R01C02","GSM2404510_9444375028_R05C01","GSM2404511_9444375028_R04C02","GSM2404712_9721366135_R03C02","GSM2404722_9741950111_R05C02","GSM2404723_9741950120_R02C01","GSM2404728_9741950120_R02C02","GSM2404730_9741950120_R04C02","GSM2405242_9878827221_R05C01","GSM2405244_9878827221_R02C02","GSM2405261_9878827235_R05C01","GSM2405262_9878827235_R06C01","GSM2405264_9878827235_R03C02","GSM2405644_200091640050_R05C02","GSM2405645_200091640051_R01C01","GSM2405646_200091640051_R03C01","GSM2405647_200091640051_R06C01","GSM2405648_200091640051_R01C02","GSM2405649_200091640051_R03C02","GSM2405650_200091640051_R04C02","GSM2940880_200362700204_R01C01"
"1",1,521369,27450001,331,-0.236,-0.289,-0.151,-0.283,-0.234,-0.13,-0.125,-0.008,-0.226,-0.125,-0.181,-0.203,-0.169,-0.226,-0.288,-0.354,-0.143,-0.266,-0.419,-0.207,-0.181,-0.214,-0.09,0.087
"2",1,27500001,249150001,1262,-0.339,-0.501,-0.233,-0.471,-0.429,-0.215,-0.246,-0.189,-0.391,-0.21,-0.297,-0.369,-0.229,-0.188,-0.339,-0.471,-0.199,-0.292,-0.592,-0.25,-0.332,-0.378,-0.364,0.225
"3",2,10001,242950001,1282,-0.012,-0.016,-0.011,0.014,-0.171,-0.051,-0.045,-0.275,-0.076,-0.193,0.065,-0.218,0.104,0.046,0.074,0.034,-0.222,-0.281,-0.133,-0.258,-0.331,-0.089,-0.154,0.007
"4",3,60001,197700001,978,-0.346,-0.52,-0.211,-0.501,-0.401,-0.265,-0.29,-0.29,-0.416,-0.199,-0.308,-0.222,-0.262,-0.17,-0.387,-0.433,-0.243,-0.282,-0.639,-0.251,-0.367,-0.408,-0.463,-0.388
"5",4,10001,11350001,138,-0.144,-0.163,-0.13,-0.172,-0.104,-0.127,-0.094,0.053,-0.113,-0.061,-0.13,-0.16,-0.178,-0.149,-0.223,-0.222,-0.122,-0.05,-0.324,-0.182,0.084,-0.14,-0.073,-0.251
"6",4,11400001,190900001,604,-0.352,-0.58,-0.231,-0.547,-0.482,-0.29,-0.342,-0.088,-0.43,-0.276,-0.354,-0.213,-0.304,-0.098,-0.348,-0.495,-0.277,-0.13,-0.702,-0.321,-0.032,-0.454,-0.61,-0.494
"7",5,10001,180650001,849,0.214,-0.018,0.245,0.041,-0.043,0.189,0.13,-0.024,0.105,0.217,0.072,0.264,0.173,0.215,0.105,0.05,0.227,0.309,-0.06,0.255,0.264,0.089,0.08,0.019
"8",6,60001,170850001,988,-0.017,-0.054,0.089,0.003,-0.041,0.056,-0.031,-0.139,-0.001,0.004,0.064,-0.194,0.121,0.161,0.079,0.06,-0.202,0.125,-0.059,-0.232,0.133,-0.082,-0.044,0.006
"9",7,10001,158950001,952,0.221,0.07,0.156,0.048,0.048,0.184,0.257,0.042,0.135,-0.143,0.105,0.327,0.148,0.267,0.219,0.121,0.238,0.271,0.033,0.252,0.172,0.15,0.023,0.038
"10",8,10001,8050001,62,0.017,-0.026,-0.033,-0.092,0.105,0.07,-0.024,0.04,0.017,0.031,-0.02,-0.002,-0.128,-0.037,-0.117,0.242,0.035,-0.015,-0.198,0.012,-0.398,0.041,-0.102,0.12
