"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0079,"GSM2402992_6929689149_R03C02",0.522681915328299
"2",10,105000,135462374,-0.0062,"GSM2402992_6929689149_R03C02",0.522681915328299
"3",11,130000,101975000,0.1071,"GSM2402992_6929689149_R03C02",0.522681915328299
"4",11,102075000,102525000,-0.4232,"GSM2402992_6929689149_R03C02",0.522681915328299
"5",11,102650000,134873258,0.1237,"GSM2402992_6929689149_R03C02",0.522681915328299
"6",12,172870,133770948,-0.0055,"GSM2402992_6929689149_R03C02",0.522681915328299
"7",13,19110000,115079939,-0.0355,"GSM2402992_6929689149_R03C02",0.522681915328299
"8",14,19325000,107119770,-0.012,"GSM2402992_6929689149_R03C02",0.522681915328299
"9",15,20225000,102410696,-0.0072,"GSM2402992_6929689149_R03C02",0.522681915328299
"10",16,105000,90222377,0.0114,"GSM2402992_6929689149_R03C02",0.522681915328299
"11",17,25000,81122605,-0.0644,"GSM2402992_6929689149_R03C02",0.522681915328299
"12",18,80000,77983624,-0.1238,"GSM2402992_6929689149_R03C02",0.522681915328299
"13",19,180000,59084492,-0.0334,"GSM2402992_6929689149_R03C02",0.522681915328299
"14",2,130000,243026238,-0.0394,"GSM2402992_6929689149_R03C02",0.522681915328299
"15",20,155000,62907760,-0.039,"GSM2402992_6929689149_R03C02",0.522681915328299
"16",21,10848948,48084948,-0.0179,"GSM2402992_6929689149_R03C02",0.522681915328299
"17",22,16373925,51222283,-0.1467,"GSM2402992_6929689149_R03C02",0.522681915328299
"18",3,155000,197831215,-0.0177,"GSM2402992_6929689149_R03C02",0.522681915328299
"19",4,55000,190972138,-0.068,"GSM2402992_6929689149_R03C02",0.522681915328299
"20",5,55000,180777630,-0.0146,"GSM2402992_6929689149_R03C02",0.522681915328299
"21",6,155000,170952534,-0.0354,"GSM2402992_6929689149_R03C02",0.522681915328299
"22",7,55000,159039332,0.0097,"GSM2402992_6929689149_R03C02",0.522681915328299
"23",8,105000,146277011,-0.0351,"GSM2402992_6929689149_R03C02",0.522681915328299
"24",9,130000,141076716,-0.0034,"GSM2402992_6929689149_R03C02",0.522681915328299
"25",1,635684,249195311,0.0126,"GSM2403203_6929806046_R03C01",0.489666750298612
"26",10,105000,135462374,-0.0052,"GSM2403203_6929806046_R03C01",0.489666750298612
"27",11,130000,134873258,0.0031,"GSM2403203_6929806046_R03C01",0.489666750298612
"28",12,172870,133770948,-0.003,"GSM2403203_6929806046_R03C01",0.489666750298612
"29",13,19110000,115079939,-0.04,"GSM2403203_6929806046_R03C01",0.489666750298612
"30",14,19325000,107119770,-0.007,"GSM2403203_6929806046_R03C01",0.489666750298612
"31",15,20225000,102410696,-0.002,"GSM2403203_6929806046_R03C01",0.489666750298612
"32",16,105000,90222377,0.0207,"GSM2403203_6929806046_R03C01",0.489666750298612
"33",17,25000,81122605,-0.0471,"GSM2403203_6929806046_R03C01",0.489666750298612
"34",18,80000,77983624,-0.0994,"GSM2403203_6929806046_R03C01",0.489666750298612
"35",19,180000,59084492,-0.0271,"GSM2403203_6929806046_R03C01",0.489666750298612
"36",2,130000,243026238,-0.0323,"GSM2403203_6929806046_R03C01",0.489666750298612
"37",20,155000,62907760,-0.0217,"GSM2403203_6929806046_R03C01",0.489666750298612
"38",21,10848948,48084948,-0.0081,"GSM2403203_6929806046_R03C01",0.489666750298612
"39",22,16373925,51222283,-0.0167,"GSM2403203_6929806046_R03C01",0.489666750298612
"40",3,155000,197831215,-0.022,"GSM2403203_6929806046_R03C01",0.489666750298612
"41",4,55000,190972138,-0.0705,"GSM2403203_6929806046_R03C01",0.489666750298612
"42",5,55000,180777630,-0.0175,"GSM2403203_6929806046_R03C01",0.489666750298612
"43",6,155000,170952534,-0.0295,"GSM2403203_6929806046_R03C01",0.489666750298612
"44",7,55000,159039332,0.0043,"GSM2403203_6929806046_R03C01",0.489666750298612
"45",8,105000,146277011,-0.0286,"GSM2403203_6929806046_R03C01",0.489666750298612
"46",9,130000,141076716,0.0061,"GSM2403203_6929806046_R03C01",0.489666750298612
"47",1,635684,185525000,0.0168,"GSM2403211_6929806048_R06C01",0.532953943785278
"48",1,186025000,200825000,-0.31,"GSM2403211_6929806048_R06C01",0.532953943785278
"49",1,200900000,249195311,-0.0122,"GSM2403211_6929806048_R06C01",0.532953943785278
"50",10,105000,135462374,-0.0277,"GSM2403211_6929806048_R06C01",0.532953943785278
"51",11,130000,20625000,-0.0013,"GSM2403211_6929806048_R06C01",0.532953943785278
"52",11,20675000,31975000,-0.2369,"GSM2403211_6929806048_R06C01",0.532953943785278
"53",11,32250000,36425000,0.0017,"GSM2403211_6929806048_R06C01",0.532953943785278
"54",11,36525000,43325000,-0.3151,"GSM2403211_6929806048_R06C01",0.532953943785278
"55",11,43450000,48975000,0.0418,"GSM2403211_6929806048_R06C01",0.532953943785278
"56",11,49250000,56675000,-0.3286,"GSM2403211_6929806048_R06C01",0.532953943785278
"57",11,56975000,96075000,0.0031,"GSM2403211_6929806048_R06C01",0.532953943785278
"58",11,96193792,107150000,-0.402,"GSM2403211_6929806048_R06C01",0.532953943785278
"59",11,107425000,134873258,-0.01,"GSM2403211_6929806048_R06C01",0.532953943785278
