"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0524,"GSM2402991_6929689149_R02C02"
"2",10,105000,135462374,0.0317,"GSM2402991_6929689149_R02C02"
"3",11,130000,134873258,0.0542,"GSM2402991_6929689149_R02C02"
"4",12,172870,133770948,0.0455,"GSM2402991_6929689149_R02C02"
"5",13,19110000,115079939,0.0574,"GSM2402991_6929689149_R02C02"
"6",14,19325000,107119770,0.0268,"GSM2402991_6929689149_R02C02"
"7",15,20225000,102410696,0.0336,"GSM2402991_6929689149_R02C02"
"8",16,105000,90222377,0.0516,"GSM2402991_6929689149_R02C02"
"9",17,25000,81122605,-0.0606,"GSM2402991_6929689149_R02C02"
"10",18,80000,77983624,-0.1359,"GSM2402991_6929689149_R02C02"
"11",19,180000,59084492,0.0086,"GSM2402991_6929689149_R02C02"
"12",2,130000,243026238,0.0099,"GSM2402991_6929689149_R02C02"
"13",20,155000,62907760,0.0083,"GSM2402991_6929689149_R02C02"
"14",21,10848948,48084948,0.009,"GSM2402991_6929689149_R02C02"
"15",22,16373925,51222283,0.0083,"GSM2402991_6929689149_R02C02"
"16",3,155000,197831215,0.0418,"GSM2402991_6929689149_R02C02"
"17",4,55000,190972138,-0.0497,"GSM2402991_6929689149_R02C02"
"18",5,55000,180777630,0.0384,"GSM2402991_6929689149_R02C02"
"19",6,155000,170952534,0.0268,"GSM2402991_6929689149_R02C02"
"20",7,55000,159039332,0.0786,"GSM2402991_6929689149_R02C02"
"21",8,105000,146277011,0.0153,"GSM2402991_6929689149_R02C02"
"22",9,130000,141076716,0.0247,"GSM2402991_6929689149_R02C02"
"23",1,635684,249195311,0.0391,"GSM2403187_6929806024_R01C01"
"24",10,105000,135462374,0.0222,"GSM2403187_6929806024_R01C01"
"25",11,130000,134873258,0.0342,"GSM2403187_6929806024_R01C01"
"26",12,172870,133770948,0.0213,"GSM2403187_6929806024_R01C01"
"27",13,19110000,115079939,0.0243,"GSM2403187_6929806024_R01C01"
"28",14,19325000,107119770,0.0209,"GSM2403187_6929806024_R01C01"
"29",15,20225000,102410696,0.0246,"GSM2403187_6929806024_R01C01"
"30",16,105000,90222377,0.0424,"GSM2403187_6929806024_R01C01"
"31",17,25000,81122605,-0.0333,"GSM2403187_6929806024_R01C01"
"32",18,80000,77983624,-0.0941,"GSM2403187_6929806024_R01C01"
"33",19,180000,59084492,0.0028,"GSM2403187_6929806024_R01C01"
"34",2,130000,243026238,0.0027,"GSM2403187_6929806024_R01C01"
"35",20,155000,62907760,0.0133,"GSM2403187_6929806024_R01C01"
"36",21,10848948,48084948,0.0032,"GSM2403187_6929806024_R01C01"
"37",22,16373925,51222283,0.028,"GSM2403187_6929806024_R01C01"
"38",3,155000,197831215,0.0114,"GSM2403187_6929806024_R01C01"
"39",4,55000,190972138,-0.059,"GSM2403187_6929806024_R01C01"
"40",5,55000,180777630,0.0096,"GSM2403187_6929806024_R01C01"
"41",6,155000,170952534,0.007,"GSM2403187_6929806024_R01C01"
"42",7,55000,159039332,0.0466,"GSM2403187_6929806024_R01C01"
"43",8,105000,146277011,0.0088,"GSM2403187_6929806024_R01C01"
"44",9,130000,141076716,0.037,"GSM2403187_6929806024_R01C01"
"45",1,635684,249195311,0.0461,"GSM2403196_6929806038_R04C01"
"46",10,105000,135462374,0.0149,"GSM2403196_6929806038_R04C01"
"47",11,130000,134873258,0.0205,"GSM2403196_6929806038_R04C01"
"48",12,172870,133770948,0.0177,"GSM2403196_6929806038_R04C01"
"49",13,19110000,115079939,-0.0141,"GSM2403196_6929806038_R04C01"
"50",14,19325000,107119770,0.0257,"GSM2403196_6929806038_R04C01"
"51",15,20225000,102410696,0.0334,"GSM2403196_6929806038_R04C01"
"52",16,105000,90222377,0.0385,"GSM2403196_6929806038_R04C01"
"53",17,25000,81122605,-0.0183,"GSM2403196_6929806038_R04C01"
"54",18,80000,77983624,-0.0819,"GSM2403196_6929806038_R04C01"
"55",19,180000,59084492,0.012,"GSM2403196_6929806038_R04C01"
"56",2,130000,243026238,-0.0058,"GSM2403196_6929806038_R04C01"
"57",20,155000,62907760,0.0091,"GSM2403196_6929806038_R04C01"
"58",21,10848948,48084948,0.0016,"GSM2403196_6929806038_R04C01"
"59",22,16373925,51222283,0.0457,"GSM2403196_6929806038_R04C01"
"60",3,155000,197831215,-0.0038,"GSM2403196_6929806038_R04C01"
"61",4,55000,190972138,-0.0614,"GSM2403196_6929806038_R04C01"
"62",5,55000,180777630,0.001,"GSM2403196_6929806038_R04C01"
"63",6,155000,170952534,-0.0022,"GSM2403196_6929806038_R04C01"
"64",7,55000,159039332,0.0278,"GSM2403196_6929806038_R04C01"
"65",8,105000,146277011,3e-04,"GSM2403196_6929806038_R04C01"
"66",9,130000,141076716,0.0216,"GSM2403196_6929806038_R04C01"
"67",1,635684,249195311,0.046,"GSM2403198_6929806038_R04C02"
"68",10,105000,135462374,0.0189,"GSM2403198_6929806038_R04C02"
"69",11,130000,134873258,0.0248,"GSM2403198_6929806038_R04C02"
"70",12,172870,133770948,0.0192,"GSM2403198_6929806038_R04C02"
"71",13,19110000,115079939,-0.0101,"GSM2403198_6929806038_R04C02"
"72",14,19325000,107119770,0.0261,"GSM2403198_6929806038_R04C02"
"73",15,20225000,102410696,0.0336,"GSM2403198_6929806038_R04C02"
"74",16,105000,90222377,0.0442,"GSM2403198_6929806038_R04C02"
"75",17,25000,81122605,-0.0262,"GSM2403198_6929806038_R04C02"
"76",18,80000,77983624,-0.102,"GSM2403198_6929806038_R04C02"
"77",19,180000,59084492,0.0107,"GSM2403198_6929806038_R04C02"
"78",2,130000,243026238,-0.0057,"GSM2403198_6929806038_R04C02"
"79",20,155000,62907760,0.0095,"GSM2403198_6929806038_R04C02"
