"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0115,"GSM2402915_6929689168_R06C01",0.565977339952217
"2",10,105000,135462374,0.0012,"GSM2402915_6929689168_R06C01",0.565977339952217
"3",11,130000,134873258,0.01,"GSM2402915_6929689168_R06C01",0.565977339952217
"4",12,172870,133770948,-0.0082,"GSM2402915_6929689168_R06C01",0.565977339952217
"5",13,19110000,115079939,-0.0427,"GSM2402915_6929689168_R06C01",0.565977339952217
"6",14,19325000,107119770,-0.0093,"GSM2402915_6929689168_R06C01",0.565977339952217
"7",15,20225000,102410696,0.0032,"GSM2402915_6929689168_R06C01",0.565977339952217
"8",16,105000,90222377,0.0095,"GSM2402915_6929689168_R06C01",0.565977339952217
"9",17,25000,81122605,-0.0666,"GSM2402915_6929689168_R06C01",0.565977339952217
"10",18,80000,77983624,-0.1296,"GSM2402915_6929689168_R06C01",0.565977339952217
"11",19,180000,59084492,-0.0358,"GSM2402915_6929689168_R06C01",0.565977339952217
"12",2,130000,243026238,-0.0392,"GSM2402915_6929689168_R06C01",0.565977339952217
"13",20,155000,62907760,-0.0531,"GSM2402915_6929689168_R06C01",0.565977339952217
"14",21,10848948,48084948,-0.0132,"GSM2402915_6929689168_R06C01",0.565977339952217
"15",22,16373925,24075000,-0.2098,"GSM2402915_6929689168_R06C01",0.565977339952217
"16",22,24125000,24475000,-0.6445,"GSM2402915_6929689168_R06C01",0.565977339952217
"17",22,24575000,51222283,-0.1181,"GSM2402915_6929689168_R06C01",0.565977339952217
"18",3,155000,197831215,-0.0089,"GSM2402915_6929689168_R06C01",0.565977339952217
"19",4,55000,190972138,-0.0699,"GSM2402915_6929689168_R06C01",0.565977339952217
"20",5,55000,180777630,-0.0123,"GSM2402915_6929689168_R06C01",0.565977339952217
"21",6,155000,32425000,-0.0171,"GSM2402915_6929689168_R06C01",0.565977339952217
"22",6,32475000,32725000,-0.6068,"GSM2402915_6929689168_R06C01",0.565977339952217
"23",6,32775000,170952534,-0.0395,"GSM2402915_6929689168_R06C01",0.565977339952217
"24",7,55000,159039332,0.008,"GSM2402915_6929689168_R06C01",0.565977339952217
"25",8,105000,146277011,-0.0349,"GSM2402915_6929689168_R06C01",0.565977339952217
"26",9,130000,141076716,-0.0126,"GSM2402915_6929689168_R06C01",0.565977339952217
"27",1,635684,249195311,0.0164,"GSM2402921_6164621144_R02C01",0.576590594949387
"28",10,105000,135462374,0.0114,"GSM2402921_6164621144_R02C01",0.576590594949387
"29",11,130000,134873258,0.0411,"GSM2402921_6164621144_R02C01",0.576590594949387
"30",12,172870,133770948,-0.0042,"GSM2402921_6164621144_R02C01",0.576590594949387
"31",13,19110000,115079939,-0.0198,"GSM2402921_6164621144_R02C01",0.576590594949387
"32",14,19325000,107119770,-0.0092,"GSM2402921_6164621144_R02C01",0.576590594949387
"33",15,20225000,102410696,-0.0129,"GSM2402921_6164621144_R02C01",0.576590594949387
"34",16,105000,35017901,-0.0115,"GSM2402921_6164621144_R02C01",0.576590594949387
"35",16,46517901,90222377,-0.3921,"GSM2402921_6164621144_R02C01",0.576590594949387
"36",17,25000,81122605,-0.0967,"GSM2402921_6164621144_R02C01",0.576590594949387
"37",18,80000,77983624,-0.1297,"GSM2402921_6164621144_R02C01",0.576590594949387
"38",19,180000,59084492,-0.1002,"GSM2402921_6164621144_R02C01",0.576590594949387
"39",2,130000,243026238,-0.0243,"GSM2402921_6164621144_R02C01",0.576590594949387
"40",20,155000,62907760,-0.064,"GSM2402921_6164621144_R02C01",0.576590594949387
"41",21,10848948,48084948,2e-04,"GSM2402921_6164621144_R02C01",0.576590594949387
"42",22,16373925,21925000,-0.0577,"GSM2402921_6164621144_R02C01",0.576590594949387
"43",22,21975000,23525000,-0.4314,"GSM2402921_6164621144_R02C01",0.576590594949387
"44",22,23650000,24475000,-2.2505,"GSM2402921_6164621144_R02C01",0.576590594949387
"45",22,24575000,51222283,-0.4364,"GSM2402921_6164621144_R02C01",0.576590594949387
"46",3,155000,197831215,0.0191,"GSM2402921_6164621144_R02C01",0.576590594949387
"47",4,55000,190972138,-0.0477,"GSM2402921_6164621144_R02C01",0.576590594949387
"48",5,55000,180777630,0.0119,"GSM2402921_6164621144_R02C01",0.576590594949387
"49",6,155000,170952534,-0.0128,"GSM2402921_6164621144_R02C01",0.576590594949387
"50",7,55000,159039332,0.0174,"GSM2402921_6164621144_R02C01",0.576590594949387
"51",8,105000,146277011,-0.0203,"GSM2402921_6164621144_R02C01",0.576590594949387
"52",9,130000,141076716,0.0205,"GSM2402921_6164621144_R02C01",0.576590594949387
"53",1,635684,249195311,-0.0034,"GSM2402974_6929718026_R06C01",0.645322821650156
"54",10,105000,135462374,-0.0138,"GSM2402974_6929718026_R06C01",0.645322821650156
"55",11,130000,134873258,-0.0158,"GSM2402974_6929718026_R06C01",0.645322821650156
"56",12,172870,133770948,-0.0282,"GSM2402974_6929718026_R06C01",0.645322821650156
