"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0436,"GSM2403651_8963311099_R01C01"
"2",10,105000,135462374,-0.1321,"GSM2403651_8963311099_R01C01"
"3",11,130000,134873258,-0.0358,"GSM2403651_8963311099_R01C01"
"4",12,172870,133770948,0.1408,"GSM2403651_8963311099_R01C01"
"5",13,19110000,115079939,-0.0024,"GSM2403651_8963311099_R01C01"
"6",14,19325000,107119770,-0.0544,"GSM2403651_8963311099_R01C01"
"7",15,20225000,102410696,0.046,"GSM2403651_8963311099_R01C01"
"8",16,105000,90222377,-0.0632,"GSM2403651_8963311099_R01C01"
"9",17,25000,81122605,-0.0556,"GSM2403651_8963311099_R01C01"
"10",18,80000,77983624,-0.1468,"GSM2403651_8963311099_R01C01"
"11",19,180000,59084492,0.0171,"GSM2403651_8963311099_R01C01"
"12",2,130000,243026238,0.0584,"GSM2403651_8963311099_R01C01"
"13",20,155000,62907760,0.0481,"GSM2403651_8963311099_R01C01"
"14",21,10848948,48084948,0.0945,"GSM2403651_8963311099_R01C01"
"15",22,16373925,51222283,-0.0474,"GSM2403651_8963311099_R01C01"
"16",3,155000,197831215,0.0855,"GSM2403651_8963311099_R01C01"
"17",4,55000,190972138,-0.0303,"GSM2403651_8963311099_R01C01"
"18",5,55000,180777630,0.1048,"GSM2403651_8963311099_R01C01"
"19",6,155000,170952534,-0.0076,"GSM2403651_8963311099_R01C01"
"20",7,55000,159039332,0.1951,"GSM2403651_8963311099_R01C01"
"21",8,105000,146277011,0.0523,"GSM2403651_8963311099_R01C01"
"22",9,130000,141076716,-0.052,"GSM2403651_8963311099_R01C01"
"23",1,635684,249195311,0.003,"GSM2403652_8963311099_R02C01"
"24",10,105000,135462374,-0.0376,"GSM2403652_8963311099_R02C01"
"25",11,130000,134873258,0.0071,"GSM2403652_8963311099_R02C01"
"26",12,172870,133770948,0.0848,"GSM2403652_8963311099_R02C01"
"27",13,19110000,115079939,0.1697,"GSM2403652_8963311099_R02C01"
"28",14,19325000,107119770,-0.0481,"GSM2403652_8963311099_R02C01"
"29",15,20225000,102410696,0.061,"GSM2403652_8963311099_R02C01"
"30",16,105000,90222377,0.0721,"GSM2403652_8963311099_R02C01"
"31",17,25000,81122605,-0.1059,"GSM2403652_8963311099_R02C01"
"32",18,80000,77983624,-0.069,"GSM2403652_8963311099_R02C01"
"33",19,180000,59084492,-0.0094,"GSM2403652_8963311099_R02C01"
"34",2,130000,243026238,0.0549,"GSM2403652_8963311099_R02C01"
"35",20,155000,62907760,0.014,"GSM2403652_8963311099_R02C01"
"36",21,10848948,48084948,0.0528,"GSM2403652_8963311099_R02C01"
"37",22,16373925,51222283,-0.0423,"GSM2403652_8963311099_R02C01"
"38",3,155000,197831215,0.0703,"GSM2403652_8963311099_R02C01"
"39",4,55000,190972138,0.0274,"GSM2403652_8963311099_R02C01"
"40",5,55000,180777630,0.1177,"GSM2403652_8963311099_R02C01"
"41",6,155000,170952534,0.046,"GSM2403652_8963311099_R02C01"
"42",7,55000,159039332,0.1753,"GSM2403652_8963311099_R02C01"
"43",8,105000,146277011,0.0301,"GSM2403652_8963311099_R02C01"
"44",9,130000,141076716,-0.1397,"GSM2403652_8963311099_R02C01"
"45",1,635684,249195311,0.06,"GSM2403653_8963311099_R04C01"
"46",10,105000,135462374,0.0524,"GSM2403653_8963311099_R04C01"
"47",11,130000,134873258,0.0543,"GSM2403653_8963311099_R04C01"
"48",12,172870,133770948,0.0526,"GSM2403653_8963311099_R04C01"
"49",13,19110000,115079939,0.0842,"GSM2403653_8963311099_R04C01"
"50",14,19325000,107119770,0.0401,"GSM2403653_8963311099_R04C01"
"51",15,20225000,102410696,0.0451,"GSM2403653_8963311099_R04C01"
"52",16,105000,90222377,0.0432,"GSM2403653_8963311099_R04C01"
"53",17,25000,81122605,-0.0582,"GSM2403653_8963311099_R04C01"
"54",18,80000,77983624,-0.0912,"GSM2403653_8963311099_R04C01"
"55",19,180000,59084492,-0.0223,"GSM2403653_8963311099_R04C01"
"56",2,130000,243026238,0.034,"GSM2403653_8963311099_R04C01"
"57",20,155000,62907760,0.0041,"GSM2403653_8963311099_R04C01"
"58",21,10848948,48084948,0.0338,"GSM2403653_8963311099_R04C01"
"59",22,16373925,51222283,0.0069,"GSM2403653_8963311099_R04C01"
"60",3,155000,197831215,0.0498,"GSM2403653_8963311099_R04C01"
"61",4,55000,190972138,-0.0213,"GSM2403653_8963311099_R04C01"
"62",5,55000,180777630,0.0497,"GSM2403653_8963311099_R04C01"
"63",6,155000,170952534,0.0461,"GSM2403653_8963311099_R04C01"
"64",7,55000,159039332,0.0777,"GSM2403653_8963311099_R04C01"
"65",8,105000,146277011,0.0349,"GSM2403653_8963311099_R04C01"
"66",9,130000,141076716,0.0369,"GSM2403653_8963311099_R04C01"
"67",1,635684,249195311,0.0495,"GSM2403654_8963311099_R05C01"
"68",10,105000,135462374,-0.1944,"GSM2403654_8963311099_R05C01"
"69",11,130000,134873258,-0.0255,"GSM2403654_8963311099_R05C01"
"70",12,172870,33250000,0.0795,"GSM2403654_8963311099_R05C01"
"71",12,33875000,43450000,-0.2325,"GSM2403654_8963311099_R05C01"
"72",12,44025000,133770948,0.0286,"GSM2403654_8963311099_R05C01"
"73",13,19110000,115079939,0.0252,"GSM2403654_8963311099_R05C01"
"74",14,19325000,107119770,0.0084,"GSM2403654_8963311099_R05C01"
"75",15,20225000,102410696,0.0658,"GSM2403654_8963311099_R05C01"
"76",16,105000,31825000,-0.1834,"GSM2403654_8963311099_R05C01"
"77",16,32075000,90222377,0.0761,"GSM2403654_8963311099_R05C01"
"78",17,25000,81122605,-0.0436,"GSM2403654_8963311099_R05C01"
"79",18,80000,77983624,-0.0866,"GSM2403654_8963311099_R05C01"
"80",19,180000,59084492,0.0301,"GSM2403654_8963311099_R05C01"
"81",2,130000,243026238,0.0422,"GSM2403654_8963311099_R05C01"
"82",20,155000,62907760,0.0044,"GSM2403654_8963311099_R05C01"
"83",21,10848948,48084948,-0.0434,"GSM2403654_8963311099_R05C01"
"84",22,16373925,51222283,-0.0158,"GSM2403654_8963311099_R05C01"
"85",3,155000,197831215,0.0672,"GSM2403654_8963311099_R05C01"
"86",4,55000,190972138,0.0035,"GSM2403654_8963311099_R05C01"
"87",5,55000,180777630,0.0644,"GSM2403654_8963311099_R05C01"
"88",6,155000,170952534,0.0295,"GSM2403654_8963311099_R05C01"
"89",7,55000,159039332,0.0982,"GSM2403654_8963311099_R05C01"
"90",8,105000,146277011,0.0474,"GSM2403654_8963311099_R05C01"
"91",9,130000,38250000,-0.2473,"GSM2403654_8963311099_R05C01"
"92",9,38500000,141076716,0.0616,"GSM2403654_8963311099_R05C01"
"93",1,635684,249195311,0.0161,"GSM2403655_8963311099_R06C01"
"94",10,105000,135462374,-0.0309,"GSM2403655_8963311099_R06C01"
"95",11,130000,134873258,-0.0146,"GSM2403655_8963311099_R06C01"
"96",12,172870,133770948,0.0132,"GSM2403655_8963311099_R06C01"
"97",13,19110000,115079939,-0.0276,"GSM2403655_8963311099_R06C01"
"98",14,19325000,107119770,0.024,"GSM2403655_8963311099_R06C01"
"99",15,20225000,102410696,0.0432,"GSM2403655_8963311099_R06C01"
"100",16,105000,90222377,0.042,"GSM2403655_8963311099_R06C01"
"101",17,25000,81122605,0.0025,"GSM2403655_8963311099_R06C01"
"102",18,80000,77983624,-0.0159,"GSM2403655_8963311099_R06C01"
"103",19,180000,59084492,0.0418,"GSM2403655_8963311099_R06C01"
"104",2,130000,243026238,-1e-04,"GSM2403655_8963311099_R06C01"
"105",20,155000,62907760,-0.0272,"GSM2403655_8963311099_R06C01"
"106",21,10848948,48084948,0.0425,"GSM2403655_8963311099_R06C01"
"107",22,16373925,51222283,0.0628,"GSM2403655_8963311099_R06C01"
"108",3,155000,197831215,-0.0192,"GSM2403655_8963311099_R06C01"
"109",4,55000,190972138,-0.0263,"GSM2403655_8963311099_R06C01"
"110",5,55000,180777630,-0.0055,"GSM2403655_8963311099_R06C01"
"111",6,155000,170952534,-0.0282,"GSM2403655_8963311099_R06C01"
"112",7,55000,159039332,0.0343,"GSM2403655_8963311099_R06C01"
"113",8,105000,146277011,-0.0088,"GSM2403655_8963311099_R06C01"
"114",9,130000,141076716,-0.2093,"GSM2403655_8963311099_R06C01"
"115",1,635684,249195311,0.0716,"GSM2403656_8963311099_R01C02"
"116",10,105000,135462374,0.0416,"GSM2403656_8963311099_R01C02"
"117",11,130000,134873258,0.0416,"GSM2403656_8963311099_R01C02"
"118",12,172870,133770948,0.0395,"GSM2403656_8963311099_R01C02"
"119",13,19110000,115079939,0.0063,"GSM2403656_8963311099_R01C02"
"120",14,19325000,107119770,0.0521,"GSM2403656_8963311099_R01C02"
"121",15,20225000,102410696,0.0705,"GSM2403656_8963311099_R01C02"
"122",16,105000,90222377,0.0582,"GSM2403656_8963311099_R01C02"
"123",17,25000,81122605,-0.0256,"GSM2403656_8963311099_R01C02"
"124",18,80000,77983624,-0.0852,"GSM2403656_8963311099_R01C02"
"125",19,180000,59084492,0.0104,"GSM2403656_8963311099_R01C02"
"126",2,130000,243026238,0.0066,"GSM2403656_8963311099_R01C02"
"127",20,155000,62907760,0.0074,"GSM2403656_8963311099_R01C02"
"128",21,10848948,48084948,0.0142,"GSM2403656_8963311099_R01C02"
"129",22,16373925,51222283,0.0481,"GSM2403656_8963311099_R01C02"
"130",3,155000,197831215,0.0253,"GSM2403656_8963311099_R01C02"
"131",4,55000,190972138,-0.0581,"GSM2403656_8963311099_R01C02"
"132",5,55000,180777630,0.0466,"GSM2403656_8963311099_R01C02"
"133",6,155000,170952534,0.0079,"GSM2403656_8963311099_R01C02"
"134",7,55000,159039332,0.0543,"GSM2403656_8963311099_R01C02"
"135",8,105000,146277011,0.0208,"GSM2403656_8963311099_R01C02"
"136",9,130000,141076716,-0.0928,"GSM2403656_8963311099_R01C02"
"137",1,635684,249195311,0.0208,"GSM2403657_8963311099_R02C02"
"138",10,105000,135462374,0.0496,"GSM2403657_8963311099_R02C02"
"139",11,130000,134873258,0.0535,"GSM2403657_8963311099_R02C02"
"140",12,172870,133770948,0.0552,"GSM2403657_8963311099_R02C02"
"141",13,19110000,115079939,0.1264,"GSM2403657_8963311099_R02C02"
"142",14,19325000,107119770,0,"GSM2403657_8963311099_R02C02"
"143",15,20225000,102410696,0.0486,"GSM2403657_8963311099_R02C02"
"144",16,105000,90222377,0.0796,"GSM2403657_8963311099_R02C02"
"145",17,25000,81122605,-0.0683,"GSM2403657_8963311099_R02C02"
"146",18,80000,77983624,-0.0719,"GSM2403657_8963311099_R02C02"
"147",19,180000,59084492,-0.0187,"GSM2403657_8963311099_R02C02"
"148",2,130000,243026238,0.0227,"GSM2403657_8963311099_R02C02"
