"chrom","start.pos","end.pos","n.probes","GSM2402997_6929718001_R01C02","GSM2403462_8622007027_R02C01","GSM2403606_8622007149_R02C02","GSM2403686_7497398017_R06C02","GSM2403687_7497398022_R05C02","GSM2403701_9007225035_R04C02","GSM2403721_9007225026_R04C01","GSM2404694_6969568075_R05C01","GSM2404777_9829119256_R01C02","GSM2405061_9969477089_R06C02","GSM2405090_9969477122_R01C02","GSM2405106_9855358003_R02C02","GSM2405538_9741950039_R04C01"
"1",1,521369,118100001,886,-0.266,0.034,-0.088,0.051,0.041,0.047,0.013,-0.277,0.066,0.005,0.029,-0.076,0.009
"2",1,118150001,249150001,707,0.087,0.013,-0.011,0.069,0.056,0.037,0.037,0.033,0.041,0.12,0.055,0.186,0.024
"3",2,10001,242950001,1282,0.033,-0.043,-0.095,0.029,0.02,-0.012,0.016,0.055,-0.011,0.176,0.053,-0.054,0.016
"4",3,60001,197700001,978,0.055,-0.024,-0.099,0.067,0.06,0.004,0.047,0.08,0,0.164,0.051,-0.044,0.024
"5",4,10001,190900001,742,-0.008,-0.078,0.024,-0.038,-0.043,-0.072,-0.061,-0.003,-0.096,0.031,0.066,0.134,-0.041
"6",5,10001,180650001,849,0.059,-0.014,-0.071,0.055,0.052,0.004,0.034,0.076,0,0.135,0.059,0.02,0.019
"7",6,60001,170850001,988,0.03,0.176,0.139,0.039,0.012,-0.017,0.042,0.054,-0.015,0.155,0.094,-0.022,0.026
"8",7,10001,158950001,952,0.08,-0.013,-0.077,0.086,0.055,0.018,0.057,-0.122,-0.363,0.171,-0.255,0.001,0.062
"9",8,10001,146250001,726,0.042,-0.038,0.363,0.022,0.244,-0.007,0,0.069,0.215,0.077,0.056,0.27,0.026
"10",9,10001,141000001,383,0.067,0.028,0.179,0.074,0.071,0.035,0.065,0.095,0.05,0.08,-0.191,-0.015,0.029
"11",10,60001,135400001,840,0.071,0.02,-0.016,0.064,0.055,0.027,0.045,0.097,0.024,0.107,0.076,-0.008,0.046
"12",11,60001,134800001,914,0.068,0.001,-0.011,0.077,0.074,0.027,0.043,0.093,0.031,0.107,0.24,-0.036,0.029
"13",12,145740,133700001,848,0.068,-0.006,-0.032,0.058,0.041,0.015,0.057,0.105,0.023,0.114,0.038,-0.02,0.018
"14",13,19020001,115050001,431,0.014,-0.108,-0.225,0.067,0.034,-0.034,0.069,0.027,-0.055,0.255,0.105,-0.037,0.075
"15",14,19000001,106950001,528,0.08,0.018,0.007,0.037,0.035,0.029,-0.006,0.125,0.041,0.05,0.086,-0.035,0.003
"16",15,20000001,102300001,571,0.084,0.026,0.025,0.048,0.041,0.035,0.02,0.137,0.05,0.051,0.073,-0.03,0.017
"17",16,60001,90150001,624,0.066,0.035,0.043,0.062,0.047,0.04,0.121,0.097,0.048,0.096,0.012,0.082,0.058
"18",17,1,81050001,814,-0.013,-0.03,0.001,-0.051,-0.064,-0.028,0.013,0.019,-0.008,-0.109,-0.105,-0.073,-0.049
"19",18,10001,77950001,243,-0.052,-0.091,-0.368,-0.106,-0.081,-0.087,-0.127,-0.042,-0.076,-0.141,-0.052,-0.062,-0.069
"20",19,60001,59050001,711,-0.167,-0.004,0.017,0.012,-0.032,0.002,0.061,-0.054,0.012,-0.032,0.052,0.057,-0.031
"21",20,60001,62850001,359,0.017,-0.048,-0.035,0.028,0.018,-0.002,-0.006,0.158,0.02,-0.004,0.029,0.165,-0.008
"22",21,10697897,48050001,157,0.047,0.004,-0.02,0.03,0.035,-0.002,0.063,0.057,0.007,0.053,0.064,-0.01,-0.294
"23",22,16050001,51200001,300,0.081,0.049,-0.012,0.022,0.007,0.045,0.043,0.123,0.084,-0.066,0.038,-0.007,0.006
