"chrom","start.pos","end.pos","n.probes","GSM2402943_6969568004_R06C02","GSM2402944_6929689136_R01C01","GSM2402946_6929689136_R03C01","GSM2402949_6929689136_R06C01","GSM2402952_6969568004_R04C01","GSM2402982_6929718049_R01C02","GSM2402984_6929718049_R02C02","GSM2402985_6929718049_R03C02","GSM2402986_6929718049_R04C02","GSM2402987_6929718049_R05C02","GSM2403039_6929793061_R01C01","GSM2403040_6929793061_R02C01","GSM2403045_6929793052_R03C02","GSM2403054_6229017094_R06C01","GSM2403055_6229017094_R01C02","GSM2403058_6229017094_R04C02","GSM2403059_6229017094_R05C02","GSM2403083_6247004027_R05C02","GSM2403131_6752625054_R05C01","GSM2403243_7970368141_R04C01","GSM2403249_7970368141_R01C02","GSM2403263_7970368167_R04C01","GSM2403264_7970368167_R05C01","GSM2403266_7970376026_R02C02","GSM2403267_7970376026_R03C02","GSM2403270_7970376067_R05C02","GSM2403275_7970376029_R03C01","GSM2403282_7970368167_R06C02","GSM2403287_7970376026_R05C02","GSM2403295_7970376055_R01C01","GSM2403298_7970376005_R01C01","GSM2403299_7970376005_R02C01","GSM2403302_7970376005_R05C01","GSM2403304_7970376055_R01C02","GSM2403315_7970376067_R02C01","GSM2403316_7970376055_R03C02","GSM2403317_7970376055_R04C02","GSM2403330_7990895159_R02C01","GSM2403333_7990895120_R02C01","GSM2403334_7990895120_R03C01","GSM2403338_7990895159_R01C02","GSM2403344_7990895120_R02C02","GSM2403352_7990895142_R04C02","GSM2403363_7990908004_R03C01","GSM2403367_7990895093_R02C01","GSM2403368_7990895046_R03C02","GSM2403370_7990895046_R06C01","GSM2403373_7990908004_R02C02","GSM2403378_7990895093_R02C02","GSM2403382_7990895127_R01C02","GSM2403385_7990895159_R05C02","GSM2403391_7990895142_R01C01","GSM2403393_7990895127_R04C02","GSM2403395_7990908004_R05C01","GSM2403398_7990895095_R03C01","GSM2403399_7990895093_R05C02","GSM2403401_7990895142_R01C02","GSM2403408_8622007028_R03C02","GSM2403411_8622007029_R01C01","GSM2403430_8622007026_R04C02","GSM2403433_8622007025_R04C02","GSM2403436_8622007026_R01C01","GSM2403439_8622007026_R06C01","GSM2403468_8622007028_R02C01","GSM2403470_8622007027_R03C02","GSM2403964_9305651055_R02C02","GSM2404021_9340996003_R06C02","GSM2404300_9407201029_R06C02","GSM2404301_9407201030_R03C01","GSM2404718_9721366150_R04C01","GSM2404761_9829119072_R04C02","GSM2404774_9829119124_R02C02","GSM2404822_9533774024_R03C02","GSM2404826_9533774033_R02C01","GSM2404997_9969477017_R01C02","GSM2405315_10003886253_R05C02","GSM2405578_3999002043_R06C02","GSM2940819_200277210056_R05C01","GSM2940870_200362700194_R05C02","GSM2940924_200406080086_R04C01","GSM2940957_3998523031_R01C01","GSM2940984_3998523058_R02C01","GSM2941119_3998920120_R02C01","GSM2941179_3999078120_R03C01","GSM2941214_3999100101_R02C01","GSM2941251_3999834067_R02C02","GSM2941305_3999875073_R01C02","GSM2941319_9297949046_R04C01","GSM2941328_9305651146_R01C01","GSM2941331_9340996058_R01C01","GSM2941346_9373551108_R01C01","GSM2941382_9406921148_R06C02","GSM2941412_9426021175_R05C01","GSM2941419_9444375028_R03C02","GSM2941498_9553932054_R02C02","GSM2941548_9741950008_R05C01","GSM2941564_9741950085_R06C02","GSM2941565_9741950095_R01C02","GSM2941804_9969477108_R05C02"
"1",1,521369,121086696,900,-0.12,-0.013,0,0.029,0.065,0.012,-0.001,-0.033,-0.03,0.007,0.008,0.014,0.043,-0.027,0.093,0.014,0.064,-0.04,0.026,-0.015,-0.093,0.018,0.089,-0.064,-0.059,-0.019,0.034,-0.082,0.038,-0.006,0.016,-0.021,-0.01,-0.018,-0.026,-0.114,0.005,-0.004,0.019,-0.007,-0.034,-0.066,-0.02,0.002,-0.026,-0.003,-0.008,0.005,-0.018,-0.087,-0.1,-0.052,-0.103,-0.08,-0.103,-0.006,0.06,0.077,-0.002,-0.074,-0.017,-0.065,0.012,0.034,0.013,-0.018,-0.051,0.099,-0.08,0.033,0.018,0.071,-0.135,0.026,0.038,-0.026,-0.074,0.134,0.035,-0.102,-0.01,0.118,-0.04,0.049,0.021,-0.021,0.037,-0.012,-0.068,-0.015,-0.115,0.021,-0.008,-0.009,-0.043,0.039,-0.141,-0.226,0.036
"2",1,121300001,249150001,693,0.157,0.01,0.1,0.267,0.11,0.005,-0.029,0.207,0.182,0.018,0.019,0.019,0.041,0.15,0.108,0.02,0.074,0.013,0.221,0.043,0.199,0.025,0.08,0.093,-0.107,-0.062,0.08,0.053,0.061,-0.028,0.019,-0.052,0.165,-0.049,-0.048,-0.065,0.018,0.141,-0.087,0.009,-0.013,0.069,0.082,0.033,0.084,0.146,0.224,0.075,-0.013,0.023,-0.096,0.168,-0.015,-0.065,0.014,0.119,0.093,0.079,-0.028,-0.069,0.107,0.096,-0.012,0.043,0.072,0.015,0.005,0.131,0.027,0.144,-0.029,0.021,0.184,0.025,0.118,0.238,-0.019,0.126,0.046,-0.095,-0.013,0.135,0.184,0.054,-0.011,-0.003,0.034,0.015,-0.05,-0.013,0.17,0.055,0.05,0.157,-0.035,0.021,0.065,0.269,0.008
"3",2,10001,242950001,1282,-0.163,-0.049,0.037,-0.121,-0.209,-0.125,-0.09,-0.142,-0.06,-0.046,-0.036,-0.077,-0.175,-0.08,0.063,0.026,0.023,-0.078,-0.197,-0.156,-0.103,-0.016,-0.053,-0.034,-0.137,-0.013,0.034,-0.085,0.042,-0.041,-0.015,-0.06,-0.101,-0.084,-0.094,-0.112,-0.017,-0.032,-0.128,-0.049,-0.08,0.022,0.098,-0.01,-0.024,0.024,-0.049,0.055,-0.172,0.043,-0.111,-0.04,-0.042,-0.046,-0.129,0.051,0.052,0.043,-0.067,-0.147,-0.072,0.043,-0.061,0.014,-0.046,-0.018,-0.036,0.071,-0.057,0.076,-0.06,-0.154,-0.057,-0.066,0.118,-0.075,-0.054,-0.064,-0.026,-0.06,-0.018,-0.003,-0.091,-0.122,0.021,-0.065,-0.016,-0.045,-0.013,0.012,-0.063,-0.047,-0.167,-0.079,-0.054,-0.019,0.016,-0.095,-0.024
"4",3,60001,197700001,978,0.167,-0.01,0.078,0.097,0.074,-0.144,-0.069,0.067,-0.044,-0.041,-0.012,-0.002,-0.026,-0.04,-0.168,-0.167,-0.181,-0.052,-0.03,-0.216,-0.071,0.003,-0.056,0.01,-0.159,-0.05,-0.183,0.033,-0.127,-0.124,-0.012,-0.242,-0.101,-0.1,-0.21,-0.162,0.004,-0.117,-0.177,-0.015,-0.082,0.095,0.099,0.067,-0.001,0.045,0.023,-0.106,-0.161,-0.004,-0.141,-0.01,-0.161,-0.08,-0.117,-0.09,-0.163,-0.164,-0.074,-0.127,-0.062,-0.162,-0.05,0.028,-0.029,0.018,-0.051,0.083,-0.054,-0.076,-0.085,-0.199,-0.03,-0.304,-0.173,-0.027,-0.036,-0.066,-0.016,-0.173,-0.033,-0.004,-0.058,-0.13,-0.06,-0.079,-0.056,-0.022,-0.001,-0.059,0.054,-0.094,-0.027,-0.083,-0.05,-0.01,-0.149,-0.081,-0.238
"5",4,10001,190900001,742,0.107,-0.069,-0.114,-0.084,-0.132,-0.068,-0.12,-0.247,-0.124,-0.126,-0.093,-0.047,0.105,0.168,-0.245,-0.058,-0.258,-0.217,-0.06,0.05,0.078,-0.04,-0.091,-0.032,-0.136,-0.243,-0.226,-0.032,-0.16,-0.066,-0.114,-0.224,-0.113,-0.077,-0.177,-0.188,-0.251,-0.166,-0.222,-0.034,-0.109,0.008,0.049,-0.015,-0.023,-0.01,-0.125,0.001,-0.086,-0.033,-0.121,-0.045,-0.019,-0.074,-0.149,-0.124,-0.199,-0.018,-0.134,0.035,-0.019,-0.225,-0.1,-0.284,-0.075,-0.063,-0.103,-0.229,-0.071,-0.169,-0.132,-0.165,-0.081,0.012,-0.205,-0.11,-0.003,-0.133,-0.232,-0.132,-0.062,0.03,-0.134,-0.143,-0.114,-0.237,-0.056,-0.048,0.004,0.102,-0.109,-0.09,0.019,-0.117,-0.078,-0.05,-0.224,-0.179,-0.068
"6",5,10001,180650001,849,0.161,-0.017,-0.057,-0.093,0.209,0.124,-0.062,-0.018,-0.008,-0.031,-0.012,-0.016,0.111,-0.05,0.081,-0.043,0.04,0.226,-0.027,0.036,-0.05,0.002,-0.062,0.002,-0.147,-0.04,0.018,0.022,0.162,-0.034,-0.04,-0.063,0.082,-0.097,-0.166,-0.121,-0.01,0.081,-0.145,-0.021,-0.081,-0.071,0.072,0.008,0.021,-0.043,-0.015,0.046,0.08,-0.072,0.231,0.001,-0.1,0.173,-0.124,-0.087,0.129,-0.168,-0.07,0.089,0.125,0.053,-0.048,0.018,-0.03,-0.001,-0.233,0.203,-0.164,-0.053,-0.066,-0.259,0.077,-0.078,-0.17,-0.042,-0.198,-0.055,-0.161,-0.126,-0.019,0.001,-0.046,-0.116,-0.201,-0.06,-0.003,-0.008,0.091,-0.035,0.023,-0.035,0.056,-0.067,-0.046,-0.004,-0.192,-0.095,-0.026
"7",6,60001,170850001,988,0.127,-0.046,0.051,0.128,-0.026,0.078,0.098,0.037,-0.068,-0.063,-0.031,-0.036,0.039,-0.085,0.06,-0.04,0.026,-0.064,-0.05,0.021,0.022,-0.011,-0.053,-0.014,-0.146,-0.139,0.015,-0.01,0.025,-0.044,0.076,-0.028,-0.077,-0.102,-0.162,-0.113,-0.011,0.057,-0.171,0.094,-0.087,0.063,0.044,-0.001,0.012,0.023,0.046,0.047,0.191,-0.017,0.074,-0.02,-0.007,-0.061,-0.127,0.073,0.081,-0.178,-0.091,0.061,-0.071,0.038,-0.081,0.008,-0.053,-0.028,-0.03,0.005,-0.054,0.083,-0.09,-0.017,0.054,-0.049,-0.187,0.115,0.151,-0.073,-0.184,-0.136,-0.01,-0.099,0.138,0.079,-0.072,-0.072,-0.023,-0.014,-0.028,-0.071,-0.078,-0.056,0.066,-0.09,-0.055,-0.016,0.039,-0.114,-0.022
"8",7,10001,158950001,952,0.169,-0.008,0.186,-0.083,0.008,0.209,-0.053,0.149,-0.024,0.155,0.213,0.004,0.204,-0.038,0.12,0.117,0.175,0.101,-0.015,-0.046,0.164,0.018,-0.007,0.147,-0.156,-0.075,0.141,0.184,0.082,-0.011,0.155,0.067,-0.009,0.144,0.017,-0.068,0.064,0.242,-0.097,-0.005,-0.042,0.05,0.13,0.207,-0.051,-0.04,0.074,0.242,0.238,0.039,0.133,-0.006,0.012,-0.028,0.201,0.219,0.106,0.211,-0.078,0.102,-0.036,0.08,0.065,0.078,-0.012,0.194,0.14,0.087,0.038,0.175,0.043,0.134,0.16,0.218,0.4,-0.022,0.126,-0.024,0.022,-0.036,0.033,0.131,-0.049,0.101,0.025,0.102,0.091,0.059,0.03,-0.024,-0.026,0.005,0.132,-0.043,-0.011,0.017,0.223,0.097,0.009
"9",8,10001,146250001,726,-0.172,0.172,-0.267,-0.115,0.179,-0.256,0.111,-0.03,0.233,-0.037,-0.043,-0.029,-0.46,-0.12,-0.225,-0.047,-0.222,0.219,0.101,0.052,-0.032,-0.007,-0.046,-0.02,-0.111,-0.142,-0.167,0.056,-0.18,-0.009,-0.256,-0.235,0.271,-0.194,-0.319,-0.135,-0.144,-0.109,-0.241,-0.012,-0.127,0.014,0.014,-0.147,-0.015,-0.077,0.286,-0.19,-0.047,-0.022,-0.093,0.168,-0.047,-0.034,-0.15,-0.123,-0.177,-0.188,-0.107,0.119,-0.041,-0.21,-0.07,-0.248,-0.05,-0.092,-0.135,-0.291,-0.148,-0.119,-0.064,-0.211,-0.212,-0.539,-0.185,0.187,-0.449,-0.058,-0.004,-0.098,-0.026,-0.172,0.28,-0.21,-0.044,-0.059,-0.1,-0.022,-0.087,-0.072,-0.08,-0.044,-0.192,0.05,-0.049,-0.123,-0.222,-0.079,-0.034
"10",9,10001,141000001,383,-0.091,-0.006,-0.033,-0.067,0.006,0.004,-0.012,-0.156,-0.013,-0.014,0.01,0.018,0.014,-0.008,-0.116,0.023,-0.037,-0.133,0.014,-0.146,-0.063,0.025,-0.002,0.051,-0.042,-0.002,0.088,-0.19,0.096,0.034,0.037,0.01,-0.001,0.03,-0.008,-0.095,0.019,-0.081,0.038,0.009,-0.005,-0.021,0.033,0.042,0.026,0.043,0.022,-0.113,-0.112,0.052,0.083,-0.032,-0.058,-0.051,-0.093,0.078,0.089,-0.101,0.001,-0.075,-0.013,0.094,0.011,0.061,0.011,0.008,0.087,0.106,-0.033,0.111,0.011,-0.177,-0.026,-0.233,-0.102,-0.024,-0.025,0.001,-0.093,-0.056,0.002,-0.133,-0.045,-0.064,0.014,-0.011,0.02,0.04,-0.074,0,0.07,0.03,-0.195,-0.022,-0.021,0.019,0.064,-0.048,0.011
