"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0546,"GSM2402992_6929689149_R03C02"
"2",10,105000,135462374,0.0345,"GSM2402992_6929689149_R03C02"
"3",11,130000,134873258,0.162,"GSM2402992_6929689149_R03C02"
"4",12,172870,133770948,0.0392,"GSM2402992_6929689149_R03C02"
"5",13,19110000,115079939,0.0505,"GSM2402992_6929689149_R03C02"
"6",14,19325000,107119770,0.0289,"GSM2402992_6929689149_R03C02"
"7",15,20225000,102410696,0.0346,"GSM2402992_6929689149_R03C02"
"8",16,105000,90222377,0.0486,"GSM2402992_6929689149_R03C02"
"9",17,25000,81122605,-0.0639,"GSM2402992_6929689149_R03C02"
"10",18,80000,77983624,-0.1261,"GSM2402992_6929689149_R03C02"
"11",19,180000,59084492,-0.0021,"GSM2402992_6929689149_R03C02"
"12",2,130000,243026238,0.0054,"GSM2402992_6929689149_R03C02"
"13",20,155000,62907760,0.0041,"GSM2402992_6929689149_R03C02"
"14",21,10848948,48084948,0.007,"GSM2402992_6929689149_R03C02"
"15",22,16373925,51222283,-0.1329,"GSM2402992_6929689149_R03C02"
"16",3,155000,197831215,0.0394,"GSM2402992_6929689149_R03C02"
"17",4,55000,190972138,-0.0445,"GSM2402992_6929689149_R03C02"
"18",5,55000,180777630,0.0319,"GSM2402992_6929689149_R03C02"
"19",6,155000,170952534,0.0185,"GSM2402992_6929689149_R03C02"
"20",7,55000,159039332,0.0763,"GSM2402992_6929689149_R03C02"
"21",8,105000,146277011,0.0234,"GSM2402992_6929689149_R03C02"
"22",9,130000,141076716,0.0401,"GSM2402992_6929689149_R03C02"
"23",1,635684,249195311,0.0515,"GSM2403203_6929806046_R03C01"
"24",10,105000,135462374,0.0261,"GSM2403203_6929806046_R03C01"
"25",11,130000,134873258,0.0406,"GSM2403203_6929806046_R03C01"
"26",12,172870,133770948,0.0322,"GSM2403203_6929806046_R03C01"
"27",13,19110000,115079939,0.0253,"GSM2403203_6929806046_R03C01"
"28",14,19325000,107119770,0.0289,"GSM2403203_6929806046_R03C01"
"29",15,20225000,102410696,0.0316,"GSM2403203_6929806046_R03C01"
"30",16,105000,90222377,0.0445,"GSM2403203_6929806046_R03C01"
"31",17,25000,81122605,-0.0423,"GSM2403203_6929806046_R03C01"
"32",18,80000,77983624,-0.098,"GSM2403203_6929806046_R03C01"
"33",19,180000,59084492,-0.0074,"GSM2403203_6929806046_R03C01"
"34",2,130000,243026238,0.0062,"GSM2403203_6929806046_R03C01"
"35",20,155000,62907760,0.0117,"GSM2403203_6929806046_R03C01"
"36",21,10848948,48084948,0.0084,"GSM2403203_6929806046_R03C01"
"37",22,16373925,51222283,-0.0106,"GSM2403203_6929806046_R03C01"
"38",3,155000,197831215,0.0245,"GSM2403203_6929806046_R03C01"
"39",4,55000,190972138,-0.0474,"GSM2403203_6929806046_R03C01"
"40",5,55000,180777630,0.0206,"GSM2403203_6929806046_R03C01"
"41",6,155000,170952534,0.0177,"GSM2403203_6929806046_R03C01"
"42",7,55000,159039332,0.0573,"GSM2403203_6929806046_R03C01"
"43",8,105000,146277011,0.0183,"GSM2403203_6929806046_R03C01"
"44",9,130000,141076716,0.0334,"GSM2403203_6929806046_R03C01"
"45",1,635684,185525000,0.0708,"GSM2403211_6929806048_R06C01"
"46",1,186025000,200825000,-0.2063,"GSM2403211_6929806048_R06C01"
"47",1,200900000,249195311,0.0368,"GSM2403211_6929806048_R06C01"
"48",10,105000,135462374,0.0159,"GSM2403211_6929806048_R06C01"
"49",11,130000,134873258,0.0145,"GSM2403211_6929806048_R06C01"
"50",12,172870,133770948,0.0107,"GSM2403211_6929806048_R06C01"
"51",13,19110000,115079939,-0.0896,"GSM2403211_6929806048_R06C01"
"52",14,19325000,107119770,0.0324,"GSM2403211_6929806048_R06C01"
"53",15,20225000,102410696,0.0431,"GSM2403211_6929806048_R06C01"
"54",16,105000,90222377,0.0461,"GSM2403211_6929806048_R06C01"
"55",17,25000,81122605,0.0054,"GSM2403211_6929806048_R06C01"
"56",18,80000,77983624,-0.0748,"GSM2403211_6929806048_R06C01"
"57",19,180000,19825000,0.0208,"GSM2403211_6929806048_R06C01"
"58",19,19900000,23925000,-0.2008,"GSM2403211_6929806048_R06C01"
"59",19,24290891,59084492,0.031,"GSM2403211_6929806048_R06C01"
"60",2,130000,243026238,-0.0221,"GSM2403211_6929806048_R06C01"
"61",20,155000,62907760,0.0093,"GSM2403211_6929806048_R06C01"
"62",21,10848948,48084948,0.0071,"GSM2403211_6929806048_R06C01"
"63",22,16373925,51222283,0.069,"GSM2403211_6929806048_R06C01"
"64",3,155000,75800000,0.0196,"GSM2403211_6929806048_R06C01"
"65",3,76450000,97025000,-0.3216,"GSM2403211_6929806048_R06C01"
"66",3,97600000,197831215,-0.0355,"GSM2403211_6929806048_R06C01"
"67",4,55000,190972138,-0.0738,"GSM2403211_6929806048_R06C01"
"68",5,55000,17940329,0.0091,"GSM2403211_6929806048_R06C01"
"69",5,19125000,29900000,-0.3232,"GSM2403211_6929806048_R06C01"
"70",5,31025000,180777630,-0.0132,"GSM2403211_6929806048_R06C01"
"71",6,155000,170952534,-0.0368,"GSM2403211_6929806048_R06C01"
"72",7,55000,78500000,0.0062,"GSM2403211_6929806048_R06C01"
"73",7,79075000,90875000,-0.2148,"GSM2403211_6929806048_R06C01"
"74",7,91225000,159039332,0.0201,"GSM2403211_6929806048_R06C01"
"75",8,105000,146277011,-0.0053,"GSM2403211_6929806048_R06C01"
"76",9,130000,141076716,0.0307,"GSM2403211_6929806048_R06C01"
"77",1,635684,249195311,0.0736,"GSM2403807_9296930076_R05C01"
"78",10,105000,135462374,0.1005,"GSM2403807_9296930076_R05C01"
"79",11,130000,134873258,0.0991,"GSM2403807_9296930076_R05C01"
"80",12,172870,133770948,0.0945,"GSM2403807_9296930076_R05C01"
"81",13,19110000,115079939,0.2553,"GSM2403807_9296930076_R05C01"
"82",14,19325000,107119770,0.039,"GSM2403807_9296930076_R05C01"
"83",15,20225000,102410696,0.0561,"GSM2403807_9296930076_R05C01"
"84",16,105000,90222377,0.1276,"GSM2403807_9296930076_R05C01"
"85",17,25000,81122605,-0.0658,"GSM2403807_9296930076_R05C01"
"86",18,80000,77983624,-0.0849,"GSM2403807_9296930076_R05C01"
"87",19,180000,59084492,0.0052,"GSM2403807_9296930076_R05C01"
"88",2,130000,243026238,0.0809,"GSM2403807_9296930076_R05C01"
"89",20,155000,62907760,0.0021,"GSM2403807_9296930076_R05C01"
"90",21,10848948,48084948,0.0661,"GSM2403807_9296930076_R05C01"
"91",22,16373925,51222283,-0.2464,"GSM2403807_9296930076_R05C01"
"92",3,155000,197831215,0.1266,"GSM2403807_9296930076_R05C01"
"93",4,55000,190972138,-3e-04,"GSM2403807_9296930076_R05C01"
"94",5,55000,180777630,0.0863,"GSM2403807_9296930076_R05C01"
"95",6,155000,170952534,0.109,"GSM2403807_9296930076_R05C01"
"96",7,55000,159039332,0.1701,"GSM2403807_9296930076_R05C01"
"97",8,105000,146277011,0.0837,"GSM2403807_9296930076_R05C01"
"98",9,130000,141076716,0.0541,"GSM2403807_9296930076_R05C01"
"99",1,635684,249195311,0.0536,"GSM2403858_9305651016_R04C01"
"100",10,105000,135462374,0.0433,"GSM2403858_9305651016_R04C01"
"101",11,130000,134873258,0.0223,"GSM2403858_9305651016_R04C01"
"102",12,172870,133770948,0.0355,"GSM2403858_9305651016_R04C01"
"103",13,19110000,115079939,0.0452,"GSM2403858_9305651016_R04C01"
"104",14,19325000,107119770,0.0521,"GSM2403858_9305651016_R04C01"
"105",15,20225000,102410696,0.0516,"GSM2403858_9305651016_R04C01"
"106",16,105000,90222377,0.0208,"GSM2403858_9305651016_R04C01"
"107",17,25000,81122605,-0.0446,"GSM2403858_9305651016_R04C01"
"108",18,80000,77983624,-0.0377,"GSM2403858_9305651016_R04C01"
"109",19,180000,59084492,-0.034,"GSM2403858_9305651016_R04C01"
"110",2,130000,243026238,0.0297,"GSM2403858_9305651016_R04C01"
"111",20,155000,62907760,-0.0421,"GSM2403858_9305651016_R04C01"
"112",21,10848948,48084948,0.0199,"GSM2403858_9305651016_R04C01"
"113",22,16373925,51222283,-0.268,"GSM2403858_9305651016_R04C01"
"114",3,155000,197831215,0.0292,"GSM2403858_9305651016_R04C01"
"115",4,55000,190972138,-0.0037,"GSM2403858_9305651016_R04C01"
"116",5,55000,180777630,0.0363,"GSM2403858_9305651016_R04C01"
"117",6,155000,170952534,0.0298,"GSM2403858_9305651016_R04C01"
"118",7,55000,159039332,0.0526,"GSM2403858_9305651016_R04C01"
"119",8,105000,146277011,0.0328,"GSM2403858_9305651016_R04C01"
"120",9,130000,141076716,0.0345,"GSM2403858_9305651016_R04C01"
"121",1,635684,249195311,0.0818,"GSM2403863_9305651027_R03C01"
"122",10,105000,135462374,0.0653,"GSM2403863_9305651027_R03C01"
"123",11,130000,134873258,0.0517,"GSM2403863_9305651027_R03C01"
"124",12,172870,133770948,0.046,"GSM2403863_9305651027_R03C01"
