"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0995,"GSM2402910_6929689168_R01C01",0.525933015927204
"2",10,105000,89625000,-0.1207,"GSM2402910_6929689168_R01C01",0.525933015927204
"3",10,89800000,118425000,-0.5981,"GSM2402910_6929689168_R01C01",0.525933015927204
"4",10,118500000,135462374,-0.2569,"GSM2402910_6929689168_R01C01",0.525933015927204
"5",11,130000,134873258,-0.0901,"GSM2402910_6929689168_R01C01",0.525933015927204
"6",12,172870,133770948,0.1112,"GSM2402910_6929689168_R01C01",0.525933015927204
"7",13,19110000,115079939,-0.209,"GSM2402910_6929689168_R01C01",0.525933015927204
"8",14,19325000,107119770,0.0826,"GSM2402910_6929689168_R01C01",0.525933015927204
"9",15,20225000,102410696,-0.0474,"GSM2402910_6929689168_R01C01",0.525933015927204
"10",16,105000,90222377,0.0196,"GSM2402910_6929689168_R01C01",0.525933015927204
"11",17,25000,81122605,-0.0738,"GSM2402910_6929689168_R01C01",0.525933015927204
"12",18,80000,77983624,-0.1154,"GSM2402910_6929689168_R01C01",0.525933015927204
"13",19,180000,59084492,0.0676,"GSM2402910_6929689168_R01C01",0.525933015927204
"14",2,130000,243026238,0.0527,"GSM2402910_6929689168_R01C01",0.525933015927204
"15",20,155000,62907760,0.0658,"GSM2402910_6929689168_R01C01",0.525933015927204
"16",21,10848948,48084948,0.0682,"GSM2402910_6929689168_R01C01",0.525933015927204
"17",22,16373925,51222283,0.0414,"GSM2402910_6929689168_R01C01",0.525933015927204
"18",3,155000,197831215,0.0737,"GSM2402910_6929689168_R01C01",0.525933015927204
"19",4,55000,190972138,-0.1347,"GSM2402910_6929689168_R01C01",0.525933015927204
"20",5,55000,180777630,0.0936,"GSM2402910_6929689168_R01C01",0.525933015927204
"21",6,155000,170952534,-0.3653,"GSM2402910_6929689168_R01C01",0.525933015927204
"22",7,55000,159039332,-0.0289,"GSM2402910_6929689168_R01C01",0.525933015927204
"23",8,105000,146277011,-0.0808,"GSM2402910_6929689168_R01C01",0.525933015927204
"24",9,130000,141076716,0.078,"GSM2402910_6929689168_R01C01",0.525933015927204
"25",1,635684,249195311,0.0341,"GSM2402911_6929689152_R06C02",0.641206081653697
"26",10,105000,135462374,0.0217,"GSM2402911_6929689152_R06C02",0.641206081653697
"27",11,130000,134873258,0.0455,"GSM2402911_6929689152_R06C02",0.641206081653697
"28",12,172870,133770948,0.0208,"GSM2402911_6929689152_R06C02",0.641206081653697
"29",13,19110000,115079939,0.0081,"GSM2402911_6929689152_R06C02",0.641206081653697
"30",14,19325000,107119770,0.0049,"GSM2402911_6929689152_R06C02",0.641206081653697
"31",15,20225000,102410696,0.0281,"GSM2402911_6929689152_R06C02",0.641206081653697
"32",16,105000,90222377,0.0551,"GSM2402911_6929689152_R06C02",0.641206081653697
"33",17,25000,81122605,-0.0194,"GSM2402911_6929689152_R06C02",0.641206081653697
"34",18,80000,77983624,-0.1197,"GSM2402911_6929689152_R06C02",0.641206081653697
"35",19,180000,59084492,-0.0164,"GSM2402911_6929689152_R06C02",0.641206081653697
"36",2,130000,243026238,-0.008,"GSM2402911_6929689152_R06C02",0.641206081653697
"37",20,155000,62907760,-0.0056,"GSM2402911_6929689152_R06C02",0.641206081653697
"38",21,10848948,48084948,0.0225,"GSM2402911_6929689152_R06C02",0.641206081653697
"39",22,16373925,51222283,0.0034,"GSM2402911_6929689152_R06C02",0.641206081653697
"40",3,155000,197831215,0.0224,"GSM2402911_6929689152_R06C02",0.641206081653697
"41",4,55000,190972138,-0.0607,"GSM2402911_6929689152_R06C02",0.641206081653697
"42",5,55000,180777630,0.008,"GSM2402911_6929689152_R06C02",0.641206081653697
"43",6,155000,170952534,-0.567,"GSM2402911_6929689152_R06C02",0.641206081653697
"44",7,55000,159039332,0.0284,"GSM2402911_6929689152_R06C02",0.641206081653697
"45",8,105000,146277011,-0.0215,"GSM2402911_6929689152_R06C02",0.641206081653697
"46",9,130000,141076716,0.0429,"GSM2402911_6929689152_R06C02",0.641206081653697
"47",1,635684,249195311,-0.0322,"GSM2402912_6929689168_R05C01",0.520179679456951
"48",10,105000,135462374,0.0482,"GSM2402912_6929689168_R05C01",0.520179679456951
"49",11,130000,134873258,0.0049,"GSM2402912_6929689168_R05C01",0.520179679456951
"50",12,172870,133770948,-0.0067,"GSM2402912_6929689168_R05C01",0.520179679456951
"51",13,19110000,115079939,-0.0476,"GSM2402912_6929689168_R05C01",0.520179679456951
"52",14,19325000,107119770,-0.0109,"GSM2402912_6929689168_R05C01",0.520179679456951
"53",15,20225000,102410696,-0.0029,"GSM2402912_6929689168_R05C01",0.520179679456951
"54",16,105000,90222377,0.0062,"GSM2402912_6929689168_R05C01",0.520179679456951
"55",17,25000,81122605,-0.0596,"GSM2402912_6929689168_R05C01",0.520179679456951
