"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1053,"GSM2403714_9007225026_R01C01"
"2",10,105000,135462374,0.0488,"GSM2403714_9007225026_R01C01"
"3",11,130000,134873258,0.075,"GSM2403714_9007225026_R01C01"
"4",12,172870,133770948,0.0915,"GSM2403714_9007225026_R01C01"
"5",13,19110000,115079939,0.1909,"GSM2403714_9007225026_R01C01"
"6",14,19325000,107119770,0.0339,"GSM2403714_9007225026_R01C01"
"7",15,20225000,102410696,0.0569,"GSM2403714_9007225026_R01C01"
"8",16,105000,1325000,-0.4071,"GSM2403714_9007225026_R01C01"
"9",16,1375000,90222377,0.0351,"GSM2403714_9007225026_R01C01"
"10",17,25000,81122605,-0.0878,"GSM2403714_9007225026_R01C01"
"11",18,80000,77983624,-0.0991,"GSM2403714_9007225026_R01C01"
"12",19,180000,59084492,-0.0418,"GSM2403714_9007225026_R01C01"
"13",2,130000,243026238,0.0741,"GSM2403714_9007225026_R01C01"
"14",20,155000,62907760,0.0106,"GSM2403714_9007225026_R01C01"
"15",21,10848948,48084948,0.0188,"GSM2403714_9007225026_R01C01"
"16",22,16373925,51222283,-0.0547,"GSM2403714_9007225026_R01C01"
"17",3,155000,197831215,0.1392,"GSM2403714_9007225026_R01C01"
"18",4,55000,190972138,-0.0073,"GSM2403714_9007225026_R01C01"
"19",5,55000,180777630,0.0827,"GSM2403714_9007225026_R01C01"
"20",6,155000,170952534,0.124,"GSM2403714_9007225026_R01C01"
"21",7,55000,159039332,0.095,"GSM2403714_9007225026_R01C01"
"22",8,105000,146277011,0.0469,"GSM2403714_9007225026_R01C01"
"23",9,130000,141076716,0.036,"GSM2403714_9007225026_R01C01"
"24",1,635684,249195311,0.0763,"GSM2403715_9007225017_R05C01"
"25",10,105000,135462374,0.0464,"GSM2403715_9007225017_R05C01"
"26",11,130000,134873258,0.0634,"GSM2403715_9007225017_R05C01"
"27",12,172870,133770948,0.0677,"GSM2403715_9007225017_R05C01"
"28",13,19110000,115079939,0.1418,"GSM2403715_9007225017_R05C01"
"29",14,19325000,107119770,0.0181,"GSM2403715_9007225017_R05C01"
"30",15,20225000,102410696,0.0456,"GSM2403715_9007225017_R05C01"
"31",16,105000,90222377,0.0383,"GSM2403715_9007225017_R05C01"
"32",17,25000,81122605,-0.0777,"GSM2403715_9007225017_R05C01"
"33",18,80000,77983624,-0.1078,"GSM2403715_9007225017_R05C01"
"34",19,180000,59084492,-0.0461,"GSM2403715_9007225017_R05C01"
"35",2,130000,243026238,0.0548,"GSM2403715_9007225017_R05C01"
"36",20,155000,62907760,-0.0123,"GSM2403715_9007225017_R05C01"
"37",21,10848948,48084948,0.0106,"GSM2403715_9007225017_R05C01"
"38",22,16373925,51222283,-0.0417,"GSM2403715_9007225017_R05C01"
"39",3,155000,197831215,0.1119,"GSM2403715_9007225017_R05C01"
"40",4,55000,190972138,-0.0129,"GSM2403715_9007225017_R05C01"
"41",5,55000,180777630,0.0634,"GSM2403715_9007225017_R05C01"
"42",6,155000,170952534,0.0993,"GSM2403715_9007225017_R05C01"
