"chrom","start.pos","end.pos","n.probes","GSM2402870_5684819026_R01C02","GSM2403896_9297949146_R06C02","GSM2404026_9340996014_R02C01","GSM2404486_9444375019_R04C01","GSM2404487_9444375019_R05C01","GSM2404493_9444375014_R03C01","GSM2404613_9741950008_R06C02","GSM2404666_9741950099_R01C02","GSM2404670_9741950100_R06C01","GSM2404815_9533774046_R05C01","GSM2405006_9969477031_R04C01","GSM2405007_9969477029_R03C02","GSM2405311_10003886258_R06C01","GSM2405505_3999547085_R02C01","GSM2405544_3998909073_R04C01","GSM2405642_101231000030_R03C02","GSM2940729_10003886253_R04C02","GSM2940818_200277210056_R04C02","GSM2940876_200362700196_R04C01","GSM2940986_3998546128_R01C02","GSM2941076_3998909072_R03C02","GSM2941128_3998998159_R03C01","GSM2941193_3999078159_R06C01","GSM2941233_3999547142_R01C02","GSM2941257_3999834068_R04C01","GSM2941368_9379086132_R02C01","GSM2941424_9444375037_R01C01","GSM2941457_9533774033_R04C02","GSM2941478_9534104008_R03C02","GSM2941496_9553932030_R06C01","GSM2941538_9741779119_R02C02","GSM2941703_9968646164_R02C02","GSM2941707_9968646165_R02C02"
"1",1,521369,121086696,900,0.325,0.047,0.206,0.304,-0.047,0.052,0.171,0.148,0.228,0.024,0.057,0.126,0.212,0.111,0.067,0.056,0.396,0.136,0.028,0.03,0.289,0.189,0.037,-0.015,0.113,0.078,0.071,-0.004,0.063,0.024,0.07,0.07,0.084
"2",1,121300001,249150001,693,0.311,0.029,0.275,0.363,0.288,0.047,0.348,0.263,0.241,0.002,0.053,0.213,0.244,0.039,0.273,0.247,0.33,0.366,0.051,0.018,0.274,0.179,0.095,0.304,0.143,0.213,0.071,0.286,0.033,0.256,0.04,0.064,0.071
"3",2,10001,242950001,1282,0.332,0.004,0.26,0.368,0.015,0.019,0.278,0.152,0.203,-0.008,0.029,0.199,0.205,-0.034,0.057,0.028,0.104,0.055,0.03,-0.008,-0.069,0.155,-0.06,0.24,0.078,-0.012,0.004,0.068,0.003,0.004,0.015,0.045,0.03
"4",3,60001,197700001,978,-0.195,-0.016,-0.139,-0.174,0.043,0.021,-0.078,-0.198,-0.126,-0.054,0.026,-0.27,-0.066,-0.087,0.055,0.023,-0.063,-0.09,0.039,-0.007,-0.125,-0.104,-0.093,-0.12,0,-0.09,-0.056,0.043,-0.009,0.026,-0.013,0.014,-0.178
"5",4,10001,190900001,742,-0.207,-0.048,-0.182,-0.16,-0.013,-0.031,0.097,-0.169,-0.131,-0.031,0.014,-0.276,-0.033,-0.079,-0.024,-0.043,0.035,-0.135,-0.024,-0.056,-0.29,-0.243,-0.065,-0.158,-0.062,-0.023,-0.022,-0.243,-0.061,-0.039,-0.074,-0.118,0.048
"6",5,10001,180650001,849,-0.157,-0.024,-0.147,-0.171,0.032,0.032,-0.028,-0.174,-0.087,-0.011,0.008,-0.077,0.066,-0.038,0.052,0.022,-0.103,0.049,0.041,-0.008,-0.036,-0.069,-0.068,-0.107,0.103,0.001,0.013,-0.045,0.002,0.018,0.008,0.003,0.04
"7",6,60001,170850001,988,-0.245,-0.014,-0.127,-0.136,0.045,0.001,-0.105,-0.177,-0.099,0.004,0.015,-0.065,-0.158,-0.082,0.05,0.013,-0.101,-0.164,0.046,-0.024,-0.03,0.031,-0.093,-0.135,-0.031,-0.199,-0.057,-0.104,-0.048,0.012,-0.015,0.012,-0.064
"8",7,10001,158950001,952,0.36,0.223,0.24,0.367,0.361,0.014,0.286,0.176,0.258,0.027,-0.016,0.056,0.183,-0.053,0.091,0.053,0.187,0.182,0.091,0.215,0.154,0.181,0.22,0.354,0.165,0.159,0.042,-0.021,0.212,0.122,0.036,0.025,0.084
"9",8,10001,146250001,726,-0.207,-0.105,-0.147,-0.165,0.027,0.026,-0.179,-0.082,-0.123,-0.003,0.002,0.091,-0.058,-0.026,0.033,0.027,-0.126,0.04,0.04,-0.003,-0.053,-0.045,-0.035,-0.103,-0.035,-0.031,0.013,0.023,0.015,0.013,0.011,0.042,-0.062
"10",9,10001,141000001,383,0.244,0.111,0.085,0.023,-0.009,0.04,0.294,0.142,0.068,-0.016,0.047,0.054,0.225,0.029,0.015,0.051,-0.031,0.044,0.042,0.037,-0.202,0.051,0.039,0.297,0.012,0.036,-0.006,0.034,0.026,0.024,-0.098,0.038,0.084
