"chrom","start.pos","end.pos","n.probes","GSM2402866_5684819013_R02C01","GSM2402916_6929689168_R01C02","GSM2402917_6164621144_R04C02","GSM2402955_6164621144_R06C01","GSM2402957_6969568004_R02C01","GSM2402959_6929718027_R01C01","GSM2402962_6929718027_R06C01","GSM2402977_6929718027_R04C02","GSM2403026_6929718049_R06C01","GSM2403027_6929718049_R03C01","GSM2403063_6229017023_R05C01","GSM2403068_6229017022_R02C02","GSM2403072_6247004023_R03C02","GSM2403073_6247004023_R04C02","GSM2403076_6247004024_R03C01","GSM2403496_8622007061_R03C01","GSM2403619_8622007130_R04C01","GSM2404046_9373550131_R02C02","GSM2404100_9376538156_R03C02","GSM2404123_9379086124_R05C01","GSM2404125_9379086129_R06C01","GSM2404126_9379086129_R01C02","GSM2404152_9407201022_R03C01","GSM2404157_9407201021_R06C01","GSM2404158_9407201021_R04C02","GSM2404159_9407201022_R01C01","GSM2404161_9407201022_R02C02","GSM2404164_9407201021_R03C01","GSM2404167_9407201021_R05C01","GSM2404519_9444374147_R03C01","GSM2404833_9533774082_R01C01","GSM2404834_9533774082_R03C01","GSM2404837_9533774082_R06C01","GSM2404839_9533774082_R04C02","GSM2404840_9533774082_R06C02","GSM2404843_9533774084_R04C01","GSM2404844_9533774084_R06C01","GSM2404854_9534104010_R06C02","GSM2404881_9534104026_R02C01","GSM2404927_9969477003_R02C01","GSM2405010_9969477043_R06C02","GSM2405011_9969477044_R01C01","GSM2405015_9969477044_R02C01","GSM2405043_9969477079_R06C02","GSM2405438_3999875073_R01C01","GSM2405521_3998909027_R03C02","GSM2940901_200394970104_R03C01","GSM2941168_3999078079_R03C02","GSM2941217_3999100101_R06C01","GSM2941254_3999834068_R01C01","GSM2941324_9305651060_R04C02"
"1",1,521369,249150001,1593,0.059,0.071,0.052,0.064,0.066,0.046,0.098,0.038,0.045,0.056,0.055,0.129,0.047,0.042,0.058,0.038,0.02,0.057,0.038,0.034,0.068,0.025,0.051,0.055,0.029,0.054,0.048,0.019,0.027,0.009,0.034,0.042,0.023,0.029,0.056,0.037,0.039,0.151,0.047,0.033,0.047,0.058,0.056,0.053,0.044,0.051,0.01,0.05,0.257,-0.108,0.041
"2",2,10001,242950001,1282,0.006,0.045,0.111,0.022,0.027,0.011,0.004,-0.002,0.006,0.009,0.009,0.09,-0.005,-0.005,-0.005,-0.001,0.065,0.03,-0.012,-0.011,-0.003,-0.022,-0.007,0.064,0.008,0.032,0.031,-0.009,0.033,-0.002,0,0.023,0.001,0.025,0.013,0.041,-0.008,0.042,0.012,-0.016,-0.001,-0.006,-0.001,-0.004,0.01,0.021,-0.007,0.046,0.111,0.035,0.008
"3",3,60001,197700001,978,0.04,0.074,0.074,0.056,0.068,-0.016,0.028,0.01,0.023,0.026,0.042,-0.143,0.021,0.01,0.017,0.011,0.135,0.048,-0.014,-0.001,0.011,-0.03,-0.012,0.125,0.014,0.06,0.061,-0.02,0.03,-0.005,-0.006,0.051,0.004,0.049,0.031,0.062,-0.012,0.063,0.001,-0.035,-0.022,-0.002,0.004,-0.019,0.018,0.02,-0.017,0.045,-0.111,0.031,0.011
"4",4,10001,190900001,742,-0.046,-0.004,-0.032,-0.029,-0.026,-0.043,-0.049,-0.043,-0.031,-0.027,-0.034,-0.187,-0.053,-0.053,-0.055,-0.057,0,-0.032,-0.055,-0.058,-0.008,-0.049,-0.068,0.021,-0.045,-0.03,-0.019,-0.043,-0.008,-0.031,-0.022,-0.001,-0.017,-0.003,-0.003,0.016,-0.002,0.011,-0.021,-0.081,-0.047,-0.057,-0.056,-0.071,-0.06,-0.026,-0.032,0.009,-0.229,0.002,-0.058
"5",5,10001,180650001,849,0.034,0.066,0.065,0.051,0.055,0.024,0.022,0.01,0.021,0.029,0.038,0.112,0.013,0.012,0.015,0.013,0.089,0.047,-0.004,0,0.025,-0.02,-0.001,0.095,0.02,0.046,0.049,-0.005,0.045,-0.001,0.009,0.038,0.014,0.038,0.044,0.055,0.011,0.053,0.009,-0.019,-0.005,0.007,0.012,-0.009,0.018,0.029,-0.005,0.057,-0.191,0.024,0.013
"6",6,60001,170850001,988,0.013,0.048,0.046,0.029,0.039,0.015,0.005,0,0.003,0.011,0.019,-0.158,-0.003,-0.007,-0.003,-0.01,0.122,0.041,-0.026,-0.006,-0.023,-0.023,-0.023,0.097,0.011,0.042,0.049,-0.011,0.041,-0.004,0.002,0.005,0.004,0.052,0.029,0.07,-0.008,0.081,0.003,-0.043,-0.045,-0.029,-0.027,-0.016,0.006,0.026,0.01,0.055,-0.149,-0.022,0.014
"7",7,10001,158950001,952,0.059,0.087,0.085,0.079,0.089,0.065,0.056,0.039,0.046,0.052,0.069,0.115,0.035,0.032,0.038,0.028,0.171,0.085,-0.004,0.031,-0.008,-0.002,0.013,0.126,0.051,0.075,0.083,0.024,0.063,0.042,0.033,0.073,0.043,0.066,0.045,0.082,0.001,0.104,0.015,-0.02,-0.01,-0.001,-0.002,0.019,0.057,0.068,0.037,0.068,0.141,0.078,0.054
"8",8,10001,146250001,726,0.01,0.044,0.022,0.038,0.031,0.017,0.008,0.008,0.01,0.02,0.022,0.094,-0.004,0.007,0.001,0.01,0.046,0.039,-0.003,-0.006,-0.001,-0.008,0.003,0.058,0.016,0.035,0.037,-0.004,0.046,0.003,0.018,0.015,0.011,0.013,0.012,0.036,0.002,0.041,0.018,-0.004,-0.006,0.002,0.009,0.011,0.017,0.038,0.005,0.064,-0.077,0.045,0.03
"9",9,10001,141000001,383,0.045,-0.229,0.105,0.073,0.074,0.04,0.043,0.029,0.039,0.037,0.044,0.113,0.042,0.026,0.048,0.047,0.05,0.047,0.016,0.033,0.043,0.013,0.045,0.036,0.024,0.045,0.041,0.021,0.017,0.006,0.008,0.015,0.022,0.023,0.043,0.009,0.018,0.03,0.017,0.022,0.023,0.045,0.042,0.046,0.042,0.035,0.009,0.036,-0.112,0.019,0.043
"10",10,60001,135400001,840,0.039,-0.143,0.056,0.059,0.061,0.038,0.033,0.022,0.032,0.036,0.047,-0.129,0.031,0.025,0.035,0.033,0.11,0.055,0.016,0.02,0.03,0,0.031,0.069,0.033,0.044,0.039,0.028,0.048,0.021,0.038,0.052,0.052,0.041,0.057,0.037,0.035,0.061,0.019,0.01,0.012,0.031,0.027,0.028,0.046,0.05,0.023,0.049,0.102,0.045,0.027
