"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.0696,"GSM2403753_9283265153_R02C01",0.586525086020478
"2",1,121392717,1.45e+08,0.2386,"GSM2403753_9283265153_R02C01",0.586525086020478
"3",1,145075000,249195311,-0.0792,"GSM2403753_9283265153_R02C01",0.586525086020478
"4",10,105000,135462374,-0.0072,"GSM2403753_9283265153_R02C01",0.586525086020478
"5",11,130000,134873258,-0.0259,"GSM2403753_9283265153_R02C01",0.586525086020478
"6",12,172870,133770948,-0.0694,"GSM2403753_9283265153_R02C01",0.586525086020478
"7",13,19110000,115079939,-0.007,"GSM2403753_9283265153_R02C01",0.586525086020478
"8",14,19325000,2.1e+07,0.1613,"GSM2403753_9283265153_R02C01",0.586525086020478
"9",14,21075000,107119770,-0.0766,"GSM2403753_9283265153_R02C01",0.586525086020478
"10",15,20225000,102410696,-0.0614,"GSM2403753_9283265153_R02C01",0.586525086020478
"11",16,105000,31825000,-0.021,"GSM2403753_9283265153_R02C01",0.586525086020478
"12",16,32075000,33986575,0.3184,"GSM2403753_9283265153_R02C01",0.586525086020478
"13",16,34286575,90222377,-0.0124,"GSM2403753_9283265153_R02C01",0.586525086020478
"14",17,25000,81122605,-0.0692,"GSM2403753_9283265153_R02C01",0.586525086020478
"15",18,80000,77983624,-0.1271,"GSM2403753_9283265153_R02C01",0.586525086020478
"16",19,180000,59084492,-0.0325,"GSM2403753_9283265153_R02C01",0.586525086020478
"17",2,130000,89315218,-0.0126,"GSM2403753_9283265153_R02C01",0.586525086020478
"18",2,91672552,92288086,0.2683,"GSM2403753_9283265153_R02C01",0.586525086020478
"19",2,95438086,243026238,-0.0054,"GSM2403753_9283265153_R02C01",0.586525086020478
"20",20,155000,62907760,-0.0996,"GSM2403753_9283265153_R02C01",0.586525086020478
"21",21,10848948,15225000,0.3162,"GSM2403753_9283265153_R02C01",0.586525086020478
"22",21,15375000,48084948,-0.0302,"GSM2403753_9283265153_R02C01",0.586525086020478
"23",22,16373925,51222283,-0.0551,"GSM2403753_9283265153_R02C01",0.586525086020478
"24",3,155000,197831215,-0.0467,"GSM2403753_9283265153_R02C01",0.586525086020478
"25",4,55000,190972138,-0.1032,"GSM2403753_9283265153_R02C01",0.586525086020478
"26",5,55000,180777630,-0.0697,"GSM2403753_9283265153_R02C01",0.586525086020478
"27",6,155000,170952534,-0.034,"GSM2403753_9283265153_R02C01",0.586525086020478
"28",7,55000,159039332,0.0436,"GSM2403753_9283265153_R02C01",0.586525086020478
"29",8,105000,146277011,-0.0214,"GSM2403753_9283265153_R02C01",0.586525086020478
"30",9,130000,141076716,-0.0532,"GSM2403753_9283265153_R02C01",0.586525086020478
"31",1,635684,45400000,-0.026,"GSM2403755_9283265153_R04C01",0.544162235944237
"32",1,45625000,46025000,-0.4305,"GSM2403755_9283265153_R04C01",0.544162235944237
"33",1,46075000,249195311,-0.0366,"GSM2403755_9283265153_R04C01",0.544162235944237
"34",10,105000,135462374,0.0317,"GSM2403755_9283265153_R04C01",0.544162235944237
"35",11,130000,134873258,-0.0286,"GSM2403755_9283265153_R04C01",0.544162235944237
"36",12,172870,133770948,0.02,"GSM2403755_9283265153_R04C01",0.544162235944237
"37",13,19110000,115079939,-0.0027,"GSM2403755_9283265153_R04C01",0.544162235944237
"38",14,19325000,20450000,0.304,"GSM2403755_9283265153_R04C01",0.544162235944237
"39",14,20800000,107119770,-0.0475,"GSM2403755_9283265153_R04C01",0.544162235944237
"40",15,20225000,102410696,-0.0397,"GSM2403755_9283265153_R04C01",0.544162235944237
"41",16,105000,90222377,0.0011,"GSM2403755_9283265153_R04C01",0.544162235944237
"42",17,25000,81122605,-0.0913,"GSM2403755_9283265153_R04C01",0.544162235944237
"43",18,80000,77983624,-0.1282,"GSM2403755_9283265153_R04C01",0.544162235944237
"44",19,180000,59084492,-0.0525,"GSM2403755_9283265153_R04C01",0.544162235944237
"45",2,130000,243026238,-0.0494,"GSM2403755_9283265153_R04C01",0.544162235944237
"46",20,155000,62907760,-0.0664,"GSM2403755_9283265153_R04C01",0.544162235944237
"47",21,10848948,48084948,-0.0209,"GSM2403755_9283265153_R04C01",0.544162235944237
"48",22,16373925,51222283,-0.0479,"GSM2403755_9283265153_R04C01",0.544162235944237
"49",3,155000,197831215,-0.0403,"GSM2403755_9283265153_R04C01",0.544162235944237
"50",4,55000,190972138,-0.077,"GSM2403755_9283265153_R04C01",0.544162235944237
"51",5,55000,180777630,-0.0371,"GSM2403755_9283265153_R04C01",0.544162235944237
"52",6,155000,170952534,-0.0392,"GSM2403755_9283265153_R04C01",0.544162235944237
"53",7,55000,159039332,0.0625,"GSM2403755_9283265153_R04C01",0.544162235944237
"54",8,105000,146277011,-0.0418,"GSM2403755_9283265153_R04C01",0.544162235944237
"55",9,130000,141076716,-0.018,"GSM2403755_9283265153_R04C01",0.544162235944237
"56",1,635684,249195311,-0.0238,"GSM2403756_9283265153_R06C01",0.650997570838772
"57",10,105000,135462374,0.0033,"GSM2403756_9283265153_R06C01",0.650997570838772
"58",11,130000,134873258,-0.0094,"GSM2403756_9283265153_R06C01",0.650997570838772
"59",12,172870,133770948,-0.0054,"GSM2403756_9283265153_R06C01",0.650997570838772
"60",13,19110000,115079939,0.015,"GSM2403756_9283265153_R06C01",0.650997570838772
"61",14,19325000,107119770,-0.028,"GSM2403756_9283265153_R06C01",0.650997570838772
"62",15,20225000,102410696,-0.0219,"GSM2403756_9283265153_R06C01",0.650997570838772
"63",16,105000,90222377,2e-04,"GSM2403756_9283265153_R06C01",0.650997570838772
"64",17,25000,81122605,-0.1165,"GSM2403756_9283265153_R06C01",0.650997570838772
"65",18,80000,77983624,-0.1158,"GSM2403756_9283265153_R06C01",0.650997570838772
"66",19,180000,59084492,-0.0656,"GSM2403756_9283265153_R06C01",0.650997570838772
"67",2,130000,243026238,-0.0271,"GSM2403756_9283265153_R06C01",0.650997570838772
"68",20,155000,62907760,-0.0635,"GSM2403756_9283265153_R06C01",0.650997570838772
"69",21,10848948,48084948,-0.0254,"GSM2403756_9283265153_R06C01",0.650997570838772
"70",22,16373925,51222283,-0.0558,"GSM2403756_9283265153_R06C01",0.650997570838772
"71",3,155000,197831215,-0.0125,"GSM2403756_9283265153_R06C01",0.650997570838772
"72",4,55000,190972138,-0.0554,"GSM2403756_9283265153_R06C01",0.650997570838772
"73",5,55000,180777630,-0.0097,"GSM2403756_9283265153_R06C01",0.650997570838772
"74",6,155000,32425000,-0.0035,"GSM2403756_9283265153_R06C01",0.650997570838772
"75",6,32475000,32725000,-0.7093,"GSM2403756_9283265153_R06C01",0.650997570838772
"76",6,32775000,170952534,-0.0104,"GSM2403756_9283265153_R06C01",0.650997570838772
"77",7,55000,159039332,0.0372,"GSM2403756_9283265153_R06C01",0.650997570838772
"78",8,105000,146277011,-0.0192,"GSM2403756_9283265153_R06C01",0.650997570838772
"79",9,130000,141076716,-6e-04,"GSM2403756_9283265153_R06C01",0.650997570838772
"80",1,635684,121193348,-0.0768,"GSM2403757_9283265153_R01C02",0.609679417569796
"81",1,121392717,1.45e+08,0.2767,"GSM2403757_9283265153_R01C02",0.609679417569796
"82",1,145075000,249195311,-0.0666,"GSM2403757_9283265153_R01C02",0.609679417569796
"83",10,105000,135462374,-0.0317,"GSM2403757_9283265153_R01C02",0.609679417569796
"84",11,130000,134873258,-0.0549,"GSM2403757_9283265153_R01C02",0.609679417569796
"85",12,172870,133770948,-0.0576,"GSM2403757_9283265153_R01C02",0.609679417569796
"86",13,19110000,115079939,-0.0248,"GSM2403757_9283265153_R01C02",0.609679417569796
"87",14,19325000,107119770,-0.0733,"GSM2403757_9283265153_R01C02",0.609679417569796
"88",15,20225000,102410696,-0.0562,"GSM2403757_9283265153_R01C02",0.609679417569796
"89",16,105000,31825000,-0.0198,"GSM2403757_9283265153_R01C02",0.609679417569796
"90",16,32075000,46517901,0.292,"GSM2403757_9283265153_R01C02",0.609679417569796
"91",16,46675000,90222377,-0.0153,"GSM2403757_9283265153_R01C02",0.609679417569796
"92",17,25000,81122605,-0.1158,"GSM2403757_9283265153_R01C02",0.609679417569796
"93",18,80000,77983624,-0.1285,"GSM2403757_9283265153_R01C02",0.609679417569796
"94",19,180000,59084492,-0.0736,"GSM2403757_9283265153_R01C02",0.609679417569796
"95",2,130000,243026238,-0.0687,"GSM2403757_9283265153_R01C02",0.609679417569796
"96",20,155000,62907760,-0.1088,"GSM2403757_9283265153_R01C02",0.609679417569796
"97",21,10848948,15475000,0.2326,"GSM2403757_9283265153_R01C02",0.609679417569796
"98",21,15650000,48084948,-0.0389,"GSM2403757_9283265153_R01C02",0.609679417569796
"99",22,16373925,51222283,-0.0725,"GSM2403757_9283265153_R01C02",0.609679417569796
"100",3,155000,197831215,-0.0731,"GSM2403757_9283265153_R01C02",0.609679417569796
"101",4,55000,187125000,-0.0933,"GSM2403757_9283265153_R01C02",0.609679417569796
"102",4,187200000,190972138,0.1422,"GSM2403757_9283265153_R01C02",0.609679417569796
"103",5,55000,180777630,-0.0632,"GSM2403757_9283265153_R01C02",0.609679417569796
"104",6,155000,170952534,0.1153,"GSM2403757_9283265153_R01C02",0.609679417569796
"105",7,55000,159039332,-0.0043,"GSM2403757_9283265153_R01C02",0.609679417569796
"106",8,105000,146277011,-0.0556,"GSM2403757_9283265153_R01C02",0.609679417569796
"107",9,130000,141076716,-0.0495,"GSM2403757_9283265153_R01C02",0.609679417569796
"108",1,635684,249195311,-0.0282,"GSM2403760_9283265153_R06C02",0.691829914244031
"109",10,105000,135462374,0.0083,"GSM2403760_9283265153_R06C02",0.691829914244031
"110",11,130000,134873258,-0.0102,"GSM2403760_9283265153_R06C02",0.691829914244031
"111",12,172870,133770948,-0.0234,"GSM2403760_9283265153_R06C02",0.691829914244031
"112",13,19110000,115079939,0.0284,"GSM2403760_9283265153_R06C02",0.691829914244031
"113",14,19325000,107119770,-0.0494,"GSM2403760_9283265153_R06C02",0.691829914244031
"114",15,20225000,102410696,-0.0326,"GSM2403760_9283265153_R06C02",0.691829914244031
"115",16,105000,90222377,0.0037,"GSM2403760_9283265153_R06C02",0.691829914244031
"116",17,25000,81122605,-0.1294,"GSM2403760_9283265153_R06C02",0.691829914244031
"117",18,80000,77983624,-0.1723,"GSM2403760_9283265153_R06C02",0.691829914244031
"118",19,180000,59084492,-0.105,"GSM2403760_9283265153_R06C02",0.691829914244031
"119",2,130000,243026238,-0.0519,"GSM2403760_9283265153_R06C02",0.691829914244031
"120",20,155000,62907760,-0.0836,"GSM2403760_9283265153_R06C02",0.691829914244031
"121",21,10848948,48084948,-0.041,"GSM2403760_9283265153_R06C02",0.691829914244031
"122",22,16373925,51222283,-0.0957,"GSM2403760_9283265153_R06C02",0.691829914244031
"123",3,155000,197831215,-0.0063,"GSM2403760_9283265153_R06C02",0.691829914244031
"124",4,55000,190972138,-0.0813,"GSM2403760_9283265153_R06C02",0.691829914244031
"125",5,55000,180777630,-0.0168,"GSM2403760_9283265153_R06C02",0.691829914244031
"126",6,155000,170952534,-0.0098,"GSM2403760_9283265153_R06C02",0.691829914244031
"127",7,55000,159039332,0.0432,"GSM2403760_9283265153_R06C02",0.691829914244031
"128",8,105000,146277011,-0.045,"GSM2403760_9283265153_R06C02",0.691829914244031
"129",9,130000,141076716,-0.0191,"GSM2403760_9283265153_R06C02",0.691829914244031
"130",1,635684,121193348,-0.0887,"GSM2403777_9296930016_R03C02",0.697995760844108
"131",1,121392717,145225000,0.2417,"GSM2403777_9296930016_R03C02",0.697995760844108
"132",1,145375000,147475000,-0.1635,"GSM2403777_9296930016_R03C02",0.697995760844108
"133",1,147725000,148927230,0.2405,"GSM2403777_9296930016_R03C02",0.697995760844108
"134",1,149077230,249195311,-0.1006,"GSM2403777_9296930016_R03C02",0.697995760844108
"135",10,105000,135462374,-0.0402,"GSM2403777_9296930016_R03C02",0.697995760844108
