"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0384,"GSM2404029_9340996032_R01C01"
"2",10,105000,135462374,0.0574,"GSM2404029_9340996032_R01C01"
"3",11,130000,134873258,0.0636,"GSM2404029_9340996032_R01C01"
"4",12,172870,133770948,0.0865,"GSM2404029_9340996032_R01C01"
"5",13,19110000,115079939,0.1813,"GSM2404029_9340996032_R01C01"
"6",14,19325000,107119770,0.0271,"GSM2404029_9340996032_R01C01"
"7",15,20225000,102410696,0.0673,"GSM2404029_9340996032_R01C01"
"8",16,105000,90222377,0.0757,"GSM2404029_9340996032_R01C01"
"9",17,25000,81122605,-0.1122,"GSM2404029_9340996032_R01C01"
"10",18,80000,77983624,-0.1057,"GSM2404029_9340996032_R01C01"
"11",19,180000,59084492,-0.037,"GSM2404029_9340996032_R01C01"
"12",2,130000,243026238,0.0703,"GSM2404029_9340996032_R01C01"
"13",20,155000,62907760,0.0075,"GSM2404029_9340996032_R01C01"
"14",21,10848948,48084948,0.044,"GSM2404029_9340996032_R01C01"
"15",22,16373925,51222283,-0.3072,"GSM2404029_9340996032_R01C01"
"16",3,155000,197831215,0.0354,"GSM2404029_9340996032_R01C01"
"17",4,55000,190972138,-0.0285,"GSM2404029_9340996032_R01C01"
"18",5,55000,180777630,0.0953,"GSM2404029_9340996032_R01C01"
"19",6,155000,170952534,0.0702,"GSM2404029_9340996032_R01C01"
"20",7,55000,159039332,0.14,"GSM2404029_9340996032_R01C01"
"21",8,105000,146277011,0.0704,"GSM2404029_9340996032_R01C01"
"22",9,130000,141076716,0.0058,"GSM2404029_9340996032_R01C01"
"23",1,635684,249195311,-8e-04,"GSM2404556_9553932098_R03C02"
"24",10,105000,135462374,0.0187,"GSM2404556_9553932098_R03C02"
"25",11,130000,134873258,-0.024,"GSM2404556_9553932098_R03C02"
"26",12,172870,133770948,-0.0042,"GSM2404556_9553932098_R03C02"
"27",13,19110000,115079939,-0.0136,"GSM2404556_9553932098_R03C02"
"28",14,19325000,20025000,0.342,"GSM2404556_9553932098_R03C02"
"29",14,20450000,107119770,0.0064,"GSM2404556_9553932098_R03C02"
"30",15,20225000,102410696,0.0248,"GSM2404556_9553932098_R03C02"
"31",16,105000,90222377,0.0329,"GSM2404556_9553932098_R03C02"
"32",17,25000,81122605,0.0074,"GSM2404556_9553932098_R03C02"
"33",18,80000,77983624,-0.0012,"GSM2404556_9553932098_R03C02"
"34",19,180000,59084492,0.0297,"GSM2404556_9553932098_R03C02"
"35",2,130000,243026238,-0.0159,"GSM2404556_9553932098_R03C02"
"36",20,155000,62907760,-0.0298,"GSM2404556_9553932098_R03C02"
"37",21,10848948,48084948,0.0427,"GSM2404556_9553932098_R03C02"
"38",22,16373925,51222283,0.0548,"GSM2404556_9553932098_R03C02"
"39",3,155000,197831215,-0.0316,"GSM2404556_9553932098_R03C02"
"40",4,55000,190972138,-0.0188,"GSM2404556_9553932098_R03C02"
"41",5,55000,180777630,-0.0242,"GSM2404556_9553932098_R03C02"
"42",6,155000,170952534,-0.0219,"GSM2404556_9553932098_R03C02"
"43",7,55000,159039332,0.0038,"GSM2404556_9553932098_R03C02"
"44",8,105000,8225000,0.1618,"GSM2404556_9553932098_R03C02"
"45",8,8400000,146277011,-0.0235,"GSM2404556_9553932098_R03C02"
"46",9,130000,141076716,-7e-04,"GSM2404556_9553932098_R03C02"
"47",1,635684,249195311,-5e-04,"GSM2404616_9741950021_R06C01"
"48",10,105000,135462374,0.0115,"GSM2404616_9741950021_R06C01"
"49",11,130000,134873258,-0.0406,"GSM2404616_9741950021_R06C01"
"50",12,172870,133770948,-0.0171,"GSM2404616_9741950021_R06C01"
"51",13,19110000,115079939,-0.021,"GSM2404616_9741950021_R06C01"
"52",14,19325000,20025000,0.3129,"GSM2404616_9741950021_R06C01"
"53",14,20450000,107119770,0.0147,"GSM2404616_9741950021_R06C01"
"54",15,20225000,102410696,0.0157,"GSM2404616_9741950021_R06C01"
"55",16,105000,90222377,0.0264,"GSM2404616_9741950021_R06C01"
"56",17,25000,81122605,0.004,"GSM2404616_9741950021_R06C01"
"57",18,80000,77983624,0.0021,"GSM2404616_9741950021_R06C01"
"58",19,180000,59084492,0.0347,"GSM2404616_9741950021_R06C01"
"59",2,130000,243026238,-0.0192,"GSM2404616_9741950021_R06C01"
"60",20,155000,62907760,-0.0341,"GSM2404616_9741950021_R06C01"
"61",21,10848948,48084948,0.0215,"GSM2404616_9741950021_R06C01"
"62",22,16373925,51222283,0.0367,"GSM2404616_9741950021_R06C01"
"63",3,155000,197831215,-0.0507,"GSM2404616_9741950021_R06C01"
