"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0032,"GSM2404142_9406922158_R03C02"
"2",10,105000,135462374,0.0218,"GSM2404142_9406922158_R03C02"
"3",11,130000,134873258,-0.0079,"GSM2404142_9406922158_R03C02"
"4",12,172870,133770948,-0.0096,"GSM2404142_9406922158_R03C02"
"5",13,19110000,115079939,0.0453,"GSM2404142_9406922158_R03C02"
"6",14,19325000,20025000,0.5202,"GSM2404142_9406922158_R03C02"
"7",14,20450000,107119770,-0.0053,"GSM2404142_9406922158_R03C02"
"8",15,20225000,102410696,0.005,"GSM2404142_9406922158_R03C02"
"9",16,105000,90222377,0.058,"GSM2404142_9406922158_R03C02"
"10",17,25000,81122605,-0.0261,"GSM2404142_9406922158_R03C02"
"11",18,80000,77983624,-0.0513,"GSM2404142_9406922158_R03C02"
"12",19,180000,59084492,0.0063,"GSM2404142_9406922158_R03C02"
"13",2,130000,243026238,-0.0101,"GSM2404142_9406922158_R03C02"
"14",20,155000,62907760,-0.0257,"GSM2404142_9406922158_R03C02"
"15",21,10848948,48084948,0.0416,"GSM2404142_9406922158_R03C02"
"16",22,16373925,51222283,0.0198,"GSM2404142_9406922158_R03C02"
"17",3,155000,197831215,-0.0298,"GSM2404142_9406922158_R03C02"
"18",4,55000,190972138,-0.045,"GSM2404142_9406922158_R03C02"
"19",5,55000,180777630,-0.0181,"GSM2404142_9406922158_R03C02"
"20",6,155000,170952534,-0.0136,"GSM2404142_9406922158_R03C02"
"21",7,55000,159039332,0.0373,"GSM2404142_9406922158_R03C02"
"22",8,105000,146277011,0.0132,"GSM2404142_9406922158_R03C02"
"23",9,130000,141076716,0.0222,"GSM2404142_9406922158_R03C02"
"24",1,635684,249195311,0.0129,"GSM2404143_9406922161_R04C01"
"25",10,105000,135462374,0.0211,"GSM2404143_9406922161_R04C01"
"26",11,130000,134873258,0.004,"GSM2404143_9406922161_R04C01"
"27",12,172870,133770948,-0.0043,"GSM2404143_9406922161_R04C01"
"28",13,19110000,115079939,0.0266,"GSM2404143_9406922161_R04C01"
"29",14,19325000,20025000,0.3472,"GSM2404143_9406922161_R04C01"
"30",14,20450000,107119770,-0.0026,"GSM2404143_9406922161_R04C01"
"31",15,20225000,102410696,0.0132,"GSM2404143_9406922161_R04C01"
"32",16,105000,90222377,0.0707,"GSM2404143_9406922161_R04C01"
"33",17,25000,81122605,-0.0112,"GSM2404143_9406922161_R04C01"
"34",18,80000,77983624,-0.0857,"GSM2404143_9406922161_R04C01"
"35",19,180000,59084492,0.0249,"GSM2404143_9406922161_R04C01"
"36",2,130000,243026238,-0.0209,"GSM2404143_9406922161_R04C01"
"37",20,155000,62907760,-0.0161,"GSM2404143_9406922161_R04C01"
"38",21,10848948,48084948,0.0348,"GSM2404143_9406922161_R04C01"
"39",22,16373925,51222283,0.0212,"GSM2404143_9406922161_R04C01"
"40",3,155000,197831215,-0.0198,"GSM2404143_9406922161_R04C01"
"41",4,55000,190972138,-0.0783,"GSM2404143_9406922161_R04C01"
"42",5,55000,180777630,-0.027,"GSM2404143_9406922161_R04C01"
"43",6,155000,170952534,-0.0272,"GSM2404143_9406922161_R04C01"
"44",7,55000,159039332,0.0265,"GSM2404143_9406922161_R04C01"
"45",8,105000,146277011,-0.0084,"GSM2404143_9406922161_R04C01"
"46",9,130000,141076716,0.028,"GSM2404143_9406922161_R04C01"
"47",1,635684,249195311,0.0198,"GSM2404375_9422493151_R04C01"
"48",10,105000,135462374,0.0289,"GSM2404375_9422493151_R04C01"
"49",11,130000,134873258,0.0457,"GSM2404375_9422493151_R04C01"
"50",12,172870,133770948,0.0424,"GSM2404375_9422493151_R04C01"
"51",13,19110000,115079939,0.0993,"GSM2404375_9422493151_R04C01"
"52",14,19325000,107119770,-0.0037,"GSM2404375_9422493151_R04C01"
"53",15,20225000,102410696,0.015,"GSM2404375_9422493151_R04C01"
"54",16,105000,90222377,0.0708,"GSM2404375_9422493151_R04C01"
"55",17,25000,81122605,-0.0496,"GSM2404375_9422493151_R04C01"
"56",18,80000,77983624,-0.1147,"GSM2404375_9422493151_R04C01"
"57",19,180000,59084492,0.0062,"GSM2404375_9422493151_R04C01"
"58",2,130000,243026238,0.0176,"GSM2404375_9422493151_R04C01"
"59",20,155000,62907760,-0.011,"GSM2404375_9422493151_R04C01"
"60",21,10848948,48084948,0.0284,"GSM2404375_9422493151_R04C01"
"61",22,16373925,51222283,-0.022,"GSM2404375_9422493151_R04C01"
"62",3,155000,197831215,0.0647,"GSM2404375_9422493151_R04C01"
"63",4,55000,190972138,-0.0316,"GSM2404375_9422493151_R04C01"
"64",5,55000,180777630,0.0263,"GSM2404375_9422493151_R04C01"
"65",6,155000,170952534,0.0307,"GSM2404375_9422493151_R04C01"
"66",7,55000,159039332,0.0826,"GSM2404375_9422493151_R04C01"
"67",8,105000,146277011,0.0156,"GSM2404375_9422493151_R04C01"
"68",9,130000,141076716,0.0477,"GSM2404375_9422493151_R04C01"
"69",1,635684,249195311,-0.0044,"GSM2404407_9426021086_R02C01"
"70",10,105000,135462374,0.0235,"GSM2404407_9426021086_R02C01"
"71",11,130000,134873258,-0.0047,"GSM2404407_9426021086_R02C01"
"72",12,172870,133770948,0.0101,"GSM2404407_9426021086_R02C01"
"73",13,19110000,115079939,0.0181,"GSM2404407_9426021086_R02C01"
"74",14,19325000,107119770,0.0143,"GSM2404407_9426021086_R02C01"
"75",15,20225000,102410696,0.0103,"GSM2404407_9426021086_R02C01"
"76",16,105000,90222377,0.021,"GSM2404407_9426021086_R02C01"
"77",17,25000,81122605,-0.029,"GSM2404407_9426021086_R02C01"
"78",18,80000,77983624,-0.0225,"GSM2404407_9426021086_R02C01"
"79",19,180000,59084492,-0.0123,"GSM2404407_9426021086_R02C01"
"80",2,130000,243026238,8e-04,"GSM2404407_9426021086_R02C01"
"81",20,155000,62907760,-0.0305,"GSM2404407_9426021086_R02C01"
"82",21,10848948,48084948,0.0332,"GSM2404407_9426021086_R02C01"
"83",22,16373925,51222283,-0.0015,"GSM2404407_9426021086_R02C01"
"84",3,155000,197831215,2e-04,"GSM2404407_9426021086_R02C01"
"85",4,55000,190972138,-0.0052,"GSM2404407_9426021086_R02C01"
"86",5,55000,180777630,0.001,"GSM2404407_9426021086_R02C01"
"87",6,155000,170952534,-0.0071,"GSM2404407_9426021086_R02C01"
"88",7,55000,159039332,0.0442,"GSM2404407_9426021086_R02C01"
