"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0375,"GSM2403904_9305216209_R05C02"
"2",10,105000,135462374,0.0422,"GSM2403904_9305216209_R05C02"
"3",11,130000,134873258,0.0459,"GSM2403904_9305216209_R05C02"
"4",12,172870,133770948,0.0392,"GSM2403904_9305216209_R05C02"
"5",13,19110000,19525000,-0.0618,"GSM2403904_9305216209_R05C02"
"6",13,19725000,115079939,-0.2618,"GSM2403904_9305216209_R05C02"
"7",14,19325000,107119770,0.0283,"GSM2403904_9305216209_R05C02"
"8",15,20225000,102410696,0.0366,"GSM2403904_9305216209_R05C02"
"9",16,105000,90222377,0.0618,"GSM2403904_9305216209_R05C02"
"10",17,25000,81122605,-0.0357,"GSM2403904_9305216209_R05C02"
"11",18,80000,77983624,-0.0778,"GSM2403904_9305216209_R05C02"
"12",19,180000,59084492,0.0161,"GSM2403904_9305216209_R05C02"
"13",2,130000,243026238,0.0289,"GSM2403904_9305216209_R05C02"
"14",20,155000,62907760,0.02,"GSM2403904_9305216209_R05C02"
"15",21,10848948,48084948,0.0339,"GSM2403904_9305216209_R05C02"
"16",22,16373925,51222283,-0.2639,"GSM2403904_9305216209_R05C02"
"17",3,155000,197831215,0.0364,"GSM2403904_9305216209_R05C02"
"18",4,55000,190972138,-0.0431,"GSM2403904_9305216209_R05C02"
"19",5,55000,180777630,0.0282,"GSM2403904_9305216209_R05C02"
"20",6,155000,170952534,0.0369,"GSM2403904_9305216209_R05C02"
"21",7,55000,159039332,0.0808,"GSM2403904_9305216209_R05C02"
"22",8,105000,146277011,0.0324,"GSM2403904_9305216209_R05C02"
"23",9,130000,141076716,0.0559,"GSM2403904_9305216209_R05C02"
"24",1,635684,249195311,0.0101,"GSM2404122_9379086132_R06C01"
"25",10,105000,135462374,0.0402,"GSM2404122_9379086132_R06C01"
"26",11,130000,134873258,-1e-04,"GSM2404122_9379086132_R06C01"
"27",12,172870,133770948,0.0332,"GSM2404122_9379086132_R06C01"
"28",13,19110000,115079939,-0.1239,"GSM2404122_9379086132_R06C01"
"29",14,19325000,107119770,0.0187,"GSM2404122_9379086132_R06C01"
"30",15,20225000,102410696,0.0745,"GSM2404122_9379086132_R06C01"
"31",16,105000,90222377,0.0547,"GSM2404122_9379086132_R06C01"
"32",17,25000,81122605,-0.0015,"GSM2404122_9379086132_R06C01"
"33",18,80000,77983624,-0.036,"GSM2404122_9379086132_R06C01"
"34",19,180000,59084492,0.0464,"GSM2404122_9379086132_R06C01"
"35",2,130000,243026238,-0.0106,"GSM2404122_9379086132_R06C01"
"36",20,155000,62907760,-0.025,"GSM2404122_9379086132_R06C01"
"37",21,10848948,48084948,0.0457,"GSM2404122_9379086132_R06C01"
"38",22,16373925,51222283,-0.2404,"GSM2404122_9379086132_R06C01"
"39",3,155000,197831215,-0.0796,"GSM2404122_9379086132_R06C01"
"40",4,55000,190972138,-0.0479,"GSM2404122_9379086132_R06C01"
"41",5,55000,180777630,-0.0076,"GSM2404122_9379086132_R06C01"
"42",6,155000,170952534,-0.0377,"GSM2404122_9379086132_R06C01"
"43",7,55000,159039332,0.0502,"GSM2404122_9379086132_R06C01"
"44",8,105000,146277011,0.0113,"GSM2404122_9379086132_R06C01"
"45",9,130000,141076716,0.0326,"GSM2404122_9379086132_R06C01"
"46",1,635684,249195311,0.0241,"GSM2404144_9406922161_R05C01"
"47",10,105000,135462374,0.0755,"GSM2404144_9406922161_R05C01"
"48",11,130000,134873258,0.0625,"GSM2404144_9406922161_R05C01"
