"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0031,"GSM2404445_9420867097_R02C02"
"2",10,105000,135462374,0.0594,"GSM2404445_9420867097_R02C02"
"3",11,130000,134873258,0.0212,"GSM2404445_9420867097_R02C02"
"4",12,172870,133770948,0.0132,"GSM2404445_9420867097_R02C02"
"5",13,19110000,115079939,0.1122,"GSM2404445_9420867097_R02C02"
"6",14,19325000,20025000,0.387,"GSM2404445_9420867097_R02C02"
"7",14,20450000,107119770,-6e-04,"GSM2404445_9420867097_R02C02"
"8",15,20225000,102410696,0.0105,"GSM2404445_9420867097_R02C02"
"9",16,105000,90222377,0.0988,"GSM2404445_9420867097_R02C02"
"10",17,25000,81122605,-0.0205,"GSM2404445_9420867097_R02C02"
"11",18,80000,77983624,-0.0433,"GSM2404445_9420867097_R02C02"
"12",19,180000,59084492,0.0285,"GSM2404445_9420867097_R02C02"
"13",2,130000,243026238,0.0141,"GSM2404445_9420867097_R02C02"
"14",20,155000,62907760,-0.0209,"GSM2404445_9420867097_R02C02"
"15",21,10848948,48084948,0.079,"GSM2404445_9420867097_R02C02"
"16",22,16373925,51222283,0.0135,"GSM2404445_9420867097_R02C02"
"17",3,155000,197831215,0.0046,"GSM2404445_9420867097_R02C02"
"18",4,55000,190972138,-0.0166,"GSM2404445_9420867097_R02C02"
"19",5,55000,180777630,0.0091,"GSM2404445_9420867097_R02C02"
"20",6,155000,170952534,0.0178,"GSM2404445_9420867097_R02C02"
"21",7,55000,159039332,0.073,"GSM2404445_9420867097_R02C02"
"22",8,105000,8100000,0.3572,"GSM2404445_9420867097_R02C02"
"23",8,8175000,146277011,0.0141,"GSM2404445_9420867097_R02C02"
"24",9,130000,141076716,0.0163,"GSM2404445_9420867097_R02C02"
"25",1,635684,249195311,0.0117,"GSM2404446_9420867097_R03C02"
"26",10,105000,135462374,0.0631,"GSM2404446_9420867097_R03C02"
"27",11,130000,134873258,0.0154,"GSM2404446_9420867097_R03C02"
